Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Trax,https://www.crunchbase.com/organization/traxretail,"Analytics, Artificial Intelligence (AI), Computer Vision, E-Commerce, Image Recognition, Retail Technology","Singapore, Central Region, Singapore","Trax provides in-store execution tools, market measurement services, and data science solutions for retail.","1,046",Active,2010-01-01,year,,,,,For Profit,http://traxretail.com/,"Trax provides offers in-store execution tools, market measurement services, and data science solutions for retail. Its mission is to enable brands and retailers to harness digital technologies' power to produce the best shopping experiences imaginable. Trax’s retail platform allows customers to understand what is happening on a shelf, in every store, all the time so they can focus on what they do best – delighting shoppers. Many of the world’s top CPG companies and retailers use Trax’s dynamic merchandising, in-store execution, shopper engagement, market measurement, analytics, and shelf monitoring solutions at scale to drive positive shopper experiences and unlock revenue opportunities at all points of sale. As a pioneer in computer vision, Trax continues to lead the industry in innovation and excellence through the development of advanced technologies and autonomous data collection methods. Trax is a global company with hubs in the United States, Singapore, and Israel, serving customers in more than 90 countries worldwide.",,1077300000,USD,1077300000
M-DAQ,https://www.crunchbase.com/organization/m-daq,"Banking, Finance, Security","Singapore, Central Region, Singapore",M-DAQ provides a sustainable ecosystem for securities and stock exchanges to enable multi-currency trading on a cross-border basis.,"8,653",Active,2010-01-01,year,,,,,For Profit,http://www.m-daq.com,"M-DAQ Pte Ltd (formerly known as Summit Investment Pte Ltd) was founded by a group of veterans from the FX and Securities Industries with experience averaging 15 years amongst the key members. M-DAQ is an innovative and unique solution, providing a platform to price and trade any exchange-traded products in more than one currency by blending ‘executable’ FX rates into equities and futures products. M-DAQ is the IP owner and holds the key relationships with the National Exchanges and the Global FX Banks. M-DAQ handles the entire consultancy work for each Exchange to be enabled on M-DAQ Solution, and provides the Exchange and the FX Consortium Banks with a license to use the M-DAQ solution. In addition, the partner Exchange will receive a revenue share of the net FX margins. The Exchange partners continues to operate the new cross-currency platform under existing in-country regulatory framework.",Late Stage Venture,246312370,USD,246312370
Qoo10,https://www.crunchbase.com/organization/qoo10-japanese,"Consumer Goods, E-Commerce","Singapore, Central Region, Singapore","Qoo10 is a Japanese online shopping platform that sells clothing, cosmetics, beauty and skin care products, mobile, and more.","12,719",Active,2010-01-01,year,2017-07-20,day,,,For Profit,https://www.qoo10.jp/,"Qoo10 is a Japanese online shopping platform that sells clothing, cosmetics, beauty and skin care products, mobile, and more.",M&A,30000000000,KRW,27167515
VolitionRx,https://www.crunchbase.com/organization/volitionrx,"Biotechnology, Health Care, Health Diagnostics","Singapore, Central Region, Singapore",VolitionRx develops easy to use blood-based cancer tests to accurately diagnose a range of cancers.,"12,741",Active,2010-01-01,year,2011-10-11,day,,,For Profit,https://volition.com,"Volition is a multi-national life sciences company developing simple, easy to use blood-based cancer tests to accurately diagnose a range of cancers. The tests are based on the science of Nucleosomics, which is the practice of identifying and measuring nucleosomes in the bloodstream or other bodily fluid which is an indication that disease is present.   As cancer screening programs become more and more widespread, its products aim to help to diagnose a range of cancers quickly, simply, accurately, and cost-effectively. Early diagnosis has the potential to not only prolong the life of patients but also to improve their quality of life. Volition's research and development activities are currently centered in Belgium, with additional offices in London, Texas, and Singapore, as the company focuses on bringing its diagnostic products to market first in Europe, then in the U.S. and worldwide.",IPO,66224982,USD,66224982
Sound Group Inc.,https://www.crunchbase.com/organization/lizhi,"Apps, Audio, Content, Internet, Mobile, Podcast, Social Media, Software","Singapore, Central Region, Singapore",Sound Group Inc. (NASDAQ: SOGP) is a global audio-centric social and entertainment company.,"13,100",Active,2010-01-01,year,2020-01-16,day,,,For Profit,https://www.soundgroupinc.com/,Sound Group Inc. (NASDAQ: SOGP) is a global audio-centric social and entertainment company driven by a clear mission and vision: building the world’s largest audio platform to better connect and communicate. The Company is dedicated to shaping a future where audio not only bridges gaps but also amplifies human connection through the power of sound. Sound Group Inc. has been listed on Nasdaq since January 2020.,IPO,110000000,USD,110000000
The Ayurveda Experience,https://www.crunchbase.com/organization/the-ayurveda-experience,"Alternative Medicine, Beauty, Food and Beverage, Health Care, Wellness","Singapore, Central Region, Singapore","The Ayurveda Experience is a health and wellness company that offers personal care, food and beverages, supplements, and other products.","13,389",Active,2010-01-01,year,,,,,For Profit,https://www.theayurvedaexperience.com,"The Ayurveda Experience is a health and wellness platform that offers personal care, food and beverages, supplements, and other products. It has emerged as the quintessential Ayurvedic platform that caters to the contemporary wellness and beauty needs of its modern users. The Ayurveda Experience was founded in 2010 and is based in Singapore.",,600000000,INR,7486893
ASLAN Pharmaceuticals,https://www.crunchbase.com/organization/aslan-pharmaceuticals,"Biotechnology, Health Care, Medical, Oncology, Pharmaceutical","Singapore, Central Region, Singapore",ASLAN Pharmaceuticals is an oncology-focused biotechnology company developing a portfolio of immuno-oncology agents and targeted therapies.,"15,298",Active,2010-01-01,year,2018-05-04,day,,,For Profit,http://aslanpharma.com,ASLAN is a pharmaceutical company that develops novel medicines for global markets. It specializes in clinical-stage immunology and oncology-focused biopharmaceuticals.,IPO,181000000,USD,181000000
XSEED Education,https://www.crunchbase.com/organization/xseed-education,"Children, Education, Personal Development","Singapore, Central Region, Singapore","XSEED Education is an innovative K-12 startup focused on enhancing school learning with high-quality proprietary curriculum, training.","28,768",Active,2010-01-01,year,,,,,For Profit,https://xseededucation.com,"XSEED Education is globally transforming K-8 education from rote to learning, from ""telling"" to teaching. Its 5-step method builds thinking skills and problem-solving confidence in children. XSEED served over 2 Million children. The XSEED School Learning Program replaces “rote-chalk-and-talk” with a well researched ‘five step’ process to teach every concept effectively using clear curricular aims, hands-on activity, reflective analysis, application, and assessment. Visible benefits of XSEED are curiosity, confidence, ability to reflect, and higher order thinking skills in children.  The XSEED ‘classroom toolkit’ includes over 10,000 step-by-step teaching plans, application-oriented student learning materials, and skill-focused assessment to provide individualized feedback. Year-round coaching and training situated in the classroom equip teachers with the know-how necessary to continuously uplift classroom practice. XSEED is now harnessing the power of technology to personalize learning for every child.  XSEED has been featured among the top educational innovations in the world in “Learning Re-Imagined” (published the WISE Summit) and featured as a case-study by MIT’s Legatum Center.",Early Stage Venture,20000000,USD,20000000
Fullerton Healthcare Corporation,https://www.crunchbase.com/organization/fullerton-healthcare-corporation-limited,"Health Care, Hospital","Singapore, Central Region, Singapore","Leaders in occupational health, allied health, general practice, third party administration, and emergency assistance.","29,101",Active,2010-01-01,year,2022-08-04,day,,,For Profit,https://www.fullertonhealth.com.au,"Fullerton Health is a leading provider of corporate healthcare solutions across Asia Pacific with more than 225 fully-owned medical centres, a network of more than 8,000 medical providers, 2,000 employees including more than 1,200 healthcare professionals, and six call centres across five countries.",M&A,302792176,USD,302792176
Yojee,https://www.crunchbase.com/organization/yojee-2,"Enterprise Software, Freight Service, Last Mile Transportation, Logistics, SaaS, Supply Chain Management","Singapore, Central Region, Singapore",Yojee is an autonomous next generation logistics platform,"37,384",Active,2010-01-01,year,2010-12-10,day,,,For Profit,https://yojee.com/,"Yojee is an autonomous next generation logistics platform providing software to, and freight movements throughout its rapidly growing collaborative economy. Yojee offers world leading software on a monthly recurring license fee model. Its freight movement model is a percentage value charged per transaction model.",IPO,17084907,AUD,12932281
