Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Truist Securities,https://www.crunchbase.com/organization/truist-securities-9128,,"Atlanta, Georgia, United States",Truist Securities is the full-service corporate and investment banking arm of Truist Financial Corporation.,"92,003","Greater Atlanta Area, East Coast, Southern US",,Active,2020-01-01,year,,,,,For Profit,https://www.truistsecurities.com,,,,,,,,,,,,,,,,,,Private,,,,,,
Exokinetics,https://www.crunchbase.com/organization/exokinetics,"Medical, Medical Device, Wellness","West Chester, Pennsylvania, United States","Exokinetics invents Zeen, a new mobility device that helps those with mobility limitations.","92,005","Greater Philadelphia Area, Great Lakes, Northeastern US",,Active,2017-01-01,year,,,,,For Profit,https://gozeen.com/,"Exokinetics invents Zeen, a new mobility device that helps those with mobility limitations. People with mobility limitations can continue going on adventures and doing the things they love through Zeen. The Zeen is designed with guidance from physical therapists for superior stability. With full – or partial – weight support on the riding saddle, their own legs propel them while the Zeen stabilizes them and carries their weight. Zeen can lift and lower them from standing to a seated position and back again instantly. And because their weight is supported from beneath, their hands are free to carry their own plate, drink or dog leash without any assistance. Coming soon: Zeen Trunk Lift Straps. Trunk lift straps reduce lift and lower weight by half and slide in and out of trunks easily with no pinched fingers.",Health Care,1,Garrett Brown,11-50,1,Early Stage Venture,99999,USD,99999,99999,USD,99999,,,,,Private,,,,,,
Credit of Morocco,https://www.crunchbase.com/organization/credit-du-maroc,Financial Services,"Morocco, Indiana, United States",Credit of Morocco is a financial services company that provides all the banking services to a customer online and offline.,"92,014","Greater Chicago Area, Great Lakes, Midwestern US",$100M to $500M,Active,1929-01-01,year,,,,,For Profit,https://www.creditdumaroc.ma/,Credit du Maroc is pleased to participate in the national program of support and financing for small businesses and project leaders.,Financial Services,,,1001-5000,1,,,,,20000000,EUR,21661010,European Bank for Reconstruction and Development,,1,,Private,,,,,,
ILLUSIO,https://www.crunchbase.com/organization/illusio-imaging,"Computer, Cosmetic Surgery, Image Recognition, Software","San Clemente, California, United States",ILLUSIO is an augmented reality virtual mirror for plastic surgery that transforms verbal discussions into visual experiences.,"92,019","Greater Los Angeles Area, West Coast, Western US",Less than $1M,Active,2014-07-01,month,,,,,For Profit,http://www.illusioimaging.com,"Illusio is a developer of an augmented reality imaging tool designed to create the ideal size and shape for every possible situation.The company's tool provides patients with augmented reality imagery that reveals how the results of breast augmentation surgery will look on their own bodies, enabling surgeons and patients to have a visual discussion about all of the possible outcomes of breast augmentation.","Consumer Electronics, Data and Analytics, Hardware, Health Care, Software",3,"Ethan Winner, Jeffrey Stone, Kyle Song",1-10,2,,234200,USD,234200,234200,USD,234200,"Equifund, Asimov Ventures",1,2,,Private,,,,,,
Botlink,https://www.crunchbase.com/organization/botlink,"Drones, Hardware, Robotics, Software","Fargo, North Dakota, United States","Botlink is a drone control application that lets our users fly simply, safely, and securely by processing FAA flight and regulation data.","92,019",Midwestern US,$1M to $10M,Active,2014-03-05,day,,,,,For Profit,https://www.botlink.com/,"Botlink is the world’s most capable UAV software and hardware platform, providing the capability to control the drone and process data over the cellular network. No matter the task or location, they enable you to do more with your drone.","Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Software",2,"Alex Kube, Terri F. Zimmerman",11-50,3,Seed,2120100,USD,2120100,2161600,USD,2161600,,,,,Private,,,,,,
Jethro,https://www.crunchbase.com/organization/jethrodata,"Analytics, Big Data, Business Intelligence, Data Integration, Database, Productivity Tools, Software","New York, New York, United States",Jethro is an analytics database combining the scalability of Hadoop HDFS with a fully indexed columnar database.,"92,019","Greater New York Area, East Coast, Northeastern US",,Active,2012-03-01,day,,,,,For Profit,http://www.jethro.io,"Jethro is a performance acceleration engine that delivers interactive Business Intelligence (BI) on Big Data at Hadoop costs. Customers rely on Jethro to serve thousands of concurrent users analyzing tens of billions rows of data to support their business decisions. Actionable Business Intelligence mandates response time measured in seconds, up to date data measured in minutes, and data sets that span over 3 or more years of business. Jethro customers enjoy actionable, business critical BI at the scale, scope, and speed of their business. Jethro accelerates Big Data performance with Tableau, Qlik, MicroStrategy, etc., as well as in-house BI applications.  - Interactive Performance: Jethro delivers response in seconds on 10s of billions of rows—on any SQL query - High Concurrency: 1,000s of concurrent users can access the same data without impacting performance. - No Data Engineering: Jethro automatically handles all of the costly, ineffective and endless data engineering Jethro is data source agnostic and is compatible with any Hadoop distribution, AWS, EFS, Azure and almost any other data source.","Data and Analytics, Information Technology, Software",3,"Boaz Raufman, Eli Singer, Ronen Ovadya",11-50,2,Early Stage Venture,12600000,USD,12600000,12600000,USD,12600000,"Square Peg Capital, Pitango VC",2,2,,Private,,,,,,
Triple M,https://www.crunchbase.com/organization/triple-m,,"Plymouth, Massachusetts, United States",Triple M is a cannabis retailer and supplier that supplies all natural cannabis to its' dispensaries in Massachusetts,"92,025","Greater Boston Area, East Coast, New England",,Active,2018-02-08,day,,,,,For Profit,https://triplemdispensary.com/,Triple M is a cannabis retailer and supplier that supplies all-natural cannabis to its' dispensaries in Massachusetts. They focus on locally sourced Marijuana.,,,,1-10,1,,4016963,USD,4016963,4016963,USD,4016963,,,,,Private,,,,,,
Asignio,https://www.crunchbase.com/organization/asignio,"Internet, iOS, Mobile Apps, Software","Seattle, Washington, United States",Asignio is a group of passionate people dedicated to making the world more secure without making it more complicated. ,"92,027","Greater Seattle Area, West Coast, Western US",Less than $1M,Active,2013-01-01,year,,,,,For Profit,https://www.web.asignio.com,"Asignio was formed to radically simplify and improve how we sign-in and authorize apps, websites, and services. Based on our proprietary signature/handwriting-based technology, the Asignio mobile authentication platform provides a quick, easy-to-use, and secure way for users to sign-in. A user's Asignio Signature can be any set of letters (like their initials), symbols, or a drawing - easier to remember than a password, quick to draw on the mobile touch-screen, yet extremely difficult for others to reproduce. The Asignio platform increases security, lowers fraud risk, and significantly reduces support costs while providing consumers a better experience. Located in the beautiful Pacific Northwest, Asignio is a growing company that has brought together diverse talents to accomplish a single goal: improve authentication for users and developers. Asignio possesses expertise in security, business processes, software development, and user interface design. We have combined these strengths to create a better way to sign in. ","Apps, Internet Services, Mobile, Platforms, Software",1,Kyle Rutherford,11-50,1,,2232800,USD,2232800,2232800,USD,2232800,,,,,Private,,,,,,
Forms Logic,https://www.crunchbase.com/organization/forms-logic,"Cloud Data Services, Document Management, Productivity Tools, SaaS, Software","Wheaton, Illinois, United States",Forms Logic is a cloud-based system for companies looking to integrate single data entry through multiple forms.,"92,027","Greater Chicago Area, Great Lakes, Midwestern US",,Active,2015-01-01,year,,,,,For Profit,https://www.formslogic.com/,"Forms Logic is a cloud-based system for companies looking to integrate single data entry through multiple forms. The company recognizes the challenges inherent in managing paperwork that require inputting the same data among multiple forms. Using Forms Logic's software, companies can easily complete highly regulated industry paperwork, creating a friendly client onboarding experience.","Information Technology, Internet Services, Software",1,Rick Burgess,1-10,1,,797000,USD,797000,797000,USD,797000,,,,,Private,,,,,,
HbO2 Therapeutics,https://www.crunchbase.com/organization/hbo2-therapeutics,"Biotechnology, Developer Platform, Health Care, Manufacturing, Therapeutics","Souderton, Pennsylvania, United States",HbO2 Therapeutics develops and manufactures oxygen carrying solutions.,"92,031","Greater Philadelphia Area, Great Lakes, Northeastern US",Less than $1M,Active,2014-01-01,year,,,,,For Profit,http://www.hbo2therapeutics.com,"HbO2 Therapeutics develops and manufactures oxygen-carrying solutions, a class of drug products that when administered intravenously can increase the amount of oxygen transported throughout the body. It offers two products. Hemopure [hemoglobin glutamer – 250 (bovine)], for use in humans, and Oxyglobin [hemoglobin glutamer – 200 (bovine)]) for veterinary use. The company was founded in 2014 and is headquartered in Souderton, Pennsylvania.","Biotechnology, Health Care, Manufacturing, Science and Engineering, Software",2,"Jerry Kowalski, Zaf Zafirelis",11-50,3,Seed,2750360,USD,2750360,2750360,USD,2750360,,,,,Private,,,,,,
