Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
DIYHomeCenter.com,https://www.crunchbase.com/organization/diy-home-center,"Building Material, E-Commerce","Green Bay, Wisconsin, United States",DIY Home Center is an online retailer for the home improvement industry.,"368,000","Great Lakes, Midwestern US",$1M to $10M,Active,2003-01-01,year,2023-08-04,day,,,For Profit,https://www.diyhomecenter.com/,"DIYHomeCenter.com is an online retailer for the home improvement industry. We specialize in items for building and for use around your deck.  Our major brands include products from Trex, TimberTech, DuPont, POLYWOOD, Deckorators and more.  We are based out of Green Bay, WI ","Commerce and Shopping, Real Estate",1,Michael Anderson,11-50,,M&A,,,,,,,,,,,Private,,,,,,
Prestige Healthcare Group,https://www.crunchbase.com/organization/prestige-healthcare-group-463c,"Assisted Living, Health Care, Rehabilitation","Clifton, New Jersey, United States",Prestige Healthcare Group specializes in managing the back-office and operations for assisted living and skilled nursing homes.,"368,004","Greater New York Area, East Coast, Northeastern US",,Active,2017-01-01,year,,,,,For Profit,https://prestigehcg.com,,Health Care,,,11-50,,,,,,,,,,,,,Private,,,,,,
"Laddawn, Inc.",https://www.crunchbase.com/organization/laddawn-inc,Manufacturing,"Devens, Massachusetts, United States",Laddawn is a packaging and containers company that offers packaging products and machinery.,"368,004","Greater Boston Area, East Coast, New England",$100M to $500M,Active,1976-01-01,year,2018-08-27,day,,,For Profit,http://laddawn.com,,Manufacturing,,,251-500,,M&A,,,,,,,,,,,Private,,,,,,
JK Food Group,https://www.crunchbase.com/organization/jk-food-group,"Cooking, Food and Beverage, Hospitality, Restaurants, Wine And Spirits","Cambridge, Massachusetts, United States",JK Food Group is a collection of restaurant entities by James Beard Award-winning Chefs Ken Oringer & Jamie Bissonnette.,"368,005","Greater Boston Area, East Coast, New England",,Active,2005-01-01,year,,,,,For Profit,https://www.jkfoodgroup.com/,,"Food and Beverage, Travel and Tourism",2,"Jamie Bissonnette, Ken Oringer",11-50,,,,,,,,,,,,,Private,,,,,,
1913 Media Group,https://www.crunchbase.com/organization/1913-media-group,,"Dayton, Ohio, United States",1913 Media Group is a full-service vertically integrated Content Factory.,"368,006","Great Lakes, Midwestern US",,Active,2020-01-01,year,,,,,For Profit,https://01lgbjf0gm.projects.webpages.one,,,1,Seth Hummel,1-10,,,,,,,,,,,,,Private,,,,,,
SpiderRock Advisors,https://www.crunchbase.com/organization/spiderrock-advisors,"Advice, Asset Management, Financial Services","Chicago, Illinois, United States","SpiderRock Advisors provides managed accounts, investment strategies, financial advisors and asset management services.","368,008","Greater Chicago Area, Great Lakes, Midwestern US",Less than $1M,Active,2013-01-01,year,,,,,For Profit,http://www.spiderrockadvisors.com/,,"Financial Services, Media and Entertainment",,,11-50,,,,,,,,,,,,,Private,,,,,,
YJSP,https://www.crunchbase.com/organization/yjsp,"Aerospace, Chemical Engineering, Construction, Industrial Engineering, Manufacturing, Mechanical Engineering","Atlanta, Georgia, United States","YJSP is an aviation and aerospace component manufacturing firm for avionics, structures, flight dynamics, electrical, and fluid system.","368,010","Greater Atlanta Area, East Coast, Southern US",$10M to $50M,Active,2017-01-01,year,,,,,For Profit,https://www.gtspaceprogram.com/,,"Manufacturing, Real Estate, Science and Engineering",,,101-250,,,,,,,,,,,,,Private,,,,,,
Wycliffe Bible Translators USA,https://www.crunchbase.com/organization/wycliffe-bible-translators-usa,"Professional Services, Religion, Translation Service","Orlando, Florida, United States",Wycliffe BibleTranslators USA is a non-profit language translation agency that helps people get the Bible in a language they can understand.,"368,010","East Coast, Southern US",,Active,1942-01-01,year,,,,,For Profit,https://www.wycliffe.org,,"Community and Lifestyle, Other, Professional Services",,,1001-5000,,,,,,,,,,,,,Private,,,,,,
Auris Surgical Robotics,https://www.crunchbase.com/organization/auris-surgical-robotics-39fc,"Health Care, Medical Device, Robotics","Redwood City, California, United States",Auris Surgical Robotics' monarch platform is transforming medical intervention by providing robotic medical care.,"368,012","San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,Closed,2007-01-01,year,2019-04-02,day,2019-04-02,day,For Profit,https://aurisrobotics.com,"Auris Surgical Robotics is a company that provides robotic medical care that is transforming medical intervention by introducing the monarch platform. Auris aims to leverage the power of flexible robotics to enable new possibilities in endoscopy, which uses small cameras and tools to enter the body through its natural openings. The Monarch Platform integrates the latest advancements in imaging technology, robotics, endoscope design, sensing, and data science for better outcomes and reduced costs.","Hardware, Health Care, Science and Engineering, Software",,,1-10,,M&A,,,,,,,,,,,Private,,,,,,
Pavecon,https://www.crunchbase.com/organization/pavecon-ltd,"Building Material, Construction, Real Estate","Grand Prairie, Texas, United States",Pavecon is a paving and construction management firm.,"368,013","Dallas/Fort Worth Metroplex, Southern US",$10M to $50M,Active,1992-01-01,year,,,,,For Profit,http://pavecon.com,"Pavecon has been providing exterior property management solutions that deliver value and protect their investment. They offer asphalt and concrete services, catering to all-size clients. Their asphalt services include asphalt paving, repair, and full pavement maintenance.",Real Estate,,,501-1000,,,,,,,,,,,,,Private,,,,,,
Alliance Residential Company,https://www.crunchbase.com/organization/alliance-residential-company-2,Real Estate,"Phoenix, Arizona, United States","Alliance Residential Company is a real-estate operating company focused on acquiring, owning, developing properties.","368,018","Greater Phoenix Area, Western US",$500M to $1B,Closed,2000-01-01,year,,,,none,For Profit,http://www.CareersAtAlliance.com,,Real Estate,,,1001-5000,,,,,,,,,,,,,Private,,,,,,
Protiviti's Digital,https://www.crunchbase.com/organization/protiviti-digital-solution,Consulting,"Menlo Park, California, United States","Protiviti's Digital solution works across sectors at the nexus of strategy, design, technology, and assurance.","368,022","San Francisco Bay Area, Silicon Valley, West Coast",,Active,2002-05-22,day,,,,,For Profit,https://digital.protiviti.com,"Protiviti's Digital solution works across sectors at the nexus of strategy, design, technology, and assurance.",Professional Services,,,,,,,,,,,,,,,1,Private,,,,,,
Escalade,https://www.crunchbase.com/organization/escalade,"Consumer Goods, Manufacturing","Evansville, Indiana, United States","Escalade, Incorporated is a quality manufacturer and distributor of sporting goods.","368,023","Great Lakes, Midwestern US",$100M to $500M,Active,1993-01-01,year,2000-05-09,day,,,For Profit,http://www.escaladeinc.com/,"The companies that are known today as Escalade, Incorporated (Escalade) have manufactured and distributed product to the Sporting Goods market for over 80 years, and to the Office/Graphic Arts Equipment market for over 70 years. Escalade continues to participate actively in these markets combining the earnings power of brand names with fiscal responsibility and experienced management. The Company employs best practice manufacturing methods and insists that each of its suppliers do the same. Sporting goods products are manufactured in Olney, Illinois; Gainesville, Florida; Tijuana, Mexico; Raleigh, North Carolina; and through affiliates in China. Office and Graphic arts products are manufactured in Wabash, Indiana; Markdorf Germany; and through affiliates in China.","Consumer Goods, Manufacturing",,,501-1000,,M&A,,,,,,,,,,1,Private,,,,,,
S2 Games,https://www.crunchbase.com/organization/s2-games,"Gaming, Online Portals, Publishing","Portage, Michigan, United States","S2 Games is an independent game publisher and developer with a mission to identify, develop, evolve and unleash the future of online","368,031","Great Lakes, Midwestern US",$1M to $10M,Closed,2001-01-01,year,,,,none,For Profit,http://www.s2games.com,"S2 Games is an independent game publisher and developer with a mission to identify, develop, evolve and unleash the future of online multiplayer games. Since its inception in 2003, S2 has been focused on driving innovation into the global online game space, through identifying and solving industry issues, listening closely to its passionate gamer base and incorporating features that gamers truly want. Active in sponsoring and helping drive many global tournaments, S2 is focused on providing the best online and multiplayer gaming experience, and opportunities for its fans to shine.","Content and Publishing, Gaming, Internet Services, Media and Entertainment",1,Marc DeForest,51-100,,,,,,,,,,,,,Private,,,,,,
Lyrasis,https://www.crunchbase.com/organization/lyrasis,"Digital Media, Information Technology, Software","Atlanta, Georgia, United States","Lyrasis provides digital technologies to help libraries, archives, museums and research organizations to share their collections and data.","368,031","Greater Atlanta Area, East Coast, Southern US",$50M to $100M,Active,1936-01-01,year,,,,,Non-profit,https://www.lyrasis.org/,"LYRASIS , a 501(c)(3) is a global non-profit, technology and product membership organization whose mission is to catalyze and enable equitable access to the world’s knowledge and cultural heritage through leadership in open technologies, content services, digital solutions and collaboration with archives, libraries, museums and knowledge communities worldwide. About BiblioLabs","Information Technology, Media and Entertainment, Software",,,101-250,,,,,,,,,,,,2,Private,,,,,,
Merkle Response Management Group,https://www.crunchbase.com/organization/merkle-response-management-group,"Information Services, Information Technology, Service Industry","Hagerstown, Maryland, United States","Merkle RMG provides donation processing, fulfillment, and donor care services to nonprofit organizations that raise funds via direct mail.","368,032","East Coast, Southern US",,Active,1983-01-01,day,2023-01-04,day,,,For Profit,https://www.merkleresponse.com/,"Merkle RMG provides donation processing, fulfillment, and donor care services to nonprofit organizations that raise funds via direct mail.","Information Technology, Other",,,51-100,,M&A,,,,,,,,,,,Private,,,,,,
DT Professional Services,https://www.crunchbase.com/organization/dt-professional-services,"SEO, Software","Canoga Park, California, United States","DT Professional Services provides software solutions, SEO, project development, cloud computing, ecommerce development services.","368,036","Greater Los Angeles Area, West Coast, Western US",Less than $1M,Active,2013-01-01,year,,,,,For Profit,http://dtprosusa.com/,,"Internet Services, Sales and Marketing, Software",,,1-10,,,,,,,,,,,,,Private,,,,,,
Jax Media,https://www.crunchbase.com/organization/jax-media,Media and Entertainment,"New York, New York, United States",Jax Media has helped to create and foster some of the most talked about film and television projects.,"368,041","Greater New York Area, East Coast, Northeastern US",,Active,2011-01-01,year,2018-02-20,day,,,For Profit,https://www.jaxmedia.com,"Jax Media has helped to create and foster some of the most talked about film and television projects in recent years. Jax has created a production model that allows talent to maintain control of their content, and the results have been answered with award nominations and critical acclaim. Providing comprehensive production from development through post, Jax has a staff of highly experienced in-house producers who implement the unique Jax Media model.",Media and Entertainment,,,,,M&A,,,,,,,,,,,Private,,,,,,
Department of Health Care Services,https://www.crunchbase.com/organization/department-of-health-care-services,"Health Care, Hospital, Medical, Personal Health","Sacramento, California, United States",Department of Health Care Services offers healthcare services.,"368,046","West Coast, Western US",,Active,1994-01-01,year,,,,,For Profit,https://www.dhcs.ca.gov,,Health Care,,,1001-5000,,,,,,,,,,,,,Private,,,,,,
"Mediu, LLC",https://www.crunchbase.com/organization/mediu-llc,"Internet, Telecommunications, Virtual Reality","Delaware, Ohio, United States",Mediu is a telecommunication company providing network services.,"368,053","Great Lakes, Midwestern US",$10M to $50M,Active,2003-01-01,day,,,,,For Profit,http://mediu.com,,"Hardware, Internet Services, Software",1,Mike Berichon,11-50,,,,,,,,,,,,,Private,,,,,,
G&S Business Communications,https://www.crunchbase.com/organization/g-s-business-communications,"Data Visualization, Public Relations","New York, New York, United States",G&S Business Communications is a PR and Communications company that provides public relations and marketing services.,"368,053","Greater New York Area, East Coast, Northeastern US",Less than $1M,Active,1971-01-01,year,,,,,For Profit,http://gscommunications.com,"G&S Business Communications is an independent business communications firm. The firm’s global network extends across more than 50 countries through its PROI Worldwide partnership. G&S integrates business and communications strategies, using a full range of communications services, to build sustainable relationships for clients along the entire value chain.","Data and Analytics, Design, Information Technology, Sales and Marketing, Software",,,51-100,,,,,,,,,,,,1,Private,,,,,,
Ecosave,https://www.crunchbase.com/organization/ecosave-pty-ltd,"Energy, Environmental Consulting","Philadelphia, Pennsylvania, United States",Ecosave Pty Ltd is a specialist Tier 1 energy and water efficiency provider and Australia’s largest independent ESCO.,"368,055","Greater Philadelphia Area, Great Lakes, Northeastern US",,Active,2002-01-01,day,,,,,For Profit,https://ecosaveinc.com/,,"Energy, Professional Services",,,11-50,,,,,,,,,,,,,Private,,,,,,
SportLocker,https://www.crunchbase.com/organization/sportlocker,"Big Data, Mobile Apps, Software, Sports, Web Development","Provo, Utah, United States",SportLocker is a software developer focused on providing products and services desirable to sports fans.,"368,056",Western US,$10B+,Active,2014-01-01,year,,,,,For Profit,http://www.sportlocker.com/,"SportLocker is a software developer focused on providing products and services desirable to sports fans. It offers a mobile application that enables its users to obtain sports-related news and updates on their mobile phones. SportLocker was founded by Tanner Stephens and is based out of Provo, Utah.","Apps, Data and Analytics, Mobile, Software, Sports",1,Tanner Stephens,11-50,,,,,,,,,,,,,Private,,,,,,
TalkTools,https://www.crunchbase.com/organization/talktools,"Health Care, Hospital, Medical, Medical Device","North Charleston, South Carolina, United States",TalkTools is a medical device company.,"368,057","East Coast, Southern US",,Active,1995-01-01,year,,,,,For Profit,https://talktools.com,TalkTools is a mission-driven organization dedicated to assisting as many children and families with special needs as possible. They are dedicated to a broad mission of improving the lives of people who are dealing with speech and feeding difficulties.,Health Care,,,11-50,,,,,,,,,,,,,Private,,,,,,
Surge Technology Solutions,https://www.crunchbase.com/organization/surge-technology-solutions,"Artificial Intelligence (AI), Business Development, Software","Katy, Texas, United States","Surge Technology Solutions provides business consulting, artificial intelligence, and business process management solutions.","368,058","Greater Houston Area, Southern US",$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://surgetechinc.com,"Surge Technology Solutions provides business consulting, artificial intelligence, and business process management services to solve business problems. They provide software bots to mimic human behaviour without having to take breaks, repeat mundane tasks, or slow down business.","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",1,Prem Kumar Munna Swamy,51-100,,,,,,,,,,,,,Private,,,,,,
"Velocity Vue, Incorporated",https://www.crunchbase.com/organization/velocity-vue-incorporated,"Big Data, Information Technology, Mobile, SaaS, Software","Austin, Texas, United States",Providing state of the art in SaaS/PaaS tools for self-addressing needs in non-programmer mobile dev with granular data capture.,"368,061",Southern US,Less than $1M,Active,2017-01-26,day,,,,,For Profit,http://www.VelocityVue.com,"Velocity Vue Incorporated State of the art in SaaS/PaaS tools allowing businesses to self-address their needs in non- programmer development for the mobile arena with granular data capture.  Technology Stage Technology transfer from desktop to SaaS. Client ready MVP, feature rich with continuous development and feature enhancement roadmap.  Financial Stage Existing pipeline and client relationships.  $200k in seed obtained. $1.2M US Army grant. Current 12 month projected revenue - $2.6M Seeking $1,000,000 Use of Funds Staffing, development, marketing, and sales to profitability Leadership Team CEO / Founder Steve Kuntz COO / CTO / Founder Art Trevethan VP, Occupational Health & Safety John Svirbely, MD Summary Velocity Vue is in a unique position.  We have a sellable product and functional new MVP poised to address the corporate SaaS/PaaS market.  We have an existing commercial pipeline, and no debt or liabilities.  We have identified a problem that needs solving in a controlled market with massive potential.  Velocity Vue has the solution and expertise to solve this problem. Problem There is a niche within the safety and compliance market, where we have acquired expertise, and can deliver the required tool and generate revenue in 2017.  •	No software exists to address the safety compliance needs of contractors participating in Army Corps of Engineers projects.  Currently completed manually with high error rate. •	Safety and compliance users must be well trained in their efforts to be complaint while implementing many changing procedures and regulations. Updates must be distributed rapidly and efficiently while adherence is tracked.  •	508 ADA compliance is becoming more of a burden. •	Contractors are not paid if safety and compliance are not appropriately documented  •	Data generated from tasks must be collected and stored for analysis. •	App Fatigue from too many apps/icons on the device is causing less adherence. Solution Velocity Vue delivers an OS agnostic, mobile application development and delivery platform applying unique factors including; rapid development, repository distribution, ADA compliance, real time reporting, and an API architecture.  Laymen, within hours, are able to develop and deploy mobile apps, and gather data from usage. This process could take months in a traditional development and distribution environment. On this platform, Velocity Vue will deliver a specific solution for the needs of the construction safety market, including field users, contractor office, form production, and government backend.  These solutions will be sold as a SaaS low touch offering. Target Market Potential •	Focus on areas where safety and compliance are required or regulatory. •	Process application required for government construction safety compliance is desired by the Army Corps of Engineers. Represents $48M annual revenue. •	Civilian construction safety market represents opportunity of $1.3B Additional Opportunity The introduction of SaaS methodology will open the door to highly scalable Big Data and Internet of Things revenue opportunities. Velocity Vue addresses data, point solutions, and market needs.  “By 2018, more than half of all business-to-employee (B2E) mobile apps will be created by enterprise business analysts using codeless tools.” - Gartner Competitors Modo, Buzztouch, Form.com. Google, Xamarin & RSMeans. Code & wizard based mobile app development. Competitive Advantage Velocity Vue is starting with an innovative MVP, strong pipeline, loyal customers, and a planned mid-2017 next generation platform. A potential customer locked, niche market coupled with industry expertise provide Velocity Vue with immediate advantage.   Marketing Strategy We will address markets with industry expertise where the Velocity Vue products and services can generate scalable revenue and > 50% operating profit margins.  Exit Strategy The company believes acquisition is viable in 2-3 years, but is not object to exit via other means.","Data and Analytics, Information Technology, Mobile, Software",,,1-10,,,,,,,,,,,,,Private,,,,,,
Johnson Equipment Company,https://www.crunchbase.com/organization/johnson-equipment-company,"Computer, Consumer Goods, Manufacturing, Virtual Reality","Dallas, Texas, United States",Johnson Equipment Company is a consumer goods company that offers high-speed doors and loading dock equipment.,"368,063","Dallas/Fort Worth Metroplex, Southern US",$10M to $50M,Active,1959-01-01,day,,,,,For Profit,http://jequip.com,,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Software",1,Marvin L. Johnson,101-250,,,,,,,,,,,,,Private,,,,,,
Shifa Biomedical,https://www.crunchbase.com/organization/shifa-biomedical,"Biotechnology, Life Science, Pharmaceutical","Malvern, Pennsylvania, United States",Shifa Biomedical is a drug discovery company that develops drugs for the treatment of cardiovascular disease.,"368,063","Greater Philadelphia Area, Great Lakes, Northeastern US",$1M to $10M,Active,2006-01-01,year,,,,,For Profit,http://shifabiomedical.com,"Shifa Biomedical Corporation is a drug discovery company in Malvern Pennsylvania. It is a privately-held biopharmaceutical company dedicated to the cost-effective development of drugs for the treatment of cardiovascular disease. Incorporated in 2006, Shifa has recognized expertise for the discovery of small molecule drugs, including pharmaceutical experience guided by biochemical, cell-based, and virtual screening. Shifa scientists exploit molecular biology, biochemistry, crystallography and medicinal, computational, and combinatorial chemistry.  Shifa is led by a highly experienced team of scientists with extensive expertise in early-stage drug discovery.","Biotechnology, Health Care, Science and Engineering",1,Sherin Abdel-Meguid,1-10,1,Seed,,USD,,,USD,,Xontogeny,1,1,,Private,,,,,,
Workhorse,https://www.crunchbase.com/organization/workhorse,"Graphic Design, Web Design, Web Development","Washington, District of Columbia, United States","Workhorse is a full service design in Washington, D.C. that specializes in high-quality strategy, design and development.  ","368,065","Washington DC Metro Area, Southern US",$10M to $50M,Active,2014-01-01,year,,,,,For Profit,http://wrkhrs.co,,"Design, Software",1,Abe Garcia,11-50,,,,,,,,,,,,,Private,,,,,,
ALASKA HEART AND VASCULAR INSTITUTE,https://www.crunchbase.com/organization/alaska-heart-institute,"Diabetes, Health Care, Hospital","Anchorage, Alaska, United States",ALASKA HEART AND VASCULAR INSTITUTE is a hospital and health care cardiovascular care solutions.,"368,066",Western US,$10M to $50M,Active,,,,,,,For Profit,http://alaskaheart.com,"ALASKA HEART AND VASCULAR INSTITUTE provides clinical cardiology consultation, diagnostic cardiovascular testing, peripheral artery disease, and vein services, invasive and interventional cardiovascular testing, and therapy.",Health Care,,,251-500,,,,,,,,,,,,,Private,,,,,,
Corus International,https://www.crunchbase.com/organization/corus-international,"Banking, Non Profit, Public Safety","Washington, District of Columbia, United States",Corus International works on international development and humanitarianism.,"368,069","Washington DC Metro Area, Southern US",$10M to $50M,Active,2020-01-01,year,,,,,Non-profit,https://www.corusinternational.org,,"Financial Services, Government and Military, Lending and Investments, Other, Social Impact",,,501-1000,,,,,,,,,,,,,Private,,,,,,
Rich Solar,https://www.crunchbase.com/organization/rich-solar,"E-Commerce, Retail, Solar","Ontario, California, United States","Rich Solar is a seller of solar panels, controllers, inverters, batteries, and cabin kits.","368,069","Greater Los Angeles Area, Inland Empire, West Coast",,Active,2005-01-01,year,,,,,For Profit,https://richsolar.com,,"Commerce and Shopping, Energy, Natural Resources, Sustainability",,,51-100,,,,,,,,,,,,,Private,,,,,,
Invoice Maker,https://www.crunchbase.com/organization/invoice-maker,"Information Technology, Mobile Apps, Software","Tampa, Florida, United States","Invoice Maker provides a mobile app for small businesses to create, send, and manage invoices, estimates, and receipts.","368,071","Tampa Bay Area, East Coast, Southern US",,Active,2019-01-01,year,,,,,For Profit,https://invoicemaker.com,,"Apps, Information Technology, Mobile, Software",,,11-50,,,,,,,,,,,,,Private,,,,,,
The Jamar Company,https://www.crunchbase.com/organization/the-jamar-company,"Manufacturing, Real Estate","Green Bay, Wisconsin, United States","The Jamar Company is a specialty contractor experienced in industrial construction, plant maintenance, fabrication, and more.","368,073","Great Lakes, Midwestern US",$10M to $50M,Active,1913-01-01,year,,,,,For Profit,http://jamarcompany.com,,"Manufacturing, Real Estate",,,501-1000,,,,,,,,,,,,,Private,,,,,,
