Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Sigma Technology Systems,https://www.crunchbase.com/organization/sigma-technology-systems,"Audio, Broadcasting, Hardware, Video","Lancaster, Pennsylvania, United States","Sigma Technology Systems specializes in TV broadcast technology, routing systems, distribution amplifiers, and video converters.","1,552,003","Great Lakes, Northeastern US",$1M to $10M,Active,,,,,,,For Profit,http://sigmatechsys.com,,"Hardware, Media and Entertainment, Music and Audio, Video",,,11-50,,,,,,,,,,,,,Private,,,,,,
Tangonet Business Solutions,https://www.crunchbase.com/organization/tangonet-business-solutions,"Consulting, Information Technology, Project Management, Recruiting","Roswell, Georgia, United States",Tangonet Business Solutions is an IT consulting firm that recruits and manages technology teams for telecommunication and retail industries.,"1,552,006","Greater Atlanta Area, East Coast, Southern US",$1M to $10M,Active,2007-01-01,year,,,,,For Profit,https://tangonetsolutions.com/,,"Administrative Services, Information Technology, Other, Professional Services",1,Dennis Bruce,1-10,,,,,,,,,,,,,Private,,,,,,
Infinity Stamps,https://www.crunchbase.com/organization/infinity-stamps,"Industrial Manufacturing, Manufacturing","Canoga Park, California, United States","Infinity Stamps designs, produces and distributes metal stamps and other marking tools.","1,552,007","Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,1999-01-01,year,,,,,For Profit,https://www.infinitystamps.com,,Manufacturing,,,11-50,,,,,,,,,,,,,Private,,,,,,
BioPharma Manufacturing Solutions,https://www.crunchbase.com/organization/biopharma-manufacturing-solutions,"Biopharma, Biotechnology, Manufacturing","Seal Beach, California, United States","BioPharma Manufacturing Solutions offers technology transfer and scale-up, project management, process design, value engineering, and more.","1,552,011","Greater Los Angeles Area, West Coast, Western US",,Closed,2011-01-01,year,,,2020-01-01,year,For Profit,,"BioPharma Manufacturing Solutions, Inc., a development stage company, engages in the provision of technology transfer and scale-up, project management, process design, value engineering, process automation, and process validation consulting services to biotechnology and pharmaceutical manufacturers in the life sciences industry. It assists its clients in various phases of biopharmaceutical project lifecycle from concept, risk assessment, and design through installation, validation, and Food and Drug Administration approval. The company was formerly known as Beachwood Acquisition Corporation and changed its name to BioPharma Manufacturing Solutions, Inc. in August 2011. BioPharma Manufacturing Solutions, Inc. was founded in 2011 and is based in Seal Beach, California.","Biotechnology, Health Care, Manufacturing, Science and Engineering",,,,1,Seed,400700,USD,400700,400700,USD,400700,,,,,Private,,,,,,
Tower Executive Suites,https://www.crunchbase.com/organization/tower-executive-suites,"Commercial, IT Management, Real Estate, Rental Property, Small and Medium Businesses","Sugar Land, Texas, United States","Tower Executive Suites provides shared workspace, rental conference room, and business services.","1,552,012","Greater Houston Area, Southern US",Less than $1M,Active,2008-01-01,year,,,,,For Profit,https://towerexecsuites.com,"Tower Executive Suites delivers business services, a private work environment, and flexible pricing. They are ready to provide a variety of renting options, including full-time, temporary, and virtual office plans. In their conference rooms, they provide information technology, support staff, and audio-visual equipment. Telecommunication and IT services, IT maintenance, upgrades, and support, open bandwidth internet T1, network design and implementation, connectivity in minutes, commercial support services, word processing, secretarial services, and concierge services are just a few of their business offerings.","Information Technology, Other, Real Estate",,,1-10,,,,,,,,,,,,,Private,,,,,,
Zaksons,https://www.crunchbase.com/organization/zaksons,"Customer Service, Delivery Service, Furniture, Interior Design","Brick, New Jersey, United States",Zaksons is a furniture and interior design showroom.,"1,552,012","Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,,,,,,,For Profit,http://www.zaksons.com,"Zaksons provides custom rug selection, decorative accessories, art selection, flooring selection, furniture selection, lighting selection, and space planning services. They provide top-of-bed selection, wall covering consultation, paint consultation, and window treatment design services.","Consumer Goods, Design, Other, Professional Services, Real Estate, Transportation",,,11-50,,,,,,,,,,,,,Private,,,,,,
5 Star Solar,https://www.crunchbase.com/organization/5-star-solar,"Construction, Renewable Energy, Solar","Three Rivers, Texas, United States",5 Star Solar provides solar panel installation services for residential and commercial sectors.,"1,552,013",Southern US,,Active,,,,,,,For Profit,https://5-starsolar.com,"5 Star Solar provides solar panel construction services. They provide solar panel installation services for rooftops, carports, residential, and commercial sectors. They address inquiries through phone calls and emails.","Energy, Natural Resources, Real Estate, Sustainability",,,1-10,,,,,,,,,,,,,Private,,,,,,
Sierra Nevada Investment Group,https://www.crunchbase.com/organization/sierra-nevada-investment-group,"Property Management, Real Estate, Real Estate Investment","Los Angeles, California, United States",Sierra Nevada Investment Group focuses on the acquisition of industrial and warehouse properties along with property management services.,"1,552,017","Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,1998-01-01,year,,,,,For Profit,https://www.snigllc.com/,,"Financial Services, Real Estate",,,1-10,,,,,,,,,,,,,Private,,,,,,
Quackenbush Co,https://www.crunchbase.com/organization/quackenbush-co,"Construction, Heating, Ventilation, and Air Conditioning (HVAC), Mechanical Engineering","Buffalo, New York, United States",Quackenbush Co Inc is a general mechanical contractor offering construction and upgrade services for HVAC systems and production plants.,"1,552,020","Great Lakes, East Coast, Northeastern US",$10M to $50M,Active,1932-01-01,year,,,,,For Profit,https://www.qcoinc.com,,"Real Estate, Science and Engineering",,,11-50,,,,,,,,,,,,,Private,,,,,,
Equity Insurance Agency,https://www.crunchbase.com/organization/equity-insurance-agency,"Auto Insurance, Life Insurance, Property Insurance","Lombard, Illinois, United States","Equity Insurance Agency provides auto insurance, workers compensation, property damage protection, and recreational vehicle insurance.","1,552,024","Greater Chicago Area, Great Lakes, Midwestern US",Less than $1M,Active,1988-01-01,year,,,,,For Profit,https://equityinsurance.net/,,Financial Services,,,1-10,,,,,,,,,,,,,Private,,,,,,
Ledgeview Commercial Partners,https://www.crunchbase.com/organization/ledgeview-commercial-partners,"Commercial, Property Management, Real Estate, Residential","Manchester, New Hampshire, United States",Ledgeview Commercial Partners is a real estate and property management company.,"1,552,026","East Coast, New England, Northeastern US",$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://www.ledgeviewcommercial.com,"Ledgeview Commercial Partners provides real estate residential services, including purchases, investment, and industrial leasing. They offer property management and service and maintain their property by investing in property technology solutions. They provide property accounting and management programs and help maintain their properties.","Other, Real Estate",,,11-50,,,,,,,,,,,,,Private,,,,,,
Seretti Dental Lab,https://www.crunchbase.com/organization/seretti-dental-lab,"3D Printing, 3D Technology, Dental","Austin, Texas, United States","Seretti Dental Lab is a medical laboratory that specializes in providing 3D printing, scanning, and milling instrument services.","1,552,026",Southern US,$1M to $10M,Active,,,,,,,For Profit,https://serettidentallab.com,,"Hardware, Health Care, Manufacturing, Software",,,1-10,,,,,,,,,,,,,Private,,,,,,
Columbia Recycling,https://www.crunchbase.com/organization/columbia-recycling,"Manufacturing, Plastics and Rubber Manufacturing, Recycling","Dalton, Georgia, United States","Columbia Recycling is a manufacturer and recycler of plastic, textile, and post-consumer carpet waste streams.","1,552,027","East Coast, Southern US",$10M to $50M,Active,,,,,,,For Profit,https://columbiarecyclingcorp.org,"Columbia Recycling specializes in synthetic fibre extrusion and pelletization. They  recycles plastic, textile, and post consumer carpet waste streams. Their extrude pure synthetic threads such as nylon and polypropylene in this department.","Manufacturing, Sustainability",,,501-1000,,,,,,,,,,,,,Private,,,,,,
Atlantic195,https://www.crunchbase.com/organization/atlantic195,"Broadcasting, Media and Entertainment, Music, News","New York, New York, United States",Atlantic195 is a broadcasting media production company that provides news and music programs.,"1,552,028","Greater New York Area, East Coast, Northeastern US",,Active,2021-01-01,year,,,,,For Profit,https://atlantic195.com,,"Content and Publishing, Media and Entertainment, Music and Audio, Video",,,11-50,,,,,,,,,,,,,Private,,,,,,
Wonder Dog Management,https://www.crunchbase.com/organization/wonder-dog-management,"Marketing, Property Management, Real Estate","Palm Springs, California, United States","Wonder Dog Management is a property management firm that provides management, maintenance, and marketing services for rental properties.","1,552,031","Greater Los Angeles Area, Inland Empire, West Coast",,Active,2016-01-01,year,,,,,For Profit,https://www.wonderdogmanagement.com,,"Real Estate, Sales and Marketing",,,51-100,,,,,,,,,,,,,Private,,,,,,
Sharable,https://www.crunchbase.com/organization/sharable,"Health Care, Information Services, Information Technology","Melbourne, Florida, United States",Sharing as a Service is a fully integrated platform for developing healthcare sharing programs based on Peer-to-Peer (P2P) sharing.,"1,552,034","East Coast, Southern US",,Active,2017-01-01,year,,,,,For Profit,https://sharable.life/,Sharing as a Service is a fully integrated platform for developing healthcare sharing programs based on Peer-to-Peer (P2P) sharing. Health care sharing offers an innovative alternative to health insurance for Americans seeking care. The Sharable vision is to see health care sharing replace insurance as the most effective and human way to finance medical bills. Sharable is by a passion for service and seeks to use technology to help health care sharing organizations disrupt the cold and profit-driven healthcare funding model by offering a health insurance alternative.,"Health Care, Information Technology",,,1-10,,,,,,,,,,,,,Private,,,,,,
JLC Web,https://www.crunchbase.com/organization/jlc-web,"Consulting, Web Design, Web Hosting","Macon, Georgia, United States",JLC Web offers a strategic direction in exhibiting a complete range of web designing and development services to its diverse clientele.,"1,552,037","East Coast, Southern US",Less than $1M,Active,1999-01-01,year,,,,,For Profit,http://www.jlcweb.com,,"Design, Internet Services, Professional Services",,,1-10,,,,,,,,,,,,,Private,,,,,,
Dan's Tech Support LLC,https://www.crunchbase.com/organization/dan-s-tech-support,"Cloud Computing, Computer, Network Hardware, Web Design, Web Hosting","Egg Harbor Township, New Jersey, United States","Dan's Tech Support provides computer services for small business, enterprises, and residential customers.","1,552,040","East Coast, Northeastern US",,Active,2011-11-01,month,,,,,For Profit,https://danstechsupport.com,"Dan's Tech Support LLC is a locally owned and operated company that specializes in IT support for both residential and business customers. Some of the services we provide are computer repairs, networking support, and data recovery. We pride ourselves on our excellent customer service and the satisfaction of our clients. Our comprehensive range of solutions protect and maintain your home or office, including virus and malware removals, and managed services for businesses! Since we specialize in business support, we understand not all of our clients are tech-savvy. Our technicians can assess your company's current technology infrastructure and provide proposals of new hardware, software, and networking equipment to maximize your investment.","Consumer Electronics, Design, Hardware, Internet Services, Software",1,Daniel Anner,1-10,,,,,,,,,,,,,Private,,,,,,
Feministing,https://www.crunchbase.com/organization/feministing,"Association, Blogging Platforms","Saint Paul, Minnesota, United States",Feministing is an online community that offers feminist analysis of various aspects from pop culture to politics.,"1,552,041","Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",$1M to $10M,Active,2012-11-07,day,,,,,For Profit,http://feministing.com/,"Feministing is an online community run by and for young feminists. It offers feminist analysis of various aspects from pop culture to politics. It also allows its members to connect with feminist organizations and grassroots activists. The community’s diverse collective of writers cover a broad range of intersectional feminist issues such campus sexual violence, transgender rights, and reproductive justice. It aims to elevate the work of emerging feminist thinkers by providing an open-platform community where anyone, from teens to national non-profit organizations can make their voices heard. Feministing was launched on November 7, 2012.","Content and Publishing, Media and Entertainment, Other",,,1-10,,,,,,,,,,,,,Private,,,,,,
United in Gaming,https://www.crunchbase.com/organization/united-in-gaming,"Advertising, Digital Entertainment, Gaming, Marketing, Online Games, Social Media, Video Games","Atlanta, Georgia, United States","United in Gaming is a esports and gaming platform for gamers of all levels and experience, subscription based and freemium model.","1,552,042","Greater Atlanta Area, East Coast, Southern US",,Active,2020-04-01,month,,,,,For Profit,https://www.unitedingaming.com,"Founded in 2020, United in Gaming through their platform, gather.gg, an esports and casual gaming platform is poised to turn the world of gaming upside down. Gather Gaming has successfully targeted the casual gaming community, which represents over 1.4 billion underserved participants. Gaming overall enjoys a 2.5-billion-person ecosystem of sponsors, advertisers, and players. And UIG matches or exceeds high-level functionality for elite and pro gamers to attract the top-tier, it is also uniquely focused on revolutionizing the gaming industry by offering content creators the ability to generate new sources of revenue through casual gameplay. UIG attracts the broader casual audience through diversification of games (including games like Chess, Scattergories, Minecraft, Call of Duty, PUBG) and social connectivity. This broad player group from Boomers to the Alpha Generation, in turn, attracts untapped advertising and sponsorship dollars that drive exponential growth. The UIG model has organically attracted thousands of subscribers through its unadvertised Beta trials in just its first three months. Furthermore, UIG inked its first White Label Enterprise sponsorship with the Georgia Economic Development Committee in June. These initial results validate UIG’s focus on multi-revenue streams to continue to grow their B2B and B2C subscribers, including tournament fees, subscription models, advertising/sponsorship, and white label partnership fees.","Advertising, Gaming, Internet Services, Media and Entertainment, Sales and Marketing",2,"Andrew Smoltz, Taylor McDermott",1-10,,,,,,,,,,,,,Private,,,,,,
OrangeYouGlad,https://www.crunchbase.com/organization/orangeyouglad,"Advertising, Creative Agency, Graphic Design, Social Media Management, UX Design, Web Design","Brooklyn, New York, United States",OrangeYouGlad is a creative agency.,"1,552,043","Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,2002-01-01,year,,,,,For Profit,https://www.orangeyouglad.com,"OrangeYouGlad provides branding, UX design, web design, print design, social media strategy, and management.","Advertising, Content and Publishing, Design, Internet Services, Media and Entertainment, Sales and Marketing",,,1-10,,,,,,,,,,,,,Private,,,,,,
Worthington Mortgage,https://www.crunchbase.com/organization/worthington-mortgage,"Banking, Finance, Financial Services, Mortgage","Huntsville, Alabama, United States",Worthington Mortgage is a mortgage banker.,"1,552,049",Southern US,$1M to $10M,Active,1997-01-01,year,,,,,For Profit,https://www.worthingtonmortgage.com,"Worthington Mortgage provides mortgage banking services. They also provide home refinance, home purchase, reverse mortgage, vacation homes, and VA loans.","Financial Services, Lending and Investments, Real Estate",,,11-50,,,,,,,,,,,,,Private,,,,,,
Imperial Utilities & Sustainability,https://www.crunchbase.com/organization/imperial-utilities-sustainability,"Energy Management, Facilities Support Services, Technical Support","Bellaire, Texas, United States",Imperial Utilities & Sustainability is a utility and energy management services firm.,"1,552,050","Greater Houston Area, Southern US",$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://www.imperialsustainability.com,"Imperial Utilities & Sustainability provides monthly utility tracking, electricity and gas procurement, project - cost-benefit analysis, rebate analysis and procurement, retro-commissioning, demand response and load management, water evaporation credit assessment and tracking, utility sales tax analysis and recovery, power factor analysis and correction, and energy star and leed services.","Administrative Services, Energy, Information Technology, Other",1,Paul Brokhin,11-50,,,,,,,,,,,,,Private,,,,,,
Decipher Media,https://www.crunchbase.com/organization/decipher-media,"Apps, Information Technology, iOS, Mobile, Software","San Francisco, California, United States",Software development supporting iPhone user needs,"1,552,051","San Francisco Bay Area, West Coast, Western US",,Active,2010-09-01,day,,,,,For Profit,https://deciphertools.com,,"Apps, Information Technology, Mobile, Platforms, Software",,,1-10,,,,,,,,,,,,,Private,,,,,,
Resource Brokerage,https://www.crunchbase.com/organization/resource-brokerage,Insurance,"Schaumburg, Illinois, United States",Resource Brokerage delivers brokerage products & services at competitive prices while also providing superior service to brokers.,"1,552,052","Greater Chicago Area, Great Lakes, Midwestern US",$1M to $10M,Active,2001-01-01,year,,,,,For Profit,https://www.resourcebrokerage.com,,Financial Services,,,11-50,,,,,,,,,,,,,Private,,,,,,
