Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Ramteq,https://www.crunchbase.com/organization/ramteq,"Industrial, Machinery Manufacturing, Manufacturing, Shipping","Houston, Texas, United States",Ramteq is a manufacturer of engineered pressure washers.,"1,774,002","Greater Houston Area, Southern US",$1M to $10M,Active,1997-01-01,year,,,,,For Profit,http://ramteq.com,"Ramteq is a pressure washer manufacturer. At their factory, all pressure washers are developed, built, and tested. They create pressure washers using cutting-edge technology, components, and construction. They manufacture sewer jetters and hot water pressure washers.","Manufacturing, Transportation",,,11-50,,,,,,,,,,,,,Private,,,,,,
Seachaid Pharmaceuticals,https://www.crunchbase.com/organization/seachaid-pharmaceuticals,"Biotechnology, Health Care","Durham, North Carolina, United States",Seachaid Pharmaceuticals is a clinical stage company,"1,774,003","Research Triangle, East Coast, Southern US",,Active,2007-01-01,year,,,,,For Profit,http://www.seachaid.com/,"Seachaid Pharmaceuticals is a clinical stage company committed to the discovery and development of new therapeutics to treat human diseases.Ther chief aim is to produce step down therapies that will enable patients to leave the hospital earlier and complete their medicinal regimens in the comfort and convenience of their own homes. They start with approved drugs that have known efficacy and low toxicity, yet have some limitation that prevents broader utilization, such as an inconvenient dosing regimen or delivery only by injection or infusion. Through application of our expertise in medicinal chemistry and formulation science,","Biotechnology, Health Care, Science and Engineering",,,,,,,,,,,,,,,,Private,,,,,,
Optical 2000,https://www.crunchbase.com/organization/optical-2000,"Eyewear, Health Care, Optical Communication","Clinton, Mississippi, United States","Optical 2000 provides eye care services as well as a wide selection of fashionable eyewear, and contacts, depending on personal preference.","1,774,009",Southern US,,Active,2004-01-01,year,,,,,For Profit,http://www.optical-2000.com/,,"Consumer Goods, Hardware, Health Care",,,1-10,,,,,,,,,,,,,Private,,,,,,
ThoughtCodes,https://www.crunchbase.com/organization/thoughtcodes,"Consulting, Information Technology, Software","Alexandria, Virginia, United States","ThoughtCodes is a global software and VAS solution provider and systems integrator, delivering next-generation technology solutions.","1,774,009","Washington DC Metro Area, East Coast, Southern US",$1M to $10M,Active,,,,,,,For Profit,https://www.thoughtcodes.com,,"Information Technology, Professional Services, Software",,,11-50,,,,,,,,,,,,,Private,,,,,,
Learnshare,https://www.crunchbase.com/organization/learnshare-53e3,,"New York, New York, United States",Ed-tech,"1,774,013","Greater New York Area, East Coast, Northeastern US",,Active,2020-11-16,day,,,,,For Profit,https://learnshare.co,,,,,1-10,,,,,,,,,,,,,Private,,,,,,
Webster Szanyi,https://www.crunchbase.com/organization/webster-szanyi,"Consulting, Law Enforcement, Legal","Buffalo, New York, United States","Webster Szanyi is a law firm that specializes in environmental and employment law, education, construction, and commercial disputes.","1,774,018","Great Lakes, East Coast, Northeastern US",$1M to $10M,Active,1999-01-01,year,,,,,For Profit,https://www.websterszanyi.com,,"Government and Military, Privacy and Security, Professional Services",,,11-50,,,,,,,,,,,,,Private,,,,,,
"Kristen R Pinette, CPA",https://www.crunchbase.com/organization/kristen-r-pinette-cpa,"Accounting, Consulting, Finance, Financial Services, Tax Preparation","Mankato, Minnesota, United States","Kristen R Pinette, CPA provides accounting, retirement planning, business consultation, financial analysis and tax preparation services.","1,774,019","Great Lakes, Midwestern US",Less than $1M,Active,,,,,,,For Profit,https://mankatocpa.com,,"Financial Services, Professional Services",,,1-10,,,,,,,,,,,,,Private,,,,,,
Trish Groves Agency,https://www.crunchbase.com/organization/trish-groves-agency,"Advertising, Creative Agency, Marketing","Memphis, Tennessee, United States","Trish Groves Agency is a marketing firm that offers customized strategies, creative, advertising, and digital services.","1,774,019",Southern US,,Active,2013-01-01,year,,,,,For Profit,http://www.grovesagency.com,,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing",,,11-50,,,,,,,,,,,,,Private,,,,,,
MegaVega Properties,https://www.crunchbase.com/organization/megavega-properties,"Property Management, Real Estate, Residential","Lahaina, Hawaii, United States","MegaVega Properties provides property management, buying, selling, renting, and evaluation services.","1,774,020","Asia-Pacific (APAC), Western US",$1M to $10M,Active,,,,,,,For Profit,http://www.megavegamaui.com,,Real Estate,,,11-50,,,,,,,,,,,,,Private,,,,,,
Bevill Vineyard Management,https://www.crunchbase.com/organization/bevill-vineyard-management,"Agriculture, Farming, Professional Services","Sonoma, California, United States",Bevill Vineyard Management is an agricultural farming company.,"1,774,023","San Francisco Bay Area, West Coast, Western US",,Active,,,,,,,For Profit,https://www.bevillvineyard.com,,"Agriculture and Farming, Other",1,Duff Bevill,,,,,,,,,,,,,,Private,,,,,,
Heritage House Realty,https://www.crunchbase.com/organization/heritage-house-realty,"Real Estate, Rental, Residential","Kirksville, Missouri, United States","Heritage House Realty is a real estate agency that assists with buying, selling, and renting residential properties.","1,774,030",Midwestern US,$1M to $10M,Active,,,,,,,For Profit,https://www.kirksvillerealestate.com,"Heritage House Realty is a professional real estate broker and agent who will help make their search for a new home. They are focused on providing them with the best results and service in the industry. They listen carefully to understand their real estate goals and work hard to create solutions that make sense for them. They have the expertise, proven track record, and resources to help them achieve their real estate goals.","Commerce and Shopping, Real Estate",1,Mike LaBeth,11-50,,,,,,,,,,,,,Private,,,,,,
Salon Aura,https://www.crunchbase.com/organization/salon-aura,"Beauty, Cosmetics, Professional Services, Wellness","Appleton, Wisconsin, United States","Salon Aura offers beauty care, grooming, makeup and spa services for hair, body, skin, nails and lashes.","1,774,033","Great Lakes, Midwestern US",Less than $1M,Active,1997-01-01,year,,,,,For Profit,https://salonaura.com/,,"Consumer Goods, Health Care, Other",,,51-100,,,,,,,,,,,,,Private,,,,,,
Elly,https://www.crunchbase.com/organization/elly,"Content, Internet, Music, Social Media","Walnut Creek, California, United States","Elly is a platform for creating 1 sec clips, combining them into compilations and sharing.","1,774,036","San Francisco Bay Area, West Coast, Western US",Less than $1M,Active,2014-03-01,day,,,,,For Profit,http://www.elly.io,What is Elly:  - Social network based on 1 second clips  - Mobile apps for recording videos  - Hashtags system for organizing videos  - Easy to create clips compilations  - Innovative feed as a stream of videos,"Internet Services, Media and Entertainment, Music and Audio",3,"Adam Cellary, Doman Gaul, Henrique Bilbao",1-10,,,,,,,,,,,,,Private,,,,,,
Malouf Foundation,https://www.crunchbase.com/organization/malouf-foundation,"Communities, Non Profit, Social","Logan, Utah, United States","Malouf Foundation is a non-profit organization for child sexual exploitation, specifically sex trafficking and online abuse.","1,774,040",Western US,$10M to $50M,Active,2003-01-01,year,,,,,Non-profit,https://www.malouffoundation.org,,"Community and Lifestyle, Other, Social Impact",2,"Kacie Malouf, Sam Malouf",501-1000,,,,,,,,,,,,,Private,,,,,,
National Advanced Driving Simulator,https://www.crunchbase.com/organization/national-advanced-driving-simulator,"Education, Mechanical Engineering, Transportation","Iowa City, Iowa, United States",National Advanced Driving Simulator is a transportation safety research center.,"1,774,041",Midwestern US,,Active,1847-01-01,year,,,,,For Profit,https://nads.uiowa.edu,"National Advanced Driving Simulator provides services for connected and automated vehicles, human factors research, drugged driving research, and simulation science. They improve road safety by researching the connection between humans and vehicles, using simulators and on-road vehicles.","Education, Science and Engineering, Transportation",,,11-50,,,,,,,,,,,,,Private,,,,,,
The Meadows Texas,https://www.crunchbase.com/organization/the-meadows-texas,"Addiction Treatment, Health Care, Rehabilitation, Therapeutics","Princeton, Texas, United States","The Meadows Texas provides treatment for drugs, alcohol, and co-occurring disorders.","1,774,044","Dallas/Fort Worth Metroplex, Southern US",$1M to $10M,Active,,,,,,,For Profit,https://themeadowstexas.com,"The Meadows Texas offers alcohol rehab, drug rehab, detox, and outpatient treatment. They treat anxiety, bipolar disorder, depression, trauma, and post-traumatic stress disorder. Their program mixes therapy and psychoeducation with activities like fishing, equine therapy, disc golf, and yoga.",Health Care,,,11-50,,,,,,,,,,,,,Private,,,,,,
OpenProcessing,https://www.crunchbase.com/organization/openprocessing,"Collaboration, Communities","New York, New York, United States",OpenProcessing is an online community platform.,"1,774,050","Greater New York Area, East Coast, Northeastern US",,Active,2008-01-01,day,,,,,For Profit,https://www.openprocessing.org/,,"Community and Lifestyle, Other",,,,,,,,,,,,,,,,Private,,,,,,
Equal Entertainment,https://www.crunchbase.com/organization/equal-entertainment,"Film, Music, TV","Los Angeles, California, United States",Equal Entertainment is an independent and diverse production company with a view towards developing productions.,"1,774,051","Greater Los Angeles Area, West Coast, Western US",,Active,2010-01-01,year,,,,,For Profit,https://www.equalentertainment.com,Equal Entertainment is an independent and diverse production company with a view towards developing productions.,"Media and Entertainment, Music and Audio, Video",,,1-10,,,,,,,,,,,,1,Private,,,,,,
