Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
H&S Bros LLC,https://www.crunchbase.com/organization/h-s-bros-llc,,"Walnut, California, United States",Custoarmor.com is a group of car collectors who turned our hobby of adoring.,"1,734,003","Greater Los Angeles Area, West Coast, Western US",,Active,,,,,,,For Profit,https://custoarmor.com/,Custoarmor.com is a group of car collectors who turned our hobby of adoring excellence and delicate things into making a product that no one can ignore its presence.,,,,,,,,,,,,,,,,,Private,,,,,,
Haase and Long,https://www.crunchbase.com/organization/haase-and-long,"Billing, Health Care, Hospital, Medical, Payments","Lawrence, Kansas, United States","Haase and Long offer medical assistance programs, patient account resolution and traditional recovery services to the health care industry.","1,734,003",Midwestern US,Less than $1M,Active,1945-01-01,year,,,,,For Profit,https://www.haaseandlong.com,,"Financial Services, Health Care, Payments, Software",,,101-250,,,,,,,,,,,,,Private,,,,,,
Flood Communications,https://www.crunchbase.com/organization/flood-communications,"Digital Marketing, Media and Entertainment, Social Media, Web Design","Norfolk, Nebraska, United States","Flood Communications is a local media and marketing company that provides radio, web design, and social media services.","1,734,008",Midwestern US,,Active,2000-01-01,year,,,,,For Profit,https://floodcomm.com,"Flood Communications offers a service are really essential to their community is also a part for us. They partake in and promote substantial events that have an impact on their audience in addition to reporting on news stories. Communities in can rely on us to provide a hand because they maintain an open society that is defined by commitment, whether it be by supporting the or raising funds for the or the hope food drive. Their aim is to be the go-to workplace in each of these regions with its professional environment. The workplace at water media is one that makes people feel more like relatives than employees.","Design, Internet Services, Media and Entertainment, Sales and Marketing",,,51-100,,,,,,,,,,,,,Private,,,,,,
Boxpostale,https://www.crunchbase.com/organization/boxpostale,,"Walnut, California, United States",Lorem ipsum dolor sit amet,"1,734,009","Greater Los Angeles Area, West Coast, Western US",,Active,,,,,,,For Profit,https://appadvice.com/app/boxpostale/1210789058,,,,,,,,,,,,,,,,,,Private,,,,,,
Navista,https://www.crunchbase.com/organization/navista-d4f6,"Association, B2B, Collaboration, Public Relations","Washington, District of Columbia, United States",Navista is a public affairs firm that specializes in offering organization management and strategic counseling services.,"1,734,011","Washington DC Metro Area, Southern US",,Active,,,,,,,For Profit,https://www.navista.net,"As a public affairs firm, Navista offers services in strategic consulting and organization management. The company mainly caters to industry and professional associations, coalitions, and corporate clients. The company's scope of services includes coalition and collaboration development and management; communication and public relations; and strategic facilitation services.","Other, Sales and Marketing",,,,,,,,,,,,,,,,Private,,,,,,
Triflow concept,https://www.crunchbase.com/organization/triflow-concept,"E-Commerce Platforms, Manufacturing, Mobile Apps, Product Design, Sales","West Palm Beach, Florida, United States",Triflow concept provides water filter system.,"1,734,012","Greater Miami Area, East Coast, Southern US",$1M to $10M,Active,1978-01-01,year,,,,,For Profit,https://triflowconcepts.com,"Triflow concept is antibacterial water at your fingertips with the Triflow O3 range. Triflow Quadro 4in1 gives quick boiling water, appropriate for a coffee or tea cup, to every user. All of our Original Systems filter normal tap water, ensuring that your drinking water tastes great.","Apps, Commerce and Shopping, Design, Internet Services, Manufacturing, Mobile, Sales and Marketing, Software",,,11-50,,,,,,,,,,,,,Private,,,,,,
Dreamtime Healings,https://www.crunchbase.com/organization/dreamtime-healings,"Alternative Medicine, Health Care, Personal Health, Psychology, Rehabilitation, Wellness","Boulder, Colorado, United States","Dreamtime Healings addresses issues in relationship, career, family, health, and life purpose to bring healing, and personal transformation.","1,734,013","Greater Denver Area, Western US",Less than $1M,Active,2014-01-01,year,,,,,For Profit,http://dreamtimehealings.com/,,Health Care,1,Helen Knight,51-100,,,,,,,,,,,,,Private,,,,,,
ContentPair,https://www.crunchbase.com/organization/contentpair,"Brand Marketing, Content, Content Creators, Content Marketing, Content Syndication, Marketing, Marketplace","Boston, Massachusetts, United States",Marketplace,"1,734,015","Greater Boston Area, East Coast, New England",,Closed,2018-01-01,day,,,,none,For Profit,https://contentpair.com/,It's unrealistic to expect that your content marketing team will be experts on every subject they write about. It's also impractical to always produce credible content when your team has limited bandwidth. That's why ContentPair exists: our mission is to connect your business with subject matter experts who can share their knowledge and help create the thought leading marketing content that your team wants. Simply post your content project to our marketplace and let the experts come to you.,"Commerce and Shopping, Content and Publishing, Media and Entertainment, Sales and Marketing",2,"Robert Calise, Todd Stewart",1-10,,,,,,,,,,,,,Private,,,,,,
Sew Trendy Fashion & Accessories,https://www.crunchbase.com/organization/sew-trendy-fashion-accessories,Photography,"Bluff Dale, Texas, United States","Sew Trendy Fashion and Accessories specializes in handmade maternity gowns, girls dresses, flower crowns, and newborn photography props.","1,734,018",Southern US,,Active,2012-01-01,year,,,,,For Profit,https://www.sewtrendyaccessories.com/,"Sew Trendy Fashion and Accessories specializes in handmade maternity gowns, girls' dresses, flower crowns, and newborn photography props. As seen on the Today Show, Huffington Post, Popsugar, Cosmopolitan, and more. We look forward to working with you to create a one-of-a-kind experience for your clients. Stop by our booth to pick up your favorite gowns, props.","Content and Publishing, Media and Entertainment",,,,,,,,,,,,,,,,Private,,,,,,
"Vincent Paolone, M.D.",https://www.crunchbase.com/organization/vincent-paolone-m-d,"Health Care, Medical, Therapeutics","Boardman, Ohio, United States","Vincent Paolone, M.D. provides psychotherapy with a cognitive-behavioral approach.","1,734,020","Great Lakes, Midwestern US",,Active,,,,,,,For Profit,https://www.boardmanpsychiatrist.com,"Vincent Paolone, M.D. treats adolescents aged 13 and older, adults, and geriatric patients with a variety of mental health diagnoses. An online inquiry form is available on the company's website.",Health Care,,,1-10,,,,,,,,,,,,,Private,,,,,,
