Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Saratoga Ridge,https://www.crunchbase.com/organization/saratoga-ridge,"Communities, Real Estate, Residential","Phoenix, Arizona, United States",Saratoga Ridge provides community living residentiail apartments.,"3,058,003","Greater Phoenix Area, Western US",,Active,1991-01-01,year,,,,,For Profit,https://www.saratogaridgeapts.com,"Saratoga Ridge provides residential apartments. The apartments include off-leash pet parks, heated resort style pools, covered parking, community fire pit, covered children's play area, internet café with free wifi, monthly resident events, non-smoking community, on-site management, pool table, splash pad, picnic areas with barbecues, 24-hour emergency maintenance service, clubhouse, courtesy patrol service, fitness facility, gated access, on-site maintenance, on-site marketplace with package holding service, and soccer field.","Community and Lifestyle, Real Estate",,,,,,,,,,,,,,,,Private,,,,,,
Saric Consulting,https://www.crunchbase.com/organization/saric-consulting,"Consulting, Health Care, Management Consulting","Belleville, Illinois, United States",Saric Consulting provides medicaid process for nursing homes and supportive living facilities.,"3,058,004","Great Lakes, Midwestern US",$1M to $10M,Active,,,,,,,For Profit,https://www.saricconsulting.com,Saric Consulting guides loved ones through this detailed process. They can review specific cases and identify available resources potentially available to the situation.  If you want would contact them please contact them via phone call or email.,"Health Care, Professional Services",1,Sara Saric,1-10,,,,,,,,,,,,,Private,,,,,,
Team Bohannon,https://www.crunchbase.com/organization/team-bohannon,"Professional Services, Property Development, Real Estate","Wesley Chapel, Florida, United States",Team Bohannon is a real estate agency that provides real estate buying and selling services.,"3,058,007","Tampa Bay Area, East Coast, Southern US",Less than $1M,Active,1995-01-01,year,,,,,For Profit,https://www.teambohannon.com/,,"Other, Real Estate",,,11-50,,,,,,,,,,,,,Private,,,,,,
Lifelike Adult Dolls,https://www.crunchbase.com/organization/lifelike-adult-dolls,,"San Marcos, California, United States",There are very many important features that these adult dolls come with.,"3,058,008","Greater San Diego Area, West Coast, Western US",,Active,1990-09-09,day,,,,,For Profit,http://www.lifelikeadultdolls.com/,,,,,,,,,,,,,,,,,,Private,,,,,,
Konacom,https://www.crunchbase.com/organization/konacom,"Software, Telecommunications","Palo Alto, California, United States",Developer of cloud-based software platform,"3,058,009","San Francisco Bay Area, Silicon Valley, West Coast",,Closed,2016-01-01,year,,,,none,For Profit,http://www.konacom.com,"Developer of cloud-based software platform intended to deliver low-cost wireless broadband service to geographies without traditional infrastructure. The company's platform offers a revolutionary new software-based technology, enabling clients to avail high-speed internet at much cheaper rates particularly suited to geographies currently restricted by existing infrastructure and technology.","Hardware, Software",,,11-50,,,,,,,,,,,,,Private,,,,,,
"Bantasy, Inc",https://www.crunchbase.com/organization/bantasy-inc,"Apps, Gaming, iOS, Mobile Apps, Sports","Miami, Florida, United States",Fantasy sports game 100% legal - Download the free app on the Apple App Store or Google Play,"3,058,010","Greater Miami Area, East Coast, Southern US",Less than $1M,Active,2015-05-15,day,,,,,For Profit,http://www.bantasy.com,,"Apps, Gaming, Mobile, Platforms, Software, Sports",,,1-10,,,,,,,,,,,,,Private,,,,,,
Keene Promotions,https://www.crunchbase.com/organization/keene-promotions,Advertising,"Newton, Massachusetts, United States",Keene Promotions operates as a provider of customizable promotional products.,"3,058,012","Greater Boston Area, East Coast, New England",,Active,,,,,,,For Profit,http://www.keenepromostore.com,,"Advertising, Sales and Marketing",,,,,,,,,,,,,,,,Private,,,,,,
Netflix Reviews,https://www.crunchbase.com/organization/netflix-reviews,"Consumer Reviews, Search Engine","Chicago, Illinois, United States",Review engine for Netflix shows and movies,"3,058,015","Greater Chicago Area, Great Lakes, Midwestern US",,Closed,2017-08-01,month,,,,none,For Profit,https://netflixreviews.net/,"Netflixreviews.net is the first and most comprehensive consumer opinion site for Netflix titles. We provide a platform where people can rate and review shows and movies and anything about them. It is your voice – satisfied or not! Don't forget to save your favorite movies and shows!  You can also create lists and save all of your favorites so you can easily read the most current reviews for all your favorites. Lastly stay up-to date on all the new Netflix releases!  Since we focus only on Netflix, users constantly see new Netflix releases as they happen.","Commerce and Shopping, Internet Services",,,1-10,,,,,,,,,,,,,Private,,,,,,
Adpressive,https://www.crunchbase.com/organization/adpressive,Advertising,"Tempe, Arizona, United States","Adpressive showcases impressive advertising and connects people with impressive ads, creative displays of advertising, and marketing.","3,058,018","Greater Phoenix Area, Western US",$1M to $10M,Closed,2012-09-16,day,,,,none,For Profit,http://www.adpressive.com,"Adpressive showcases impressive advertising and connects people with the world's most impressive ads, creative displays of advertising, and marketing genius!","Advertising, Sales and Marketing",,,1-10,,,,,,,,,,,,,Private,,,,,,
Alliance Tax Service,https://www.crunchbase.com/organization/alliance-tax-service,"Accounting, Finance, Financial Services, Impact Investing, Lending","Crossville, Tennessee, United States",Alliance Tax Service is an accounting and tax firm.,"3,058,026",Southern US,$1M to $10M,Active,,,,,,,For Profit,http://www.alliancetaxservice.com,"Alliance Tax Service is committed to providing close, personal attention to its clients. They take pride in knowing that the assistance they receive comes from years of advanced training and experience. A commitment to continuing education, state-of-the-art computer technology, and extensive business relationships in the time and resources they invest in them.","Financial Services, Lending and Investments, Professional Services",,,11-50,,,,,,,,,,,,,Private,,,,,,
Castlewood Insurance,https://www.crunchbase.com/organization/castlewood-insurance,Insurance,"North Chicago, Illinois, United States",Castlewood Insurance is an insurance broker serving businesses and consumers in the greater Waukegan area.,"3,058,027","Greater Chicago Area, Great Lakes, Midwestern US",$1M to $10M,Active,,,,,,,For Profit,http://castlewoodinsurance.com,,Financial Services,,,1-10,,,,,,,,,,,,,Private,,,,,,
Helendale Community Services District,https://www.crunchbase.com/organization/helendale-community-services-district,"Facilities Support Services, Facility Management, Government, Water","Helendale, California, United States",Helendale Community Services District is a government organization which provides utilities and utilities management services.,"3,058,028","Greater Los Angeles Area, Inland Empire, West Coast",,Active,,,,,,,For Profit,https://www.helendalecsd.org/,,"Administrative Services, Government and Military, Natural Resources, Real Estate",,,,,,,,,,,,,,,,Private,,,,,,
Local Wood,https://www.crunchbase.com/organization/local-wood,"Building Material, Wholesale, Wood Processing","Leesburg, Virginia, United States","Local Wood provides wood countertops, tables, mantels, flooring, and barn doors.","3,058,029","Washington DC Metro Area, East Coast, Southern US",,Active,,,,,,,For Profit,https://localwoodva.com,"Local Wood is a natural wood product custom made for the home. They dried hardwood lumber for woodworking professionals and part-time woodworkers. They produce  hardwood lumber, slabs, live edge tables, countertops, mantels, and flooring.","Commerce and Shopping, Manufacturing, Real Estate",,,,,,,,,,,,,,,,Private,,,,,,
Hollywood Restoration,https://www.crunchbase.com/organization/hollywood-restoration,"Construction, Home Renovation, Professional Services","Hollywood, Florida, United States","Hollywood Restoration offers water damage removal, repair, reconstruction and renovation services.","3,058,030","Greater Miami Area, East Coast, Southern US",Less than $1M,Active,,,,,,,For Profit,https://www.hollywoodrestoration.com/,,"Other, Real Estate",,,11-50,,,,,,,,,,,,,Private,,,,,,
Jacobs Pediatric Dentistry,https://www.crunchbase.com/organization/jacobs-pediatric-dentistry,"Dental, Health Care, Medical","Macon, Georgia, United States","Jacobs Pediatric Dentistry provides preventive care, pediatric dentistry, and sports dentistry services.","3,058,032","East Coast, Southern US",,Active,2000-01-01,year,,,,,For Profit,https://www.jacobspediatricdentistry.com,"Jacobs Pediatric Dentistry is a dental practice. They provide services that include preventive care, pediatric dentistry, sports dentistry, iv sedation dentistry, thumb sucking, oral health, nutrition, teeth grinding, dental exams, cleanings, digital x-rays, hospital dentistry, dental care for your baby, and special needs dentistry services.",Health Care,,,,,,,,,,,,,,,,Private,,,,,,
Q.ME,https://www.crunchbase.com/organization/q-me,Mobile,"Birmingham, Alabama, United States",Software Development,"3,058,035",Southern US,,Closed,2011-08-14,day,,,,none,For Profit,http://Quotient.Me,"Quotient.Me or ""Q.Me"" is a product scoring application that helps users find the right the product as quickly as possible.    Our mission is to provide a tool (Q.Me) that helps ""consumers on the go"" assess different products, make informed buying decisions, and reduce the time it takes to comparison shop. Q.Me essentially puts two products in a head-to-head battle and uses social and scientfic analysis to determine which product is right for you. ""Q.Me"" scores products based on the user's product inputs, preferences, location, social networks, historical selections, and internet databases. Additionally, ""Q.Me"" benefits consumers by ensuring that available deals, discounts, and coupons are highlighted for the selected products and also recommends product reviews for further consideration. ""Q.Me"" benefits companies by ensuring that the right advertisements and specials are seen by their customers at the right time: When they are comparison shopping.",Mobile,1,Donald Smith,1-10,1,Seed,,USD,,,USD,,"Zinah Ventures, LLC",,1,,Private,,,,,,
"Beevrhood, Inc.",https://www.crunchbase.com/organization/beevrhood-inc,"Collaborative Consumption, Communities, Information Technology, iOS, Messaging, Mobile Apps, Private Social Networking, Social Media, Social Network","Houston, Texas, United States",A neighborhood social experience app,"3,058,037","Greater Houston Area, Southern US",,Closed,2015-04-15,day,,,,none,For Profit,http://www.beevrhood.com,"Beevrhood is an internet software company based in Houston, Texas. Our goal is to create new social experiences in our neighborhood communities with our just released private social application for neighbors called ""Beevr"".   Beevr was created from scratch for one main purpose, building a better future for our families and we believe we can do it by bringing back the sense of community in our neighborhoods. That is why we have carefully crafted our app Beevr, to make every day's life activities within those communities easier, safer, and more enjoyable than ever before; by providing a unique collaborative experience that will break the barriers of communication and interaction but most of all, that provides an experience that invite and enhance innovation from neighbors so they can find new solutions and opportunities and at the end enhance their life.  At the same time, for us the user's Privacy is our top concern, that's why we work hard to earn and keep their trust. For that reason want to give full Privacy control with the neighbors so the users can decide at any moment how they want to connect and with whom.  We also adhere the following guarantees to protect the user's privacy:     1) We will never rent or sell personal information to third parties for marketing purposes.    2) We will never share a user's personal information with another user, unless both of them choose to contact one another.    3) All the information is encrypted, all the information will be secured with industry standard technology.  The app is free and is available in Mexico and the US. We hope you will like it! If you have a general question about the company, send an email to: contact@beevrhood.com or send us a message via Facebook.","Apps, Community and Lifestyle, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Other, Platforms, Software",,,1-10,,,,,,,,,,,,,Private,,,,,,
Fit Function,https://www.crunchbase.com/organization/fit-function,"Packaging Services, Product Design, Training","Raleigh, North Carolina, United States","Fit Function specializes in designing and packaging products for events, sales education, marketing, and appreciation programs.","3,058,039","Research Triangle, East Coast, Southern US",$1M to $10M,Active,,,,,,,For Profit,https://www.fitfunction.com/,,"Administrative Services, Design, Education",,,,,,,,,,,,,,,,Private,,,,,,
eXaPhoto,https://www.crunchbase.com/organization/exaphoto,"Photo Sharing, Software","Portland, Oregon, United States",eXaPhoto is an online photo publishing and sharing system.,"3,058,040","West Coast, Western US",,Active,2003-01-01,day,,,,,For Profit,https://www.exaphoto.com/,,"Content and Publishing, Media and Entertainment, Software",,,,,,,,,,,,,,,,Private,,,,,,
