Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
The South Alabamian,https://www.crunchbase.com/organization/the-south-alabamian,"News, Printing, Social News","Jackson, Alabama, United States",The South Alabamian is a newspaper publisher.,"1,342,000",Southern US,$1M to $10M,Active,,,,,,,For Profit,https://www.southalabamian.com,"The South Alabamian is a newspaper publishing company. They publish social news, church news, events, education news, editorials, sports news, and people's news. The contact mode of the company is by mail, phone, and physical address.","Content and Publishing, Media and Entertainment",,,1-10,,,,,,,,,,,,,Private,,,,,,
Paragon Packaging Products,https://www.crunchbase.com/organization/paragon-packaging-products,"Manufacturing, Packaging Services, Product Design, Wholesale","Girard, Pennsylvania, United States",Paragon Packaging Products is a manufacturer and distributor of corrugated boxes and packaging.,"1,342,005","Great Lakes, Northeastern US",$1M to $10M,Active,1970-01-01,year,,,,,For Profit,https://www.parapack.com,"Paragon Packaging Products manufactures and distributes corrugated boxes and packaging. Their products include corrugated, chip products, packaging material, packaging equipment, and contract packaging. They also provide equipment needed to apply tape, strapping, or stretchwrap.","Administrative Services, Commerce and Shopping, Design, Manufacturing",,,11-50,,,,,,,,,,,,,Private,,,,,,
Wind Rangers,https://www.crunchbase.com/organization/wind-rangers,"Agriculture, Amusement Park and Arcade, Industrial Engineering, Mechanical Design, Mechanical Engineering, Public Safety, Wind Energy","Anaheim, California, United States",Wind Rangers provides the most state of the art Wind Controllers on the market today for Water Features and Amusement Parks.,"1,342,006","Greater Los Angeles Area, West Coast, Western US",,Active,1986-01-01,year,,,,,For Profit,https://windrangers.com/,"Wind Rangers is a division of South Coast Controls Corporation, having designed the most advanced wind controller on the market to date. Built to the highest quality standard with dwell timers, password protection and a premium LED digital display as a product standard. Every Wind Ranger also comes with a hand crafted 3 cup anemometer. The Wind Rangers team is ISO 9001 certified, UL 508A, UL 698A and UL 1203 certified.","Agriculture and Farming, Design, Energy, Government and Military, Hardware, Manufacturing, Natural Resources, Science and Engineering, Sustainability, Travel and Tourism",1,Harry Ellis Jr.,11-50,,,,,,,,,,,,,Private,,,,,,
Prestacycle,https://www.crunchbase.com/organization/prestacycle,"Cycling, Productivity Tools, Professional Services","Rexford, New York, United States",Prestacycle is a bicycle products company that offers a wide range of bicycle tools.,"1,342,019","East Coast, Northeastern US",$1M to $10M,Active,2006-01-01,year,,,,,For Profit,https://www.prestacycle.com/,,"Other, Software, Sports",,,1-10,,,,,,,,,,,,,Private,,,,,,
HiLine Engineering and Fabrication,https://www.crunchbase.com/organization/hiline-engineering-and-fabrication,"Electronics, Industrial Manufacturing, Machinery Manufacturing, Manufacturing","Richland, Washington, United States","HiLine Engineering & Fabrication designs and fabricates machinery such as motor controls, control panels, process skids, and lifting beams.","1,342,022","West Coast, Western US",$10M to $50M,Active,1995-01-01,year,,,,,For Profit,https://www.hilineeng.com/,,"Consumer Electronics, Hardware, Manufacturing",,,11-50,,,,,,,,,,,,,Private,,,,,,
Pine Hill Equipment,https://www.crunchbase.com/organization/pine-hill-equipment-inc,"Delivery, Machinery Manufacturing, Manufacturing, Marine Technology, Product Design, Rental","Westport, Massachusetts, United States",Pine Hill Equipment is a manufacturer of marine and industrial hydraulic products.,"1,342,023","East Coast, New England, Northeastern US",$1M to $10M,Active,1972-01-01,year,,,,,For Profit,https://www.pinehillequipment.com,"Pine Hill Equipment manufactures and sells a variety of marine and industrial hydraulic products. They also manufacture their own products, including custom hydraulic systems and winches. They have the ability to build custom systems for any application, including marine, commercial, construction, etc. Innovative and accessible with a facility, they have the technical ability to achieve the results they want.","Administrative Services, Commerce and Shopping, Design, Manufacturing, Science and Engineering",,,11-50,,,,,,,,,,,,,Private,,,,,,
Allan Taylor & Co.,https://www.crunchbase.com/organization/allan-taylor-co,"Advice, Consulting","Bentonville, Arkansas, United States","Allan Taylor & Co. offers consulting services, specializing in business valuation and sales for businesses.","1,342,024",Southern US,$1M to $10M,Active,2006-01-01,year,,,,,For Profit,https://allantaylorbrokers.com,,"Media and Entertainment, Professional Services",,,1-10,,,,,,,,,,,,,Private,,,,,,
Rapport,https://www.crunchbase.com/organization/rapport-792c,"Electronics, Industrial, Manufacturing, Wholesale","Golden, Colorado, United States","Rapport is a manufacturer of cables, wire harness assembly, electronic enclosures, and battery packs.","1,342,031","Greater Denver Area, Western US",$1M to $10M,Active,1979-01-01,year,,,,,For Profit,https://rapportinc.com,"Rapport provides electronic manufacturing services. Their product includes custom cables, wire harness assembly, battery packs, and electronic enclosures. They provide bulk batteries. They provide inquiries through online applications and phone calls.","Commerce and Shopping, Consumer Electronics, Hardware, Manufacturing",1,Sherry Lehman,11-50,,,,,,,,,,,,,Private,,,,,,
RCS Financial Planning,https://www.crunchbase.com/organization/rcs-financial-planning,"Finance, Financial Services, Insurance, Retirement","Annapolis, Maryland, United States","RCS Financial Planning offers comprehensive financial planning, investment management, social security and tax planning services.","1,342,032","Greater Baltimore-Maryland Area, East Coast, Southern US",,Active,2018-01-01,year,,,,,For Profit,https://www.rcsplanning.com/,,"Community and Lifestyle, Financial Services, Other",,,1-10,,,,,,,,,,,,,Private,,,,,,
House Broker Realty,https://www.crunchbase.com/organization/house-broker-realty,"Commercial, Finance, Real Estate, Residential","York, Pennsylvania, United States","House Broker Realty is a real estate company that provides home buying, selling, and searching services.","1,342,037","Great Lakes, Northeastern US",$1M to $10M,Active,2003-01-01,year,,,,,For Profit,https://www.housebrokerrealty.com,,"Financial Services, Other, Real Estate",,,11-50,,,,,,,,,,,,,Private,,,,,,
