Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Sanibel Air & Electric,https://www.crunchbase.com/organization/sanibel-air-electric,"Customer Service, Electronics, Heating, Ventilation, and Air Conditioning (HVAC), Service Industry","Sanibel, Florida, United States",Sanibel Air & Electric is an air conditioning and electrical services provider company.,"2,600,002","East Coast, Southern US",$1M to $10M,Active,1988-01-01,day,,,,,For Profit,https://sanibelair.com/,,"Consumer Electronics, Hardware, Other, Professional Services, Real Estate",,,11-50,,,,,,,,,,,,,Private,,,,,,
Software Informatics Group,https://www.crunchbase.com/organization/software-informatics-group,"Consulting, Information Technology, Software, Web Development","Indianapolis, Indiana, United States","Software Informatics Group specializes in database design, custom software programming and website development.","2,600,003","Great Lakes, Midwestern US",Less than $1M,Active,2001-01-01,year,,,,,For Profit,http://swinformatics.com/,,"Information Technology, Professional Services, Software",,,1-10,,,,,,,,,,,,,Private,,,,,,
Sawmill Marketing Public Relations,https://www.crunchbase.com/organization/sawmill-marketing-public-relations,Public Relations,"Baltimore, Maryland, United States",Sawmill Marketing Public Relations is a public relations firm.,"2,600,007","Greater Baltimore-Maryland Area, East Coast, Southern US",,Active,1995-01-01,day,,,,,For Profit,http://www.sawmillmarketing.com/,,Sales and Marketing,,,51-100,,,,,,,,,,,,,Private,,,,,,
GlobaTrek,https://www.crunchbase.com/organization/globatrek,Software,"Mountain View, California, United States",International cloud-based service,"2,600,007","San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,Closed,2012-01-01,year,,,2019-09-01,month,For Profit,http://globatrek.com,"GlobaTrek is a cloud-based software designed exclusively to serve the needs of the international sales managers and their teams in building, managing, and growing their global sales and marketing distribution channels. Through GlobaTrek, the international sales team can collaborate, transact, and communicate with their international distributors and find new trusted partners.",Software,,,1-10,,,,,,,,,,,,,Private,,,,,,
KartMe,https://www.crunchbase.com/organization/kartme,"Semantic Web, Social Bookmarking","New York, New York, United States","KartMe is a social networking website and mobile application that specializes in cataloging photos, links, recipes, places, and products.","2,600,008","Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,2008-01-01,year,,,,,For Profit,http://www.kartme.com,"KartMe helps people organize and share photos, links, recipes, places and products in lists. For people who hate losing links or love to share lists, KartMe offers an easy way to reduce clutter.  Members can create lists on a computer with: *KartMe's Klipper, which works on any website *KartMe Mobile, which adds photos on the go *KartMe search, which accesses any book, gadget, or restaurant *KartMe's notepad, which captures anything Lists are stored in the cloud -- accessible from any computer at kartme.com or smartphone at m.kartme.com.  KartMe makes it easy to share lists via email, posts to Twitter and Facebook, or even embed them in your blog. KartMe's technology also saves people time and money. If you save a restaurant from Citysearch, KartMe provides links to Yelp, Menupages, and OpenTable so you can decide and act. If you save a gadget from Amazon, KartMe searches the web for prices, so you don't need to repeatedly search. Members can access via an iPhone app, or at m.kartme.com on a Droid or BlackBerry.  This is useful when you need an address while traveling, or a recipe while at the store.","Content and Publishing, Internet Services, Other",2,"Klaas Van Waesberghe, Phil Michaelson",1-10,1,,,,,185000,USD,185000,,,,,Private,,,,,,
Sneller Creative Promotions,https://www.crunchbase.com/organization/sneller-creative-promotions,"Advertising, Brand Marketing","Saint Charles, Missouri, United States",Custom Promotional Packaging. Custom Marketing Materials.,"2,600,012",Midwestern US,$1M to $10M,Active,1991-01-01,day,,,,,For Profit,http://www.snellercreative.com,Custom Promotional Packaging.  Custom Marketing Materials.  Custom Boxes.  Custom Ring Binders.  Custom Index Tab Dividers.  Custom Pocket Folders.  Custom Printing.  Custom Promotional Products.  Custom Clothing & Apparel.  Custom Sales Kits.  Custom Product Launch Kits.  Custom Press Kits.  Custom ANYTHING!  Made In USA.,"Advertising, Sales and Marketing",1,Jeff Snell,1-10,,,,,,,,,,,,,Private,,,,,,
O'Brien Veterinary Group,https://www.crunchbase.com/organization/o-brien-veterinary-group,"Health Care, Pet, Veterinary","Oak Brook, Illinois, United States","O'Brien Veterinary Group is a pet clinic that operates, administers, and manages veterinary facilities.","2,600,013","Greater Chicago Area, Great Lakes, Midwestern US",$10M to $50M,Active,2005-01-01,year,,,,,For Profit,https://obrienveterinarygroup.com/,,"Community and Lifestyle, Health Care",,,51-100,,,,,,,,,,,,,Private,,,,,,
Rush Eye Associates,https://www.crunchbase.com/organization/rush-eye-associates,Health Care,"Amarillo, Texas, United States",Rush Eye Associates provides laser vision correction and cataract care.,"2,600,020",Southern US,$1M to $10M,Active,1980-01-01,year,,,,,For Profit,https://www.rushlasik.com,"Rush Eye Associates offers laser vision correction as well as cataract surgery. Cataract and lens implant surgery, light adjustable intraocular implant, refractive lens exchange, panoptix intraocular lens implant, toric intraocular lens implant, vivity iol, yag laser capsulotomy are some of the procedures they treat. Cornea procedures, such as laser treatment for corneal scarring, corneal transplant, pterygium, and other common corneal conditions are treated.",Health Care,,,11-50,,,,,,,,,,,,,Private,,,,,,
Ballroom Dance Academy,https://www.crunchbase.com/organization/ballroom-dance-academy,"Performing Arts, Training","Los Angeles, California, United States",Ballroom Dance Academy is a school of ballroom dancing.,"2,600,020","Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,,,,,,,For Profit,https://ballroomdanceacademyla.com,"Ballroom Dance Academy provides ballroom dancing training services. They offer ballroom, latin, salsa, swing, and argentine tango classes. They provide private lesson services. They specialize in wedding choreography. They provide wedding dance class package services.","Education, Media and Entertainment",,,11-50,,,,,,,,,,,,,Private,,,,,,
Piccolino's Bar and Grille,https://www.crunchbase.com/organization/piccolino-s,"Food and Beverage, Restaurants, Wine And Spirits","Shirley, Massachusetts, United States","Piccolino's Bar and Grille is a restaurant that offers seafood, pizzas, and wine.","2,600,021","Greater Boston Area, East Coast, New England",,Active,,,,,,,For Profit,https://www.piccolinosrestaurant.com,,Food and Beverage,,,,,,,,,,,,,,,,Private,,,,,,
