Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Docket®,https://www.crunchbase.com/organization/docket-3,"Data Integration, Health Care, Medical, mHealth","New York, New York, United States","Docket® makes it easier than ever for American healthcare consumers to access, manage, and share personal and family immunization records.","171,001","Greater New York Area, East Coast, Northeastern US",Less than $1M,Active,2016-01-01,day,,,,,For Profit,https://www.dockethealth.com,"Docket Health, Inc. is a digital health company that partners with the government to take control of its health data. They provide information technology, mobile apps, data aggregate, healthcare, health portability, portability of health, health data, mhealth, patient engagement, fhir, patient intake, health assessment, medical records, phr, emr, medication, and medication reminders.","Data and Analytics, Health Care, Information Technology, Mobile, Software",2,"Michael Perretta, Nathan Scott",1-10,3,,,,,75000,USD,75000,U.S. Department of Health & Human Services,,1,,Private,,,,,,
Ehubber,https://www.crunchbase.com/organization/ehubber,"Coworking, Information Services, Information Technology, Internet, Software","Newark, Delaware, United States","Ehubber provides information, data, and access to individuals and organization aiming to boost their productivity scale.","171,001","Greater Philadelphia Area, East Coast, Southern US",,Active,2018-01-01,year,,,,,For Profit,https://ehubber.com,"Ehubber is all productivity. We are aimed at providing information, data and access to individuals and organization aiming to boost their productivity scale. The Ehubber platform provides a directory based service platform to find, book, list tech hubs, coworking spaces and events across the globe.Tech hubs create an environment specifically targeting the up build of young technology companies thrive by encouraging: incubation, fast tracking, helping such firms network and collaborate with like minded individuals or enterprises. The major goal of a tech hub is to grow ideas. We believe that everyone has the right to access a place where they can incubate and build on their ideas and innovation regardless of price, logistics and miscellaneous phenomena. Accessing the best and cheap tech hubs, and coworking spaces on your finger tips isn't always easily available. Thus in most cases, Google and other search engines don't help the situation. This was why in 2017 researcher, educationist and entrepreneur Uchechukwu Ajuzieogu discovered a method to help people locate tech hubs, coworking spaces and events near to them. During this time, he referred to the program as ""hubblehubs"".  Later in 2018, Uchechukwu Ajuzieogu would later partner with Economist and Data Analyst - Ifeanyi Akawi, a close friend of his to build the new version of ""hubblehubs"" now called Ehubber. Pre-launched in 2019, Ehubber is a directory based service platform to find, book, list tech hubs, coworking spaces and events across the globe. Every day, more listings providing access to tech hubs, coworking spaces and events near to individuals locale are listed. Ehubber is aimed to simplify the process for individuals and businesses who run tech hubs too. From managing bookings, payouts, and events ticketing systems, Ehubber is leading the transformation change for enterprise development while boosting productivity for everyone.","Information Technology, Internet Services, Real Estate, Software",2,"Ifeanyi Courage Akawi, Uchechukwu Ajuzieogu",1-10,1,Seed,100000,USD,100000,100000,USD,100000,Uchechukwu Ajuzieogu,1,1,,Private,,,,,,
Health2047 Capital Partners,https://www.crunchbase.com/organization/health2047-capital-partners,"Health Care, Venture Capital","Menlo Park, California, United States",Health2047 Capital Partners is a healthcare investment firm.,"171,002","San Francisco Bay Area, Silicon Valley, West Coast",,Active,2018-01-01,year,,,,,For Profit,https://health2047capital.com,"Health2047 Capital Partners has assembled a multi-disciplinary team with significant accomplishments in company formation, healthcare, technology, and investing.","Financial Services, Health Care, Lending and Investments",,,1-10,,,,,,,,,,,,,Private,,,,,,
Activate Venture Partners,https://www.crunchbase.com/organization/milestone-venture-partners,"Finance, Financial Services, Software, Venture Capital","New York, New York, United States",Activate Venture Partners is an early-stage venture capital for high growth technology companies.,"171,002","Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,1999-10-01,day,,,,,For Profit,https://www.activatevp.com/,"Activate Venture Partners is early-stage venture capital for high-growth technology companies. Milestone has been successfully investing in software, data, and services companies for over a decade. Software, Internet, and Mobile services businesses that help their customers exploit data assets successfully are in our sweet spot.  Milestone is also one of the leading venture firms focused on software and data investments in the Digital Health sector. We have backed 17 Digital Health companies, six of which have achieved successful exits, including Medidata's (Nasdaq:MDSO) IPO in 2009.","Financial Services, Lending and Investments, Software",3,"Edwin A. Goodman, Glen R. Bressner, Todd Pietri",1-10,,,,,,,,,,,,,Private,,,,,,
Smart Retrieval,https://www.crunchbase.com/organization/smart-retrieval,"Consulting, Data Governance, Data Integration, Data Management, Data Visualization, Generative AI, Information Technology, PaaS, SaaS, Software","Miami, Florida, United States",Smart Retrieval is the platform for automating the structuring of unstructured business data in an effective and creative way.,"171,005","Greater Miami Area, East Coast, Southern US",,Active,2023-01-01,year,,,,,For Profit,https://smartretrieval.com/,"At Smart Retrieval, we believe that document intelligence is the key to unlocking the true potential of your data. Our smart information retrieval service empowers you to make informed decisions faster, by putting the right information at your fingertips when you need it the most. With our cutting-edge technology and unparalleled expertise, we're revolutionizing the way businesses access and utilize their information.","Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Professional Services, Software",1,Aaron Crespo,11-50,3,Early Stage Venture,,USD,,,USD,,,,,,Private,,,,,,
Jewel Toned,https://www.crunchbase.com/organization/jewel-toned,"E-Commerce, Fashion, Lingerie","Marina Del Rey, California, United States","Jewel Toned designs, manufactures and distributes lingerie via wholesale and ecommerce.","171,006","Greater Los Angeles Area, West Coast, Western US",,Closed,2013-01-01,year,,,,none,For Profit,http://shopjeweltoned.com,"Jewel Toned is a vertical ecommerce and wholesale intimate apparel and loungewear company. We manufacture shapewear using special technology and casual everyday comfortable intimates and loungewear.  Jewel Toned shapewear is completely seamless and meant to be seen. Founded and run by women, Jewel Toned makes body positive products that are meant to empower women. Their body shapers are cute, comfy, colorful, light compression, and can be worn under clothing or on their own. Jewel Toned also houses an exclusive collaboration with Dear Drew by Drew Barrymore. Dear Drew is a collection of elevated loungewear and lingerie inspired by Hollywood glamour.  ""I'm not beautiful like you, I'm beautiful like me""","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",1,Rachael McCrary,1-10,3,Seed,1285000,USD,1285000,1285000,USD,1285000,"Singularity Investments, Jalem M. Getz, Amy Chang, Rachael McCrary, Natalie Newman",,5,,Private,,,,,,
Curely,https://www.crunchbase.com/organization/curely,"Health Care, mHealth","Newport Beach, California, United States",Curely gives you 24/7 access to board certified doctors around the world at your fingertips!,"171,007","Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,2014-06-18,day,,,,,For Profit,http://curely.co,"Why trust your health with Google or WebMD when you can get instant, reliable advice from a board-certified doctor? Whether you’re worried about symptoms, have an urgent question, or simply need advice about everyday wellness, Curely is your go-to solution. Our app connects you to health professionals worldwide through live Chat texting and email correspondence. There are NO membership fees, and you don’t need health insurance to use Curely. We believe health is a human right, and we’re here to provide the constant care you deserve. Download the mobile app: iOS: https://itunes.apple.com/us/app/curely/id895148052?mt=8 And: https://play.google.com/store/apps/details?id=co.curely.android.prnize","Health Care, Mobile",3,"Christian Assad, M.D., Josh Hong, Paul Lee",11-50,1,Seed,2000000,USD,2000000,2000000,USD,2000000,Exponential Partners,,1,,Private,,,,,,
America’s Frontier Fund,https://www.crunchbase.com/organization/america-s-frontier-fund,"Finance, Financial Services, Impact Investing, Non Profit","Arlington, Texas, United States","America’s Frontier Fund focuses on securing the technology leadership and prosperity of America, its partners, and other democracies.","171,008","Dallas/Fort Worth Metroplex, Southern US",,Active,2021-01-01,year,,,,,,https://www.americasfrontier.org,"America’s Frontier Fund is a non-profit, frontier-tech fund that focuses on securing the technology leadership and collective prosperity of America, its partners, and other democracies. The company was founded in 2021.","Financial Services, Lending and Investments, Other, Social Impact",,,11-50,,,,,,,,,,,,,Private,,,,,,
Margaret Mary Health,https://www.crunchbase.com/organization/margaret-mary-health,"Health Care, Hospital, Medical, Oncology","Batesville, Arkansas, United States","Margaret Mary Health dedicates to offers inpatient and outpatient services including rehabilitation, hospice and oncology services.","171,012",Southern US,Less than $1M,Active,1932-01-01,year,,,,,Non-profit,https://www.mmhealth.org/,,Health Care,,,501-1000,1,,,,,5000,USD,5000,Ripley County Community Foundation,1,1,,Private,,,,,,
Mascoma Mutual Financial Services,https://www.crunchbase.com/organization/mascoma-mutual-financial-services,"Banking, Financial Services","Lebanon, New Hampshire, United States",Mascoma Mutual Financial Services is a parent company of Mascoma Bank.,"171,012","East Coast, New England, Northeastern US",,Active,1996-01-01,year,,,,,For Profit,https://www.mascomabank.com/,,"Financial Services, Lending and Investments",,,251-500,2,,,,,40000000,USD,40000000,,,,,Private,,,,,,
