Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
GRS,https://www.crunchbase.com/organization/grs-fc22,"Heating, Ventilation, and Air Conditioning (HVAC), Recruiting","Solon, Ohio, United States","GRS is engaged in recruiting people for power transmission, fluid handling and HVAC applications.","795,001","Great Lakes, Midwestern US",$1M to $10M,Active,1979-01-01,day,,,,,For Profit,https://www.grsrecruiting.com/,,"Professional Services, Real Estate",,,11-50,,,,,,,,,,,,,Private,,,,,,
National Kidney Foundation of Louisiana,https://www.crunchbase.com/organization/national-kidney-foundation-of-louisiana,"Health Care, Health Diagnostics, Medical","New Orleans, Louisiana, United States",The National Kidney Foundation of Louisiana provides treatment for kidney disease.,"795,009",Southern US,Less than $1M,Active,1969-01-01,year,,,,,Non-profit,https://www.kidneyla.org,"The National Kidney Foundation of Louisiana provides patient community services, conducts public education, and advocates for patients through legislative action. They also offer blood pressure, urinalysis, and glomerular filtration rate treatments. An online inquiry form is available on the company's website.",Health Care,,,1-10,,,,,,,,,,,,,Private,,,,,,
KiloVault,https://www.crunchbase.com/organization/kilovault,"Energy, Renewable Energy, Solar","Boxborough, Massachusetts, United States","KiloVault designs, markets, and sells energy storage and power conversion products.","795,010","Greater Boston Area, East Coast, New England",$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://kilovault.com,,"Energy, Natural Resources, Sustainability",,,1-10,,,,,,,,,,,,,Private,,,,,,
"WJS Enterprises, Inc.",https://www.crunchbase.com/organization/wjs-enterprises-inc,"Information Technology, Sales, Software","Jefferson, Louisiana, United States","WJS Enterprises provides digital imaging equipment, software, supplies and service to the eighteen parishes of Southeast Louisiana.","795,011",Southern US,$1M to $10M,Active,1968-01-01,day,,,,,For Profit,https://wjsenterprises.com/,,"Information Technology, Sales and Marketing, Software",1,Wesley James Schroeder,11-50,,,,,,,,,,,,,Private,,,,,,
DataTech911,https://www.crunchbase.com/organization/datatech911,"Information Services, Public Safety, Software","Columbia, Maryland, United States",DataTech911 is a public safety software company provides solutions for emergency response and EMS management.,"795,011","Greater Baltimore-Maryland Area, East Coast, Southern US",,Active,,,,,,,For Profit,https://www.datatech911.com/,,"Government and Military, Information Technology, Software",,,1-10,,,,,,,,,,,,,Private,,,,,,
The Divine Group,https://www.crunchbase.com/organization/the-divine-group,"Commercial Real Estate, Construction, Property Development, Real Estate, Residential","Greenville, South Carolina, United States","The Divine Group is a real estate company that provides property buying, selling, brokerage, development, and construction services.","795,012","East Coast, Southern US",$1M to $10M,Active,2021-01-01,year,,,,,For Profit,https://divinegroup.us,,Real Estate,,,1-10,,,,,,,,,,,,,Private,,,,,,
USA Drug,https://www.crunchbase.com/organization/usa-drug,Pharmaceutical,"Pine Bluff, Arkansas, United States",USA Drug is a convenience store and pharmacy chain in the United States.,"795,013",Southern US,$100M to $500M,Closed,1984-01-01,year,,,,none,For Profit,http://www.usadrug.com/,,Health Care,,,1001-5000,,,,,,,,,,,,,Private,,,,,,
Coastal Plywood Company,https://www.crunchbase.com/organization/coastal-plywood-company,"Manufacturing, Wholesale, Wood Processing","Havana, Florida, United States","Coastal Plywood Company is a wholesale distributor of plywood, lumber, and treated wood products.","795,015","East Coast, Southern US",$10M to $50M,Active,,,2022-06-10,day,,,For Profit,https://coastalplywood.com,"Coastal Plywood Company is a provider of quality plywood, lumber, and treated wood products throughout the eastern U.S. The company's products are milled to exacting standards and consistency.","Commerce and Shopping, Manufacturing",,,251-500,,M&A,,,,,,,,,,,Private,,,,,,
General Aviation Services,https://www.crunchbase.com/organization/general-aviation-services,"Aerospace, Air Transportation, Consulting, Manufacturing","Illinois City, Illinois, United States",General Aviation Services is an aviation consulting company that provides corporate and executive-class aircraft sales.,"795,020","Great Lakes, Midwestern US",$1M to $10M,Active,1969-01-01,year,,,,,For Profit,https://genav.com,,"Manufacturing, Professional Services, Science and Engineering, Transportation",,,1-10,,,,,,,,,,,,,Private,,,,,,
Barkleigh Productions,https://www.crunchbase.com/organization/barkleigh-productions,Marketing,"Mechanicsburg, Pennsylvania, United States",Barkleigh is the premiere company serving the pet care industry that produces Groomer to Groomer.,"795,021","Great Lakes, Northeastern US",$1M to $10M,Active,2010-01-01,year,,,,,For Profit,https://www.barkleigh.com/,,Sales and Marketing,,,11-50,,,,,,,,,,,,,Private,,,,,,
CMT International,https://www.crunchbase.com/organization/cmt-international,"Hardware, Manufacturing, Security, Video","Murphysboro, Illinois, United States",CMT International is a manufacturing company that provides video surveillance and semiconductor products in the market.,"795,023","Great Lakes, Midwestern US",$1M to $10M,Active,1990-01-01,year,,,,,For Profit,http://cmtint.com/,,"Hardware, Manufacturing, Media and Entertainment, Privacy and Security, Video",,,11-50,,,,,,,,,,,,,Private,,,,,,
MahlerClean,https://www.crunchbase.com/organization/mahlerclean,Management Consulting,"Brookfield, Wisconsin, United States",MahlerClean is Wisconsin’s premier commercial cleaning services firm.,"795,024","Great Lakes, Midwestern US",$100M to $500M,Active,1989-01-01,year,,,,,For Profit,https://www.mahlerclean.com,,Professional Services,,,251-500,,,,,,,,,,,,,Private,,,,,,
Farmers & Merchants State Bank,https://www.crunchbase.com/organization/farmers-merchants-state-bank,Agriculture,"Marshall, Wisconsin, United States",Farmers & Merchants State Bank has operations across Wisconsin.,"795,025","Great Lakes, Midwestern US",$10M to $50M,Active,1897-01-01,year,,,,,For Profit,http://fandmstbk.com,,Agriculture and Farming,,,11-50,,,,,,,,,,,,,Private,,,,,,
"Certified Security Services, Inc",https://www.crunchbase.com/organization/certified-security-services-inc,"Insurance, InsurTech, Service Industry","Miami, Florida, United States",Jurney and Associates providing polygraph services. They help our clients reduce exposure to risk and the cost of liability.,"795,026","Greater Miami Area, East Coast, Southern US",$1M to $10M,Active,1976-01-01,year,,,,,For Profit,https://www.teamjai.com,"Jurney and Associates specialize in security, polygraph testing, all insurance claims, including auto, casualty, property, questionable workers’ compensation claims, inland marine theft and loss prevention, background checks and a wide variety of corporate due diligence and security consulting services. We provide service to all of Miami clients.","Financial Services, Other",,,11-50,,,,,,,,,,,,,Private,,,,,,
Archetype Digital,https://www.crunchbase.com/organization/archetype-digital,,"San Francisco, California, United States",Incubator for early stage frontier technology ventures,"795,028","San Francisco Bay Area, West Coast, Western US",,Active,2017-01-01,year,,,,,For Profit,https://www.archetypedigital.us,,,1,Satoshi Nozaki,,,,,,,,,,,,,,Private,,,,,,
Catalyst Design Group,https://www.crunchbase.com/organization/catalyst-design-group-c855,"Civil Engineering, Landscaping, Residential","Nashville, Tennessee, United States","Catalyst Design Group provides planning, civil engineering, and landscape architecture for residential projects.","795,029",Southern US,$1M to $10M,Active,2017-08-01,month,,,,,For Profit,https://catalyst-dg.com,,"Real Estate, Science and Engineering",,,11-50,,,,,,,,,,,,,Private,,,,,,
Ineffable Music Group,https://www.crunchbase.com/organization/ineffable-music-group,"Art, Events, Media and Entertainment, Music","Santa Cruz, California, United States",Ineffable Music Group is an agency that provides artist management and event production services for various venues and festivals.,"795,029","San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,2006-01-01,year,,,,,For Profit,https://www.ineffablemusic.com,,"Events, Media and Entertainment, Music and Audio",2,"Igor Katz, Thomas Cussins",11-50,,,,,,,,,,,,,Private,,,,,,
Martin Sanders,https://www.crunchbase.com/organization/martin-sanders,"Government, Health Care, Medical","Frederick, Maryland, United States","Captain Martin Sanders, Ph.D., is a Public Health Professional and has more than 18 years of experience in occupational safety and health.","795,030","Washington DC Metro Area, East Coast, Southern US",$50M to $100M,Active,,,,,,,For Profit,https://www.usphs.gov/profession/scientist/cpo.aspx,"Captain Martin Sanders, Ph.D., has more than 18 years of experience in occupational safety and health. An officer in the Commissioned Corps of the U.S. Public Health Service, where he serves as Chief Scientist, he is also currently the Director of Safety, Environmental Compliance and Emergency Management for the Federal Occupational Health, Program Support Center, Office of the Assistant Secretary for Administration.  ","Government and Military, Health Care",,,10001+,,,,,,,,,,,,,Private,,,,,,
Claire Technologies,https://www.crunchbase.com/organization/claire-technologies,"Water, Water Purification","Raleigh, North Carolina, United States",Claire Technologies provides an instant water disinfection without using power or chemicals.,"795,033","Research Triangle, East Coast, Southern US",,Active,,,,,,,For Profit,https://claire-tech.com/,Claire Technologies provides instant water disinfection without using power or chemicals.,"Natural Resources, Sustainability",,,,1,,,,,,USD,,Cleantech Open,1,1,,Private,,,,,,
Iris Healing,https://www.crunchbase.com/organization/iris-healing-retreat,"Health Care, Health Diagnostics, Outpatient Care","Woodland Hills, California, United States","Iris Healing is a detox, residential & outpatient dual-diagnosis treatment center with holistic programs located in woodland hills.","795,033","Greater Los Angeles Area, West Coast, Western US",Less than $1M,Active,2016-01-01,day,,,,,For Profit,https://irishealing.com ,"Doctorate-level clinicians, high staff-to-patient ratio. Addiction treatment, dual diagnosis, trauma-informed treatment. Full continuum of care. Located in Woodland Hills, CA, we bring the lives of our patients back into balance so they can continue living and growing in a healthy way.  || Address: 23033 Ostronic Dr, Woodland Hills, CA 91367, USA",Health Care,,,51-100,,,,,,,,,,,,,Private,,,,,,
Commonwealth Digital Office Solutions,https://www.crunchbase.com/organization/commonwealth-digital-office-solutions,"Document Management, Information Technology, Network Security, Printing, Software","Sterling, Virginia, United States","Commonwealth Digital Office Solutions helps businesses grow through document management systems, hardware & software solutions.","795,034","Washington DC Metro Area, East Coast, Southern US",$10M to $50M,Active,1977-01-01,year,,,,,For Profit,https://commonwealthdigital.com/contact-us/,,"Content and Publishing, Information Technology, Media and Entertainment, Privacy and Security, Software",,,11-50,,,,,,,,,,,,,Private,,,,,,
East Arkansas Area Agency On Aging,https://www.crunchbase.com/organization/east-arkansas-area-agency-on-aging,"Health Care, Non Profit, Nursing and Residential Care, Wellness","Jonesboro, Arkansas, United States",East Arkansas Area Agency On Aging is a non-profit organization.,"795,036",Southern US,$50M to $100M,Active,1978-01-01,year,,,,,Non-profit,https://www.e4aonline.com/,"East Arkansas Area Agency On Aging has delivered quality care, family-focused services, and advocacy for the aging population while maintaining a servant's heart. It offers services like care coordinators, home care services, wellness, senior centers, health care, senior centers, and more.","Health Care, Other, Social Impact",,,251-500,,,,,,,,,,,,,Private,,,,,,
Out of the Blue Marketing Inc.,https://www.crunchbase.com/organization/out-of-the-blue-marketing-inc,"Advertising, Marketing, SEO","Bradenton, Florida, United States",Full service marketing company with an emphasis on SEO and ROI,"795,037","East Coast, Southern US",$1M to $10M,Active,1997-01-01,year,,,,,For Profit,https://bluemarketingservice.com,,"Advertising, Internet Services, Sales and Marketing",,,11-50,,,,,,,,,,,,,Private,,,,,,
