Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
B & B Hydraulics,https://www.crunchbase.com/organization/b-b-hydraulics,"Industrial Engineering, Manufacturing, Mechanical Engineering, Supply Chain Management","Hutchinson, Kansas, United States","B & B Hydraulics is a mechanical engineering company that offers hydraulic cylinders, pumps, and even heavy equipment repair services.","907,002",Midwestern US,,Active,1989-01-01,year,,,,,For Profit,https://www.bbhydraulics.com,,"Manufacturing, Science and Engineering, Transportation",,,11-50,,,,,,,,,,,,,Private,,,,,,
dermRounds Dermatology Network,https://www.crunchbase.com/organization/dermrounds-dermatology-network,"Employment, Health Care, Medical, Social Media","Palo Alto, California, United States",dermRounds Dermatology Network is a social networking platform for dermatologists and health professionals that focusses on skin health.,"907,004","San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,Active,2008-01-01,day,,,,,For Profit,http://www.dermrounds.com,dermRounds Dermatology Network is a professional social networking site for dermatologists and health professionals focused on skin health.,"Health Care, Internet Services, Media and Entertainment, Professional Services",,,1-10,,,,,,,,,,,,,Private,,,,,,
The City of Morgantown,https://www.crunchbase.com/organization/the-city-of-morgantown,"Finance, Government, Human Resources","Morgantown, West Virginia, United States",The City of Morgantown is a government municipality offering administrative services.,"907,005",Southern US,$10M to $50M,Active,1785-01-01,year,,,,,For Profit,https://www.morgantownwv.gov,"The City of Morgantown uses a competitive bidding process for public improvement projects and purchases projected. They provide the lowest responsible bidder which means the lowest bidder whose offer best responds in quality, fitness, and capacity to the requirement of the proposed supply or service. Their goal is to reach out to Morgantown businesses to demonstrate that going green can actually save businesses money.","Administrative Services, Financial Services, Government and Military",,,251-500,,,,,,,,,,,,,Private,,,,,,
Leerburg,https://www.crunchbase.com/organization/leerburg,"E-Commerce, Pet, Training","Menomonie, Wisconsin, United States","Leerburg is a dog training website that provides training gear, online courses, and training videos.","907,009","Great Lakes, Midwestern US",$1M to $10M,Active,1982-01-01,year,,,,,For Profit,https://leerburg.com,,"Commerce and Shopping, Community and Lifestyle, Education",1,Ed Frawley,11-50,,,,,,,,,,,,,Private,,,,,,
PB Crave,https://www.crunchbase.com/organization/pb-crave,"Food and Beverage, Food Processing, Manufacturing, Recipes","Rosemount, Minnesota, United States",PB Crave is a manufacturer of natural peanut butter blends.,"907,011","Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",$10M to $50M,Active,2012-01-01,year,,,,,For Profit,https://www.pbcrave.com,"PB Crave provides honey, chocolate, raspberry, cookie dough, and banana flavors. Their products are honey and sea salt peanut butter, dark and semi-sweet chocolate peanut butter, cookie dough peanut butter, raspberry and white pudge peanut butter, and banana chocolate chip peanut butter. They also offer recipes such as tropical coconuts peanut butter cakes, overnight PB and oats, and chocolate peanut butter banana ice cream.","Food and Beverage, Manufacturing",,,101-250,,,,,,,,,,,,,Private,,,,,,
Ferguson Consulting,https://www.crunchbase.com/organization/ferguson-consulting,"Information Services, Information Technology","Chesterfield, Missouri, United States","Ferguson is a certified Woman-Owned Business (WBE) at the local, state and national levels.","907,012",Midwestern US,$10B+,Active,1993-01-01,year,,,,,For Profit,http://www.fergusonconsultinginc.com/,"Ferguson is a certified Woman-Owned Business (WBE) at the local, state (both MO and IL), and national levels. The WBE designation does not define them it is the technical expertise of their employees, their commitment to quality, and their excellent customer service that set them apart. But if Ferguson’s WBE status helps your organization meet its goals or mandates with regard to MBE/WBE participation, they are pleased to provide this added benefit.",Information Technology,,,101-250,,,,,,,,,,,,,Private,,,,,,
Allstar Fitness,https://www.crunchbase.com/organization/allstar-fitness,"Fitness, Health Care, Sports","Lakewood, New Jersey, United States",Allstar Fitness is an online company that supplies sports equipment and sports and nutritional supplements.,"907,015","Greater New York Area, East Coast, Northeastern US",$50M to $100M,Active,,,,,,,For Profit,http://allstarfitness.com,,"Health Care, Sports",,,251-500,,,,,,,,,,,,,Private,,,,,,
All Systems Go,https://www.crunchbase.com/organization/all-systems-go-aa1d,"Database, DevOps, SEO, Social Media, Web Development","Los Angeles, California, United States","All Systems Go offers web development, web design, e-commerce, database, SEO, social media, DevOps, and cloud services.","907,016","Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,2014-01-01,day,,,,,For Profit,https://allsystemsgo.net/,,"Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software",1,Brett Ward,1-10,,,,,,,,,,,,,Private,,,,,,
Vape HK,https://www.crunchbase.com/organization/vape-hk,"Fashion, News, Publishing, Video","San Jose, California, United States","VAPE HK is your vape news, entertainment, vape fashion trends website.","907,016","San Francisco Bay Area, Silicon Valley, West Coast",,Active,2012-04-05,day,,,,,For Profit,https://vape.hk/,"VAPE HK is your vape news, entertainment, vape fashion trends website. We provide you with the latest breaking news, videos and products straight from the vape  industry.","Clothing and Apparel, Content and Publishing, Design, Media and Entertainment, Video",,,11-50,,,,,,,,,,,,,Private,,,,,,
Accurate Glass,https://www.crunchbase.com/organization/accurate-glass,"Building Material, Commercial, Construction, Manufacturing","Addison, Illinois, United States","Accurate Glass specializes in the glazing of commercial doors, curtain walls, storefronts, and windows.","907,017","Greater Chicago Area, Great Lakes, Midwestern US",$1M to $10M,Active,1989-01-01,year,,,,,For Profit,https://www.accurateglassinc.com/,,"Manufacturing, Other, Real Estate",1,Dan Nickels,1-10,,,,,,,,,,,,,Private,,,,,,
