Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Dawson Insurance Agency,https://www.crunchbase.com/organization/dawson-insurance-agency,"Auto Insurance, Commercial Insurance, Insurance, Property Insurance","Bangor, Maine, United States",Dawson Insurance Agency provides personal and commercial insurance services.,"1,235,000","East Coast, New England, Northeastern US",$1M to $10M,Active,1956-01-01,year,,,,,For Profit,https://dawsoninsuranceonline.com ,"Dawson Insurance Agency provides services that include auto insurance, homeowner’s insurance, and business insurance. The company offers personalized services. The contact mode is by mail, phone, and physical address.",Financial Services,1,Julie Williams,1-10,,,,,,,,,,,,,Private,,,,,,
I.T.I.,https://www.crunchbase.com/organization/iti-af78,"Field Support, Technical Support, Telecommunications, Training","Bridgeport, Michigan, United States",I.T.I. provides telecommunication technology to customers that helps communicate inside and outside the office.,"1,235,001","Great Lakes, Midwestern US",$1M to $10M,Active,1966-01-01,year,,,,,For Profit,http://iti.net,,"Education, Hardware, Information Technology, Other, Professional Services",,,,,,,,,,,,,,,,Private,,,,,,
Hammelmans Floral,https://www.crunchbase.com/organization/hammelmans-floral,"Farming, Flowers, Retail, Wholesale","Mount Angel, Oregon, United States",Hammelmans Floral is a grower and seller of dried and preserved flowers.,"1,235,001","West Coast, Western US",$1M to $10M,Active,1989-01-01,year,,,,,For Profit,https://hammelmans.com,"Hammelmans Floral grows and sells flowers. Their products include all products, seasonal fresh, dried flowers, dyed, preserved flowers, wedding celebration flowers, wreaths, baskets, bouquets, décor, and accent products.","Agriculture and Farming, Commerce and Shopping, Consumer Goods",,,1-10,,,,,,,,,,,,,Private,,,,,,
New York WEB Center,https://www.crunchbase.com/organization/new-york-web-center,"Charity, Music, Non Profit, Video","Brooklyn, New York, United States",New York WEB Center specializes in music and video production projects.,"1,235,004","Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,2008-01-01,year,,,,,Non-profit,https://www.newyorkwebcenter.org,,"Media and Entertainment, Music and Audio, Other, Social Impact, Video",,,11-50,,,,,,,,,,,,,Private,,,,,,
Vision Boutique,https://www.crunchbase.com/organization/vision-boutique-30b4,"Eyewear, Local, Local Business, Medical","Chicago, Illinois, United States","Vision Boutique is a local eye clinic that provides eye care, eyeglasses, and contact lenses.","1,235,007","Greater Chicago Area, Great Lakes, Midwestern US",$1M to $10M,Active,,,,,,,For Profit,https://vision-boutique.com,,"Consumer Goods, Health Care, Sales and Marketing",,,11-50,,,,,,,,,,,,,Private,,,,,,
Wright Equities,https://www.crunchbase.com/organization/wright-equities,"Property Management, Real Estate, Residential","Fresno, California, United States","Wright Equities is a property management firm that acquires, develops, and operates apartment communities.","1,235,009","West Coast, Western US",,Active,2008-01-01,year,,,,,For Profit,https://www.wrightequities.com,"Wright Equities is a platform operated by a property management company that buys, builds, and manages apartment complexes. They provide housing to their valued residents through well-maintained communities and  amenities with friendly and professional staff.",Real Estate,,,51-100,,,,,,,,,,,,,Private,,,,,,
Lozano Insurance Adjusters,https://www.crunchbase.com/organization/lozano-insurance-adjusters,"Financial Services, Insurance","Miami, Florida, United States",Lozano Insurance Adjusters is an insurance firm that offers insurance adjusting services and brokerage services.,"1,235,011","Greater Miami Area, East Coast, Southern US",$1M to $10M,Active,2002-01-01,year,,,,,For Profit,https://lozanoadjusters.com/,,Financial Services,,,251-500,,,,,,,,,,,,,Private,,,,,,
WVON 1690AM,https://www.crunchbase.com/organization/wvon-1690am,"Audio, Broadcasting, Events, Internet Radio, Music, Podcast","Chicago, Illinois, United States","WVON 1690AM is a radio station that offers podcasts, audio broadcasting, events, talk shows, newscast, entrepreneurship and business shows.","1,235,012","Greater Chicago Area, Great Lakes, Midwestern US",$1M to $10M,Active,1963-01-01,year,,,,,For Profit,https://www.wvon.com,,"Events, Media and Entertainment, Music and Audio, Video",,,101-250,,,,,,,,,,,,,Private,,,,,,
Dr. Perricone Hydrogen Water,https://www.crunchbase.com/organization/dr-perricone-hydrogen-water,"Food and Beverage, Water","Meriden, Connecticut, United States",Dr. Perricone Hydrogen Water is a distributor of water infused with molecular hydrogen.,"1,235,012","East Coast, New England, Northeastern US",,Active,2016-01-01,year,,,,,For Profit,https://www.perriconehydrogenwater.com,"Dr. Perricone Hydrogen Water is a hydrogen-infused water beverage. There are studies showing hydrogen, which has no calories, sugars, or caffeine, may naturally activate the body's cellular energy production. Their proprietary formulas address the root cause of ageing and sun-damaged skin with nutrients and antioxidants.","Food and Beverage, Natural Resources",,,1-10,,,,,,,,,,,,,Private,,,,,,
Widmer Time Recorder,https://www.crunchbase.com/organization/widmer-time-recorder,"Electronics, Manufacturing","Hackensack, Minnesota, United States",Widmer has evolved from selling and repairing to manufacturing and distributing Documentation Control devices.,"1,235,012","Great Lakes, Midwestern US",$10M to $50M,Active,1933-01-01,year,,,,,For Profit,https://widmertime.com/,,"Consumer Electronics, Hardware, Manufacturing",,,51-100,,,,,,,,,,,,,Private,,,,,,
Gibraltar Perimeter Security,https://www.crunchbase.com/organization/gibraltar-perimeter-security,"Industrial Engineering, Manufacturing, Public Safety","Burnet, Texas, United States",Gibraltar Perimeter Security is a manufacturer and supplier of vehicle barriers and high-security fencing.,"1,235,020",Southern US,$10M to $50M,Active,2005-01-01,year,,,,,For Profit,https://www.gibraltarperimetersecurity.com,,"Government and Military, Manufacturing, Science and Engineering",,,11-50,,,,,,,,,,,,,Private,,,,,,
RLW Realty,https://www.crunchbase.com/organization/rlw-realty,"Property Management, Real Estate, Real Estate Brokerage, Rental Property","Umatilla, Florida, United States",RLW Realty is a real estate brokerage company.,"1,235,025","East Coast, Southern US",Less than $1M,Active,,,,,,,For Profit,https://www.rlwrealty.com,"RLW Realty provides real estate services. The company assists buyers, sellers, tenants, landlords, and tenants in the purchase or sale of property. Their website provides a variety of tools that can help people search for properties and find tips for buyers and sellers. For inquiries, telephone and email contact are used.",Real Estate,1,Logan Wilson,1-10,,,,,,,,,,,,,Private,,,,,,
Goldman Asset Services,https://www.crunchbase.com/organization/goldman-asset-services,"Accounting, Asset Management, Debt Collections","San Gabriel, California, United States",Goldman Asset Services is a collection agency that provides consumer and commercial debt collections as well as accouting services.,"1,235,029","Greater Los Angeles Area, West Coast, Western US",$10M to $50M,Active,2003-01-01,year,,,,,For Profit,https://goldmanassetservices.com/index.html,,"Administrative Services, Financial Services, Professional Services",,,251-500,,,,,,,,,,,,,Private,,,,,,
Abercrombie & Kent Residence Club,https://www.crunchbase.com/organization/abercrombie-kent-residence-club,"Adventure Travel, Travel, Travel Agency","Naperville, Illinois, United States",Abercrombie & Kent Residence Club provides travel services.,"1,235,033","Greater Chicago Area, Great Lakes, Midwestern US",$10M to $50M,Active,2008-01-01,year,,,,,For Profit,https://akresidenceclub.com,,Travel and Tourism,,,51-100,,,,,,,,,,,,,Private,,,,,,
MoceanLab,https://www.crunchbase.com/organization/moceanlab,"Car Sharing, Mobile Apps, Transportation","Los Angeles, California, United States",MoceanLab is a mobile application that provides sustainable carsharing and transportation services to its customers.,"1,235,035","Greater Los Angeles Area, West Coast, Western US",Less than $1M,Active,2019-01-01,year,,,,,For Profit,https://www.moceanlab.com/,,"Apps, Mobile, Software, Transportation",,,1-10,,,,,,,,,,,,,Private,,,,,,
Leverage Point,https://www.crunchbase.com/organization/leverage-point,"Consulting, Recruiting, Software","Glendora, California, United States",Leverage Point specializes in the software consulting and staffing services.,"1,235,040","Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,2006-01-01,year,,,,,For Profit,http://levpoint.com/,,"Professional Services, Software",,,,,,,,,,,,,,,,Private,,,,,,
Integrity Structural Corp,https://www.crunchbase.com/organization/integrity-structural-corp,"Architecture, Commercial, Property Development, Residential","Houston, Texas, United States","Integrity Structural Corp is an architecture company that engages in hospitality, commercial and workshop property development.","1,235,041","Greater Houston Area, Southern US",$1M to $10M,Active,2002-01-01,year,,,,,For Profit,https://www.integritystructural.com/,,"Other, Real Estate",,,11-50,,,,,,,,,,,,,Private,,,,,,
Communicasting,https://www.crunchbase.com/organization/communicasting,"Advertising, Graphic Design, Outdoor Advertising, SEO, Social Media Marketing, TV, Video, Web Development","St. Petersburg, Florida, United States","Communicasting specializes in website development, graphic design, email marketing, SEO, social media marketing and commercials.","1,235,041","Tampa Bay Area, East Coast, Southern US",Less than $1M,Active,2004-01-01,year,,,,,For Profit,https://communicasting.com/,,"Advertising, Design, Internet Services, Media and Entertainment, Sales and Marketing, Software, Video",,,1-10,,,,,,,,,,,,,Private,,,,,,
Alliance of AIDS Services,https://www.crunchbase.com/organization/alliance-of-aids-services,"Health Care, Rehabilitation, Wellness","Raleigh, North Carolina, United States","Alliance of AIDS Services improves the health of communities affected by AIDS through prevention, care, and supportive services.","1,235,044","Research Triangle, East Coast, Southern US",,Active,1999-01-01,year,,,,,For Profit,https://www.aas-c.org,"Alliance of AIDS Services provides health care services. They provide resources and charitable services for AIDS patients. They improve the health of communities impacted by HIV/AIDS through compassionate and non-judgmental prevention, support services, and connection to care.",Health Care,,,11-50,1,,,,,,USD,,Gilead Sciences,1,1,,Private,,,,,,
"Lakes Radiology, Inc.",https://www.crunchbase.com/organization/lakes-radiology-inc,"Health Care, Health Diagnostics, Hospital","Miami Lakes, Florida, United States","Lakes Radiology, Inc. is a hospital & health care company and Diagnostic Radiology Outpatient Center serving the community.","1,235,048","Greater Miami Area, East Coast, Southern US",Less than $1M,Active,2003-01-01,year,,,,,For Profit,https://www.lakesradiology.com,,Health Care,,,11-50,,,,,,,,,,,,,Private,,,,,,
Arcadia Wellness Center,https://www.crunchbase.com/organization/arcadia-wellness-center,"Health Care, Medical, Wellness","Phoenix, Arizona, United States","Arcadia Wellness Center offers dermal fillers, hormone therapy, and laser services.","1,235,052","Greater Phoenix Area, Western US",$10M to $50M,Active,2014-01-01,year,,,,,For Profit,https://arcadiawellnesscenter.com,"Arcadia Wellness Center provides dermal filler, hormone therapy, weight loss, butt augmentation, food allergies testing, environmental testing, body sculpting, iv infusion therapy, pain management, micro needling, plasma pen, photo facial laser, skin resurfacing, skin tightening, laser hair removal, and transgender care services",Health Care,,,51-100,,,,,,,,,,,,,Private,,,,,,
Olivieri Commercial Group,https://www.crunchbase.com/organization/olivieri-commercial-group,"Property Management, Real Estate, Real Estate Investment, Rental","Bakersfield, California, United States","Olivieri Commercial Group is a real estate firm providing investment, consulting, rental, and property management services.","1,235,052","West Coast, Western US",$1M to $10M,Active,1997-01-01,year,,,,,For Profit,https://oliviericommercial.com,,"Commerce and Shopping, Financial Services, Real Estate",1,Jana Olivieri,11-50,,,,,,,,,,,,,Private,,,,,,
Hostrunway,https://www.crunchbase.com/organization/hostrunway,"Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Storage, Information Technology, IT Infrastructure, Private Cloud, Web Hosting","Sheridan, Wyoming, United States",Hostrunway is a self-funded and a zero debt entity with a strong focus on providing quality services to its customer.,"1,235,053",Western US,,Active,2014-01-01,year,,,,,For Profit,https://www.hostrunway.com,"Hostrunway is a self-funded and a zero debt entity with a strong focus on providing quality services to its customer. Hostrunway is one of the fastest growing hosting service provider. We help customers to run their own servers on rental base, co-locate infra in the data centre and we also provide option to host your application on Public and private cloud. Currently we provide hosting solution in countries like US, UK, Europe, India and Singapore. Hostrunway manages IT infra of various organizations and help them to focus on their core business.  USP of our services are - 1.	We provide ready to use servers with in a turnaround time of 48 hours. 2.	Server delivery works on monthly advance terms with no lock in period. 3.	We host your applications in Tier 3 data centres with a committed uptime of 99.99% 4.	In partnership with Plesk, C Panel, Microsoft, Verisign, HP, Dell, CISCO etc we ensure to provide you the supporting software and hardware at very competitive prices.","Hardware, Information Technology, Internet Services, Software",,,11-50,,,,,,,,,,,,,Private,,,,,,
Hickman Land Title,https://www.crunchbase.com/organization/hickman-land-title,"Property Development, Property Management, Real Estate","Logan, Utah, United States",Hickman Land Title is a home building and development company.,"1,235,054",Western US,,Active,1904-01-01,year,,,,,For Profit,https://hickmantitle.com,"Hickman Land Title well over a century of experience, including residential, commercial, construction and unique investment transactions, They serve as an unbiased third party to execute the instructions of all parties involved, making sure transactions get to closing day as quickly and efficiently as possible.",Real Estate,,,1-10,,,,,,,,,,,,,Private,,,,,,
Olivia Restorative Therapy and Nursing,https://www.crunchbase.com/organization/olivia-restorative-therapy-and-nursing,"Health Care, Medical, Therapeutics","Olivia, Minnesota, United States",Olivia Restorative Therapy and Nursing is a healthcare center that provides rehabilitative therapy and diabetes management services.,"1,235,055","Great Lakes, Midwestern US",,Active,,,,,,,For Profit,https://www.oliviarestorative.com,,Health Care,,,51-100,,,,,,,,,,,,,Private,,,,,,
Showtime Transportation,https://www.crunchbase.com/organization/showtime-transportation,"Public Transportation, Transportation, Travel Accommodations","Kansas City, Missouri, United States","Showtime Transportation offers stretch limos, SUV limos, and limo buses.","1,235,057",Midwestern US,$1M to $10M,Active,2008-01-01,month,,,,,For Profit,https://www.limokc.com,"Showtime Transportation provides stretch limos, SUV limos, limo buses, and trolleys. Their customers' inquiries are addressed through phone, email, and online applications.","Transportation, Travel and Tourism",,,11-50,,,,,,,,,,,,,Private,,,,,,
Strategic Investments & Holdings,https://www.crunchbase.com/organization/strategic-investments-holdings,"Finance, Financial Services, Legal","Vero Beach, Florida, United States",Strategic Investments & Holdings is a holding company that acquires and grows successful companies in partnership with operating management.,"1,235,058","East Coast, Southern US",$1M to $10M,Active,1983-01-01,year,,,,,For Profit,http://www.sihi.net,,"Financial Services, Professional Services",,,11-50,,,,,,,,,,,,,Private,,,,,,
"Whitley Construction Company, LLC",https://www.crunchbase.com/organization/whitley-construction-company-llc,Construction,"Lees Summit, Missouri, United States","Dry Wall Subcontractor In Lee's Summit, MO","1,235,059",Midwestern US,$1M to $10M,Active,2009-05-05,day,,,,,For Profit,http://www.whitleyco.net,"Address: 1653 SE Decker St, Lee's Summit, MO 64081, USA",Real Estate,,,51-100,,,,,,,,,,,,,Private,,,,,,
The Ivy Investor,https://www.crunchbase.com/organization/the-ivy-investor,"Blogging Platforms, Education, Financial Services","Philadelphia, Pennsylvania, United States",The Ivy Investor is a financial service-based company.,"1,235,062","Greater Philadelphia Area, Great Lakes, Northeastern US",$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://theivyinvestor.com,The Ivy Investor is a website dedicated to financial education. Its mission is to remove the mystery around finances so its readers can achieve financial stability and wealth.,"Content and Publishing, Education, Financial Services, Media and Entertainment",,,1-10,,,,,,,,,,,,,Private,,,,,,
Protea,https://www.crunchbase.com/organization/protea-investments,"Finance, Financial Services, Venture Capital","New York, New York, United States",Protea invests in small- to mid-sized categories of disrupting consumer brands.,"1,235,064","Greater New York Area, East Coast, Northeastern US",,Active,2014-01-01,year,,,,,For Profit,http://www.proteainvestments.com,"Protea invests in small- to mid-sized categories of disrupting consumer brands.  Protea focuses on the enhancement and growth of portfolio brands. Protea was founded in 2014 and was headquartered in New York, Unites States.","Financial Services, Lending and Investments",1,Kearnon O'Molony,1-10,,,,,,,,,,,,,Private,,,,,,
Bedford Area Chamber of Commerce,https://www.crunchbase.com/organization/bedford-area-chamber-of-commerce-4f14,"Communities, Education, Non Profit","Bedford, Virginia, United States",Bedford Area Chamber of Commerce is a non-profit organization that provides programs and services to improve the business community.,"1,235,067","East Coast, Southern US",$1M to $10M,Active,1939-01-01,year,,,,,Non-profit,https://www.bedfordareachamber.com,,"Community and Lifestyle, Education, Other, Social Impact",,,1-10,,,,,,,,,,,,,Private,,,,,,
Carmel Valley Athletic Club,https://www.crunchbase.com/organization/carmel-valley-athletic-club,"Fitness, Personal Health, Social Assistance, Tennis, Wellness","Carmel, California, United States","Carmel Valley Athletic Club is a wellness clubhouse that provides fitness, aquatics, pilates, tennis, amenities, and social activities.","1,235,069","West Coast, Western US",,Active,1968-01-01,year,,,,,For Profit,https://cvaclife.com/,,"Government and Military, Health Care, Sports",,,11-50,,,,,,,,,,,,,Private,,,,,,
Zulu Health,https://www.crunchbase.com/organization/zulu-health,"Health Care, Hospital","South Pasadena, California, United States",Zulu Health is a revenue cycle management (RCM) provider,"1,235,072","Greater Los Angeles Area, West Coast, Western US",,Active,2015-01-01,year,2021-08-03,day,,,For Profit,https://zuluhealth.com/,"Zulu Health is a revenue cycle management (RCM) provider with specialized focus on the Ambulatory Surgery Center market. We offer customized, strategic solutions using cloud based technology.",Health Care,,,,,M&A,,,,,,,,,,,Private,,,,,,
TrustLawyer,https://www.crunchbase.com/organization/trustlawyer,"Advice, Legal, Professional Services","Rocky Hill, Connecticut, United States",TrustLawyer is a law firm that specializes in estate tax planning.,"1,235,072","East Coast, New England, Northeastern US",$1M to $10M,Active,,,,,,,For Profit,http://trustlawyer.com,,"Media and Entertainment, Other, Professional Services",,,1-10,,,,,,,,,,,,,Private,,,,,,
Attentive Home Care,https://www.crunchbase.com/organization/attentive-home-care,"Elder Care, Elderly, Health Care, Home Health Care","Santa Ana, California, United States","Attentive Home Care provides geriatric care, senior home care, and care management services.","1,235,073","Greater Los Angeles Area, West Coast, Western US",,Active,1999-01-01,year,,,,,For Profit,https://www.attentivecare.com,,"Community and Lifestyle, Health Care",,,101-250,,,,,,,,,,,,,Private,,,,,,
ABA Advisors,https://www.crunchbase.com/organization/aba-advisors-1f7f,"Accounting, Consulting, Finance","Indianapolis, Indiana, United States",ABA Advisors is a brokerage and consulting firm that provides sale of accounting and tax practices services.,"1,235,075","Great Lakes, Midwestern US",$1M to $10M,Active,1999-01-01,year,,,,,For Profit,https://acctsales.com,"ABA Advisors is a consulting firm. They provide buy a practice, sell a practice, financing, practice valuations, and practices for sale services. They provide PAs, EAs, and other tax and accounting professionals with the sale, acquisition, merger, or financing of their firms. They address inquiries through phone calls and emails.","Financial Services, Professional Services",,,1-10,,,,,,,,,,,,,Private,,,,,,
Medfare,https://www.crunchbase.com/organization/medfare,"Health Care, Hospitality, Manufacturing, Paper Manufacturing","Boca Raton, Florida, United States",Medfare is a manufacturing company that provides mealtime printed and disposable solutions for the healthcare and hospitality industries.,"1,235,076","Greater Miami Area, East Coast, Southern US",$1M to $10M,Active,1974-01-01,year,,,,,For Profit,https://medfare.com/,,"Health Care, Manufacturing, Travel and Tourism",,,1-10,,,,,,,,,,,,,Private,,,,,,
Georgia Firefighters’ Pension Fund,https://www.crunchbase.com/organization/georgia-firefighters-pension-fund,"Consulting, Financial Services, Retirement","Conyers, Georgia, United States","Georgia Firefighters’ Pension Fund provides various ranges of retirement allowances, disability benefits and pension relative services.","1,235,077","Greater Atlanta Area, East Coast, Southern US",$100M to $500M,Active,1955-01-01,year,,,,,For Profit,https://gfpf.org/,,"Community and Lifestyle, Financial Services, Other, Professional Services",,,1-10,,,,,,,,,,,,,Private,,,,,,
BMS Manufacturing,https://www.crunchbase.com/organization/bms-manufacturing,"Consulting, Machinery Manufacturing, Manufacturing, Packaging Services","Milan, Illinois, United States","BMS Manufacturing offers packaging and consulting services to agricultural, construction, food warehousing, and component manufacturers.","1,235,078","Great Lakes, Midwestern US",$1M to $10M,Active,,,,,,,For Profit,https://www.bmsmfgco.com,"BMS Manufacturing  produces welding and tooling fixtures, carts, tables, stands, and boxes. Machining, mills and lathes, welding, waterjet, autocad designs, assembly, cnc brake presses, drilling, flame cutting, shearing, punch presses, and appliance manufacturing are some of their skills.","Administrative Services, Manufacturing, Professional Services",,,11-50,,,,,,,,,,,,,Private,,,,,,
Paulding County,https://www.crunchbase.com/organization/paulding-county,"Government, Information Services, Non Profit","Dallas, Texas, United States",Paulding County is a government website that provides county information and services.,"1,235,082","Dallas/Fort Worth Metroplex, Southern US",,Active,,,,,,,Non-profit,https://paulding.gov,,"Government and Military, Information Technology, Other, Social Impact",,,,,,,,,,,,,,,,Private,,,,,,
Centrana Health,https://www.crunchbase.com/organization/centrana-health,"Health Care, Information Technology, Medical, mHealth, Personal Health, Software","Cambridge, Massachusetts, United States",Centrana (formerly Uprise) is enabling a data driven approach to patient education by making clinician prescribed content available on a,"1,235,085","Greater Boston Area, East Coast, New England",Less than $1M,Active,2012-01-01,year,,,,,For Profit,http://centranahealth.com,"Centrana (formerly Uprise) is enabling a data driven approach to patient education by making clinician prescribed content available on a web and tablet learning and content management system that tracks patient knowledge and engagement. The company's content agnostic platform incorporates educational material from clinicians and third parties, allowing providers to quickly create and prescribe personalized education plans for patients. Centrana saves clinicians time and improves patient satisfaction while decreasing re-admissions and non-adherence. Centrana is currently in closed beta. Interested in joining? Contact Centrana at founders@centranahealth.com","Health Care, Information Technology, Mobile, Software",2,"Amit Mathew, Tim Schwartz",1-10,1,Seed,,USD,,,USD,,Healthbox,,1,,Private,,,,,,
Statewide Properties,https://www.crunchbase.com/organization/statewide-properties,"Leasing, Real Estate, Real Estate Investment, Rental","Peoria, Illinois, United States",Statewide Properties is a real estate investment company that sells residential homes and commercial properties.,"1,235,088","Great Lakes, Midwestern US",$1M to $10M,Active,1994-01-01,year,,,,,For Profit,http://www.statewideproperties.com,,"Commerce and Shopping, Financial Services, Real Estate",,,1-10,,,,,,,,,,,,,Private,,,,,,
