Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Triumph Funding Group,https://www.crunchbase.com/organization/triumph-funding-group,"B2B, Finance, Financial Services","New York, New York, United States",Triumph Funding Group provides financial business solutions services.,"3,092,001","Greater New York Area, East Coast, Northeastern US",,Active,,,,,,,For Profit,https://triumphfundinggroup.com/,,"Financial Services, Other",,,,,,,,,,,,,,,,Private,,,,,,
Advanced Pathways Hypnosis,https://www.crunchbase.com/organization/advanced-pathways-hypnosis,"Health Care, Medical, Wellness","Garden City, Idaho, United States","Advanced Pathways Hypnosis is a healthcare firm that provides a solution for chronic pain, stress, anxiety, insomnia, and PTSD.","3,092,010",Western US,,Active,,,,,,,For Profit,https://www.advancedpathways.com,,Health Care,1,Traci Patterson,1-10,,,,,,,,,,,,,Private,,,,,,
"Dimitrios S. Tellios, DMD, FAGD",https://www.crunchbase.com/organization/dimitrios-s-tellios-dmd-fagd,"Dental, Health Care, Personal Health","Saint Petersburg, Florida, United States","Dimitrios S. Tellios, DMD, FAGD offers bridges, periodontal health, and teeth whitening services.","3,092,014","Tampa Bay Area, East Coast, Southern US",$1M to $10M,Active,,,,,,,For Profit,https://www.smilesbytellios.com,"Dimitrios S. Tellios, DMD, FAGD provides bonding, crowns, hygiene/periodontal health, teeth whitening, zoom whitening, veneers, dental implants, dentures/partial dentures, extractions, invisalign, root canal, endodontics, and crown lengthening services.",Health Care,,,1-10,,,,,,,,,,,,,Private,,,,,,
American Off Road,https://www.crunchbase.com/organization/american-off-road,Automotive,"Sarasota, Florida, United States",American Off Road is an automotive company.,"3,092,022","East Coast, Southern US",,Closed,1998-11-05,day,,,,none,For Profit,https://american-off-road.com/,,Transportation,,,,,,,,,,,,,,,,Private,,,,,,
PROLIFICC,https://www.crunchbase.com/organization/prolificc,,"Santa Monica, California, United States",Making the world healthier,"3,092,026","Greater Los Angeles Area, West Coast, Western US",,Active,,,,,,,For Profit,,,,,,,,,,,,,,,,,,,Private,,,,,,
Auctionlease,https://www.crunchbase.com/organization/auctionlease,"Auctions, Consumer Goods, Financial Services","Carlsbad, California, United States",Auctionlease offers financial services to purchase auction equipment and machinery.,"3,092,028","Greater San Diego Area, West Coast, Western US",,Active,1986-01-01,year,,,,,For Profit,https://www.auctionlease.com/,,"Commerce and Shopping, Consumer Goods, Financial Services",,,,,,,,,,,,,,,,Private,,,,,,
iTech San Diego,https://www.crunchbase.com/organization/itech-sandiego,"iOS, Mobile","California City, California, United States",iTech San Diego is a mobile company that offers repair services for iPhones.,"3,092,028","West Coast, Western US",Less than $1M,Active,,,,,,,For Profit,http://www.itech-sandiego.com/,,"Mobile, Platforms, Software",,,1-10,,,,,,,,,,,,,Private,,,,,,
Right Choice social,https://www.crunchbase.com/organization/right-choice-social,"Mobile Apps, Small and Medium Businesses, Social Media","Garden Grove, California, United States",Social Media Management and Mobile App Design for Small to Medium Sized Businesses,"3,092,033","Greater Los Angeles Area, West Coast, Western US",Less than $1M,Closed,2016-01-01,day,,,,none,For Profit,http://rightchoicesocial.com/,"Right Choice Social offers a range of development and marketing services to its clients. The company’s range of services include mobile application development, social media marketing, and online reputation monitoring. It offers its services to SMEs. Right Choice Social was founded in 2016 by Steven Foley and is based in California.","Apps, Internet Services, Media and Entertainment, Mobile, Other, Software",1,Steven Foley,1-10,1,Seed,,USD,,,USD,,,,,,Private,,,,,,
Carcamo Dental Centre,https://www.crunchbase.com/organization/carcamo-dental-centre,"Cosmetic Surgery, Dental, Health Care","Lyndhurst, New Jersey, United States","Carcamo Dental Center is a dental practice offering orthodontics, dentures, and cosmetic dentistry services.","3,092,035","Greater New York Area, East Coast, Northeastern US",,Active,1986-01-01,year,,,,,For Profit,https://www.carcamodental.net,"Carcamo Dental Center preventative to restorative dentistry, they offer dental services to keep your teeth healthy and beautiful for your entire life. Their services include implant surgery and restoration, preventive treatment, crowns, bridges and prostheses, dentures, and periodontal intervention.",Health Care,,,11-50,,,,,,,,,,,,,Private,,,,,,
Diahelix,https://www.crunchbase.com/organization/diahelix,"Aerospace, Air Transportation, Mechanical Engineering","Milan, Michigan, United States",Diahelix is an aero space research and development company.,"3,092,035","Great Lakes, Midwestern US",,Active,,,,,,,For Profit,https://diahelix.com,Diahelix offers media services such as aerial filming and data services. promoter of technological innovation in the field of remotely piloted aeronautical transport services. The primary objective is to design and build remotely piloted aircraft systems (RPAS) for the transport and automation of certain production processes in the context of the IoT.,"Science and Engineering, Transportation",,,,,,,,,,,,,,,,Private,,,,,,
