Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Melon Patches,https://www.crunchbase.com/organization/melon-patches,"Fashion, Textiles","Arlington, Virginia, United States",We are a collection of Artists looking forward to your creativeness to Map or modify it on nearly any sort of garb material,"2,762,001","Washington DC Metro Area, East Coast, Southern US",,Active,1908-01-02,day,,,,,For Profit,https://www.melonpatches.com/,"We are a collection of Artists looking forward to your creativeness to Map or modify it on nearly any sort of garb material, we are your associates because of the reality that 2008 and our wand professionals have a minimum 5 years of enjoy, our domestic workplace is situated in Arlington, Virginia. Melon Patches is one of the commercial organization devices of pass-group and serving many industrial organization people in numerous fields across Arlington, Virginia. We've eight Teams of display Patching and digitizing with extra than 36 wand specialists. We accept as real with within the commitment with the relationship among our imaginers. We offer quick and green issuer, as a want of your commercial enterprise. Our first-rate of custom designed patching can replicate the willpower of our wand specialists to you.","Clothing and Apparel, Design, Manufacturing",,,11-50,,,,,,,,,,,,,Private,,,,,,
Parker's Real Maple,https://www.crunchbase.com/organization/parker-s-real-maple,"Consumer Goods, Food and Beverage, Manufacturing","Canton, New York, United States",Parker's Real Maple specializes to manufacture and distribute real maple syrup and products both in retail stores and online.,"2,762,004","East Coast, Northeastern US",$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://www.parkersmaple.com,,"Consumer Goods, Food and Beverage, Manufacturing",1,Joshua Parker,11-50,,,,,,,,,,,,,Private,,,,,,
PocketCents,https://www.crunchbase.com/organization/pocketcents,"Advertising, Local Advertising","Washington, Michigan, United States",It is our mission to provide the best online advertising experience available on the internet today.,"2,762,005","Greater Detroit Area, Great Lakes, Midwestern US",Less than $1M,Closed,2007-01-01,year,,,,none,For Profit,http://www.pocketcents.com,"It is our mission to provide the best online advertising experience available on the internet today. We intend to do this by providing low flat-rates and local targeting for our advertising customers. We have designed a technology that can identify the location of individuals down to GPS accuracy with mobile phones. We have implemented extensive sales tracking for knowing exactly when your advertisements are successful, and it is our goal to make sure they are.","Advertising, Sales and Marketing",1,Phil Kanaby,1-10,,,,,,,,,,,,,Private,,,,,,
Make Site Fast,https://www.crunchbase.com/organization/make-site-fast,"Internet, SEO, Social Media Marketing, Web Hosting","Broomfield, Colorado, United States","Make Site Fast specialized in website speed optimization service, improving slow websites, increased speed, boosting SEO rankings, etc.","2,762,010","Greater Denver Area, Western US",,Active,,,,,,,For Profit,https://makesitefast.com,,"Internet Services, Sales and Marketing",,,,,,,,,,,,,,,,Private,,,,,,
Cuboid,https://www.crunchbase.com/organization/cuboid,"Architecture, Construction, Consulting, Project Management","Virginia Beach, Virginia, United States","Cuboid offers architectural consultancy, building information, and design-build services.","2,762,011","East Coast, Southern US",,Active,2003-01-01,year,,,,,For Profit,https://cuboidglobal.com,"Cuboid is a partnership firm. They support a co-creative process with clients, consultants, and contractors. They respond to customer inquiries by phone and email.","Administrative Services, Other, Professional Services, Real Estate",2,"Kamalahasan Ramaswamy, Merlin Deva Samuel",11-50,,,,,,,,,,,,,Private,,,,,,
Stark Associates Insurance,https://www.crunchbase.com/organization/stark-associates-insurance,"Financial Services, Health Insurance, Insurance, Life Insurance","Shrewsbury, New Jersey, United States",Stark Associates Insurance provides business and personal insurance services.,"2,762,013","Greater New York Area, East Coast, Northeastern US",,Active,,,,,,,For Profit,https://www.stark-associates.com,,Financial Services,,,1-10,,,,,,,,,,,,,Private,,,,,,
Lake Dental Care,https://www.crunchbase.com/organization/lake-dental-care,"Dental, Health Care, Medical","Big Lake, Minnesota, United States","Lake Dental Care is a dental care that provides dental treatments, sedation, cosmetic dentistry, endodontics, and botox.","2,762,015","Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://bldentist.com,,Health Care,,,11-50,,,,,,,,,,,,,Private,,,,,,
Flow Vascular Institute,https://www.crunchbase.com/organization/flow-vascular-institute,"Health Care, Medical, Personal Health","Webster, Texas, United States",Flow Vascular Institute is a dialysis access center.,"2,762,019","Greater Houston Area, Southern US",,Active,,,,,,,For Profit,https://www.flowvascularinstitute.com,"Flow Vascular Institute is a dialysis access center that offers dialysis access repair, dialysis access creation, peripheral vessel procedures, peritoneal dialysis catheters, and more services.",Health Care,,,51-100,,,,,,,,,,,,,Private,,,,,,
RA Consulting,https://www.crunchbase.com/organization/ra-consulting-d07b,"Consulting, Professional Services, Training","Santa Ana, California, United States","RA Consulting is a consulting, design, engagement, and on-site management firm.","2,762,023","Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,1997-01-01,year,,,,,For Profit,https://raconsulting.us,"RA Consulting is an industry event and trade show management, staffing, public safety, and crowd management partner. They are a consulting, design, engagement, and on-site management firm. Their offerings for management services include all phases of public safety, crowd management, and on-site staffing needs.","Education, Other, Professional Services",,,11-50,,,,,,,,,,,,,Private,,,,,,
Kashrus,https://www.crunchbase.com/organization/kashrus,"Consulting, Food and Beverage, Software","Brooklyn, New York, United States","Kashrus deals with software development, business consultation, and software consultation for the food industry.","2,762,029","Greater New York Area, East Coast, Northeastern US",Less than $1M,Active,2000-01-01,day,,,,,For Profit,http://www.kashrus.com,,"Food and Beverage, Professional Services, Software",,,11-50,,,,,,,,,,,,,Private,,,,,,
