Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Bungie,https://www.crunchbase.com/organization/bungie-software,"Digital Media, Media and Entertainment, Video Games","Bellevue, Washington, United States",Bungie is a development studio dedicated to creating community through gaming.,"2,995","Greater Seattle Area, West Coast, Western US",$100M to $500M,Active,1991-01-01,year,2022-01-31,day,,,For Profit,http://www.bungie.net,"From a creepy one bedroom apartment housing two dudes, to a fully-loaded game studio stuffed full of free snacks. From freedom to indentured servitude and back to freedom again (but still with some indentured servitude). There and Back Again, the story of Bungie. Most folks only know of Bungie because of Halo, but now, learn about the studio's quiet beginnings and its sometimes dubious history.","Gaming, Media and Entertainment",2,"Alexander Seropian, Jason Jones",501-1000,1,M&A,100000000,USD,100000000,100000000,USD,100000000,NetEase,1,1,,Private,,,,,,
Samba TV,https://www.crunchbase.com/organization/sambatv,"Advertising, Apps, Digital Media, Video","San Francisco, California, United States",Samba TV enables the next-generation TV experience powered by its first-party data and helps viewers engage with relevant media.,"3,000","San Francisco Bay Area, West Coast, Western US",$100M to $500M,Active,2008-01-01,year,,,,,For Profit,http://www.samba.tv,"Samba TV provides streaming services, connected devices, time-shifting, and multi-screen viewership, our data products solve real problems and create a meaningful competitive advantage for our clients given the dramatic growth in streaming services, connected devices, time-shifting, and multi-screen viewership.","Advertising, Apps, Media and Entertainment, Sales and Marketing, Software, Video",3,"Alvir Navin, Ashwin Navin, David Harrison",251-500,10,Late Stage Venture,45663000,USD,45663000,45663000,USD,45663000,"Gaingels, Mark Cuban, Sand Hill Angels, August Capital, Draper Associates",4,22,5,Private,,,,,,
Car IQ,https://www.crunchbase.com/organization/cariq-2,"Automotive, Financial Services, FinTech","San Francisco, California, United States",The better way for fleets to pay,"3,001","San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,2016-10-31,day,,,,,For Profit,https://www.cariqpay.com,"Car IQ’s cutting-edge payments platform eliminates the credit card completely and connects your vehicle directly to merchants to make secure payments. Car IQ integrates with existing tech stacks and uses telematics and vehicle data to provide fleets with detailed vehicle insights, enabling them to monitor each transaction and prevent fraud. Car IQ consolidates all transactions into a single ledger, reducing reconciliation and enabling fleets to manage their spending more effectively.","Financial Services, Transportation",1,Sterling Pratz,11-50,8,Early Stage Venture,37778000,USD,37778000,41978000,USD,41978000,"Blackberry, Visa, Alumni Ventures, Navistar, Plug and Play",4,20,,Private,,,,,,
Sutter Hill Ventures,https://www.crunchbase.com/organization/sutter-hill-ventures,"Business Development, Finance, Financial Services, Venture Capital","Palo Alto, California, United States",Sutter Hill Ventures focuses on technology-based start-ups.,"3,003","San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,Active,1964-01-01,year,,,,,For Profit,http://www.shv.com,"Sutter Hill Ventures has financed technology-based start-ups and assisted entrepreneurs in building companies since 1962. Through their decades of experience, they have developed strong industry networks, considerable operating and venture capital experience, and an understanding of the challenges that early-stage and high-growth companies face. They offer expertise in developing business strategies and partnerships, building management teams, and financing companies in both public and private markets. They have experienced operating executives who love building companies. Their approach is straightforward. They have a collegial and uncomplicated operating style that is direct and results-driven. They work as a team to respond quickly to new investment proposals and to their portfolio companies needs. Once they invest in a company, they bring to bear their time, expertise, and extensive industry networks to help these companies succeed. Building companies is their top priority and their favorite occupation. They have structured Sutter Hill to allow them to invest in a focused portfolio of early-stage companies and build value for the long term. They are always available to their CEOs and founders as advisors and mentors ready with practical and strategic advice from their own venture capital and operating experiences. They don't insist on winning every argument, but they will always tell you what they think. They also have a network of executives, advisors, and support infrastructure to help their portfolio get going in the right direction quickly. As former line managers themselves, they know the vision, energy, and commitment that building a successful company requires. They strive to build partnerships with entrepreneurs that combine dedicated support from Sutter Hill with trust that the teams they back can make good decisions and execute on the details. Their limited partners have committed long-term support to their evergreen fund which allows them to make long-term commitments to their companies. In addition, a significant portion of every dollar they invest in their own money, and each one of them participates in every investment. This direct investment reinforces each partner's commitment to every company in their portfolio and ensures that they bring every available resource to bear in helping their companies succeed.","Financial Services, Lending and Investments, Professional Services",2,"Paul Wythes, William Draper",11-50,1,,15000000,USD,15000000,15000000,USD,15000000,,,,,Private,,,,,,
TScan Therapeutics,https://www.crunchbase.com/organization/tscan-therapeutics,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Waltham, Massachusetts, United States",TScan Therapeutics is a biopharmaceutical company focused on the development of immunotherapy treatments for cancer.,"3,004","Greater Boston Area, East Coast, New England",$1M to $10M,Active,2018-01-01,year,2021-07-15,day,,,For Profit,https://www.tscan.com/,"TScan is a biopharmaceutical company focused on the development of T-cell receptor (TCR) engineered T cell therapies (TCR-T) for the treatment of patients with cancer. The company’s lead liquid tumor TCR-T therapy candidates, TSC-100 and TSC-101, are in development for the treatment of patients with hematologic malignancies to eliminate residual leukemia and prevent relapse after hematopoietic stem cell transplantation. The company is also developing multiplexed TCR-T therapy candidates for the treatment of various solid tumors.","Biotechnology, Health Care, Science and Engineering",2,"Lea Hachigian, Tomasz Kula",51-100,5,IPO,137500000,USD,137500000,197500000,USD,197500000,"BlackRock, Google Ventures, RA Capital Management, Bessemer Venture Partners, Pitango VC",1,11,,Public,2021-07-15,,,TCRX,https://www.crunchbase.com/ipo/tscan-therapeutics-ipo--b89c7bab,NASDAQ
Odeko,https://www.crunchbase.com/organization/odeko,"Apps, Business Development, Software","New York, New York, United States",Odeko develops a business-grade software platform for small enterprises.,"3,006","Greater New York Area, East Coast, Northeastern US",$100M to $500M,Active,2019-01-01,year,,,,,For Profit,https://odeko.com,"Odeko is building an enterprise-grade software platform for small businesses to realize their own unique visions of the world. Using the power of data, the company's platform analyses sales data and discovers trends to construct an automatic ordering model.","Apps, Professional Services, Software",1,Dane Atkinson,101-250,8,Late Stage Venture,227022748,USD,227022748,227022748,USD,227022748,"JP Morgan Chase, Gaingels, Alumni Ventures, Y Combinator, B Capital",4,36,1,Private,,,,,,
Alcoa,https://www.crunchbase.com/organization/alcoa,"Automotive, Innovation Management, Manufacturing","Pittsburgh, Pennsylvania, United States","Alcoa is a global industry leader in bauxite, alumina and aluminum products.","3,006","Great Lakes, Northeastern US",$1B to $10B,Active,1888-01-01,year,1978-01-13,day,,,For Profit,http://alcoa.com,"A global leader in lightweight metals engineering and manufacturing, Alcoa innovates multi-material solutions that advance our world. Our technologies enhance transportation, from automotive and commercial transport to air and space travel, and improve industrial and consumer electronics products. We enable smart buildings, sustainable food and beverage packaging, high-performance defense vehicles across air, land and sea, deeper oil and gas drilling and more efficient power generation. We pioneered the aluminum industry over 125 years ago, and today, our 60,000 people in 30 countries deliver value-add products made of titanium, nickel and aluminum, and produce best-in-class bauxite, alumina and primary aluminum products.","Manufacturing, Professional Services, Transportation",1,Andrew Mellon,10001+,1,IPO,,,,7700000,USD,7700000,"Australian Renewable Energy Agency, Clean Energy Future Fund",1,2,13,Public,1978-01-13,,,AA,https://www.crunchbase.com/ipo/alcoa-ipo--e296d44e,NYSE - New York Stock Exchange
Furno,https://www.crunchbase.com/organization/furno,"Construction, Industrial, Industrial Engineering, Machinery Manufacturing","Palo Alto, California, United States",Furno is a climate technology company that produces zero-emission ordinary Portland cement.,"3,007","San Francisco Bay Area, Silicon Valley, West Coast",,Active,2020-01-01,year,,,,,For Profit,https://furnomaterials.com/,"Furno is a climate technology company that produces zero-emission ordinary Portland cement. Its technology combines oxyfuel combustion and a novel design to develop plants, providing the cement industry with agile, scalable, carbon-neutral, energy-efficient, and less capital-intensive cement technology.","Manufacturing, Real Estate, Science and Engineering",1,Gurinder Nagra,1-10,2,Seed,4499992,USD,4499992,4499992,USD,4499992,"Energy Capital Ventures, O'Shaughnessy Ventures, Cantos",2,3,,Private,,,,,,
MycoWorks,https://www.crunchbase.com/organization/mycoworks,"Biotechnology, Manufacturing, Product Research, Sustainability","Emeryville, California, United States",MycoWorks is a biotechnology company that offers non-plastic and non-animal materials to the market.,"3,008","San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,2013-01-01,year,,,,,For Profit,http://www.mycoworks.com,"MycoWorks is a biotech company that provides non-plastic and non-animal materials to the market. Their mycelium products provide natural alternatives to plastic foams, textiles, and leather. Their products are made from bio-materials using fungal mycelium to create energy-efficient and biodegradable alternatives to plastic foams, synthetic textiles, engineered woods, and leather for use in aerospace, automobiles, apparel, and architectural interiors.","Biotechnology, Data and Analytics, Design, Manufacturing, Science and Engineering, Sustainability",3,"Eddie Pavlu, Philip Ross, Sophia Wang",101-250,7,Late Stage Venture,187000000,USD,187000000,187000000,USD,187000000,"8VC, Gaingels, AgFunder, IndieBio, SOSV",5,25,,Private,,,,,,
Lula,https://www.crunchbase.com/organization/lula,"Developer APIs, FinTech, Insurance","Miami, Florida, United States","Lula provides a variety of tools, including risk management, claims management, policy administration, and insurance coverage access.","3,011","Greater Miami Area, East Coast, Southern US",$1M to $10M,Active,2020-08-01,month,,,,,For Profit,https://www.lula.com,"Lula Technologies is a provider of insurance services. With Lula, customers are able to better assess their customer's risk, administer policies, manage their claims, and embed their own insurance products into their business flows.","Financial Services, Software",2,"Matthew Vega Sanz, Michael Vega Sanz",101-250,5,Early Stage Venture,53500000,USD,53500000,53500000,USD,53500000,"SoftBank, Flexport, Khosla Ventures, Plug and Play, Karman Ventures (fka Moving Capital)",3,18,,Private,,,,,,
