Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Thule Group,https://www.crunchbase.com/organization/thule-group,"E-Commerce, Logistics, Retail","Seymour, Connecticut, United States","Thule offers a wide assortment of accessories to simplify the transportation of your gear and equipment in a secure, safe and stylish way.","229,000","East Coast, New England, Northeastern US",$100M to $500M,Active,1981-01-01,year,,,,,For Profit,http://www.thule.com/,,"Commerce and Shopping, Transportation",1,Erik Thulin,1001-5000,,,,,,,,,,,,2,Private,,,,,,
Enact Mortgage Insurance,https://www.crunchbase.com/organization/enact-mortgage-insurance-is-an-insurance-provider-that-helps-people-find-homes-with-loan-amounts,"Finance, Financial Services, Insurance","Raleigh, Illinois, United States",Enact Mortgage Insurance is an insurance provider that helps people find homes with loan amounts.,"229,002","Great Lakes, Midwestern US",,Active,1981-01-01,year,,,,,For Profit,https://enactmi.com,"Enact Mortgage Insurance for tips and advice about the mortgage industry and growing business. They provide extra-mile service and insightful expertise that drives. They provide solutions and service for borrowers. They offer services such as borrower benefits, training on-demand programmes, and hfa loan support.",Financial Services,,,251-500,,,,,,,,,,,,,Private,,,,,,
Solstice Neurosciences,https://www.crunchbase.com/organization/solstice-neurosciences,"Biotechnology, Manufacturing, Marketing","South San Francisco, California, United States","Solstice Neurosciences is focused on the development, manufacturing, sales and marketing of specialty biopharmaceutical products.","229,002","San Francisco Bay Area, West Coast, Western US",,Closed,2003-01-01,year,2010-08-13,day,,none,For Profit,http://www.solsticeneuro.com,"Solstice Neurosciences is a specialty biopharmaceutical company focused on the development, manufacturing, sales and marketing of specialty biopharmaceutical products. Solstice's first product named MyoblocÂ® (rimabotulinumtoxinB) Injection in the U.S. and NeuroBlocÂ® (Botulinum Toxin Type B) Injectable Solution in select overseas markets, represents the only botulinum toxin type B currently available to physicians and patients worldwide.","Biotechnology, Manufacturing, Sales and Marketing, Science and Engineering",,,51-100,2,M&A,93000000,USD,93000000,93000000,USD,93000000,"Highland Capital Partners, Investor Growth Capital Limited, Oxford Bioscience Partners, Thomas, McNerney & Partners, Morgan Stanley Venture Partners",1,5,,Private,,,,,,
Feature.fm,https://www.crunchbase.com/organization/feature-fm,"Ad Network, Advertising, Analytics, Local, Marketing, Music, Search Engine","New York, New York, United States","Feature.fm builds marketing, advertising, and analytics technology for the music industry.","229,004","Greater New York Area, East Coast, Northeastern US",,Active,2013-01-01,year,,,,,For Profit,http://www.feature.fm,"Feature.fm is the leading marketing, advertising, and analytics technology company for the music industry providing a suite of tools to music marketers.","Advertising, Data and Analytics, Internet Services, Media and Entertainment, Music and Audio, Sales and Marketing",2,"Lior Aharoni, Zohar Aharoni",11-50,2,Seed,,USD,,,USD,,Star Farm Ventures,,1,,Private,,,,,,
Protein Bar,https://www.crunchbase.com/organization/protein-bar,"Food Processing, Hospitality, Restaurants","Chicago, Illinois, United States",Protein Bar is a fast food restaurant chain serving high protein food and drinks.,"229,004","Greater Chicago Area, Great Lakes, Midwestern US",Less than $1M,Active,2009-01-01,year,,,,,For Profit,http://theproteinbar.com,"Protein Bar, a chain of healthy fast-food restaurants that began with a single store across the street from the Willis Tower in 2009, is in late-stage acquisition talks with Catterton Partners, a Greenwich, Conn.-based private equity firm, according to documents obtained by Crain's.","Food and Beverage, Travel and Tourism",1,Matt Matros,251-500,2,Private Equity,22000000,USD,22000000,22000000,USD,22000000,"L Catterton, Tom Ryan",1,2,,Private,,,,,,
DarkBytes,https://www.crunchbase.com/organization/darkbytes,"Information Technology, Security","San Jose, California, United States",DarkBytes offers a unified platform to deliver security operations center services.,"229,005","San Francisco Bay Area, Silicon Valley, West Coast",,Closed,2016-01-01,year,2019-01-29,day,2019-01-29,day,For Profit,https://www.darkbytes.com,DarkBytes offers a unified platform to deliver security operations center services to organizations of all sizes. DarkBytes is transforming cyber-security for small and mid-sized enterprises with the first Unified Endpoint Protection Platform designed to consolidate your critical security controls into a single lightweight agent.,"Information Technology, Privacy and Security",2,"Dennis Griffin, Matthew Adams",11-50,,M&A,,,,,,,,,,,Private,,,,,,
Warrior Custom Golf,https://www.crunchbase.com/organization/warrior-custom-golf,"Golf, Manufacturing, Sports","Irvine, California, United States","Warrior Custom Golf is a custom golf club company that develops, manufactures, and markets custom golf clubs for golfers worldwide.","229,006","Greater Los Angeles Area, West Coast, Western US",$50M to $100M,Active,1998-01-01,day,,,,,For Profit,https://www.warriorcustomgolf.com/,"Warrior Custom Golf is a custom golf club company that develops, manufactures, and markets custom golf clubs for golfers worldwide. It is dedicated to the continual development of affordable state of the art custom golf products and to building customer loyalty through customer service that is as exceptional as its products. It was established in 1998 and is based in Irvine, California.","Manufacturing, Sports",,,51-100,,,,,,,,,,,,,Private,,,,,,
Anturis,https://www.crunchbase.com/organization/anturis,"Infrastructure, Internet, SaaS, Software","San Francisco, California, United States",Anturis is a cloud-based platform for monitoring web services and IT infrastructure such as servers and applications.,"229,007","San Francisco Bay Area, West Coast, Western US",Less than $1M,Closed,2011-06-01,day,,,,none,For Profit,http://anturis.com,"Anturis is a cloud-based (SaaS) monitoring platform built for both external monitoring of company web services and internal monitoring of IT infrastructure, such as servers and applications. Anturis was founded by successful IT entrepreneurs and venture investors Serguei Beloussov, Max Tsypliaev and Ilya Zubarev, who each have more than 15 years of IT experience. The team is backed by a seasoned IT experts and software engineers who have all worked for leading global IT companies and startups including Parallels, Kaspersky Lab, Amdocs, Atempo, K7 Cloud, and jNetX. Anturis was launched in 2013 after several months of open beta and is already used by over a hundred companies from all around the world who trust Anturis to monitor their IT infrastructure.","Internet Services, Other, Software",3,"Ilya Zubarev, Max Tsypliaev, Serg Bell",11-50,1,Early Stage Venture,2000000,USD,2000000,2000000,USD,2000000,"Runa Capital, VEB Ventures",2,2,,Private,,,,,,
Anima Iris,https://www.crunchbase.com/organization/anima-iris,"Consumer Goods, E-Commerce, Fashion, Manufacturing, Retail","Philadelphia, Pennsylvania, United States",Anima Iris specializes in the manufacturing of women's designer handbags and accessories.,"229,007","Greater Philadelphia Area, Great Lakes, Northeastern US",$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://animairis.com,"Anima Iris is a high fashion brand that specializes in the manufacturing of women's designer handbags and accessories. The company offers a variety of products including handbags, baby bags, and other accessories. The handbags are colorful and vibrant, handmade in Africa using leathers from Italy. The baby bags are mini versions of the Anima Iris Handbag Styles and are designed to safeguard AirPods. The company also offers free shipping to the US and easy returns.","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Manufacturing",1,Wilglory Tanjong,1-10,,,,,,,,,,,,,Private,,,,,,
Premier Health,https://www.crunchbase.com/organization/premier-health,"Health Care, Management Consulting","Baton Rouge, Louisiana, United States",Premier Health is a management consulting firm healdquartered in Louisiana.,"229,008",Southern US,Less than $1M,Active,1991-01-01,year,2021-03-10,day,,,For Profit,http://premierhealthconsultants.com,"Premier Health is an urgent care company specializing in joint-venture partnerships, as well as, management and consulting services for health systems, select physician practices and other healthcare organizations. Premier Health became one of the first healthcare companies in the nation to own and operate urgent care centers utilizing a health system, joint-venture model. Today they are recognized industry-wide as one of most successful joint-venture, urgent care companies in the nation.  Premier Health currently owns and/or operates 50 plus urgent care centers in 5 states and Puerto Rico.   Already one of the country’s fastest growing urgent care companies with approximately 500,000 patient visits a year, National Urgent Care Realty ranks Premier Health the 5th largest health system affiliated urgent care operator in the country.  Premier’s rapid expansion is projected to continue with a number of health system partnerships currently under consideration or nearing completion. ","Health Care, Professional Services",,,501-1000,,M&A,,,,,,,,,,,Private,,,,,,
