Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
VPBank,https://www.crunchbase.com/organization/vpbank,"Banking, Employee Benefits, Financial Services","Hanoi, NA - Vietnam, Vietnam","VPBank offers insurance, personal services, loans, electronic banking, and other services.","12,235",Active,1993-01-01,year,2017-08-11,day,,,For Profit,http://www.vpbank.com.vn,"VPBank offers insurance, personal services, loans, electronic banking, and other products and services. VPBank is a joint-stock commercial bank in Vietnam. VPBank has achieved steady development throughout its history. Especially since 2010, VPBank has grown dramatically with the development and implementation of the strategic transformation program, with diligent support from consulting companies.",IPO,1976666033,USD,1976666033
Vingroup,https://www.crunchbase.com/organization/vingroup,"Finance, Property Management, Real Estate, Real Estate Investment","Hanoi, NA - Vietnam, Vietnam",Vingroup Joint Stock Company primarily engages in the real estate business in Vietnam.,"13,250",Active,1993-01-01,year,2012-01-02,day,,,For Profit,http://vingroup.net/,"Vingroup primarily engages in the real estate business in Vietnam. It operates in Sales of Inventory Properties; Leasing Investment Properties and Related Services; Hospitality, Entertainment and Related Services; Healthcare and Related Services; Education and Related Services; Retail Services; and Manufacturing Activities segments.  Vingroup develops, trades in, and sells apartments and villas; invests, develops, and trades in real estate properties; and leases office and retail areas, as well as provides related services. It also operates hotels, resorts, restaurants, golf courses, amusement parks, health and beauty spas, conference rooms, restaurants, and wild animal safari and entertainment facilities.  Moreover, Vingroup offers healthcare, medical, and related services; and operates shopping malls, convenience and department stores, supermarkets, and fashion showrooms. Further, it provides education, security, logistics, information technology, sanitation, environmental landscape, architectural, technical consultancy, and residential and civil construction services; offers agricultural products and pharmaceuticals; and trades in books.  Additionally, Vingroup retails food, daily necessities, fashion and travel products, electronics, and household appliances through adayroi.com; and manufactures automotive vehicles, mobile phones, and related products. It also offers monetary intermediation, motor vehicle repair and maintenance, goods loading, and investment services; produces software and communication equipment; trades in equipment, components, and spare parts for motorbikes; organizes exhibitions, events, conferences, and seminars; researches and develops experimental natural science and technology; and owns an university.  Pham Nhat Vuong founded Vincom in 1993 that became Vingroup in April 2012. It has its headquarters in Hanoi in Vietnam.",M&A,1900000000,USD,1900000000
MASAN Group,https://www.crunchbase.com/organization/masan-group,"Finance, Financial Exchanges, Financial Services","Ho Chi Minh City, NA - Vietnam, Vietnam",MASAN Group is one of Vietnam’s largest private sector companies with a focus on the consumption and resources sectors.,"18,231",Active,1996-01-01,year,,,,,For Profit,https://www.masangroup.com,"They are one of Vietnam’s largest private sector companies with a focus on the consumption and resources sectors. They have a track record of actively building, acquiring and managing large-scale operating platforms that capitalize on Vietnam’s structural consumption and resources stories. They believe that substantial value can be created for their shareholders through professional management, global partners and a commitment to serving Vietnam’s emerging middle class. Their vision is to become Vietnam’s local private sector champion in terms of scale, profitability, and shareholder return and to become the country’s growth partner and employer of choice. In order to achieve this vision, they operate in sectors where a local private sector company can be a market leader and can develop scale through focus and consolidation. Their  management team comprises professionals with global risk management and capital allocation expertise, Vietnamese managers with local execution experience and, at their operating businesses, senior industry executives with a track record at multinational corporations.",Private Equity,2680000000,USD,2680000000
SeA Bank,https://www.crunchbase.com/organization/sea-bank,"Banking, Finance, Financial Services, Lending","Hanoi, NA - Vietnam, Vietnam","SeA Bank is a banking institution that provides services like preferential loans, tax services, online transaction solutions, and more.","23,294",Active,1994-01-01,year,2020-12-30,day,,,For Profit,https://www.seabank.com.vn,"SeA Bank is a banking institution that provides various services. The bank gives small businesses, large enterprises, and individuals access to a variety of banking products and services, including daily banking services, cards, including debit and credit cards, savings services, home loans, auto loans, and international transaction services. While preserving the expansion of large organizations, it places an emphasis on professional households and small and medium-sized businesses. SeA Bank was established in 1994 in Hanoi, Vietnam.",IPO,595000000,USD,595000000
HDBank,https://www.crunchbase.com/organization/hong-ha-son-food-investment-development-joint-stock-bank,"Banking, Commercial, Credit, Financial Services","Ho Chi Minh City, NA - Vietnam, Vietnam","DBank is a commercial bank that offers consumers, corporations, and investors a comprehensive range of financial and banking services.","23,366",Active,1990-01-01,year,2017-12-25,day,,,For Profit,https://www.hdbank.com.vn/,"HDBank was established in 1990, is one of the first joint-stock commercial banks in the country. Over 30 years of operation, HDBank is now one of the leading banks in Vietnam and is expanding internationally. HDBank has strong financial potential and modern technology, providing a wide range of financial and banking services to individuals, businesses, and investors.",IPO,10000000,USD,10000000
Techcombank,https://www.crunchbase.com/organization/techcombank,"Banking, Finance, Financial Services","Hanoi, NA - Vietnam, Vietnam",Techcombank is now  joint-stock commercial bank in Vietnam.,"23,463",Closed,1993-01-01,year,,,,none,For Profit,https://www.techcombank.com.vn,Techcombank is now  joint-stock commercial bank in Vietnam.,Private Equity,870000000,USD,870000000
Hoa Phat Group,https://www.crunchbase.com/organization/hoa-phat-group,"Agriculture, Building Material, Construction, Industrial, Industrial Manufacturing, Manufacturing, Real Estate","Ho Chi Minh City, NA - Vietnam, Vietnam",Hoa Phat Group is an industrial manufacturing company that focuses on steel production.,"23,676",Active,1992-08-01,month,2007-10-31,day,,,For Profit,https://www.hoaphat.com.vn/,"Hoa Phat Group is an industrial manufacturing company that focuses on steel production. Originating as a construction machine and equipment trading company in August 1992, Hoa Phat has gradually expanded its business to trading and production of Furniture, Steel Pipe , Steel, Refrigeration, Real Estate and Agriculture. Since November 15, 2007, Hoa Phat has been officially listed on the Stock Exchange under the stock ticker symbol ‘HPG’. Currently, Hoa Phat Group has 11 member companies with about 20,000 employees, operating nationwide and 01 office in Singapore. Steel production is the core, accounting for over 80% revenue and profit of the Group.",IPO,58148000000000,VND,2506379310
Orient Commercial Joint Stock Bank,https://www.crunchbase.com/organization/orient-commercial-joint-stock-bank,"Banking, Financial Services","Ho Chi Minh City, NA - Vietnam, Vietnam",One of the best commercial joint stock banks in Vietnam.,"27,727",Active,1996-06-10,day,,,,,For Profit,https://ocb.com.vn/vi/ca-nhan," OCB is a dynamic Joint Stock Bank, with over 85 branches in 18 provinces. Over the past 15 years, it has proven its capacity to develop in a competitive market. It now has over 1700 motivated staff to serve its growing customer base. ",,111000000,USD,111000000
BIDV,https://www.crunchbase.com/organization/bank-for-investment-and-development-of-vietnam,"Banking, Finance, Financial Services","Hanoi, NA - Vietnam, Vietnam",BIDV is a banking firm that specializes in banking products and financial services.,"42,195",Active,1957-04-26,day,,,,,For Profit,https://www.bidv.com.vn,"BIDV is a Vietnamese commercial and state-owned bank engaged in the provision of investment banking services for individual customers, corporate customers, and financial institutions. Its products include deposits, savings, personal loan, e-banking, trade finance, guarantees, and global markets. BIDV was founded in 1957 and is based in Hanoi, Vietnam.",Private Equity,875000000,USD,875000000
VINATEX,https://www.crunchbase.com/organization/vinatex,"Fashion, Manufacturing, Textiles","Hanoi, NA - Vietnam, Vietnam",VINATEX produces and manufactures a wide variety of textiles and garments.,"46,869",Active,1995-01-01,year,,,,,For Profit,http://vinatex.com.vn/,"VINATEX produces and manufactures a wide variety of textiles and garments. It has over 80 subsidiaries and affiliates and 100,000 group staff members from the upstream to downstream of the textile industry. The company was founded in 1995 and is headquartered in Hanoi, Vietnam.",,47000000,USD,47000000
