Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
EQuest Education Group,https://www.crunchbase.com/organization/equest-education-group,"Education, Higher Education","Ho Chi Minh City, NA - Vietnam, Vietnam",EQuest Education Group operates as an educational services provider.,"29,855",Active,2003-01-01,year,,,,,For Profit,https://equest.vn,"EQuest Education Group operates as an educational services provider. EQuest always upholds the human factor, because this is a valuable asset that determines the development of the corporation. We always welcome candidates who have a desire to contribute, desire to work in a professional and dynamic environment.",Private Equity,120000000,USD,120000000
International Dairy Products,https://www.crunchbase.com/organization/international-dairy-products,"Food and Beverage, Food Processing","Hanoi, NA - Vietnam, Vietnam","International Dairy Products engages in manufacturing, processing, and distributing dairy products.","34,239",Active,2004-01-01,year,,,,,For Profit,https://idp.vn/,"International Dairy Products engages in manufacturing, processing, and distributing dairy products.",Private Equity,145400000,USD,145400000
MWG - Mobile World Group,https://www.crunchbase.com/organization/mwg-mobile-world-group,Consumer Electronics,"Ho Chi Minh City, NA - Vietnam, Vietnam",Vietnam’s largest mobile device and consumer electronics retailer.,"37,501",Active,2004-01-01,year,2014-07-14,day,,,For Profit,https://mwg.vn/eng/,"To pursue an Omni-channel strategy, the Company operates a few thousand stores nationwide along with leveraging the deep understanding of customer insights thanks to massive data, in-house developed supporting capabilities, and continuously innovating to create outstanding and unified customer experience across all channels, as well as enhance brand attachment. In MWG's ecosystem, besides the subsidiaries running the retail chains (thegioididong.com, Dien May Xanh, Bach Hoa Xanh, An Khang pharmacies...), there are other subsidiaries providing related services such as: after sales - installation services, last-mile delivery, logistics and warehousing services, distribution of safely-grown agricultural products 4KFarm. MWG was established in 2004 by Nguyen Duc Tai in Ho Chi Minh City, NA - Vietnam.",IPO,994000000000,VND,43761389
Sieu Viet Group,https://www.crunchbase.com/organization/sieu-viet,"Human Resources, Internet, Recruiting, Staffing Agency","Ho Chi Minh City, NA - Vietnam, Vietnam",Sieu Viet is an online recruitment firm.,"49,218",Active,2004-01-01,year,,,,,For Profit,https://nhanlucsieuviet.com/,Sieu Viet Group is an online recruitment firm.,Private Equity,34000000,USD,34000000
Viet UC,https://www.crunchbase.com/organization/viet-uc,"Agriculture, Aquaculture, Farming, Seafood","Ho Chi Minh City, NA - Vietnam, Vietnam",Viet UC provides aquaculture and agriculture product manufacturing services and specializes in shrimp production.,"76,912",Active,2001-01-01,year,,,,,For Profit,https://vietuc.com,,Private Equity,49500000,USD,49500000
VNG,https://www.crunchbase.com/organization/vng,"Internet, Software","Ho Chi Minh City, NA - Vietnam, Vietnam",VNG corporation is an Internet company developes a various system of online products.,"91,584",Active,2004-01-01,year,,,,,For Profit,http://vng.com.vn,"VNG is Vietnam’s leading Internet company. Youthful, passionate, dynamic, constantly innovating and pushing technological boundaries, they currently dominate the local market with over 20 highly popular entertainment, community and software products.",,500000,USD,500000
Ho Chi Minh City Infrastructure Investment,https://www.crunchbase.com/organization/ho-chi-minh-city-infrastructure-investment,"Civil Engineering, Construction, Infrastructure","Ho Chi Minh City, NA - Vietnam, Vietnam","Ho Chi Minh City Infrastructure Investment provides construction, development, and operation of infrastructure projects.","94,505",Active,2001-01-01,year,2006-05-18,day,,,For Profit,http://www.cii.com.vn,"Ho Chi Minh City Infrastructure Investment provides construction, development, and operation of infrastructure projects. They serve infrastructure, including traffic roads and bridges, residential infrastructure, industrial infrastructure, the production and supply of fresh water, and toll road services.",IPO,50000000,USD,50000000
Ricons,https://www.crunchbase.com/organization/ricons,"Civil Engineering, Property Development, Real Estate","Ho Chi Minh City, NA - Vietnam, Vietnam",Ricons is a real estate investment company .,"99,241",Active,2004-01-01,year,,,,,For Profit,https://www.ricons.vn/,"Ricons is an investment company in real estate businesses. The company's business area includes general construction contractor, electromechanical general contractorelectromechanical general contractor, construction designconstruction design, and invest.",,10000000,USD,10000000
CenLand,https://www.crunchbase.com/organization/cenland,"Real Estate, Real Estate Investment","Hanoi, NA - Vietnam, Vietnam","CenLand is a real estate consultancy, management, and brokerage firm.","101,110",Active,2002-01-01,year,,,,,For Profit,https://www.cengroup.vn,"CenLand is a real estate consultancy, management, and brokerage firm. It provides real estate sales and marketing, real estate investment, marketing solutions consulting, property valuation, interior design and construction, and other investments. CenLand is the first member company of CenGroup. The Hanoi-based real estate firm was founded in 2012.",,10000000,USD,10000000
Puratos Grand-Place Indochina,https://www.crunchbase.com/organization/puratos-grand-place-indochina,"Bakery, Food and Beverage, Manufacturing, Recipes","Ho Chi Minh City, NA - Vietnam, Vietnam","Puratos Grand-Place Indochina is a food manufacturing firm that offers bread, cake, and chocolate products and provides various recipes.","135,087",Active,2001-01-01,year,,,,,For Profit,http://www.puratosgrandplace.com,"Puratos Grand-Place Indochina is a developer of ingredients and solutions for chocolatiers, bakers, and bakeries. They provide raw materials and specialized solutions in the chocolate, bakery, and pastry industries to bakeries, food service companies, and supermarkets, as well as industrial and semi-industrial customers.",,1463660,EUR,1728800
The Gioi Di Dong,https://www.crunchbase.com/organization/thế-giới-di-Động,"E-Commerce, iOS, Mobile, Retail","Ho Chi Minh City, NA - Vietnam, Vietnam",Vietnam's largest mobile phone retail chain.,"153,759",Active,2004-01-01,year,,,,,For Profit,https://www.thegioididong.com/,"Vietnam's largest mobile phone retail chain, with 478 mobile phone stores and 37 large-format consumer electronics stores, and more than 20% market share nationwide.",,3500000,USD,3500000
An Phat Holdings,https://www.crunchbase.com/organization/an-phat-holdings,"Environmental Consulting, Manufacturing, Plastics and Rubber Manufacturing","Hai Duong, NA - Vietnam, Vietnam",Plastic and packaging producer Company. ,"165,328",Active,2002-01-01,year,,,,,For Profit,http://www.anphatplastic.com/,"An Phat Plastic and Green Environment Joint Stock Company (formerly known as An Phat Plastic and Packaging Joint Stock Company) was established on March 9, 2007, the current charter capital is VND835,999,880,000 (eight hundred three and is a member of the Vietnam Plastic Association, a member of the Association of International Manufacturers of Large Products (APS). The company is headquartered at Lot 11, Branch 12, An Dong Industrial Complex, Nam Sach Town, Nam Sach District, Hai Duong Province. With nearly 200 staffs and young professionals with more than 1000 skillful workers, the company strives to make the best efforts, constantly improve the technical lines, production technology to become the largest thin film packaging enterprise in Vietnam.",,15600000,USD,15600000
"HTK SHIPPING AND IMPORT EXPORT CO.,LTD",https://www.crunchbase.com/organization/xanh-lam-house,"Business Travel, Marine Transportation, Shipping, Shipping Broker","Hai Phong, NA - Vietnam, Vietnam","HTK's business lines are not only ship owners, managers and operators, but also frequently need large chartered vessels","182,725",Active,2002-12-01,day,2012-04-01,day,,,For Profit,https://htkvn.com,"HTK was established on April 12, 2002 with its head office located at 341 Da Nang, Van My Ward, Ngo Quyen District, Hai Phong. Since its inception, HTK has been constantly striving to expand, develop and renovate its fleet. Current fleet of HTK currently consists of 12 vessels ranging from 3,200 DWT to 32,500 DWT operating at unrestricted level on domestic and international routes. HTK's business lines are not only ship owners, managers and operators, but also frequently need large chartered vessels to transport coal from Quang Ninh to thermal power plants in the central and southern areas. In addition, HTK is the importer of natural gypsum from Thailand for distributing cement plants in Vietnam and trading marine equipment. HTK has established, implemented, maintained and operated the Safety Management System and Environmental Protection System, Maritime Security System and Maritime Labor Convention (MLC2006) To supplement and improve the efficiency of systems as required by the Registry and the Maritime Administration. With many years of experience and tradition dedicated to customers, HTK is proud of being one of the leading shipping companies of the non-state sector, serving a large number of domestic and foreign customers. We are committed to continually strive to provide our customers with quality, professional and reputable transportation services. HTK would like to sincerely thank our customers and partners who have cooperated and supported us over the years and look forward to working with you in the future. HTK is also looking forward to the opportunity to cooperate with potential partners around the world on the basis of strengthening mutual interests of both parties.",M&A,1000000,USD,1000000
SmartOSC,https://www.crunchbase.com/organization/smartosc,"E-Commerce, Software","Hanoi, NA - Vietnam, Vietnam",Offer world-class e-commerce services,"189,752",Active,2003-01-01,year,,,,,For Profit,http://www.smartosc.com,"SmartOSC is one of the leading companies in eCommerce solutions, helping business boost their online profit. We offer simple, effective solutions, from designing your e-store to creating online strategies and operations management.  With a variety of large customers from North America and Europe, SmartOSC has proved its expertise in guiding companies to take advantage of the revenue opportunities in the online marketplace. Our expertise and experiences in website development enable us to understand clients' requirements and develop a website carving an exclusive image of your company in the market.  Our approach begins with insightful analysis of our client's current business practices, and we devise solutions to improve business efficiency. Partner with us today to get the best services!",,,,
