Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Sovex,https://www.crunchbase.com/organization/sovex,"Industrial, Logistics, Manufacturing","Kluang, Johor, Malaysia",Sovex manufactures material handling equipment for advanced manufacturing and distribution systems.,"647,480",Active,2002-01-01,year,,,,,For Profit,http://sovexsystems.com,"Sovex company designs, manufactures and installs vehicle loading and parcel handling systems to clients such as DHL, DPD, Hermes, UK Mail and Yodel has undergone phenomenal growth in recent the last two years.",Seed,750000,USD,750000
NAIM Holdings,https://www.crunchbase.com/organization/naim-holdings,"Construction, Oil and Gas, Property Development","Kuching, Sarawak, Malaysia",NAIM Holdings is an investment holding company.,"648,294",Active,2003-04-12,day,2003-09-12,day,,,For Profit,https://www.naim.com.my/,"NAIM Holdings offers integrated property development, investments, construction, civil engineering, infrastructure projects, and trading. Their customers inquiries are addressed through phone, email, and online applications.",IPO,,,
Weststar Aviation,https://www.crunchbase.com/organization/weststar-aviation,"Air Transportation, Energy, Transportation","Selangor, Selangor, Malaysia",Weststar Aviation Services is one of the providers of offshore helicopter transportation services to oil and gas companies.,"652,224",Active,2003-04-01,month,,,,,For Profit,https://www.weststar-aviation.aero/index.php,"Weststar is one of the global leaders in the offshore helicopter services industry. Safety is the number one core value and the highest operational priority at Weststar. Our culture, operations, and reputation are built upon this focus on safety. Weststar is committed to being the industry’s most efficient and safety-focused company. Serving some of the major oil and gas industry players, our fleet of state-of-the-art helicopters transport personnel to offshore production platforms and drilling rigs with the highest levels of safety, performance, and service.  With a growing fleet of modern helicopters and technical expertise, Weststar brings about comprehensive helicopter services to the industry and is well-positioned for the future.",Private Equity,,USD,
AMK Technology,https://www.crunchbase.com/organization/amk-technology,"Consulting, Information Technology, IT Management","Selangor, Selangor, Malaysia","AMK Technology is an IT consulting that offers staff augmentation, IT consulting, and other managed services.","655,289",Active,2002-01-01,year,,,,,For Profit,https://amktechnology.com/index.html,,,,,
Decubic,https://www.crunchbase.com/organization/decubic,"Advertising, Digital Marketing, Mobile Apps, Web Development","Selangor, Selangor, Malaysia",Decubic offers creative and result centric digital solutions via digital marketing.,"656,056",Active,2002-01-01,day,,,,,For Profit,http://www.decubic.com/,,,,,
Infront Consulting Group Asia Pacific,https://www.crunchbase.com/organization/infront-consulting-group-asia,"Cloud Storage, Data Center, Information Services, Information Technology","Petaling Jaya, Selangor, Malaysia",Infront Consulting Group Asia Pacific is a pioneer regional specialist in Cloud and Datacenter Consulting.,"658,435",Active,2003-01-01,year,2021-11-02,day,,,For Profit,https://infrontconsulting.asia/,Infront Consulting Group Asia Pacific is a pioneer regional specialist in Cloud and Datacenter Consulting.,M&A,,,
Melinda Looi,https://www.crunchbase.com/organization/melinda-looi,Fashion,"Kuala Lumpur, Kuala Lumpur, Malaysia",Mellooi Creation is a fashion designing firm.,"658,966",Active,2000-01-01,year,,,,,For Profit,http://www.melindalooi.com,"Mellooi Creation Sdn. Bhd. (MCSB) was founded by Malaysian designer Melinda Looi in the year 2000. Today MCSB is offering three distinctive brands catering to different target groups as well as special design services for corporate customers.  Melinda Looi is a multiple award winning fashion designer from Malaysia with four distinct brands to her name, which are Melinda Looi Couture, Melinda Looi Ivory (Bridal), Melinda Looi Ready-to-Wear and Mell Basics.  The mission of MCSB is to establish Melinda Looi as a leading Asian designer brand around the world. Providing unique but signature Melinda Looi designs, employing creativeness, professionalism and spreading our passion for fashion & creativity into everything we do and to everybody we work with.",,,,
Voiplid Network,https://www.crunchbase.com/organization/voiplid-network,"Internet, Mobile, Telecommunications","Kuala Lumpur, Kuala Lumpur, Malaysia",Voiplid Network is a VoIP service provider that enables its users to make VoIP and ISP calls with others.,"660,256",Active,2003-08-12,day,,,,,For Profit,https://www.voiplid.com,"Free International Calls-VoIP phone system for any type of business,residents,Call Center,mobile VoIP,SIP Trunking & FREE International Calls",,,,
Cradle Fund,https://www.crunchbase.com/organization/cradle-fund,"Financial Services, Information Technology, Venture Capital","Kuala Lumpur, Kuala Lumpur, Malaysia",Cradle Fund is an organization that supports early stage startups.,"662,351",Active,2003-01-01,year,,,,,For Profit,http://www.cradle.com.my,"WHO IS CRADLE? Cradle Fund Sdn Bhd (Cradle) is Malaysia's early stage start-up influencer, incorporated under the Ministry of Finance Malaysia (MOF) in 2003 with a mandate to fund potential and high-calibre tech start-ups through its Cradle Investment Programme (CIP). Throughout its 13-year history, Cradle has helped fund over 700 Malaysian tech start-ups and holds the highest commercialisation rate amongst government grants in the country. Having more than a decade of experience in the nation's grant funding scene, Cradle further expanded its role from grant provider to investor through the establishment of its venture arm, Cradle Seed Ventures in 2015 and following its portfolio expansion to equity investment in early 2017, Cradle now offers both funding and investment assistance.  Cradle's product offerings are not only restricted to monetary aid, but also include commercialisation support, coaching and various other value-added services to cater today's entrepreneurs' diversified needs. OUR MISSION To be the leading pre-seed, seed and start-up stage funding agency in Malaysia, that provides effective grant and equity funding, commercialisation support, coaching, and industry value-add to accelerate the growth of start-up companies. Cradle Fund Sdn Bhd is based in Kuala Lumpur, Malaysia.",,,,
GFM Services,https://www.crunchbase.com/organization/gfm-services,"Facility Management, Service Industry","Kuala Lumpur, Kuala Lumpur, Malaysia",GFM Services is a facility management service company.,"663,036",Active,2000-01-01,day,2004-01-01,day,,,For Profit,http://www.gfmservices.com.my/,"GFM Services is an investment holding company. They offer facility management services. The services include both hard and soft service offerings such as civil and structural engineering, electrical systems, landscaping, plumbing, and mechanical systems, among others. They provide broad spectrum of consultancy services ranging from planning and pre-construction to upgrade and refurbishment.",IPO,,,
SURE Holdings,https://www.crunchbase.com/organization/sure-hold,"Finance, Lead Generation, Real Estate","Kuala Lumpur, Kuala Lumpur, Malaysia",SURE Holdings offer property & Fine Wine opportunities to a wide range of people involved in the growing business of Wine and Real Estate.,"664,775",Active,2000-01-01,year,,,,,For Profit,https://sureholdings.com/,,,,,
InstanteStore,https://www.crunchbase.com/organization/instantestore,"E-Commerce, Marketing, Shopping, Software","Penang, Pulau Pinang, Malaysia",InstanteStore develops e-commerce software solutions for online shopping and marketing to business owners.,"668,244",Active,2001-09-01,month,,,,,For Profit,https://instantestore.com/,,,,,
InsiteMY,https://www.crunchbase.com/organization/insitemy,"Banking, Financial Services, Information Technology, Project Management, Software","Kuala Lumpur, Kuala Lumpur, Malaysia","InsiteMY is an IT company that provides banking and financial software development, project management, and managed IT services.","671,106",Active,2000-01-01,month,,,,,For Profit,https://www.insitemy.com/,,,,,
Mudajaya Group,https://www.crunchbase.com/organization/mudajaya-group,"Construction, Manufacturing, Project Management","Petaling Jaya, Selangor, Malaysia","Mudajaya Group provides construction, property development, and trading services.","672,739",Active,2003-02-06,day,2004-05-10,day,,,For Profit,https://www.mudajaya.com/,"Mudajaya Group is an investment holding firm that provides services for building, and developing real estate, trading, manufacturing, and concession assets. They integrate diversification and a sound business plan when designing and constructing power plants and towering chimneys.",IPO,,,
PBA Holdings Bhd,https://www.crunchbase.com/organization/pba-holdings-bhd,Water,"Penang, Pulau Pinang, Malaysia","PBA Holdings Bhd. is a water service provider for the state of Pulau Pinang, an island state in the north of Malaysia.","672,990",Active,2000-05-01,month,2005-04-05,day,,,For Profit,http://www.pbahb.com.my,"PBA Holdings Bhd. is a water service provider for the state of Pulau Pinang, an island state in the north of Malaysia. PBA Holdings Bhd. (PBAHB) is a public limited company that is based in Penang, Malaysia. The company was incorporated in May 2000 and listed on the Main Board of the Malaysian Bourse (Bursa Malaysia) in 2002.  PBA Holdings Bhd.'s business focus is water supply. PBAHB’s primary 100% owned subsidiary is Perbadanan Bekalan Air Pulau Pinang Sdn Bhd (PBAPP), the licensed water operator for Penang.  PBA Holdings Bhd.'s other 100% owned subsidiaries are: PBA Resources Sdn Bhd (PBAR), a management company that manages the Penang Water Services Academy (PWSA) and the Air Itam Teambuilding Centre (AITC). Island Springwater Sdn Bhd (ISSB), a drinking water bottling and marketing company.  PBA Holdings Bhd. also holds a 26% stake in an associate company – Pinang Water Limited (PWL). PWL is a joint-venture with Ranhill Technologies Sdn Bhd and YLI Holdings Bhd. This company’s China subsidiary supplies treated water to Yichun City in China.",IPO,,,
Malaysian Communications and Multimedia Commission,https://www.crunchbase.com/organization/malaysian-communications-and-multimedia-commission,"Law Enforcement, Service Industry, Telecommunications","Selangor, Selangor, Malaysia",Malaysian Communications and Multimedia Commission aims to promote and regulate the communications and the multimedia industry and its laws.,"673,288",Active,2000-01-01,year,,,,,For Profit,http://skmm.gov.my/,"Malaysian Communications and Multimedia Commission aims to promote and regulate the communications and the multimedia industry and its laws in Malaysia. Its primary role is to implement and promote the Government’s national policy objectives for the communications and multimedia sector. It also oversees the new regulatory framework for the converging industries of telecommunications, broadcasting, and online activities, in accordance with the national policy objectives set out in the Communications and Multimedia Act 1998 (CMA), as well as postal services and digital certifications. Malaysian Communications and Multimedia Commission is based in Selangor, Malaysia",,,,
Vivocom,https://www.crunchbase.com/organization/vivocom-5923,"Civil Engineering, Construction, Property Development","Kuala Lumpur, Kuala Lumpur, Malaysia",Vivocom is a construction engineering company.,"677,322",Active,2002-10-01,day,2005-01-18,day,,,For Profit,http://www.vivocomgroup.com,"Vivocom provides construction services. They offer services that include construction, aluminium design, fabrication, telecommunications, and engineering services.",IPO,,,
Expitris Worldwide,https://www.crunchbase.com/organization/expitris-worldwide,"Corporate Training, Training","Kuala Lumpur, Kuala Lumpur, Malaysia","Expitris Worldwide Sdn. Bhd offers professional workshops, online training, and strategic business bridging in financial services.","679,126",Active,2004-01-01,year,,,,,For Profit,https://expitris.com/,,,,,
Rentwise,https://www.crunchbase.com/organization/rentwise,"Information Technology, IT Infrastructure","Shah Alam, Selangor, Malaysia",Rentwise provides green IT infrastructure services.,"680,875",Active,2001-08-01,day,,,,,For Profit,https://www.rentwise.com/,,,,,
LintraMax,https://www.crunchbase.com/organization/lintramax,"Information Technology, Software","Selangor, Selangor, Malaysia",LintraMax specializes in integrated plantation and palm oil mill management solutions.,"682,683",Active,2002-01-01,year,,,,,For Profit,https://www.lintramax.com,,,,,
East West One Consortium Berhad,https://www.crunchbase.com/organization/east-west-one-consortium-berhad,Finance,"Kota Kinabalu, Sabah, Malaysia",East West One Consortium Berhad is a public company engaged in the development and management of oil palm plantation businesses.,"685,237",Active,2004-01-01,year,,,,,For Profit,http://www.eastwestone.com,"East West One Consortium Berhad (EWOCB) is a public company engaged in the oil palm plantation business, particularly the development and subsequent management of oil palm plantations. The EWOCB group of companies is agricultural in nature, and together with its parent company has a land bank of approximately 20,000 acres of agricultural land in Sabah.",,,,
Jishan,https://www.crunchbase.com/organization/jishan-a78a,"Industrial Manufacturing, Manufacturing, Packaging Services","Pulau Pinang, Pahang, Malaysia","Jishan is a manufacturer of corrugated paper, stretch film, face masks, and plastic packaging products.","691,779",Active,2000-01-01,year,2021-02-08,day,,,For Profit,http://www.jishan-group.com,"Jishan manufactures corrugated paper, stretch film, face masks, gloves, and plastic packaging products. They provide creative design solutions, robust manufacturing processes, and automation technologies. They appoint a third-party logistics service provider to ensure prompt delivery of their products to customers.",IPO,,,
Mices Technology,https://www.crunchbase.com/organization/mices-technology-offers-online-marketing-e-commerce-and-it-solutions,"Digital Marketing, E-Commerce, E-Commerce Platforms, Information Technology, Marketing, Software","Shah Alam, Selangor, Malaysia","Mices Technology provides online marketing, e-commerce, and information technology solutions.","692,982",Active,2001-01-01,year,,,,,For Profit,https://www.mices.com.my/,,,,,
EKO Group,https://www.crunchbase.com/organization/eko-group,Manufacturing,"Bukit Mertajam, Pulau Pinang, Malaysia",EKO Group manufactures metal components for multinational corporations in diversified product categories such as communication.,"699,126",Active,2000-01-01,year,2019-01-25,day,,,For Profit,http://www.ekogrp.com.my/index.php,"EKO Group manufactures metal components for multinational corporations in diversified product categories such as communication, security and medical.",M&A,,,
Flystudio,https://www.crunchbase.com/organization/flystudio,"Advertising, Animation, Broadcasting, Film, Media and Entertainment","Petaling Jaya, Selangor, Malaysia","Fly Studio is an animation and VFX production studio, that provide full pipeline services in film and television visual effects.","702,231",Active,2001-01-01,year,,,,,For Profit,https://www.flystudio.my/,"Flystudio establishes in 2001, one of the leading Animation & VFX production studios in Malaysia. Their business covers pre-production, VFX solutions and animation production. The company has more than 19 years of experience technical team, has produced critically acclaimed international film projects, work along with top Japanese production companies, committed to providing high-quality, high-efficiency professional services for many years. Flystudio provides full pipeline services in film and television visual effects, animated film, animated TV production, advertising, VR game production.",,,,
Safetyware Group,https://www.crunchbase.com/organization/safetyware-group,"Apparel, Manufacturing, Retail, Wholesale","Simpang Ampat, Pulau Pinang, Malaysia","Safetyware Group is a manufacturer and distributor of safety products like face masks, HDPE gloves, safety apparel, hygiene & sanitization.","704,284",Active,2003-01-01,year,,,,,For Profit,https://safetyware.com,,,,,
MayAir,https://www.crunchbase.com/organization/mayair,"Consumer Goods, Manufacturing, Water Purification","Semenyih, Selangor, Malaysia",MayAir is an air filtration manufacturing company that develops and provides air filtration equipment and HEPA filters.,"705,628",Active,2001-01-01,year,,,,,For Profit,https://mayair.com.my,,,,,
Encorp,https://www.crunchbase.com/organization/encorp-b618,"Commercial Real Estate, Construction, Property Management","Petaling Jaya, Selangor, Malaysia",Encorp is an investment holding company that offers property and construction management.,"709,576",Active,2000-03-01,day,2003-02-11,day,,,For Profit,https://www.encorp.com.my/,"Encorp is a property management company. Encorp creates the development from conception to completion. They are involved in construction, investment property, and facility management. Encorps footprint of landbanks and a property portfolio in commercial and residential developments.",IPO,,,
ZyGy,https://www.crunchbase.com/organization/zygy,"Analytics, Artificial Intelligence (AI), Identity Management, Machine Learning, Medical, Natural Language Processing, Security, Semantic Search, Text Analytics, Wellness","Kuala Lumpur, Kuala Lumpur, Malaysia",ZYGY is a type of artificial intelligence that assists in the learning and retention of knowledge.,"712,148",Active,2001-01-01,year,,,,,For Profit,http://www.zygy.com,"ZYGY is an artificial intelligence that automates knowledge capture, knowledge matching, segments, and forecasts from developing text sources and time-series data such as websites, social media, internal records, and messengers to speed up knowledge acquisition and retention. It's a platform that provides security, does single sign-on, conducts aggregated searches, and automates the collection of data from several systems using an identity.",,,,
Ionnex,https://www.crunchbase.com/organization/ionnex,"E-Commerce Platforms, Information Technology, Payments, Video Streaming","Kuala Lumpur, Kuala Lumpur, Malaysia","Ionnex is a technology consulting company that offers interactive video streaming, digital payment, cloud solution, and eCommerce services.","722,058",Active,2002-01-01,year,,,,,For Profit,https://ionnex.com,,,,,
Penril Datability,https://www.crunchbase.com/organization/penril-datability,"Digital Marketing, Information Technology, SEO, Software, Web Hosting","Kuala Lumpur, Kuala Lumpur, Malaysia","Penril Datability is an IT company that offers web hosting, software development, SEO, digital marketing, and business automation.","722,695",Active,2000-01-01,year,,,,,For Profit,https://www.penril.net/,,,,,
V-Work,https://www.crunchbase.com/organization/v-work,"Customer Service, Procurement, Service Industry, Software","Selangor, Selangor, Malaysia",V-Work is a software company that offers eProcurement solutions and real estate property management services.,"723,410",Active,2004-01-01,year,,,,,For Profit,https://v-work.net,,,,,
Medigene,https://www.crunchbase.com/organization/medigene-e5b3,"Biotechnology, Chemical, Medical Device, Retail","Selangor, Selangor, Malaysia","Medigene is specialized in distributing and marketing lab chemicals, laboratory equipment, and medical devices.","723,479",Active,2000-01-01,year,,,,,For Profit,https://mdgsb.com,,,,,
ALFA and friends,https://www.crunchbase.com/organization/alfa-and-friends,"E-Learning, Education, Edutainment","Puchong, Selangor, Malaysia",A company that embraces the latest technologies to enhance the teaching experience of teachers,"728,719",Active,2001-01-01,year,,,,,For Profit,http://www.alfaandfriends.com/,"ALFA and friends is a company that embraces the latest technologies to enhance the teaching experience of teachers, as well as the learning experience of children.",,,USD,
WCE Holdings Berhad,https://www.crunchbase.com/organization/wce-holdings-berhad,"Construction, Industrial, Manufacturing","Klang, Selangor, Malaysia",WCE Holdings Berhad is a construction manufacturing company.,"729,759",Active,2000-12-01,day,2003-10-12,day,,,For Profit,http://www.wcehb.com.my,"WCE Holdings Berhad is an investment holding company that is involved in the construction, management, and tolling of highways. They worked in the leasing and investment holding industries.",IPO,,,
PMB Technology,https://www.crunchbase.com/organization/pmb-technology,"Building Material, Manufacturing","Seri Kembangan, Negeri Sembilan, Malaysia",PMB Technology is a manufacturer and supplier of aluminum facade systems for buildings.,"732,845",Active,2002-06-26,day,2003-11-05,day,,,For Profit,http://www.pmbtechnology.com/,"PMB Technology offers aluminium related products and building materials. Their products include aluminum ladders, aluminum curtain walls, ladders and scaffolding systems, aluminum truck systems, aluminum solar panel frames, OEM products for MNCs, aluminum formwork systems, and aluminum windows and door systems.",IPO,,,
Spatialworks,https://www.crunchbase.com/organization/spatialworks,"Data Integration, Environmental Consulting, Geospatial, Marine Technology","Putrajaya, Putrajaya, Malaysia","Spatialworks is an IT firm that provides geospatial, GIS, system integration, and marine services to public and private sectors.","733,864",Active,2003-01-01,year,,,,,For Profit,https://spatialworks.com.my,,,,,
Azmi & Associates,https://www.crunchbase.com/organization/azmi-associates,"Advice, Law Enforcement, Legal, Professional Services, Wealth Management","Kuala Lumpur, Kuala Lumpur, Malaysia","Azmi & Associates provides a diverse range of legal services in the areas of business litigation, dispute resolution and wealth management.","734,704",Active,2000-01-01,year,,,,,For Profit,https://www.azmilaw.com/,,,,,
GS Realty,https://www.crunchbase.com/organization/gs-realty,"Property Management, Real Estate, Residential","Kuala Lumpur, Kuala Lumpur, Malaysia","GS Realty offers property management, resident rentals, land leasing, apartment building, marketing, construction, and consultancy services.","739,629",Active,2003-01-01,year,,,,,For Profit,http://gsrealty.com.my,"GS Realty specializes in property management, strategic planning, and business development services. The company also provides real estate, construction, land leasing, apartment development, residential rental, sales, auction, building maintenance, technical solutions, customer support, consultancy, and marketing services.",,,,
Iclif Leadership And Governance Centre,https://www.crunchbase.com/organization/iclif-leadership-and-governance-centre,"Education, Training","Kuala Lumpur, Kuala Lumpur, Malaysia",Iclif Leadership And Governance Centre is a Professional Training & Coaching center.,"739,851",Active,2003-01-01,year,,,,,For Profit,https://iclif.org/,,,,,
IRS Software Solution (M) Sdn Bhd,https://www.crunchbase.com/organization/irs-software-solution-m-sdn-bhd,"Cloud Management, Information Technology, Software","Puchong, Selangor, Malaysia",We specialize in business IT solutions such as the Point Of Sales System and F&B System.,"742,924",Active,2002-02-12,day,,,,,For Profit,https://www.irs-software.com/,"IRS Software provides the latest, reliable POS System solution and IT technology to organize, grow and promote a business. Since 2002, their comprehensive yet affordable solution is designed to meet the needs of a variety of businesses in a multitude of industries, including retail and wholesale, food and beverage among others. IRS Software has solution such as Multi-Store Management System, Restaurant POS System for café, steamboat restaurant, Japanese restaurant, Chinese restaurant, Kiosk, Pub, Cafeteria, Kopitiam, Coffeehouse, Pub, Bubble tea business and etc, meanwhile we do supply POS System for hardware stores, beauty salons, pet shops, accessory shops, bookstores, stationery stores, boutiques, laundries, organic shops, music schools, optical shops, souvenir shops, photograph shops, camera shops, motor shops, tea houses, handphone shops, vegetable, fruit stores, florists, toy shops and etc. In addition to POS system functionality, there is an inventory management system which helps to order based on stock levels and selling rate. This will make sure that the store will never to run out of popular items. Along with this is a vendor management system that provides better communication between the user and suppliers. A loyalty or membership program can reward loyal customers while boosting sales. Besides software, IRS Software also provides barcode scanners, cash drawers, thermal printers,  Card Reader, Retail IT Equipment, and other business equipment. Good customer support is often a decisive factor in selecting POS systems in Malaysia. IRS Software offers after-hours telephone support, installation assistance, and training.",,,,
Advanced Information Marketing,https://www.crunchbase.com/organization/advanced-information-marketing,"Health Care, Information Technology, Marketing","Kuala Lumpur, Kuala Lumpur, Malaysia",Advance Information Marketing Berhad is a Malaysia-based investment holding company.,"743,481",Active,2002-01-01,year,2006-04-26,day,,,For Profit,https://www2.aim-net.com.my/,"Advance Information Marketing Berhad is a Malaysia-based investment holding company. The Company, through its subsidiaries, is a regional Business Process Outsourcing (BPO) solution provider offering end-to-end loyalty solutions. The Company operates through three segments: Managed customer loyalty services, Distribution of health and beauty care products, and Others. The Managed customer loyalty services segment is engaged in sale and marketing services, client relationship management, and outsourced contact center management. The Distribution of health and beauty care products segment is engaged in the distribution of HABA brand of health and beauty care products from Japan, whereby the Company, through its subsidiary, Advanced Supply Chain Solutions Sdn. Bhd., holds the exclusive distribution rights for Malaysia. The Others segment offers outsourced procurement services, investment holding and corporate level activities.",IPO,,,
Stemlife Berhad,https://www.crunchbase.com/organization/stemlife-berhad,"Banking, Biotechnology, Financial Services, Health Care, Venture Capital","Kuala Lumpur, Kuala Lumpur, Malaysia",Stemlife Berhad is a private cord blood stem cell bank in Malaysia.,"744,372",Active,2001-01-01,year,2015-11-16,day,,,For Profit,http://stemlife.com/,,M&A,,,
i-Serve,https://www.crunchbase.com/organization/i-serve,"Information Technology, Software","Selangor, Selangor, Malaysia",i-Serve is one-stop kiosk solution provider as well as the biggest retail self-service kiosk network operator in this region.,"754,395",Active,2001-01-01,year,,,,,For Profit,https://www.i-serve.com.my/,I-Serve develops mobile applications for businesses and consumers to access a variety of products and services.,,,USD,
Mycron Steel,https://www.crunchbase.com/organization/mycron-steel,"Manufacturing, Mining","Shah Alam, Selangor, Malaysia",Mycron Steel is a manufacturer of CRC steel sheets.,"758,478",Active,2003-07-24,day,2004-06-21,day,,,For Profit,http://www.mycronsteel.com/,"Mycron Steel is involved in the trading of steel-related products such as steel tubes and pipes. They offer products that are widely used in the construction, furniture, automotive, bicycle, and engineering industries.",IPO,,,
IKOP Pharma,https://www.crunchbase.com/organization/ikop-pharma,"Cosmetics, Manufacturing, Medical, Pharmaceutical, Therapeutics","Kuantan, Pahang, Malaysia",IKOP Pharma is a pharmaceutical manufacturing company that specializes in ointments and provides related testing and research services.,"760,350",Active,2003-01-01,year,,,,,For Profit,https://ikop.com.my/,,,,,
Star Media Group Berhad,https://www.crunchbase.com/organization/star-media-group-berhad,"Cooking, Food and Beverage, Hotel","Petaling Jaya, Selangor, Malaysia",Star Media Group Berhad is a food and beverage company located in Petaling Jaya.,"763,716",Active,2003-01-01,day,,,,,For Profit,http://www.kuali.com,,,,,
SURE-REACH,https://www.crunchbase.com/organization/sure-reach,"Courier Service, Logistics, Management Consulting, Warehousing","Petaling Jaya, Selangor, Malaysia","SURE-REACH provides records Management,  storage, document imaging, secure shredding, EDMS, Courier and Logistics services.","766,468",Active,2004-01-01,day,,,,,For Profit,http://sure-reach.com/,,,,,
"Pecca Leather, Inc.",https://www.crunchbase.com/organization/pecca-leather-inc,"Automotive, Logistics, Manufacturing","Kuala Lumpur, Kuala Lumpur, Malaysia",Pecca Leather is an automotive company that manufactures automotive leather seat interiors.,"774,623",Active,2000-01-01,year,,,,,For Profit,http://peccaleather.com,,,,,
Salihin,https://www.crunchbase.com/organization/salihin,"Accounting, Consulting, Professional Services","Batu Caves, Selangor, Malaysia",Salihin is a Leading Homegrown Accountancy Firm and began its journey in 2002 with an ardent determination to the National Accountancy.,"777,786",Active,2002-01-01,year,,,,,For Profit,https://salihin.com.my,"SALIHIN is the brand name under which independent group member firms of SALIHIN International LLP operate and provide professional services in the areas of transactions and corporate finance, tax, audit and assurance, digital consultancy, Shariah advisory, and business accounting solution.",,,,
Malaysian Genomics Resource Centre,https://www.crunchbase.com/organization/malaysian-genomics-resource-centre,"Biotechnology, Genetics, Health Care","Kuala Lumpur, Kuala Lumpur, Malaysia",Malaysian Genomics Resource Centre provides genome sequencing and analysis services.,"786,332",Active,2004-01-01,day,2010-10-05,day,,,For Profit,http://www.mgrc.com.my/,"Malaysian Genomics Resource Centre is a provider of healthcare products and services. They offer genome sequencing, genome analysis, and genetic screening services. They also offer cancer immunotherapy services.",IPO,,,
Lambda Technologies,https://www.crunchbase.com/organization/lambda-technologies-84d4,"IT Management, Professional Services, Project Management, Technical Support, Training","Petaling Jaya, Selangor, Malaysia","Lambda Technologies provides IT solutions, IP installations, project management, training and technical support services.","800,248",Active,2001-01-01,year,,,,,For Profit,http://lambdatech.net/,"Lambda Technologies provides IT solutions, IP installations, project management, training and technical support services.",,,,
Parlo Tours,https://www.crunchbase.com/organization/parlo-tours,"Tourism, Travel","Kuala Lumpur, Kuala Lumpur, Malaysia",Parlo Tours is a travel and tourism company.,"801,359",Active,2003-11-11,day,2013-07-10,day,,,For Profit,http://www.parlogroup.com/,"Parlo Tours is a travel management company with the ability to cater to multiple segments of travel customers. They cover the leisure travel and corporate travel markets. They offer leisure travel, travel-related and ancillary products, and corporate travel services such as meetings, incentives, and conferences.",IPO,,,
Symmid Corporation,https://www.crunchbase.com/organization/symmid-corporation,"Computer, Manufacturing, Product Design","Petaling Jaya, Selangor, Malaysia",Symmid is a leading Malaysian-based fabless semiconductor design company.,"806,993",Active,2004-01-01,year,,,,,For Profit,http://www.symmid.com,,,,,
T7 Global,https://www.crunchbase.com/organization/t7-global,"Energy, Industrial, Oil and Gas","Kuala Lumpur, Kuala Lumpur, Malaysia",T7 Global is a publicly listed company that provides project management services to the oil and gas sector.,"808,784",Active,2004-01-01,day,2005-05-27,day,,,For Profit,http://www.t7global.com.my/,"T7 Global provides solutions for the oil and gas and energy industries, including EPCIC solutions, maintenance, construction, and modification services, subsea services, and engineering. They develop and engineer solutions that can be used in many different sectors. They provide assistance to businesses and organisations operating globally in many different sectors.",IPO,,,
UMedic Healthcare,https://www.crunchbase.com/organization/umedic-healthcare,"Furniture, Health Care, Manufacturing, Medical, Medical Device","Penang, Pulau Pinang, Malaysia","UMediC Healthcare manufactures and supplies patient monitoring systems, hospital furniture, anesthesia, and ultrasound equipment.","812,440",Active,2002-01-01,year,,,,,For Profit,https://www.umedic.com.my/,,,,,
Fourte,https://www.crunchbase.com/organization/fourte,"Manufacturing, Mechanical Engineering, Product Design","Bayan Lepas, Pulau Pinang, Malaysia",Fourte is a manufacturing company that specializes in product and make the necessary changes to enhance your design.,"825,052",Active,2000-01-01,day,,,,,For Profit,http://www.fourte.com/,,,,,
VF Capital,https://www.crunchbase.com/organization/vf-capital,,"Miri, Sarawak, Malaysia",VF Capital Sdn Bhd (VF Capital) was incorporated on 26th October 2004. It is a wholly owned subsidiary of Priharta Development Sdn Bhd,"826,317",Active,2004-01-01,year,,,,,For Profit,http://www.vfcapital.com.my,"VF Capital Sdn Bhd (VF Capital) was incorporated on 26th October 2004. It is a wholly owned subsidiary of Priharta Development Sdn Bhd (PHT). PHT, the holding company of VF Capital, is a private equity company with diversified investment in transportation, properties development and holds a substantial interest in the Rimbunan Hijau Group. PHT sets up VF Capital to provide venture capital to those fast growing high technology companies for expansion and development.",,,,
EQuad Technologies,https://www.crunchbase.com/organization/equad-technologies,"Industrial Automation, Information Technology, Warehousing","Kuala Lumpur, Kuala Lumpur, Malaysia",EQuad Technologies is an IT firm that provides services in warehouse management and workflow applcations.,"828,272",Active,2002-01-01,year,,,,,For Profit,https://equadtech.com/,,,,,
Powercomp Distribution Sdn Bhd,https://www.crunchbase.com/organization/powercomp-distribution-sdn-bhd,"Information Services, Information Technology","Selangor, Selangor, Malaysia","Powercomp Distribution Sdn Bhd (PCD) is a distributor of high-quality POS, barcodes, and other goods from across the world.","829,447",Active,2002-01-01,year,,,,,For Profit,https://www.pcd.com.my,,,,,
Aemulus,https://www.crunchbase.com/organization/aemulus,"Electronics, Semiconductor","Pinang, Pulau Pinang, Malaysia",Aemulus is an automated test equipment and test and measurement instruments design and assembly company.,"830,521",Active,2004-01-01,day,2015-09-15,day,,,For Profit,https://aemulus.com,"Aemulus engages in the designing, engineering, and development of automated test equipment. It is used by semiconductor manufacturers and outsourced semiconductor assembly and test firms to test semiconductor wafers and packaged devices before they are shipped for final assembly into various electronic devices and gadgets.",IPO,,,
