Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
PolicyStreet,https://www.crunchbase.com/organization/policystreet,"Finance, Financial Services, FinTech, Insurance, InsurTech","Shah Alam, Selangor, Malaysia",PolicyStreet is an insurtech company that provides digital insurance solutions to businesses and consumers.,"2,707",Active,2016-01-01,year,,,,,For Profit,https://www.policystreet.com,"PolicyStreet is an insurance technology (insurtech) group of companies providing digital insurance solutions to businesses and consumers in Southeast Asia and Australia. They offer insurance, bespoke employee benefits, financial advice, insurance aggregation, and the development of digital technologies to make insurance meaningful and simple for businesses and people.",Early Stage Venture,24189384,USD,24189384
Carsome,https://www.crunchbase.com/organization/carsome,"Automotive, E-Commerce, E-Commerce Platforms, Shopping","Petaling Jaya, Selangor, Malaysia",Carsome is a used car e-commerce platform that provides efficient car selling services to individuals and entities.,"2,996",Active,2015-02-01,day,,,,,For Profit,https://www.carsome.my,"Carsome is an online used car platform that provides efficient car selling services to individuals and entities. Through its online bidding portal, customers are able to sell their vehicles directly to dealers. Carsome facilitates the entire car selling process from inspection to valuation, bidding, and payment as well as logistics needs, allowing the customers to sell their cars. It was founded in 2015 and headquartered in Malaysia, the company has expanded to Indonesia, Thailand, and Singapore.",,607350000,USD,607350000
Naluri Life,https://www.crunchbase.com/organization/naluri-hidup,"Artificial Intelligence (AI), Health Care, InsurTech, Mental Health, mHealth, Therapeutics","Kuala Lumpur, Kuala Lumpur, Malaysia","Naluri is a digital health solution platform that predicts, prevents, and manages cardiometabolic and mental health conditions.","10,425",Active,2017-01-01,year,,,,,For Profit,https://www.naluri.life,"Naluri provides behaviour  science, psychology, digital health, data science, wellness, diet, exercise, fitness, digital behaviour change, multidisciplinary care, cancer, diabetes, heart disease, anxiety, depression, chronic stress, and pain",Early Stage Venture,14843183,USD,14843183
LiveIn,https://www.crunchbase.com/organization/hostelhunting,"E-Commerce, Education, Internet, Marketplace","Kuala Lumpur, Kuala Lumpur, Malaysia",LiveIn.com is the Easiest & Safest way to book your Student Accommodation,"11,898",Active,2015-01-01,year,,,,,For Profit,https://home.livein.com/,"The well-being of our workers and clients is taken seriously by LiveIn. We are pleased to note that as we are now on the frontlines, we have taken steps to take responsibility for the welfare of ourselves and the people we encounter. We are the largest online marketplace website for student accommodation with over 20000+ listings. With a strong team of experts, you are in good hands.",Early Stage Venture,13300000,USD,13300000
Fave,https://www.crunchbase.com/organization/fave-59ea,"Advertising Platforms, Digital Marketing, E-Commerce, Financial Services, Loyalty Programs, Mobile Payments, Retail","Kuala Lumpur, Kuala Lumpur, Malaysia","Digital Merchant Platform, Mobile Payment, Loyalty & Rewards, Merchant Acquirer, Digital Services","12,534",Active,2015-01-01,year,2021-04-13,day,,,For Profit,https://favebiz.com/,"Fave is the next generation Digital Merchant Platform that empowers offline merchants to grow and connect with their customers in a whole new way. Fave is on a mission to accelerate the offline world’s transition to the digital economy by putting growth at the centre of our merchants, our customers, our people and our partners, because growth is good for everyone.  Fave connects merchants and consumers to deliver seamless payment experience and merchant rewards. It serves as payment aggregator for the most popular cards (Visa, Mastercard, AMEX) and wallets (Grab, OVO). Integrated with other strategic partners Fave offer merchants more value add and more customer exposure through marketing, data, financing and operations. Merchants can now focus on what they do best for their customers; because everything else is taken care of. Fave operates in over 35 cities in Singapore, Malaysia, and Indonesia.",M&A,32000000,USD,32000000
Pop Meals,https://www.crunchbase.com/organization/dah-makan,"Artificial Intelligence (AI), Consumer Goods, Food and Beverage, Food Delivery, Logistics, Robotics","Kuala Lumpur, Kuala Lumpur, Malaysia",Pop Meals is a food delivery service that utilizes artificial intelligence in logistics and cooking automation.,"13,610",Active,2015-11-17,day,,,,,For Profit,https://popmeals.com.my/,"Pop Meals is a food delivery service that utilizes artificial intelligence in logistics and cooking automation. The company combines centralized, large-scale production with customer data, machine learning and the chefs in the industry to offer food delivery experience. It applies artificial intelligence to last-mile delivery offering the lowest delivery costs in the industry. Dahmakan was founded in 2015 and is headquartered in Kuala Lumpur, Malaysia.",Early Stage Venture,27020000,USD,27020000
Socar Malaysia,https://www.crunchbase.com/organization/socar-malaysia,"Car Sharing, Ride Sharing","Kuala Lumpur, Kuala Lumpur, Malaysia",Socar Malaysia is a car-sharing network.,"13,770",Active,2017-01-01,year,,,,,For Profit,https://socar.my/,"SOCAR is Malaysia’s car-sharing network. It provide you with the convenience to drive by the hour, day or week within Malaysia.",Early Stage Venture,73157404,USD,73157404
CapBay,https://www.crunchbase.com/organization/capital-bay,"Finance, Financial Services, FinTech, Lending, Peer to Peer","Selangor, Selangor, Malaysia",CapBay is a peer to peer (P2P) supply chain financing platform based In Malaysia.,"20,546",Active,2016-01-01,year,,,,,For Profit,https://capbay.com,"CapBay is an award winning peer to peer (P2P) supply chain financing platform based In Malaysia. The focus is to help responsible corporations optimize their working capital and provide businesses real-time technology to collaborate with a wider network of financial institutions to access financing opportunities, with a click of a button. Since the launch of their P2P platform in 2020, CapBay also enables retail investors to invest in those financing opportunities and earn up to 10% net returns per annum. CapBay believes in a transparent and efficient financing environment that minimizes risk and optimizes working capital for the entire value chain in every industry. They aim to build the financing infrastructure of tomorrow to provide smart and inclusive financing to businesses across South-East Asia.",,27575452,USD,27575452
Common Ground,https://www.crunchbase.com/organization/common-ground-8b0d,"Collaboration, Coworking, Hospitality, Property Development, Real Estate","Kuala Lumpur, Kuala Lumpur, Malaysia",Common Ground is a co-working space that aims at building a sustainable and integrated community.,"21,335",Active,2016-01-01,year,2022-10-16,day,,,For Profit,http://www.commonground.work/,"Common Ground is Malaysia’s largest leading coworking space that prides itself on not just being a communal workspace but building a sustainable and integrated coworking community. Common Ground is redefining workspaces by creating a lifestyle that resonates with today’s workforce and creating a vibrant ecosystem of like-minded people. With the tagline “Ambition Lives Here”, Common Ground attracts today’s go-getters. ",M&A,71500000,USD,71500000
Flower Chimp,https://www.crunchbase.com/organization/flower-chimp,"E-Commerce, Flowers, Food and Beverage, Gift, Transportation","Kuala Lumpur, Kuala Lumpur, Malaysia","Flower Delivery Service active in Malaysia, Indonesia, Philippines and Singapore","22,460",Active,2016-05-01,day,,,,,For Profit,https://www.flowerchimp.com/,"Flower Chimp provides flower and gift delivery for any occasion throughout Malaysia, the Philippines, Singapore, Hong Kong and Indonesia",Early Stage Venture,106000000,MYR,24432190
