Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
ADA,https://www.crunchbase.com/organization/ada-3894,"Advertising, Artificial Intelligence (AI), E-Commerce, Marketing","Kuala Lumpur, Kuala Lumpur, Malaysia","ADA is a data and AI company that designs and executes integrated digital, analytics, marketing, and eCommerce solutions.","5,814",Active,2013-01-01,year,,,,,For Profit,https://ada-asia.com/,"ADA is end-to-end commerce excellence, from marketing and content optimization to store operations offers comprehensive messaging solutions and extensive integration knowledge.",,138000000,USD,138000000
StoreHub,https://www.crunchbase.com/organization/storehub,"Android, CRM, E-Commerce, E-Commerce Platforms, iOS, Loyalty Programs, Point of Sale, Retail Technology, Small and Medium Businesses, Software","Petaling Jaya, Selangor, Malaysia","StoreHub is the omnichannel operating system for 12,000 plus retail and F&B businesses across Southeast Asia.","10,795",Active,2013-03-08,day,,,,,For Profit,https://www.storehub.com,"StoreHub is the operating system of successful omnichannel businesses. The platform enables retail and F&B entrepreneurs to automate the growth of their revenue and customer base, as well as the entire process of running their operations. As a venture-backed startup, they have been growing exponentially over the last 6 years and now serve over 12,000 businesses across Southeast Asia from their offices in Kuala Lumpur, Shanghai, Manila, and Bangkok. Its goal is to build a culture of meaningful work, where every person on the team works towards a shared vision while engaging their role in a personally satisfying manner. The people who succeed with them are most clearly defined by their competency and humility. These are the values that are most important to them and they expect this of every team member at StoreHub starting with their leadership team.",Early Stage Venture,28350333,USD,28350333
VCI Global,https://www.crunchbase.com/organization/v-capital-group,,"Kuala Lumpur, Kuala Lumpur, Malaysia",VCI Globalis a global advisory firm with extensive experience in corporate strategic advisory and wealth management.,"11,802",Active,2013-01-01,year,2023-04-13,day,,,For Profit,https://v-capital.co/,VCI Global is an integrated team of industry experts dedicated to delivering comprehensive advisory and capital-raising services spanning the entire capital spectrum. Our solutions-oriented approach to corporate advisory engagements leverages experience and market knowledge gained across all industries.,IPO,2750000,USD,2750000
Soft Space,https://www.crunchbase.com/organization/soft-space,"Mobile, Mobile Payments, Point of Sale","Petaling Jaya, Selangor, Malaysia",Soft Space is a tech company working in the digital payments sector.,"18,866",Active,2012-03-01,day,,,,,For Profit,http://www.softspace.com.my,"From its inception in Kuala Lumpur, Malaysia in 2012, Soft Space has grown to become the leading mobile Point of Sales (mPOS) provider in the South East Asia region, present in 13 banks across Malaysia, Indonesia, Thailand, Singapore, Vietnam, the Philippines, Australia and New Zealand. The Soft Space centralised Mobile Point-­‐of-­‐Sales payment platform aims to revolutionise the payment industry by enabling anyone to accept card based payments. It is certified EMV Level 2, the first in Asia to achieve this, and is also certified by MasterCard and Visa; a testament to its security, credibility and is recognised globally. Soft Space has won multiple awards including the Red Herring Top 100 Asia 2014, Merit Winner of the WITSA’s Global ICT Excellence Awards, APICTA’s Best Financial Application Award 2013, APICTA’s Best Start Up 2013, and AICTA’s award for the Best Start Up in the ASEAN region.",Early Stage Venture,42480247,USD,42480247
iPrice Group,https://www.crunchbase.com/organization/iprice,"Coupons, E-Commerce, Shopping","Kuala Lumpur, Kuala Lumpur, Malaysia","IPrice was set up to offer shoppers the widest selection of products and brands, provided by their partners.","22,485",Active,2014-01-01,year,2023-04-04,day,,,For Profit,http://www.ipricegroup.com,"IPrice was set up to offer shoppers the widest selection of products and brands, provided by hundreds of partners in Southeast Asia. The company is driven by a mission to bring a greater level of transparency, convenience, and trust to the e-commerce market in Southeast Asia by making it easy for shoppers to compare prices, discover products, and get the best deals from thousands of online shops.   With the help and funding of the Asia Venture Group—investments include iMoney, Trusted Company, and Happy Fresh—iPrice quickly acquired international know-how, expertise, and talent in fields ranging from technology to online marketing to the business side of things. Focused on execution from its headquarters in Kuala Lumpur, the company has quickly expanded across seven markets, including Indonesia, Vietnam, Singapore, Hong Kong, Thailand, and the Philippines.",M&A,26250000,USD,26250000
iflix,https://www.crunchbase.com/organization/iflix,"Digital Entertainment, Internet, Video Streaming","Kuala Lumpur, Kuala Lumpur, Malaysia",Iflix is an online entertainment service for emerging markets.,"22,518",Active,2014-01-01,year,2020-06-24,day,,,For Profit,http://www.iflix.com,"iflix is the world’s leading entertainment service for emerging markets, offering users unlimited access to thousands of TV shows, movies and more. With a vast selection everyone’s favourite comedies, drama, K-drama, Turkish drama, Bollywood, Nollywood, cartoons, movies and more from Hollywood, The UK, Asia, The Middle East and Africa, iflix places the entertainment people want at their fingertips to either stream or download. For one low monthly fee, iflix subscribers can watch on their mobile phone, laptop, tablet, TV… wherever, whenever.",M&A,348000000,USD,348000000
Nexagate,https://www.crunchbase.com/organization/nexagate,"Cyber Security, Information Technology, Network Security","Kuala Lumpur, Kuala Lumpur, Malaysia","Nexagate is an Information Technology company that provides cybersecurity, network security, and information security management services.","25,388",Active,2010-01-01,year,,,,,For Profit,http://www.nexagate.com,,,7000000,MYR,1503598
Frontier Digital Ventures,https://www.crunchbase.com/organization/frontier-digital-ventures,"E-Commerce, Emerging Markets, Venture Capital, Web Hosting","Kuala Lumpur, Kuala Lumpur, Malaysia",Frontier Digital Ventures is focused on becoming the world leader in online classifieds businesses in frontier and emerging markets,"31,420",Active,2014-01-01,year,2016-08-26,day,,,For Profit,http://frontierdv.com/,"Frontier Digital Ventures is focused on becoming the world leader in online classifieds businesses in frontier and emerging markets. We are experts in the online classifieds space with a particular focus on automotive and property verticals and general classifieds websites, and we are proud of our amazing track record in building and supporting great companies. We love frontier markets and thrive on the excitement and challenge they present and the opportunity they offer to self-starting entrepreneurs to become effective game changers. We seek out entrepreneurs with integrity, unwavering self-belief in their online classifieds business and extraordinary passion to make it succeed. With the extensive support we offer to them coupled with their own energy and work ethic, Frontier Digital Ventures is bringing outstanding online classifieds companies of global significance to their full potential and setting a new global standard of excellence in the field.",IPO,67000000,USD,67000000
Jirnexu,https://www.crunchbase.com/organization/jirnexu,"Banking, CRM, Financial Services, FinTech, Insurance","Kuala Lumpur, Kuala Lumpur, Malaysia",Jirnexu delivers end-to-end digital acquisition tools and solutions for FSIs and service providers.,"35,309",Active,2012-01-01,year,,,,,For Profit,https://jirnexu.com/,"Jirnexu delivers end-to-end digital acquisition tools and solutions for FSIs and service providers. Jirnexu enables banks, insurance companies, and service providers to think mobile-first and innovate the way they generate leads online, turn those leads into customers, handle their fulfillment, and keep them loyal. Consumers are empowered by Jirnexu’s financial comparison tools to save money and make better decisions. Jirnexu was founded in 2012 and is based in Kuala Lumpur.",Early Stage Venture,37000000,USD,37000000
GoGet,https://www.crunchbase.com/organization/goget-my,"Apps, Human Resources, Internet, Marketplace, Software","Kuala Lumpur, Kuala Lumpur, Malaysia",GoGet is an on-demand job marketplace that connects businesses to freelancers.,"37,633",Active,2014-01-01,year,,,,,For Profit,http://www.goget.my,"GoGet is an on-demand job platform for businesses and freelancers. The company's mission is to transform the traditional labor market and connect the city to create work. It empowers businesses to grow their operations while saving money, as wells as enabling users to find job opportunities near them, at good rates that match their preferences. .Francesca Chia, Muaz Jema Khan, and Tai Fung Wei Tan headquartered the company in Kuala Lumpur, Kuala Lumpur in 2014.",Early Stage Venture,2500000,USD,2500000
