Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
iProperty.com,https://www.crunchbase.com/organization/iproperty-com,"Internet, Property Management, Real Estate","Kuala Lumpur, Kuala Lumpur, Malaysia",iProperty.com is an online portal focused on the sale and rent of real estate properties in Malaysia.,"27,648",Active,2007-01-01,year,2021-05-31,day,,,For Profit,http://www.iproperty.com.my/,"iProperty.com Malaysia is an online portal focused on the sale and rent of real estate properties in the country. It features classifieds on apartments, condominiums, bungalows, semi-detached houses, terrace and link houses, townhouses, service residences, penthouses, and offices. iProperty.com Malaysia is operated from Kuala Lumpur, Malaysia. It is a part of the iProperty Group, an ASX-listed company that owns the Asian network of property portals under the iProperty.com umbrella brand.",M&A,100000000,USD,100000000
MiCare,https://www.crunchbase.com/organization/micare,"Employee Benefits, Health Care, Home Health Care, Medical","Selangor, Selangor, Malaysia",MiCare developed the first ever System in-built Medical- Knowledge Based Administrative System.,"41,293",Active,2006-01-01,year,,,,,For Profit,https://eclaims.micaresvc.com/,"MiCare is a Third Party Administrator (TPA) that builds the connectivity applications and infrastructure for the exchange of transaction information, linking up key players in the healthcare sector such as doctors, patients, government organizations, corporates & insurers to bring about a seamless and efficient management of healthcare services.",Private Equity,90000000,USD,90000000
iStore iSend,https://www.crunchbase.com/organization/istore-isend,"E-Commerce, Logistics, Warehousing","Puchong, Selangor, Malaysia",iStore iSend is an e-commerce fulfillment provider.,"58,833",Active,2009-01-01,year,,,,,For Profit,https://www.istoreisend.com,"iStore iSend offers fast and cost-effective e-commerce fulfillment services to brands or start-up e-commerce businesses with a state-of-the-art cloud-based WMS, fulfillment warehouses, and logistics. Their system allows sellers to increase their market entry and expand into new omni-channel. As pioneers in the e-fulfillment market, iStore iSend ensures the most secure warehouses, packing services, delivery, and order tracking features.",Early Stage Venture,5500000,USD,5500000
YC Group (YC Capital Consolidated Sdn Bhd),https://www.crunchbase.com/organization/yc-group-yc-capital-consolidated-sdn-bhd,"Leisure, Tourism, Travel","Kuala Lumpur, Kuala Lumpur, Malaysia",The parent and holding company of various subsidiaries in the tourism industry.,"63,651",Closed,2008-01-01,year,,,,none,For Profit,http://www.yccapital.com.my/,"YC Group (YC Capital Consolidated Sdn Bhd) is the parent and holding company of various subsidiaries in the tourism industry. The subsidiaries are split into five main divisions, Travel, Retail, Hotel, F&B, and Transportation. Each of the division plays an important role towards the success of the group and to achieve what it’s well known for, a “One-Stop Tourist Service Provider”. The group is fully owned by three major shareholders. It started out as a humble inbound tourist business from China, specializing in ticketing, airlines seats, hotel bookings, transport reservations, tourist attractions and MICE (Meeting, Incentive Trip, Convention and Exhibition) arrangements.",,12000000,USD,12000000
BIG Pharmacy,https://www.crunchbase.com/organization/big-pharmacy,"Health Care, Pharmaceutical, Retail","Petaling Jaya, Selangor, Malaysia",BIG Pharmacy operates as a pharma retailer.,"119,960",Active,2006-01-01,year,,,,,For Profit,https://www.bigpharmacy.com.my,"BIG Pharmacy operates as a pharma retailer. Our company was incorporated as a private limited company with the name L & L Healthcare Supply Sdn Bhd. Our name will subsequently changed to Big Pharmacy Holdings Sdn Bhd on pending application as trademark. Our group began with the first outlet in Damansara Uptown in 2007 The second outlet was opened in 2009 under named SJ PHARMACY. The name of BIG pharmacy was used when the third outlet is opened in Taman OUG, and for all subsequently outlet opened.The principle activity of our company is mainly on the operation of community pharmacy. Our chain of pharmacies consist of wholly-owned and partially owned with not less than 60 percent of the share stake.",,,,
Tranglo,https://www.crunchbase.com/organization/tranglo-mobile-payments,"Financial Services, FinTech, Mobile, Mobile Payments, Payments","Kuala Lumpur, Kuala Lumpur, Malaysia","Tranglo operates a global money and digital credit hub, enabling easy and instant transfer to friends or family.","169,911",Active,2008-01-01,year,2018-11-05,day,,,For Profit,https://tranglo.com,"Tranglo provides licensed Financial Institutions, businesses, and consumers worldwide the ability to make timely cross-border payout or transfer through Tranglo FI solutions and turn-key B2C solutions (Tik FX and TreatsUp). Their proven platform has processed more than USD 1 billion cross-border transactions for various clients. Their history started when their first generation Prepaid Reload was done in 2008; a single reload card which enabled the top-up of multiple prepaid mobile accounts for the Malaysia-Indonesia corridor. Later that same year, they saw the addition of real-time peer-to-peer airtime Prepaid Credit Transfer platform with Malaysia Mobile Operators. In 2011, Tranglo rolled out its FI solutions to enable cross-border money payout for Indonesia, Philippines, and Bangladesh.",M&A,,USD,
Ammobox Studios,https://www.crunchbase.com/organization/ammobox-studios,"Gaming, Online Games, PC Games, Video Games","Selangor, Selangor, Malaysia",Ammobox Studios is an independent games development company in Malaysia.,"170,924",Active,2008-01-01,year,,,,,For Profit,http://www.ammoboxstudios.com/,AmmoboxStudios’ mission is to deliver high quality games that bring innovation to familiar game genres. Our philosophy is in blending cutting edge technology with creativity to create an efficient development environment. AmmoboxStudios is currently working on their debut IP Eximius; a strategic first-person shooter game ,Seed,25000,USD,25000
Mudah.my,https://www.crunchbase.com/organization/mudah-my,"E-Commerce, Marketplace","Kuala Lumpur, Kuala Lumpur, Malaysia",Mudah.my is an online marketplace to buy and sell a variety of products and services in Malaysia.,"170,939",Active,2009-01-01,year,,,,,For Profit,http://www.mudah.my/,"Mudah.my is an online marketplace to buy and sell a variety of products and services in Malaysia. The site features ads under various categories: vehicles; leisure, sports, and hobbies; jobs and services; electronics; properties; travel; business-to-business; home and personal items; and others. Mudah.my is owned by Mudah.my Sdn Bhd, a subsidiary of 701Search Pte. Ltd.; and a joint venture company between Singapore Press Holdings Limited, Schibsted Media Group, and Telenor Group.",,,,
SEAGM,https://www.crunchbase.com/organization/sea-gamer-mall,"E-Commerce, eSports, MMO Games, Payments","Sitiawan, Perak, Malaysia","Founded in 2007, SEAGM had a singular goal in mind: to develop the best online games digital goods platform.","178,769",Active,2007-08-01,day,,,,,For Profit,https://corp.seagm.com,"Founded in 2007, SEAGM had a singular goal in mind: to develop the best online games digital goods marketplace in e-commerce that could eventually help pave the way for gamers to make a living through their hobby of gaming. To achieve this, we needed a team defined by specific core values to deliver the best experience to our users. These values are Integrity, Communication, Care, and Excellence in all things. The SEAGM of today is a behemoth of its past, having achieved several recognitions and milestones. It is now an MSC status company with four offices worldwide situated in Malaysia, China, and Thailand. As a global brand, SEAGM has already begun its evolution to create a comprehensive gaming ecosystem with the addition of Kaleoz and Gladax. SEAGM distributes digital goods and services while creating a digital goods marketplace on Kaleoz and distributes gaming hardware as Gladax.",,,,
PETRONAS Lubricants International,https://www.crunchbase.com/organization/petronas-lubricants-international,"Machinery Manufacturing, Manufacturing, Oil and Gas","Kuala Lumpur, Kuala Lumpur, Malaysia",PETRONAS Lubricants International IS manufactures and markets a full range of high-quality automotive and industrial lubricants products.,"206,027",Active,2008-01-01,year,,,,,For Profit,https://global.pli-petronas.com/,"Established in 2008, PETRONAS Lubricants International manufactures and markets a full range of high-quality automotive and industrial lubricants products in over 100 markets globally. Headquartered in Kuala Lumpur, PLI has over 30 marketing offices in 28 countries, managed through regional offices in Kuala Lumpur, Beijing, Turin, Belo Horizonte, Chicago and Durban. PETRONAS Lubricants International is the technical resource behind PETRONAS’ Technical Partnership to the MERCEDES AMG PETRONAS Formula One Team, and is responsible for the design, development and delivery of the Fluid Technology SolutionsTM- with customised lubricants, fuel and transmission fluids to power the Silver Arrows Currently ranked among the top 10, PLI is driving an aggressive business growth agenda to secure its position as a leading global lubricants company at the forefront of the industry.",,,,
MR DIY Malaysia,https://www.crunchbase.com/organization/mr-diy-malaysia,"E-Commerce, Home Improvement, Retail","Seri Kembangan, Negeri Sembilan, Malaysia",MR DIY is a home improvement retail store selling a variety of household products.,"206,381",Active,2005-07-01,month,,,,,For Profit,https://www.mrdiy.com.my,"MR DIY is a home improvement retail store selling a variety of household products. MR.DIY stores encompass about an average of 10,000 square feet per store and served more than 80 million customers yearly at all stores in Malaysia and Brunei, as well as the online store. The company was established in 2005 by Tan Yu Yeh.",,,,
Syarikat Air Negeri Sembilan,https://www.crunchbase.com/organization/syarikat-air-negeri-sembilan,"Energy, Renewable Energy, Water","Seremban, Negeri Sembilan, Malaysia",Syarikat Air Negeri Sembilan is a renewable energy firm that provides water supply management services.,"213,355",Active,2007-03-15,day,,,,,For Profit,https://www.sainswater.com/index.php/ms-MY/,,,,,
Malaysian Biotechnology Corporation,https://www.crunchbase.com/organization/malaysian-biotechnology-corporation,"Advice, Biotechnology, Consulting","Kuala Lumpur, Kuala Lumpur, Malaysia",Malaysian Biotechnology Corporation is an economic development agency for the bio-based industry in Malaysia.,"218,608",Active,2005-01-01,year,,,,,For Profit,http://www.biotechcorp.com.my,"Malaysian Biotechnology Corporation, the lead development agency for bio-based industry in Malaysia, acts as central contact point providing support, facilitation & advisory services for bio-based companies in the country.",,,,
KWAP,https://www.crunchbase.com/organization/kwap,"Finance, Financial Services, Professional Services","Selangor, Selangor, Malaysia",KWAP is an investment and pension services provider.,"219,343",Active,2007-03-01,day,,,,,For Profit,https://www.kwap.gov.my,,,,,
channel delta international,https://www.crunchbase.com/organization/channel-delta-international,"Information Technology, Internet of Things, Navigation, Service Industry","Kuala Lumpur, Kuala Lumpur, Malaysia",Bring tomorrow's technology to today's urban cities,"222,485",Closed,2008-09-11,day,,,,none,For Profit,http://www.cdeltai.com,"Channel Delta International has established 2008 in Malaysia with philosophy of bring technology to today’s life by making use of IoT (Internet of Things). we are actively in bring in technologies to Asia Market which is in its turn, very unique and pristine. We have diversified our investment and development efforts in Transports, Payment solution and Navigation systems which is backing up with our AIs and algorithms for further developments and expand. We committed to sustainable growth with a long-term perspective and ensures a long-term value to all stakeholders. We had started as technology and AI development in 2008 in Malaysia and by years of efforts and product development, we expanded our business in diversified fields and markets in Malaysia by lifting the Iran sanction on the year 2015 we began to focus on this unique market in Asia and developing new products particularly in this market. Today’s we have products in Taxi hailing, transport, Navigation (as software and Hardware products), financial management tools and payment solution systems which are developed to localize into our new markets.",Seed,350000,USD,350000
Surveymy,https://www.crunchbase.com/organization/surveymy,"Mobile Apps, Software","Selangor, Selangor, Malaysia","Surveymy, Cheshire-basedd mobile app company.","222,566",Active,2009-01-01,year,,,,,For Profit,https://www.surveymy.com/,"Surveymy is a global internet research company that provides web survey solutions. Established and founded in year 2009 by a group of online fieldwork experts, Surveymy have more than 10 years of experience involving Asia Pacific online building panel. Surveymy is one of the pioneer companies to implement Confirmit platform in Asia Pacific with strong experience thus enabling to solve all kind of requirements regarding online data collection issues and able to programmed all types of customize research questionnaires such as tracking, ad hoc, omnibus, and more. In year 2011, Surveymy tied up with major database operations companies in APAC region to further strengthen our online sample recruitment capability. With the establishment of this partnership, Surveymy was able to provide full range of online data collection services and one stop service to all Market Research, Consultancy Companies, and Advertising Agencies through online recruitment methodology.",,2000000,GBP,2493004
iPay88,https://www.crunchbase.com/organization/ipay88,"E-Commerce, Payments","Kuala Lumpur, Kuala Lumpur, Malaysia",iPay88 offers a range of e-commerce and online payment services to merchants across the world,"222,831",Active,2006-01-01,year,,,,,For Profit,http://www.ipay88.com,"iPay88 Sdn Bhd was incorporated in year 2006 and awarded the MSC status by the Multimedia Development Corporation (MDEC) in June, 2007. iPay88 is a leading regional Payment Gateway Provider in South East Asia. We have over 180 strong team of professionals in Malaysia, Singapore, Indonesia, Philippines and Thailand. Since 2006, iPay88 has successfully providing competitive advantage through e-commerce and online payment services to more than 5000 merchants globally and regionally.",,,,
MR DIY Group M Bhd,https://www.crunchbase.com/organization/mr-diy-group-m-bhd,"Home Improvement, Retail","Selangor, Selangor, Malaysia",MR DIY is home improvement retailer in Malaysia and Brunei.,"234,255",Active,2005-07-01,month,2020-10-26,day,,,For Profit,http://www.mrdiy.com,"MR.DIY offers a wide selection of more than 16,600 types of products across ten categories — Hardware, Household, Electrical, Furnishing, Car Accessories, Stationery & Sports, Toys, Gifts, Computer & Mobile Accessories and Jewelry & Cosmetics.  The company's household products include kitchenware, hooks and cloth baskets, living and bath, and household accessories. Its hardware products include plumbing, power and hand tools, paint and adhesive, and gardening. Its electrical products include lighting, cables, plugs, adapters and accessories. Its stationery products include office supplies and accessories. MR.DIY has 670 stores that encompass about average 10,000 square feet per store, serving more than 80 million customers yearly at all stores in Malaysia and Brunei, as well as online store. The company has collaborations with Tesco, Giant, AEON and AEON BIG (formerly known as CARREFOUR).  The company also operates the Mr Toy chain of stores offering affordable toys and products for children and babies, and Mr Dollar, which sells F&B and household goods.",IPO,,,
Leap Energy,https://www.crunchbase.com/organization/leap-energy,"Consulting, Energy, Energy Management, Industrial, Oil and Gas, Software","Kuala Lumpur, Kuala Lumpur, Malaysia",Leap Energy provides subsurface consulting and software technology development services for the oil and gas industry.,"240,446",Active,2008-01-01,year,,,,,For Profit,http://leap-energy.com/,"Leap Energy provides subsurface consulting and software technology development services for the oil and gas industry in the Asia Pacific, Australia, the Middle East, and Europe. It offers integrated exploration and production consulting solutions ranging from exploration, appraisal, field development planning, well drilling, and completions to reservoir management and production optimization.  Leap Energy also provides subsurface consulting services, such as reservoir studies; exploration, development, and production of unconventional resources, including shale gas and oil, coalbed methane, tight gas, heavy oil, and geothermal reservoirs; reserves auditing and certification services; area and field development planning; techno commercial advisory services; reservoir management and production optimization services; and exploration and appraisal services. Moreover, itgement systems and audits, service contract auditing, technology advisory, permit and license applications, and operational reporting services.  Arnout Everts and Laurent Alessio founded Leap Energy in 2008, with its headquarters in Kuala Lumpur in Malaysia and additional branch offices in Brisbane and Perth in Australia, and Bucharest in Romania. It has representative offices in Oman, India, and Indonesia.",Private Equity,,USD,
Forest Interactive,https://www.crunchbase.com/organization/forest-interactive,"eSports, Mobile Payments, PaaS, SMS, Telecommunications","Kuala Lumpur, Kuala Lumpur, Malaysia","Forest Interactive's mission is to help bridge the gap between mobile subscribers, operators and content providers.","248,038",Active,2006-05-30,day,,,,,For Profit,https://www.forest-interactive.com/,"Forest Interactive connects mobile operators, content providers, and game publishers with their subscribers. We bridge the gap for our partners to maximize the power of mobile technology in more than 35 countries. Servicing more than 90 mobile operators globally, we bring connectivity to more than 1 billion subscribers since 2006. We develop scalable mobile platforms, delivering content subscription services, digital voucher and e-commerce platforms, as well as mobile apps for all ages. We also organize esports events and CSR initiatives that create opportunities for communities in a connected world. With over 110 talents of 21 nationalities in 9 offices, we speak over 25 languages and constantly learn from each other in a multicultural and diverse environment. We take pride in creating a workplace where they can thrive, fostering a culture of inclusion and innovation.",,,,
