Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Sea,https://www.crunchbase.com/organization/garena,"E-Commerce, Messaging, Mobile, Payments","Singapore, Central Region, Singapore","Sea runs Shopee for e-commerce, Garena in gaming, and SeaMoney for digital payments in Southeast Asia & Taiwan.","4,754",Active,2009-01-01,year,2017-10-20,day,,,For Profit,https://www.sea.com,"Sea is a consumer internet company. The company's mission is to improve the lives of consumers and small businesses in the region with technology. The company's businesses include Shopee, Garena, and SeaMoney.",IPO,8647000000,USD,8647000000
GLP,https://www.crunchbase.com/organization/global-logistic-properties,"Logistics, Real Estate","Singapore, Central Region, Singapore",GLP is a global investment manager with US$120 billion assets under management in real estate and private equity funds.,"8,478",Active,2009-01-01,year,2012-12-21,day,,,For Profit,http://glp.com/global,"GLP is a leading global investment manager specializing in logistics and related technology investments, with US$120 billion of assets under management in real estate and private equity funds around the world. The Company’s real estate fund platform is one of the largest in the world, spanning 73 million square meters (785 million square feet). In 2019, GLP was recognised by Private Equity Real Estate (PERE) as Global Firm of the Year and Logistics Investor of the Year.",IPO,1800000000,CNY,252816090
MatchMove Pay,https://www.crunchbase.com/organization/matchmove-pay,"Cloud Computing, E-Commerce, Financial Services, FinTech, Information Technology, Payments","Singapore, Central Region, Singapore",MatchMove Pay is a financial technology company providing innovative enterprise payments solutions.,"8,617",Active,2009-01-01,year,,,,,For Profit,https://www.matchmove.com,"MatchMove Pay is a Singaporean financial technology company that provides innovative, end-to-end enterprise payment solutions to help businesses increase revenue, and enhance user engagement and loyalty through its customizable cloud-based platforms. It offers MatchMove Wallet, an electronic wallet that enables its users to apply and keep track of multiple virtual cards for online shopping. It also allows consumer brands, banks, and regional e-commerce websites to easily issue secure mobile payment cards to potential customers with smartphones in Asia and the emerging markets. MatchMove Pay was founded in 2009.",Late Stage Venture,183376000,USD,183376000
The Parentinc,https://www.crunchbase.com/organization/tickled-media-pte-ltd,"Apps, Brand Marketing, Communities, Consumer Goods, Content, E-Commerce, Publishing","Singapore, Central Region, Singapore",The Parentinc is a tech company and digital publishing house that focuses on content and community platforms women.,"9,250",Active,2009-01-01,year,,,,,For Profit,http://www.theparentinc.com,"The Parentinc is one of Asia’s fastest-growing tech companies headquartered in Singapore. Its flagship brand, theAsianparent, is Southeast Asia’s largest content and community platform for parents, with a reach of over 35 million users monthly and an app store rating of 4.9 stars. The Parentinc also owns and operates direct to consumer brand Mama’s Choice, which manufactures and retails safe, natural, and Halal pregnancy, nursing, baby care, and household products that are designed and tested in Singapore for families in Asia. Also under The Parentinc banner are Webtretho, Vietnam's largest online content and community platform for women, and Bé Yêu, Vietnam's highest downloaded pregnancy and parenting app. The Parentinc investors include: Central Retail Corporation, Fosun International, Global Grand Leisure, JD.com, LINE SEA Corp., Mirae Asset-Naver New Growth Fund, Redbadge Pacific, SCB 10X, Tigris Capital, Vertex Ventures, and WHG Holdings.",Late Stage Venture,37319438,USD,37319438
Bitsmedia,https://www.crunchbase.com/organization/bitsmedia,"Apps, Consulting, Mobile, Social Media","Singapore, Central Region, Singapore",Bitsmedia Pte Ltd is a mobile apps factory specializing in the development of mobile applications.,"14,121",Active,2009-01-01,year,2017-08-01,day,,,For Profit,http://www.bitsmedia.com,"With a strong focus on digital entertainment and social media applications for the Apple iPhone and iPod Touch, Bitsmedia address the Internet, Telecom and Media industries and provides clients with state-of-the-art consulting and technology services. Its services range from the initial conceptualization and product design, the functional and technical specifications to the actual development, testing and distribution of custom applications for mobile devices.",M&A,20000000,USD,20000000
TAIGER,https://www.crunchbase.com/organization/taiger,"Artificial Intelligence (AI), Enterprise Software, Information Technology, Machine Learning, Semantic Search","Singapore, Central Region, Singapore",Developer of applied artificial intelligence platform to automate complex cognitive tasks,"24,201",Active,2009-01-01,year,,,,,For Profit,http://www.taiger.com/,"TAIGER specializes in advanced AI-engineered information access and extraction solutions, that exploit the meaning of structured and unstructured information with unparalleled accuracy for industry leaders in financial services and the government - significantly reducing costs, human risks, and increasing efficiency and trimming processes for organizations. We work with market leaders around the world like Banco Santander, Bank of America Merrill Lynch, BBVA, Citigroup, AIA Group, Manulife, CEMEX, Repsol, Sony DADC, and Vodafone. Our solutions are also fully accredited by IMDA Singapore, which expedites the procurement process for Singapore government agencies. Our past and existing government institutions include the Attorney-General’s Chambers, Housing and Development Board, Infocomm Media Development Authority, the Ministry of Culture, Community and Youth (MCCY), the Ministry of Home Affairs, National Arts Council, National Library Board, National Security Coordination Secretariat, Ngee Ann Polytechnic, Sports Singapore, Skills Future, and the Singapore Tourism Board. TAIGER is recognized as an IDC innovator in AI in 2019, Gartner Cool Vendor in 2017 and has garnered awards and recognition from Citi, Red Herring, and many others for its achievements in redefining the future of artificial intelligence. TAIGER holds various patents in information access. TAIGER is headquartered in Singapore with global offices in Madrid, Mexico City, and UAE. For more information, visit http://www.taiger.com.",Early Stage Venture,33356646,USD,33356646
MoneySmart,https://www.crunchbase.com/organization/moneysmart-sg,"Financial Services, FinTech, Insurance","Singapore, Central Region, Singapore","MoneySmart is a financial portal to search the best loan package, insurance policy, and credit card deals.","28,889",Active,2009-01-01,year,2018-03-13,day,,,For Profit,https://www.moneysmart.sg/,"MoneySmart Group is South East Asia's leading personal finance portal helping consumers compare loans, insurance and credit cards. At MoneySmart, they have made it their mission to simplify your personal finance decisions. As everyday consumers their selves, they  understand your expectations, hopes and concerns and they have built MoneySmart.sg in Singapore and DuitPintar.com in Indonesia as the go-to, all-in-one portals for personal finance.  They work together with you to help make your life goals happen. So whether you’re budgeting your first pay check, crossing out something from the ultimate travel bucket list, saving for that dream wedding, becoming a new homeowner or planning for retirement, you can be assured of making a smart choice – all for free in one place. From everyday decisions like choosing the best credit card to big decisions like buying a home, they show you what’s out there, recommend what’s best for you and help you to apply. Be informed and inspired about how to best earn, spend and grow your money to achieve your goals in life.",M&A,12500000,USD,12500000
Continuum Wind Energy,https://www.crunchbase.com/organization/continuum-wind-energy,"Clean Energy, Energy","Singapore, Central Region, Singapore",Continuum Wind Energy was founded in 2009 by a group of professionals to develop wind farms in India and Asia.,"48,802",Active,2009-01-01,year,,,,,For Profit,https://www.continuumenergy.in,"Continuum Wind Energy was founded in 2009 by a group of professionals to develop wind farms in India and Asia. Continuum Wind Energy follows a philosophy of self-development of environmentally-friendly, high yielding wind farms after diligent study of the wind resource, careful planning of construction program and obtaining a fully-committed, conservative financing structure. Continuum Wind Energy actively works with the local population to fund development programs, offer employment to locals and create a sustainable partnership with the community. The Indian power market has a persistent demand-supply gap of electricity. The Indian wind energy industry is witnessing improving regulatory regime, phasing out of subsidies, grid parity in most states and a differentiation of the “green” premium of wind energy determined by market forces. Continuum Wind Energy has operating capacity of 43 MW selling electricity under long term power sale agreements at feed-in-tariffs to distribution utilities and on negotiated tariffs to industrial consumers. In addition, Continuum Wind Energy is executing a 175 MW project which is amongst the largest windfarms in India. Continuum Wind Energy continues to develop a healthy pipeline of high quality projects of over 300 MW. Continuum Wind Energy has offices in Mumbai, Pune, Satara and Jaipur. Continuum Wind Energy senior management have collective experience of over 75 years. The senior management team have been close friends from their time together at Indian Institute of Management (IIM) Ahmedabad, India’s leading business school. The team has worked at India’s leading companies like IDFC-SSKI, Suzlon, Wipro, ITC, ABN-AMRO, HSBC etc. before starting Continuum Wind. Singapore-based Continuum Wind Energy is majority owned by Morgan Stanley Infrastructure Partners, a leading infrastructure investment platform with $4 billion in equity under management, that focuses on long-term investments in infrastructure assets associated with providing essential public goods and services to societies across the globe",,27860000000,INR,349089740
Keppel DC REIT,https://www.crunchbase.com/organization/keppel-dc-reit,Financial Services,"Singapore, Central Region, Singapore",Keppel DC REIT invests in a diversified portfolio of income-producing real estate.,"64,148",Active,2009-01-01,year,2014-12-15,day,,,For Profit,http://www.keppeldcreit.com/en/home.aspx,"Keppel DC REIT is the first pure-play data centre REIT listed in Asia on the Singapore Exchange. Keppel DC REIT's investment strategy is to principally invest, directly or indirectly, in a diversified portfolio of income-producing real estate assets which are used primarily for data centre purposes, as well as real estate related assets, with an initial focus on Asia Pacific and Europe. As at 31 December 2016, the REIT has a portfolio valued at approximately $1.20 billion comprising 11 high-quality data centres strategically located in key data centre hubs. With an aggregate lettable area of approximately 843,000 sq ft, the portfolio spans nine cities in seven countries in Asia Pacific and Europe. Keppel DC REIT's data centre properties in Asia Pacific include Keppel DC Singapore 1 (formerly S25), Keppel DC Singapore 2 (formerly T25) and 90% interest in Keppel DC Singapore 3 (formerly T27) in Singapore; Basis Bay Data Centre in Cyberjaya, Malaysia; Intellicentre 2 and Gore Hill Data Centre in Sydney, Australia; and iseek Data Centre in Brisbane, Australia.",IPO,478200000,SGD,348084082
Biolidics,https://www.crunchbase.com/organization/clearbridge-biomedics,"Biotechnology, Health Care, Health Diagnostics","Singapore, Central Region, Singapore",Biolidics is focused on the development of medical devices to improve cancer diagnostics and patient care.,"89,903",Active,2009-01-01,year,,,,,For Profit,https://www.biolidics.com/,"Biolidics is a medical technology company focusing on the development of cell enrichment systems which, when combined with other analytical tests, have a wide range of applications for cancer diagnosis, prognosis, treatment selection and treatment monitoring.",,15260000,SGD,11757088
eLama,https://www.crunchbase.com/organization/elama,"Advertising, Internet, Professional Services","Singapore, Central Region, Singapore",Smart Digital Automation Platform,"97,415",Active,2009-01-01,year,2022-01-17,day,,,For Profit,https://elama.global/,eLama is a digital marketing automation platform made to simplify marketing operational tasks and help agencies and businesses worldwide to grow. The Company helps small businesses find new customers through the most efficient online marketing channels — Google Ads and Facebook. eLama simplifies the workflow so that any business is able to drive growth without hiring in-house marketing specialists.,M&A,800000,USD,800000
Latize,https://www.crunchbase.com/organization/latize,"Analytics, Information Services, Information Technology, Marketing, Software","Singapore, Central Region, Singapore","Latize's linked data based software - the Latize Ulysses - links related persons, companies and events across multiple systems.","97,793",Active,2009-01-01,year,,,,,For Profit,http://www.latize.com/,"Latize (pronounced lattice) is another word for framework or scaffolding. This is the essence of what we do. We enable you to optimally leverage and monetize your own as well as open data by connecting the dots across information systems and sources. Based in Singapore, Latize is founded on a strong base of data management and organization skills, reflecting many years of experience in data-related problem solving.",,3500000,USD,3500000
Deep Identity,https://www.crunchbase.com/organization/deep-identity,"Compliance, Data Governance, Identity Management, Information Technology, Risk Management, Software","Singapore, Central Region, Singapore","Deep Identity is a computer software that specializes in governance administration, compliance management, and data governance requirements.","103,901",Active,2009-01-01,year,,,,,For Profit,http://www.deepidentity.com,"Deep Identity is a computer software company that provides a software platform that specializes in governance administration, compliance management, and data governance requirements. Its platform provides reporting and analytics for IT security and enables its clients to control and automating compliance management. Deep Identity was founded in 2009 and headquartered in Singapore.",Seed,470000,USD,470000
AustAsia,https://www.crunchbase.com/organization/austasia,Consumer,"Singapore, Central Region, Singapore",AustAsia is a producer of premium raw milk.,"105,831",Active,2009-01-01,year,,,,,For Profit,,"AustAsia is a producer of premium raw milk.AustAsia provides high-quality raw milk, gaining the trust of its business partners, and achieving high growth and profitability.",,254400000,USD,254400000
Garena,https://www.crunchbase.com/organization/garena-fe35,"Communications Infrastructure, Gaming, Online Games","Singapore, Central Region, Singapore",Garena is an online game developer and publisher of free games.,"117,058",Active,2009-01-01,year,,,,,For Profit,https://www.garena.sg/,Garena is one of the largest internet companies in Southeast Asia and has over 1000 employees.,Private Equity,,USD,
Dynamic Technology Lab,https://www.crunchbase.com/organization/dynamic-technology-lab,"Financial Services, Information Technology","Singapore, Central Region, Singapore",Dynamic Technology Lab is a quantitative trading firm engaged in equity trading.,"175,428",Active,2009-01-01,year,,,,,For Profit,http://www.dytechlab.com/,Dynamic Technology Lab Pte. Ltd. (DTL) is a quantitative trading firm engaged in equity trading. We have significant presence in the global market by trading over 400m USD daily in the world's major exchanges.,,,,
ReferralCandy,https://www.crunchbase.com/organization/referralcandy,"E-Commerce, Marketing, Mobile Apps, Software","Singapore, Central Region, Singapore",ReferralCandy is a mobile based application company specializing in customer referral programs for other eCommerce companies.,"175,868",Active,2009-01-01,year,,,,,For Profit,http://www.referralcandy.com,"ReferralCandy is a referral marketing tool that enables its users to increase their word-of-mouth sales. It helps sellers conduct their own customer referral programs. Through ReferralCandy, sellers have the ability to customize rewards and change the way their referral programs look, without getting developers involved. It also focuses on customer acquisition and referral marketing services. ReferralCandy is based in Singapore, Central Region.",Seed,1000000,SGD,788501
Aura Group,https://www.crunchbase.com/organization/aura-group,"Accounting, Asset Management, Credit, Finance, Financial Services, FinTech, Funding Platform, Venture Capital, Wealth Management","Singapore, Central Region, Singapore","Aura Group is a financial services business providing tailored wealth, funds management and corporate advisory solutions to clients.","182,873",Active,2009-01-01,year,,,,,For Profit,http://www.aura.co,"Founded in Australia in 2009, our head office is in Singapore with a significant footprint across the Asia Pacific region including Sydney, Melbourne, Brisbane and Ho Chi Minh City. We take a client centric approach and was recently award Best Wealth and Fund Management Company – Asia Pacific and Client Service Excellence Award – South East Asia, at the 2019 International Finance Awards.",,,,
TransferTo,https://www.crunchbase.com/organization/transferto,"B2B, Financial Services, Mobile Payments","Singapore, Central Region, Singapore","TransferTo is a B2B mobile payment network for money transfers, digital wallet providers, banks, organizations, and merchants.","197,997",Active,2009-01-01,year,,,,,For Profit,https://www.transfer-to.com/,,,,,
CloudFX,https://www.crunchbase.com/organization/cloudfx,"Information Technology, Software","Singapore, Central Region, Singapore","CloudFX is a strategic Virtualization and Cloud solutions firm, transforming businesses through the promise of technology.","217,047",Active,2009-01-01,year,,,,,For Profit,http://www.cloudfx.com,"CloudFX is a strategic Virtualization and Cloud solutions firm, transforming businesses through the promise of technology. Our goal is to accelerate the adoption of Cloud computing in Enterprises and Service Providers by applying critical strategic insight and technical solutions to real business problems. We provide end-to-end enablement of Cloud computing; from Data Driven Strategic insights, Technology Architecture, Automation/Orchestration through to Cloud Service Management and Operational Transformation. Headquartered in Singapore, CloudFX has local offices in Indonesia, Malaysia and Australia and works with organizations across the region.",,,USD,
New Silk Road Investment,https://www.crunchbase.com/organization/new-silk-road-investment,"Financial Services, Impact Investing, Real Estate Investment","Singapore, Central Region, Singapore",New Silk Road Investment is an investment management firm .,"217,577",Active,2009-01-01,year,,,,,For Profit,https://www.nsr.com.sg,"New Silk Road Investment invest in Asian companies with the aim of achieving superior long-term absolute returns through an independent, fundamentally-based, value-driven investment process.",,,,
YSQ International,https://www.crunchbase.com/organization/ysq-international,"Asset Management, Financial Services, Intellectual Property, Tobacco","Singapore, Central Region, Singapore","YSQ International offers investment, wholesale tobacco-related products, asset management, intellectual property, and financial services.","220,564",Active,2009-01-01,year,,,,,For Profit,https://www.ysq-international.com,,,,,
Keppel Land,https://www.crunchbase.com/organization/keppel-land,"Business Development, Property Management, Real Estate","Singapore, Central Region, Singapore",Keppel Land delivers urban space solutions.,"228,605",Active,2009-01-01,year,,,,,For Profit,http://www.keppelland.com,"Keppel Land provides solutions for sustainable urbanization, focusing on energy, environment, urban development, connectivity, and asset management. Their portfolio includes residential developments, investment-grade commercial properties, and integrated townships.",,,,
Rolling Arrays,https://www.crunchbase.com/organization/rolling-arrays,"Human Resources, Information Technology","Singapore, Central Region, Singapore","Rolling Arrays offers end-to-end HR solutions that enable customers to attract, develop, and retain the talent best fit for their business.","239,108",Active,2009-01-01,day,,,,,For Profit,http://www.rollingarrays.com/,,,,,
Spritle Software,https://www.crunchbase.com/organization/spritle-software,"Apps, Information Technology, Software, Web Apps","Singapore, Central Region, Singapore",Spritle Software is an IT company that develops web and mobile apps.,"250,810",Active,2009-01-01,day,,,,,For Profit,https://www.spritle.com/,,,,,
Gametize,https://www.crunchbase.com/organization/gametize,"Gamification, Internet, Training","Singapore, Central Region, Singapore","Gametize is the world's simplest enterprise-grade gamification platform for community engagement and advocacy, such as in L&D, Marketing. ","262,748",Active,2009-01-01,year,,,,,For Profit,https://gametize.com,"Gametize is the world's simplest enterprise-grade gamification platform for community engagement and advocacy. Clients use Gametize's highly customizable and versatile solution to motivate target behaviours for various purposes, such as in employees training/performance management, or for consumer marketing/sales advocacy. Anyone can create a white-label web/mobile campaign in just 5 minutes, leveraging Gametize's key gamification mechanics (interactive challenges, automated feedbacks, competition and socializing, and rewards redemption), coupled with their own narratives and theme .  Users can complete these fun, social challenges such as answering a trivia, post a photo, and later receive feedbacks such as points, badges, before redeeming prizes such as ""lunch with a celebrity"" in the rewards store.  Gametize is trusted by brands such as Shell, Samsung, P&G, DBS, Singtel, and Accenture, with 10 million challenge completions and more than 200,000 registered users. Gametize has been endorsed by academics and research companies in reports or case studies, such as Bond University, San Jose State University, Forrester. Gametize was also selected as Singapore's 20 hottest startups in 2015 by Singapore Business Review magazine, and IBM SmartCamp (ASEAN) People's Choice Winner in 2013.  Gametize is designed with a strong focus on gamification, because it is a proven strategy for motivating behaviors and learning backed by case studies (e.g. Delta Airlines, Microsoft). A pilot case study in Singapore Management University shows that 80% of the students want to see more games powered by Gametize after undergoing a gametized experience for learning Leadership and Teambuilding.  Here is a video demo at https://www.youtube.com/watch?v=8dLYGNVVgMI or https://vimeo.com/244157083. More information and featured games can be found at http://corp.gametize.com/about.  [More about Gametize] Here are some examples how Gametize has helped these clients: - Through a white-label mobile app, a retail company uses Gametize to digitize their sales training to encourage their salesforce to learn about new products and soft skills in a more fun, easy way. The salesforce would learn, compete, redeem rewards on the store, and at the same time help their peers in the app. There has been a positive correlation found between an individual's sales results and activities in the app.  - A bank launched a virtual internship and travel experience for employer branding objectives using Gametize. The candidate applying as a management associate would answer fun quizzes about the bank and all 6 cities, and eventually unlock a set of situation test questions.  - A FMCG brand created a series of personality quizzes on the Gametize platform to recommend the relevant product to the consumer, while another FMCG brand created a customer advocacy program to encourage customers and non-customers alike to complete a series of challenges such as referrals, make purchases, and to create user-generated content.  Gametize can also serve as a loyalty solution that packs a lot more fun. Any actions that can be digitally tracked, such as browsing and purchasing, can be rewarded through our simple REST-based API. Based on Java and MySQL, it is highly customized and works on any server environment as a licensable and out-of-the-box technology. The database will be fully owned and managed by you.  The management team consists of passionate and technically strong co-founders well experienced in gamification, supported by established advisors.  https://gametize.com/play/challenge?id=65119",Seed,100000,USD,100000
Reebonz,https://www.crunchbase.com/organization/reebonz,"Digital Marketing, E-Commerce, Shopping","Singapore, Central Region, Singapore",Reebonz is a membership-based online shopping site with a product portfolio of various luxury brands.,"272,560",Active,2009-01-01,year,2017-10-13,day,,,For Profit,http://www.reebonz.com/event_list,"Reebonz (瑞宝仕) is a membership-based online shopping site with a product portfolio of various luxury brands. Founded in 2009, Reebonz is headquartered in Singapore with operations in Malaysia, Thailand, Indonesia, Brunei, South Korea, Australia, New Zealand, China, Hong Kong, and Taiwan. International venture capital firms such as GGV CAPITAL, MATRIX, VERTEX VENTURE have invested in it. Reebonz offers time-limited special sales to its members, with more than 100 brands and nearly 220 newly launched and updated activities on average per month. 80% of website brands are high-end first-tier products. It guarantees that all commodities are authentic, and supports installments of assigned bank credit cards without any interest and handling charge.",IPO,64000000,USD,64000000
Technopals,https://www.crunchbase.com/organization/technopals,"Information Technology, Outsourcing, Staffing Agency","Jurong West, West Region, Singapore","Technopals offers services for analytics, application development and testing, business process outsourcing and staffing.","278,711",Active,2009-01-01,day,,,,,For Profit,https://www.technopals.com/,,,,,
Durapower Holdings,https://www.crunchbase.com/organization/durapower-holdings,"Consumer Applications, Consumer Electronics, Electronics, Industrial Manufacturing, Manufacturing","Singapore, Central Region, Singapore","Durapower Holdings is an industrial firm for manufacture, research and development of Lithium-ion battery materials and storage solutions.","282,261",Active,2009-01-01,year,2023-03-01,day,,,For Profit,https://durapowergroup.com/,"Durapower Holdings is an industrial firm for manufacture, research and development of Lithium-ion battery materials and storage solutions.",M&A,,,
Tickled Media,https://www.crunchbase.com/organization/tickled-media,"Brand Marketing, Digital Marketing, Social Media Marketing","Singapore, Central Region, Singapore","Tickled Media is a digital marketing company that provides brand campaigns, logo design, SEO, and event ideation services.","288,336",Active,2009-01-01,year,,,,,For Profit,https://www.tickledmedia.com,,,,,
