Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
PatSnap,https://www.crunchbase.com/organization/patsnap,"Analytics, Artificial Intelligence (AI), Business Intelligence","Singapore, Central Region, Singapore",PatSnap is an innovation intelligence platform that provides intellectual property and research and development intelligence.,"1,175",Active,2007-01-01,year,,,,,For Profit,https://www.patsnap.com/,"PatSnap is a connected innovation intelligence platform that provides IP and R&D intelligence. It is used by more than 10,000 customers in over 50 countries around the world to access market, technology, and competitive intelligence as well as patent insights needed to take products from ideation to commercialization.  The company was founded in 2007 and is headquartered in Singapore.",Late Stage Venture,351602006,USD,351602006
SHIELD,https://www.crunchbase.com/organization/shield-fraud,"Artificial Intelligence (AI), Cyber Security, Fraud Detection, Information Technology, Machine Learning, Payments, Risk Management, Security","Singapore, Central Region, Singapore",SHIELD is a mobile-first risk intelligence company. We help world-leading enterprises build trust and safety by stopping fraud and abuse.,"5,376",Active,2008-01-01,year,,,,,For Profit,http://shield.com/,"SHIELD helps world-leading enterprises build trust and safety by stopping fraud and abuse. Our products span fraud prevention, network security, credit intelligence, and identity verification. Trusted across all continents by enterprises such as Razer, Alibaba, and BEAT, we protect over seven billion devices and 500 million user accounts every year.",Early Stage Venture,25500000,USD,25500000
WEMIX,https://www.crunchbase.com/organization/wemix-a8aa,"Apps, Blockchain, Gaming","Singapore, Central Region, Singapore",WEMIX is a blockchain gaming platform.,"6,162",Active,2008-01-01,year,,,,,For Profit,https://www.wemix.com/en,,Seed,4700000000,KRW,3834157
I-Pulse,https://www.crunchbase.com/organization/i-pulse,"Energy, Hardware, Manufacturing","Singapore, Central Region, Singapore",I-Pulse is a high-pulsed-power technology company that develops innovative commercial applications for pulsed power technologies.,"21,243",Active,2007-01-01,year,,,,,For Profit,https://www.ipulse-group.com,I-Pulse is a global leader in developing innovative commercial applications for pulsed power technologies. I-Pulse proprietary technologies convert small amounts of electrical energy into limitless power to address a broad and growing suite of applications across multiple end markets. It was founded in 2007 by Robert Friedland and Laurent Frescaline in Singapore.,,221909640,USD,221909640
AWAK Technologies,https://www.crunchbase.com/organization/awak,"Biotechnology, Wearables","Singapore, Central Region, Singapore","AWAK develops wearable dialysis machines that operate and function like a normal kidney, for continuous dialysis.","22,719",Active,2007-01-01,year,,,,,For Profit,http://www.awak.com,"AWAK Technologies develop wearable dialysis machines, 1kg and battery-operated, for continuous dialysis. The company was certified by SGS for ISO 13485 Quality Management System in September 2008 with the scope of designing, manufacturing and distributing medical devices. The Automated Wearable Artificial Kidney (AWAK) is based on tidal peritoneal dialysis. The technology is based on research by Profs David Lee & Martin Roberts of UCLA and VA Systems. The engineering and development of AWAK is done in Singapore with the collaboration of Temasek Polytechnic. The company has completed the R&D and is now in the clinical trial stage, targeting both FDA and CE certifications. The AWAK Regular Cartridge, is currently in pilot production stage and expected to enter clinical trial by the end of 2012.  This wearable artificial kidney operates continuously and functions like a normal kidney. Being small , light (less than 1 kg) and battery-operated, the patients will be able to go about having daily routines, with no restriction to lifestyles such as work, travel and leisure.",Early Stage Venture,77200000,USD,77200000
Apeiron Bioenergy,https://www.crunchbase.com/organization/apeiron-bioenergy,"Biotechnology, Renewable Energy","Singapore, Central Region, Singapore",Apeiron Bioenergy is an integrated global player in the entire chain of bioenergy products from feedstock to the end and by-products.,"31,491",Active,2007-01-01,year,,,,,For Profit,https://www.apeironbioenergy.com,Apeiron Bioenergy is an integrated global player in the entire chain of bioenergy products from feedstock to the end and by-products.,Private Equity,50000000,SGD,36982249
Geo Energy Resources,https://www.crunchbase.com/organization/geo-energy-resources,Mining,"Singapore, Central Region, Singapore",Geo Energy Resources is a coal mining group in Indonesia and is listed on the Singapore Stock Exchange.,"35,664",Active,2008-01-01,year,2012-10-19,day,,,For Profit,http://www.geocoal.com,Geo Energy Resources is a coal mining group in Indonesia and is listed on the Singapore Stock Exchange.,IPO,224000000,USD,224000000
Gshopper,https://www.crunchbase.com/organization/gshopper,"E-Commerce, E-Commerce Platforms, Shopping, Software","Singapore, Central Region, Singapore",Gshopper is a one-stop e-commerce platform enabling customers to live a truly global lifestyle.,"37,489",Active,2007-01-01,year,,,,,For Profit,https://www.gshopper.com,"Backed by several rounds of venture capital funding close to $100M to date, Gshopper is the world's first e-importer for global shoppers. We discover the world's ""hottest"" products and bring them to our global consumers at great prices. We identify ""hot"" products by advanced big data and AI technology. Our operation is highly automated using the sophisticated and fully in-house developed ERP system. The products we feature on Gshopper come with a great deal of thought and care.  Our mission is to bring all of the popular products from all over the world to online shoppers in any country and help them to become true global shoppers.  Gshopper is headquartered in Singapore with subsidiaries in over 16 countries (and expanding) in the world including the United States, China, Japan, Korea, and many EU countries.",Late Stage Venture,88800000,USD,88800000
Valency International,https://www.crunchbase.com/organization/valency-international,"Farmers Market, Online Portals, Service Industry","Singapore, Central Region, Singapore","Valency International engages in selling and buying agriculture, fertilizer, industrial and other commodities.","40,218",Active,2007-01-01,year,,,,,For Profit,https://valencyinternational.com,"Valency International engages in selling and buying agriculture, fertilizer, industrial and other commodities.",,25000000,USD,25000000
Curiox Biosystems,https://www.crunchbase.com/organization/curiox-biosystems,"Biotechnology, Medical Device","Singapore, Central Region, Singapore","Curiox Biosystems is a bioinstrumentation company spun out of the Agency for Science, Technology, and Research (A*STAR) in Singapore.","43,544",Active,2008-01-01,year,,,,,For Profit,https://www.curiox.com/,"Curiox is a bioinstrumentation company spun out of the Agency for Science, Technology, and Research (A*STAR) in Singapore. Curiox has become a leader in the development and commercialization of innovative assay platforms based on its expertise in surface chemistry and engineering. Curiox’s vision is to accelerate the progress of life sciences, drug discovery and diagnostics through the miniaturization and improved automation of bioassays.",Late Stage Venture,30000000,USD,30000000
