Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
KLOOK,https://www.crunchbase.com/organization/klook,"Hospitality, Leisure, Tourism, Travel","Singapore, Central Region, Singapore",Klook is a travel and leisure booking platform designed to connect travelers with experiences and attractions.,547,Active,2014-01-01,year,,,,,For Profit,https://www.klook.com,"Klook is the leading travel and leisure e-commerce platform for experiences and services anytime, anywhere. Klook curates the most joyful experiences so that users can satisfy their relentless curiosity for adventure and experiences at home and around the world. With our website and app, users can experience a world of joy, from attractions, tours to local transportation and stays. Founded in 2014, Klook is inspired to enable more moments of joy through over half-million activities in over 1,000 destinations.",Late Stage Venture,931500000,USD,931500000
Ninja Van,https://www.crunchbase.com/organization/ninja-van-2,"Delivery, Logistics, Transportation","Singapore, Central Region, Singapore",Ninja Van is a tech-enabled express delivery firm serving businesses across Southeast Asia.,"2,216",Active,2014-01-01,year,,,,,For Profit,https://www.ninjavan.co/,"Ninja Van is the growing startup in the logistics space, solving the last mile problem via a multitude of strategic tie-ups and a cutting edge technology stack via our reactive and distributed systems. We firmly believe that optimization of logistics in Asia revolves around a routing software layer controlling legacy assets while concurrently building our own hardware, infrastructure and assets if necessary to enable the new age of logistics. Imagine scalable capacity on demand. Imagine routing and sharing of corporate fleets. Imagine affordable multi-modal same-day courier.",Late Stage Venture,974500000,USD,974500000
BandLab,https://www.crunchbase.com/organization/bandlab,"Internet, Music, Social Media","Singapore, Central Region, Singapore","BandLab is a cloud platform where musicians and fans create music, collaborate and engage with each other across the globe.","3,172",Active,2014-01-01,year,,,,,For Profit,https://www.bandlab.com,"BandLab is a free, all-in-one (iOS, Android and web), cloud-based social platform that simplifies the process of making music. Its global community of musicians and fans work to create and collaborate on music, which can be shared across the global community. BandLab is part of BandLab Technologies, a connected ecosystem of brands covering musical instruments and accessories, web/mobile/social applications and commerce. The company's collective expertise in software and hardware development—combined with an ability to connect directly with consumers through both digital and physical touchpoints—puts it in a unique position to shape the future of music.",Early Stage Venture,90000000,USD,90000000
BIGO Technology,https://www.crunchbase.com/organization/bigo-technology,"Artificial Intelligence (AI), Business Development, Internet, Social Media, Software, Video Streaming","Singapore, Central Region, Singapore",BIGO is a fast-growing Singapore technology company specialising in AI technology.,"3,645",Active,2014-01-01,year,2019-03-04,day,,,For Profit,https://www.bigo.sg,"BIGO is a fast-growing Singapore technology company established in 2014. Dedicated to creating a better-connected world for everyone, BIGO provides a portfolio of video broadcast and VoIP related products and services powered by advanced Artificial Intelligence (AI) technology. The major products include BIGO LIVE, Likee (Formerly LIKE video), and imo, and the company group now has over 400 million monthly active users in over 150 countries worldwide.",M&A,272000000,USD,272000000
Singlife,https://www.crunchbase.com/organization/singapore-life,"Finance, Financial Services, FinTech, Insurance, Life Insurance, Payments","Singapore, Central Region, Singapore",Singlife provides digital life insurance services.,"3,780",Active,2014-01-01,year,,,,,For Profit,https://www.singlife.com/,"Singapore Life provides digital life insurance services. Singapore Life offers high net worth universal life solutions for those that prefer Singapore and the Singapore regulatory environment as a destination for their wealth and protection needs. It also offers protection solutions made available both digitally and through financial advisers to the retail segment, revolutionising how easy insurance can be. The Company incorporates multiple InsurTech solutions to improve the customer experience. Singapore Life represents the next generation of life insurance where customers are empowered through a simplified insurance purchase process.",,1312198120,USD,1312198120
Monk’s Hill Ventures,https://www.crunchbase.com/organization/monk-s-hill-ventures,"Finance, Financial Services, FinTech, Venture Capital","Singapore, Central Region, Singapore",Venture capital firm investing in early-stage technology startups in Southeast Asia,"6,563",Active,2014-01-01,year,,,,,For Profit,http://www.monkshill.com,"Founded in 2014 by entrepreneurs Peng T. Ong and Kuo-Yi Lim, Monk’s Hill Ventures (‘MHV’) is a venture capital firm investing in early-stage technology startups in Southeast Asia. Backed by institutional investors and family offices worldwide, MHV works with great entrepreneurs to use technology to improve the lives of millions of people in the region. We take a first-principles approach in how we operate and make decisions at MHV. We break down ideas and business models to understand the fundamentals. Since our founding in 2014, Monk’s Hill Ventures has invested in more than 20 fast-growing startups spanning multiple business models and industry verticals. We look to work with founders in the early stages of the development of their businesses, and typically invest at the Series A stage.  We are entrepreneurs backing entrepreneurs. This runs in our DNA. With the utmost respect for the founder, the firm is led by entrepreneurs and operators, CEOs, and CTOs of successful tech companies both in Asia and in Silicon Valley. Our footprint spans across Southeast Asia with on-the-ground teams in Singapore, Indonesia, Malaysia, Vietnam and Thailand. Our network comprises entrepreneurs, investors, former CEOs, engineers, academics, media and a team of operating advisors with strong domain expertise from cybersecurity, data science, financial services, to healthcare, to provide our founders with the right access and advice as they scale and build.",,10000000,USD,10000000
Engine Biosciences,https://www.crunchbase.com/organization/engine-biosciences,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning","Singapore, Central Region, Singapore",Engine Biosciences is a biotech company that applies machine learning to genomics for drug discovery.,"7,330",Active,2014-01-01,year,,,,,For Profit,http://www.enginebio.com,"Engine Biosciences is a biotech company that applies machine learning to genomics for drug discovery. Engine Biosciences is a venture-backed San Francisco- and Asia-based technology company pioneering network biomedicine. The company's proprietary and patented technologies oriented around deciphering the complexity of biology networks include both high-throughput wet lab experimentation and artificial intelligence algorithms for drug discovery and cellular reprogramming.  This platform, developed through several years of research by our scientific founding and leadership team who include faculty members at MIT, Harvard, Mayo Clinic, and UCSD, dramatically accelerates and reduces costs of the R&D process for new medical therapies.  We are actively applying the platform internally and with partners across a range of disease indications.",Early Stage Venture,103000000,USD,103000000
Circles.Life,https://www.crunchbase.com/organization/circles-life,"Digital Marketing, Mobile, Telecommunications","Singapore, Central Region, Singapore","Circles.Life is a digital telecommunications and lifestyle services provider, with presence in Singapore, Australia, India and Taiwan.","10,456",Active,2014-01-01,year,,,,,For Profit,https://www.circles.life/,"Circles.Life is a young, innovative telco, homegrown in Singapore with a mission to re-imagine how mobile services are built and delivered with you in mind. They do this by offering the best no-contract mobile plan, unlimited bonus data and an unparalleled customer experience.",,50000000,USD,50000000
GoBear,https://www.crunchbase.com/organization/gobear,"Auto Insurance, Financial Services, Health Insurance, InsurTech, Internet, Price Comparison","Singapore, Central Region, Singapore","GoBear is a comparison site for insurance, credit cards, and loans.","10,505",Active,2014-01-01,year,2021-04-08,day,,,For Profit,http://www.gobear.com,"GoBear is a complete and easy-to-use comparison site for all types of insurance, credit cards and loans.  GoBear is a financial supermarket providing consumers with the know-how, tools, and more than 1,800 personal finance products partnering with financial institutions, banks and insurance providers, including Allianz Worldwide Partners, Citibank, FWD Insurance and Standard Chartered Bank.",M&A,97000000,USD,97000000
Cosmose,https://www.crunchbase.com/organization/cosmose,"Analytics, Artificial Intelligence (AI), Big Data, Location Based Services, Machine Learning, Retail","Singapore, Central Region, Singapore",Cosmose AI empowers oCommerce by synergizing offline and online for omnichannel and influence.,"10,518",Active,2014-01-01,year,,,,,For Profit,http://cosmose.co,"Cosmose AI empowers oCommerce by synergizing Offline and Online for Omnichannel. Their technology influences how more than 1 billion consumers shop by understanding their offline behavior, then delivers predictive analytics for businesses to optimize their marketing strategies and boost revenue. Connected to the consumer markets with high regard for privacy, shoppers and businesses alike create their own unique shopping experiences with Cosmose. Omnipresent with connections to 500K+ locations and 1B+ smartphones, Cosmose is the leader in location intelligence for its positioning accuracy (to the nearest 1.6m) and seamlessness (no hardware needed).",,27000000,USD,27000000
