Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Biocare Medical,https://www.crunchbase.com/organization/biocare-medical,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device","Pacheco, Cavite, Philippines",Biocare Medical is a provider of immunohistochemistry instrumentation.,"24,751",Active,1997-01-01,year,,,,,For Profit,http://biocare.net/,"Biocare Medical is an innovator in developing and supplying world class automated immunohistochemistry instrumentation, and the full range of reagents for IHC lab testing. Biocare is the market leader in simultaneous Multiplex IHC tests which provide increased confidence at critical diagnostic decision points, impacting patient therapy while accelerating turnaround time. Biocare’s advanced micro-polymer™ detection enables unsurpassed specificity and sensitivity. PROMARK™ and “mouse on mouse” IHC detection kits are optimized for rat and mouse tissues and feature proprietary blocking and retrieval reagents, resulting in virtually background free IHC staining. The company’s customers include clinical histology laboratories, pharmaceutical companies, CROs, and biotechnology companies as well as academic, government, military, and other non-profit laboratories. Biocare Medical offers an expanding portfolio of integrated products to address the rapidly growing cancer and infectious disease diagnostic and research markets with novel tissue immunohistochemistry and in situ hybridization methods. Biocare medical is headquartered and has manufacturing facilities in Concord, Calif., and has a global distribution network.",Private Equity,85000000,USD,85000000
First Gen Corporation,https://www.crunchbase.com/organization/first-gen-corporation,"Energy, Geothermal Energy, Infrastructure, Manufacturing, Property Development","Pasig, Rizal, Philippines","First Gen Corporation offers power generation, power distribution, infrastructure, manufacturing, and property development services.","42,662",Active,1998-01-01,year,2014-06-27,day,,,For Profit,http://www.firstgen.com.ph,"First Gen Corporation offers power generation, power distribution, infrastructure, manufacturing, and property development services.",IPO,693042701,USD,693042701
Steinhoff Asia Pacific,https://www.crunchbase.com/organization/steinhoff-asia-pacific,"Consumer Goods, Furniture, Retail","Australia, Isabela, Philippines","Steinhoff Asia Pacific  is an independent, profitable, and financially strong business delivering positive cash flows.","50,815",Active,1998-09-23,day,,,,,For Profit,http://www.steinhoffasiapacific.com.au/,"Steinhoff Asia Pacific  is an independent, profitable, and financially strong business delivering positive cash flows. STEINHOFF is an integrated discount retailer that manufactures, sources and retails furniture, household goods and clothing in Europe, Africa and Australasia. The Company offers a wide range of products such as fabric and leather sofas, dining suites, chairs, tables, beds, entertainment units, bookcases, desks, office furnishings, and outdoor furniture. Steinhoff Asia Pacific conducts its products and services to consumers throughout Australia.",,484455981,USD,484455981
Sky Cable,https://www.crunchbase.com/organization/sky-cable,"Broadcasting, TV","Manila, Manila, Philippines",SKY Cable Corp is the pay television and broadband arm of ABS-CBN Corporation.,"51,431",Active,1990-01-01,year,,,,,For Profit,https://www.mysky.com.ph/metromanila,Sky Cable is a Pay TV service provider that provides HD cable TV with programming and the widest selection of channels.,,7262000000,PHP,138754990
Figaro Coffee Group,https://www.crunchbase.com/organization/figaro-coffee-group,"Food and Beverage, Food Processing, Product Research, Restaurants","Biñan, Laguna, Philippines",FCG because it gives you more exposure to the food service industry.,"60,233",Active,1992-01-01,year,,,,,For Profit,https://www.figaro.ph,"FCG, which provides more exposure to the food service sector, believes that great products and experiences should be available to all, not just the wealthy. We believe in bringing joy to everyone we meet.",,820270000,PHP,15082652
Alexander Mann Solutions,https://www.crunchbase.com/organization/alexander-mann-solutions,"Consulting, Human Resources, Information Technology, Legal, Personal Branding, Recruiting, Skill Assessment","Manila, Manila, Philippines",Alexander Mann Solutions is a consulting company that provides talent acquisition and management services.,"154,827",Active,1996-01-01,year,2018-05-10,day,,,For Profit,https://www.weareams.com,Alexander Mann Solutions is a consulting company that provides talent acquisition and management services.,M&A,,,
Hotel Sogo,https://www.crunchbase.com/organization/golden-breeze-realty-inc,"Food and Beverage, Food Processing, Hotel","Bacoor, Cavite, Philippines","Hotel Sogo is a hotel chain in the Philippines, which also owns the Icon Hotel and Eurotel hotel chains.","157,560",Active,1992-01-01,year,,,,,For Profit,https://www.hotelsogo.com,"Hotel Sogo is a hotel chain in the Philippines managed and the Global Comfort Group Corporation, which also owns the Icon Hotel and Eurotel hotel chains. One was a hotel professional with over 20 years of experience in a leading motel chain, while the other was a commercial developer and an ""AAA"" licensed contractor.",,,,
Trends & Technologies,https://www.crunchbase.com/organization/trends-technologies,"Consulting, Information Technology, Security, Software, Telecommunications","Makati, Manila, Philippines",Trends & Technologies is the leading Systems Integrator& Business Solutions Provider in the Philippines harnessing the power of Information.,"163,301",Active,1992-01-01,year,,,,,For Profit,http://www.trends.com.ph,"Trends & Technologies, Inc. is the leading Systems Integrator and Business Solutions Provider in the Philippines harnessing the power of Information and Communications Technology to provide competitive advantage to its clientele since 1992. With head office in Trafalgar Plaza, Makati City, the company has presence in Cebu (Visayas), and Davao (Mindanao). It also has subsidiaries in Vietnam (Hanoi, Da Nang, and Ho Chi Minh) and Cambodia. Trends specializes in solutions provisioning for: Network Infrastructure; Information Security; Business Analytics; Contact Center; Collaboration; Application Delivery and Performance Management; Data Center and Virtualization; Content, Media, and Entertainment; and, Power and Environmental Control. Basic Services provided include but are not limited to: Consultancy; Planning; Design and Engineering; Certification; Implementation; Commissioning; Project Management; Optimization; Warranty and Maintenance. Advanced Services offered are Managed Services encompassing but not restricted to: Technical Warm Bodies Support (L1 and L2); ICT-based Business Process Outsourcing; Managed Operations Center; and, Network and Security Audit. The company prides itself with highest level of certified professionals by PMI, ITIL, and other relevant certifying bodies. Trends is passionate about innovation and constantly reinvents itself according to market demands and requirements. The company moves forward to engage new markets through facilitation of pioneering technologies, practices, and boundaries. It seeks improvements and leverage the vast and growing field of ICT to remain steadfast and relevant toward its goal of Total Customer Satisfaction. Trends has made life easier for numerous high-profile companies, as it effectively helped them in achieving certain business goals through the implementation and usage of advance technologies and gain a competitive advantage with the efficient deployment and maintenance of the cutting edge IT network infrastructure systems and beyond. Its success also paved way for the creation of TTHI (Trends & Technologies Holding Inc.), a consolidation of solution companies, with seven (7) subsidiaries: TTI (Trends & Technologies, Inc.), TSI (Technologies Specialist, Inc.), LSI (Logic Solutions Inc.), TSC (Telecraft Services Corp.), TTSMI (Trends & Technologies Service & Maintenance, Inc.), TrendsNet and ISSI (Interior Synergy Solutions, Inc.)",,,,
Natasha,https://www.crunchbase.com/organization/natasha-7799,"Apparel, Beauty, Direct Marketing, Direct Sales, E-Commerce, Fashion, Retail, Shoes","Caloocan, Caloocan, Philippines","Natasha is a direct selling company offering fashion, beauty, apparel, shoes, and accessories.","178,250",Active,1993-01-01,year,,,,,For Profit,http://www.natasha.ph/,,,,,
Tom's World,https://www.crunchbase.com/organization/tom-s-world,"Children, Media and Entertainment, Toys","Pasig, Rizal, Philippines","Tom's World is part of an entertainment sector that provides amusement, and recreational services across the nation.","191,610",Active,1998-07-01,month,,,,,For Profit,https://tomsworld.com/,,,,,
Smart Communications,https://www.crunchbase.com/organization/smart-communications,"Communications Infrastructure, Mobile, Telecommunications, Wireless","Makati, Manila, Philippines",Smart Communications is the wireless services provider.,"208,795",Active,1991-01-01,year,,,,,For Profit,https://smart.com.ph,"Smart Communications is the Philippines' leading wireless services provider with over 5- million subscribers on its network as of 2012.  SMART has built a reputation for innovation, having introduced world-first wireless data services, including mobile commerce services such as Smart Money, Smart Load and Smart Padala. SMART also offers 3G and HSPA services. Its Smart Link service provides communications to the global maritime industry. Smart Broadband, Inc., a wholly-owned subsidiary, offers a wireless broadband service, Smart BRO.  SMART is a wholly-owned subsidiary of the Philippines' leading telecommunications carrier, the Philippine Long Distance Telephone Company.",,,,
Sanitary Care Products Asia,https://www.crunchbase.com/organization/sanitary-care-products-asia,"Manufacturing, Paper Manufacturing, Service Industry","Taguig, Rizal, Philippines",Sanitary Care Products Asia is a manufacturing company that provides hygienic tissue paper.,"212,399",Active,1996-01-01,year,,,,,For Profit,https://scpa.com.ph,,,,,
Chase Technologies Corporation,https://www.crunchbase.com/organization/chase-technologies-corporation,"Point of Sale, Retail Technology, Software","Makati, Manila, Philippines","Chase Technologies Corporation offers POS machines, barcode scanners, software, cash register applications and retail solutions.","215,344",Active,1999-01-01,year,,,,,For Profit,https://www.chasetech.com,,,,,
Summit Media,https://www.crunchbase.com/organization/summit-media-interactive-editions,"Advertising, Cooking, Lifestyle, News","Mandaluyong, Cavite, Philippines",Summit Media is engaged in media industry which publishing the magazines.,"215,555",Active,1995-06-01,day,,,,,For Profit,http://www.summitmedia.com.ph,"Summit Media is the leading magazine publisher in the Philippines with more than 20 titles under its umbrella. Aside from magazines, we are in digital media, outside-of-home media, mobile marketing services, book publishing, and consumer events.  This June, Summit Media, the country’s leading magazine publishing company, released its very first iPad app--Yummy Filipino Recipes. An app that is geared towards food enthusiasts, Yummy Filipino Recipes brings together 101 mouthwatering Filipino food recipes crafted by both local chefs and restaurateurs.",,,USD,
Santa Elena Construction & Development Corporation,https://www.crunchbase.com/organization/santa-elena-construction-development-corporation,,"Makati, Manila, Philippines","Founded in 1995 through the unwavering commitment and business savvy of Ms. Alice G. Eduardo, President and CEO.","223,202",Active,1995-01-15,day,,,,,For Profit,http://santaelenaconstruction.com/,,,,,
Mozcom,https://www.crunchbase.com/organization/mozcom,"Internet, ISP","Makati, Manila, Philippines",Mozcom is a commercial internet service provider in the Philippines.,"231,386",Active,1994-01-01,year,,,,,For Profit,http://www.mozcom.com/,"Mozcom is a commercial internet service provider in the Philippines. It offers different levels of connectivity, serving both corporate and individual users. The company’s mission is to enable and empower enterprises in the Philippines by providing customizable and integrated information, communication, and application services using the best available relevant technologies. Mozcom was founded in 1994 and is based in Makati, the Philippines.",,,,
