Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Converge ICT Solutions Inc.,https://www.crunchbase.com/organization/converge-ict-solutions-inc,"Internet, ISP, Telecommunications","Pasig, Rizal, Philippines","CONVERGE ICT Solutions Inc. offers value added integrated solutions in telecom, network and internet connectivity.","22,202",Active,2007-10-17,day,2020-10-26,day,,,For Profit,https://www.convergeict.com,"Converge Information and Communications Technology Solutions, Inc. (CNVRG) was registered with the Securities and Exchange Commission on October 17, 2007 primarily to construct, install, maintain and operate in the Philippine information and communications system. In 2008, the Company was granted a congressional franchise under Republic Act No. 9707 with a term of 25 years effective until August 2034. CNVRG commenced fixed broadband internet operations in June 2012. CNVRG offers fixed broadband internet services to residential and enterprise customers. The fiber broadband plans are under the brands, ""FiberX"", ""FiberXtreme"", ""MicroBiz"", and ""Air Internet"". The Company also provides private data network solutions, cloud and colocation services and other connectivity solutions to enterprises of varying sizes, industries and types. In addition, the Company offers add-on products and services such as speed boosts and pay TV. As of December 31, 2020, CNVRG's domestic network spanned over 55,000 kilometers, covering 300 cities and municipalities across Luzon (including Metro Manila) and reaching approximately 6.1 million homes. Source: SEC Form 17-A (2020)",IPO,250000000,USD,250000000
Vista Land & Lifescapes,https://www.crunchbase.com/organization/vista-land-lifescapes,"Commercial Real Estate, Real Estate, Real Estate Investment","Mandaluyong, Cavite, Philippines",“We are pleased with our ability to successfully tap the international bond market despite all the recent market volatility,"33,281",Active,2007-01-01,year,2012-10-12,day,,,For Profit,http://www.vistaland.com.ph/,"Operating through its five distinct subsidiaries, Vista Land is the leading homebuilder in the Philippines. Vista Land provides a wide range of housing products to its customers across all income segments.The Company operates through Brittany, Crown Asia, Camella Homes, Communities Philippines, and Vista Residences. Brittany caters to the high-end market in Mega Manila, offering luxury houses in master-planned communities, priced at ₱12.0 million and above. Crown Asia caters to the middle-income housing segment in Mega-Manila, primarily offering houses priced between ₱4.0 million and ₱12.0 million. Camella Homes has serviced the low-cost and affordable housing segment, priced between ₱0.8 million and ₱4.0 million, in the Mega Manila area. Communities Philippines and its subsidiaries offer residential properties outside the Mega Manila area in the low-cost and affordable and middle-income housing segments. Vista Residences offers vertical residential projects in the Mega Manila area.",IPO,775000000,USD,775000000
Metro Pacific Hospital Holdings,https://www.crunchbase.com/organization/metro-pacific-hospital-holdings,"Health Care, Hospital","Makati, Manila, Philippines",Metro Pacific Hospital owns and operates 110-bed hospitals.,"47,848",Active,2007-01-01,year,,,,,For Profit,https://www.metropacifichealth.com/,"Metro Pacific Hospital Holdings is the largest private hospital operator in the Philippines. It has a nationwide portfolio of 14 hospital, supported by 2 allied health colleges,  a growing network of primary care of clinics and cancer care centers and a central clinical laboratory.",Private Equity,685000000,USD,685000000
Mineski Global,https://www.crunchbase.com/organization/mineski-global,"eSports, Gaming","San Juan, Manila, Philippines",Mineski Global operates as an esports and gaming organization.,"50,745",Active,2004-01-01,year,,,,,For Profit,https://www.mineskiglobal.com/,Mineski Global operates as an esports and gaming organization.,Early Stage Venture,10600000,USD,10600000
Top Frontier Investment Holdings,https://www.crunchbase.com/organization/top-frontier-investment-holdings,"Asset Management, Food and Beverage, Real Estate","Mandaluyong, Cavite, Philippines","Top Frontier Investment Holdings is a Philippine holding company active in mining, packaging, real estate, food and beverage.","50,845",Active,2008-03-11,day,2021-03-09,day,,,For Profit,http://www.topfrontier.com.ph/,"Top Frontier Investment Holdings (THFI), is a Philippine holding company based in Makati, Metro Manila. Through two primary holdings, the company is active in mining, packaging, real estate, food and beverage. In 2017, the company was ranked 1228th on the Forbes Global 2000.",IPO,194000000,USD,194000000
8990 Holdings,https://www.crunchbase.com/organization/8990-holdings,"B2C, Real Estate","Mandaluyong, Cavite, Philippines",8990 Holdings is a holding company with subsidies that operate in housing and resort real estate development.,"60,165",Active,2005-01-01,year,2010-11-29,day,,,For Profit,http://www.8990holdings.com/,"8990 Holdings (HOUSE), formerly IP Converge Data Center, Inc., was incorporated as an information technology and telecommunications services provider on July 08, 2005. On October 1, 2013, the Securities and Exchange Commission approved the change in its corporate name to the present one and the change in its primary purpose to that of a holding company. In May 2012, Iholdings, Inc. (Iholdings), Januarius Resources Realty Corporation (Januarius) and Kwantlen Development, Inc. (Kwantlen) gained control of the Company through the acquisition of 61.4% of the outstanding capital stock of HOUSE. In May 2013, in line with the objective to consolidate certain real estate companies owned or controlled by Iholdings, Januarius and Kwantlen, the Company acquired all of the outstanding shares in 8990 Housing Development Corporation, 8990 Luzon Housing Development Corporation, Fog Horn, Inc., 8990 Leisure and Resorts Corporation, 8990 Davao Housing Development Corporation and 8990 Mindanao Housing Development Corporation.",IPO,9000000000,PHP,205863354
Xurpas,https://www.crunchbase.com/organization/xurpas,"Information Technology, Mobile, Telecommunications","Makati, Manila, Philippines",Xurpas is a technology company that creates digital products for the Mobile Consumer.,"63,720",Active,2001-01-01,year,,,,,For Profit,http://xurpas.com/,Xurpas is a Mobile Content and Solutions company serving in telcos in emerging markets. Xurpas works with more than 40 telecom companies around the word.,Private Equity,25600000,USD,25600000
SMC Global Power Holdings,https://www.crunchbase.com/organization/smc-global-power-holdings,"Electrical Distribution, Energy, Energy Management, Hydroelectric, Oil and Gas","Mandaluyong, Cavite, Philippines",SMC Global Power Holdings is a power generation company.,"66,407",Active,2008-01-01,year,,,,,For Profit,https://www.smcglobalpower.com.ph,"SMC Global Power Holdings has built a vertically integrated power company with a full spectrum of power businesses comprising IPPA contracts and IPPs. SMC Global Power Holdings is now one of the largest power companies in the Philippines with a diversified portfolio utilizing a mix of coal, natural gas, and hydroelectric power plants.",,28000000,PHP,507398
West African Resources,https://www.crunchbase.com/organization/west-african-resources,"Human Resources, Mining, Precious Metals","Australia, Isabela, Philippines",A gold-copper exploration company.,"88,584",Active,2006-01-01,year,2014-02-07,day,,,For Profit,http://www.westafricanresources.com/,"West African Resources Limited is a Perth-based gold company, dedicated to creating shareholder value through the acquisition and development of gold projects in Burkina Faso, West Africa. A Definitive Feasibility Study for the Sanbrado Gold Project has confirmed it as a robust project with strong early cashflow, rapid payback of capital and expected production of 150,000oz gold per year. The Company acquires, explores, and develops resource projects in Western Africa.",IPO,66247920,USD,66247920
Crowd Mobile,https://www.crunchbase.com/organization/crowd-mobile,"Information Services, Information Technology, Mobile","Australia, Isabela, Philippines",Crowd Mobile is a global mobile entertainment and digital media company that produces engaging mobile product and digital marketing so,"91,835",Closed,2009-01-01,year,,,,none,For Profit,http://crowdmobile.com.au/,Leading Mobile Entertainment. Mobile Applications. SMS. International Micro Job Platform. Mobile Innovation. Leading Mobile Entertainment.,,3800000,USD,3800000
