Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Grant - Multi-Service Centre,https://www.crunchbase.com/funding_round/multi-service-centre-grant--b3a66e83,"Consulting, Housekeeping Service, Non Profit","Tillsonburg, Ontario, Canada, North America",Grant,,,,2023-05-30,Multi-Service Centre,https://www.crunchbase.com/organization/multi-service-centre,https://multiservicecentre.com/,,,,Employment and Social Development Canada (ESDC),Multi-Service Centre provides home support and individual job consultancy services.,,No,,,USD,,,1,Employment and Social Development Canada (ESDC),1,,"58,229"
Series A - ChargeLab,https://www.crunchbase.com/funding_round/chargelab-series-a--88265e48,"Electric Vehicle, Energy, Energy Management, Hardware, Internet of Things, Payments, Software","Toronto, Ontario, Canada, North America",Series A,10000000,USD,10000000,2023-04-14,ChargeLab,https://www.crunchbase.com/organization/chargelab,https://www.chargelab.co/,,,,"Eaton Electrical, Silver Comet Energy",ChargeLab is the Android of EV charging. Our hardware-agnostic software runs on the world’s most popular EV chargers.,Early Stage Venture,Yes,$1M to $10M,35400000,USD,35400000,Early Stage Venture,5,"Eaton Electrical, Silver Comet Energy",2,,"58,209"
Debt Financing - Neuromod Devices,https://www.crunchbase.com/funding_round/neuromod-devices-debt-financing--3689308b,"Biotechnology, Clinical Trials, Health Care, Medical, Medical Device","Dublin, Dublin, Ireland, Europe",Debt Financing,15000000,EUR,16577919,2023-04-13,Neuromod Devices,https://www.crunchbase.com/organization/neuromod-devices,http://neuromoddevices.com,,,,European Investment Bank,Neuromod Devices has developed LENIRE® (www.lenire.com) a non-invasive bimodal neuromodulation therapy for tinnitus.,,No,$1M to $10M,55500000,EUR,62253078,Early Stage Venture,7,European Investment Bank,1,1,"58,226"
Post-IPO Equity - Guardforce AI,https://www.crunchbase.com/funding_round/guardforce-ai-post-ipo-equity--51b4a894,"Artificial Intelligence (AI), Information Services, Information Technology, Robotics","Bangkok, Krung Thep, Thailand, Asia",Post-IPO Equity,9200000,USD,9200000,2023-05-02,Guardforce AI,https://www.crunchbase.com/organization/guardforce-ai,https://www.guardforceai.com/,,,,,Guardforce AI is an integrated security solutions provider that protects and transport assets.,,Yes,$10M to $50M,20828496,USD,20828496,IPO,3,,,,"58,309"
Grant - BTCBOX,https://www.crunchbase.com/funding_round/btcbox-grant--217d1dfa,"Apps, Cryptocurrency, Software","Tokyo, Tokyo, Japan, Asia",Grant,60000000,USD,60000000,2021-01-12,BTCBOX,https://www.crunchbase.com/organization/btcbox,https://webboxes.xyz/,60000000,USD,60000000,Bosch,BTCBOX is an application that offers cryptocurrency exchange services.,,No,$1M to $10M,161727849,USD,161727849,Private Equity,5,Bosch,1,1,"58,297"
Seed Round - Vamos,https://www.crunchbase.com/funding_round/vamos-c363-seed--cbb65c73,"Automotive, E-Commerce, Internet, Retail","Madrid, Madrid, Spain, Europe",Seed,500000,EUR,587417,2020-10-28,Vamos,https://www.crunchbase.com/organization/vamos-c363,https://www.vamos.es/,,,,"FJ Labs, Myelin VC",Vamos is a Car as a Service company offering consumers the best alternative to car ownership.,Seed,Yes,$10M to $50M,1700000,EUR,1892414,Seed,3,FJ Labs,2,,"58,274"
Venture Round - MediBloc,https://www.crunchbase.com/funding_round/medibloc-series-unknown--16211fa2,"Blockchain, Health Care, Information Technology, Medical","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",Venture - Series Unknown,,,,2019-01-01,MediBloc,https://www.crunchbase.com/organization/medibloc,https://medibloc.co.kr/en/,,,,Company K Partners,"MediBloc is a decentralized healthcare ecosystem built on blockchain technology for patients, healthcare providers, and researchers.",,Yes,$1M to $10M,4000000000,KRW,3635108,,5,,1,,"58,278"
Seed Round - gigl,https://www.crunchbase.com/funding_round/gigl-seed--28ae6cf4,"Apps, Employment, Hospitality, Hotel, Human Resources, Leisure, Retail, Tourism","London, England, United Kingdom, Europe",Seed,1500000,USD,1500000,2021-12-14,gigl,https://www.crunchbase.com/organization/gigl,https://www.getgigl.com,,,,"Campden Hill Capital, Cerebrum Tech, Oxbridge Angels, Philip Green",The 60-second job description and application platform!,Seed,Yes,Less than $1M,1500000,USD,1500000,Seed,2,Cerebrum Tech,4,,"58,360"
Grant - Peninsula Shepherd Center,https://www.crunchbase.com/funding_round/peninsula-shepherd-center-grant--f3d60a7b,Non Profit,"San Diego, California, United States, North America",Grant,,,,2023-07-06,Peninsula Shepherd Center,https://www.crunchbase.com/organization/peninsula-shepherd-center,https://www.sdpsc.org,,,,San Diego Seniors Community Foundation,"Peninsula Shepherd Center provides a place for social activities, clubs, classes, and just a place to connect.",,No,,,USD,,,1,San Diego Seniors Community Foundation,1,,"58,341"
Seed Round - PlanBlue,https://www.crunchbase.com/funding_round/planblue-seed--88c82dc8,"Artificial Intelligence (AI), Machine Learning, Software","Bremen, Bremen, Germany, Europe",Seed,,,,2022-03-31,PlanBlue,https://www.crunchbase.com/organization/planblue,https://www.planblue.com/,,,,Ponderosa Ventures,PlanBlue utilities a new seafloor monitoring technology that's changing the way they map and assess the health of seafloor areas.,Seed,Yes,,2493050,EUR,2880474,Seed,5,,1,,"58,324"
