Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Venture Round - Vertical TechMedia,https://www.crunchbase.com/funding_round/vertical-techmedia-series-unknown--573099a6,"Media and Entertainment, Online Portals","Munich, Bayern, Germany, Europe",Venture - Series Unknown,,,,2015-07-13,Vertical TechMedia,https://www.crunchbase.com/organization/vertical-techmedia,http://www.verticaltechmedia.de/,,,,bmp Ventures,Vertical TechMedia operator of an online vertical media network.,,Yes,,,USD,,,1,,1,,"317,405"
Seed Round - Layer,https://www.crunchbase.com/funding_round/layer-e32f-seed--55afe4e1,"Gaming, Marketplace, Media and Entertainment, Video Games","Brisbane, Queensland, Australia, Oceania",Seed,3888888,AUD,2704271,2022-05-09,Layer,https://www.crunchbase.com/organization/layer-e32f,https://layerlicensing.com,,,,"Aura Ventures, Black Sheep Capital, Carthona Capital, Common Sense Ventures, Flying Fox Ventures, LUXEM Ventures, TEN13, Tribe Capital",IP Licensing Marketplace for Games,Seed,Yes,,3888888,AUD,2704271,Seed,2,Carthona Capital,8,,"317,407"
Series A - Yinyu,https://www.crunchbase.com/funding_round/yinyu-series-a--bdbf6318,"Media and Entertainment, Mobile Apps, Music","Haidian, Beijing, China, Asia",Series A,20000000,USD,20000000,2018-12-25,Yinyu,https://www.crunchbase.com/organization/yinyu,https://inyuapp.com/,,,,"Gaorong Capital, Sequoia Capital China",Yinyu is a mobile music community application.,Early Stage Venture,Yes,,40477456,USD,40477456,Early Stage Venture,3,,2,,"317,409"
Series A - Microvisk Technologies,https://www.crunchbase.com/funding_round/microvisk-technologies-series-a--6ee7660d,"Health Care, Manufacturing, Medical Device","Saint Asaph, Denbighshire, United Kingdom, Europe",Series A,,,,2008-05-01,Microvisk Technologies,https://www.crunchbase.com/organization/microvisk-technologies,http://www.microvisk.com,,,,Future Planet Capital,Microvisk Technologies is a developer of micro-electro mechanical sensors for the international medical market.,Early Stage Venture,Yes,$1M to $10M,10500000,GBP,16423927,Early Stage Venture,7,,1,,"317,412"
Angel Round - Shanghai Beidou,https://www.crunchbase.com/funding_round/shanghai-beidou-angel--38716582,"Government, Location Based Services, Navigation","Hongkou, Shanghai, China, Asia",Angel,3000000,CNY,471224,2012-08-16,Shanghai Beidou,https://www.crunchbase.com/organization/shanghai-beidou,http://www.shbeidou.com/,,,,Bright Stone,"Shanghai Beidou provides positioning, navigation, timing, and other compass system services.",Seed,Yes,,13000000,CNY,2086302,Early Stage Venture,2,,1,,"317,417"
Debt Financing - Fair,https://www.crunchbase.com/funding_round/fair-debt-financing--ab5558ed,"Automotive, Finance, Industrial, Industrial Manufacturing, Leasing","Santa Monica, California, United States, North America",Debt Financing,500000000,USD,500000000,2019-09-17,Fair,https://www.crunchbase.com/organization/fair,https://www.fair.com,,,,"Mizuho Corporate Bank, SoftBank",Fair is a car leasing company that provides a vehicle leasing platform to grant access to mobility.,,No,,2101000000,USD,2101000000,M&A,13,"Mizuho Corporate Bank, SoftBank",2,,"317,423"
Pre Seed Round - ScorePad,https://www.crunchbase.com/funding_round/scorepad-pre-seed--e82586e8,"Apps, Artificial Intelligence (AI), Machine Learning, Music","Erlenbach, Zurich, Switzerland, Europe",Pre-Seed,150000,CHF,151532,2015-12-15,ScorePad,https://www.crunchbase.com/organization/scorepad,https://www.scorepad.ch/,,,,,Dynamic sheet music rendering app for collaboration and AI (Deeplearning) sheet music digitization process.,Seed,Yes,,1936946,CHF,1986647,Seed,14,,,,"317,430"
Seed Round - Hut Six Security,https://www.crunchbase.com/funding_round/hut-six-security-seed--9c2f9317,"Cyber Security, Security","Newport, Newport, United Kingdom, Europe",Seed,,,,2017-04-01,Hut Six Security,https://www.crunchbase.com/organization/hut-six-security,https://www.hutsix.io,,,,Wesley Clover,Hut Six Security is a company that protects organizations from the most prevalent cause of security breaches.,Seed,Yes,,963459,USD,963459,Seed,3,Wesley Clover,1,,"317,454"
Equity Crowdfunding - Veterans Business Services Organization,https://www.crunchbase.com/funding_round/veterans-business-services-organization-equity-crowdfunding--a6d10b6f,Education,"Lexington, Tennessee, United States, North America",Equity Crowdfunding,3000,USD,3000,2014-07-02,Veterans Business Services Organization,https://www.crunchbase.com/organization/veterans-business-services-organization,,,,,,VBSO [Veterans Business Services Organization] was formed to work with Veterans coming of any branch of the military.,,Yes,,3000,USD,3000,,1,,,,"317,459"
Venture Round - Terecircuits,https://www.crunchbase.com/funding_round/terecircuits-series-unknown--ed8cd2fd,"Electronics, Medical Device, Semiconductor","Mountain View, California, United States, North America",Venture - Series Unknown,1406770,USD,1406770,2022-07-07,Terecircuits,https://www.crunchbase.com/organization/terecircuits,http://terecircuits.com/,,,,,Terecircuits develops processes and materials to support microassembly and mass transfer for displays and advanced electronics.,,Yes,$1M to $10M,1662770,USD,1662770,,6,,,,"317,467"
