Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Carraway,https://www.crunchbase.com/funding_round/carraway-seed--ac6811ec,"Hospital, Real Estate, Travel","New York, New York, United States, North America",Seed,,,,2018-04-10,Carraway,https://www.crunchbase.com/organization/carraway,http://staycarraway.com/,,,,"Kevin Gan, Parvinder Thiara", Carraway is a hospitality company that provides upscale accommodations to travelers.,Seed,Yes,$1M to $10M,,USD,,Seed,1,Parvinder Thiara,2,,"551,205"
Pre Seed Round - 2045Tech,https://www.crunchbase.com/funding_round/2045tech-pre-seed--f4c498fa,"Consumer Electronics, Hardware, Mobile, Software","Caorle, Veneto, Italy, Europe",Pre-Seed,,,,2013-02-14,2045Tech,https://www.crunchbase.com/organization/2045tech,http://www.2045tech.com,,,,Fabio Penzo,FLOOME can monitor your Blood Alcohol Concentration (BAC) and it gives you the necessary time to recover if you are above the legal limit.,Seed,Yes,$10M to $50M,1408836,USD,1408836,Early Stage Venture,3,,1,,"551,232"
Pre Seed Round - Moment,https://www.crunchbase.com/funding_round/moment-7812-pre-seed--c6456140,"Food and Beverage, Health Care, Wellness","New York, New York, United States, North America",Pre-Seed,,,,2022-04-26,Moment,https://www.crunchbase.com/organization/moment-7812,https://drinkmoment.com/,,,,Btomorrow Ventures,Moment offers natural botanical beverages for meditation.,Seed,Yes,,2000000,USD,2000000,,3,Btomorrow Ventures,1,2,"551,233"
Venture Round - Nistica,https://www.crunchbase.com/funding_round/nistica-series-unknown--ed71e529,"Manufacturing, Optical Communication, Software, Web Hosting","Bridgewater, New Jersey, United States, North America",Venture - Series Unknown,3427670,USD,3427670,2009-05-12,Nistica,https://www.crunchbase.com/organization/nistica,http://www.nistica.com,,,,,Nistica is a supplier of agile optical modules that simplify and automate the delivery of high bandwidth applications.,,Yes,,28427670,USD,28427670,M&A,8,,,,"551,237"
Grant - Composite Recycling Technology Center,https://www.crunchbase.com/funding_round/composite-recycling-technology-center-grant--f19843b3,"Manufacturing, Non Profit, Recycling","Port Angeles, Washington, United States, North America",Grant,647250,USD,647250,2022-04-04,Composite Recycling Technology Center,https://www.crunchbase.com/organization/composite-recycling-technology-center,https://www.compositerecycling.org,,,,Washington state Department of Commerce,"Composite Recycling Technology Center operates to design, develop and manufacture products from carbon fiber scrap.",,No,,647250,USD,647250,,1,Washington state Department of Commerce,1,,"551,244"
Seed Round - Gi Fly,https://www.crunchbase.com/funding_round/bignay-inc-seed--65d029e8,"Electric Vehicle, Hardware, Mobile, Software","Newyork, Argyll and Bute, United Kingdom, Europe",Seed,1500000,USD,1500000,2014-10-01,Gi Fly,https://www.crunchbase.com/organization/bignay-inc,http://www.giflybike.com,,,,Incutex Company Builders,Bignay Inc. combines software and hardware to solve issues within urban areas.,Seed,Yes,Less than $1M,2500000,USD,2500000,Seed,3,,1,,"551,254"
Convertible Note - Broca,https://www.crunchbase.com/funding_round/broca-convertible-note--e20494ef,"Advertising, Software","Vancouver, British Columbia, Canada, North America",Convertible Note,100000,USD,100000,2021-01-15,Broca,https://www.crunchbase.com/organization/broca,https://www.usebroca.com,,,,"Forum Ventures, Right Side Capital Management",Broca is a collaborative platform that creates high-quality content allowing marketing teams to rapidly launch more effective campaigns,,No,,100000,USD,100000,,1,Forum Ventures,2,,"551,262"
Venture Round - GeoVera Insurance,https://www.crunchbase.com/funding_round/geovera-insurance-series-unknown--4a210f33,"Financial Services, Insurance, Internet","Fairfield, California, United States, North America",Venture - Series Unknown,,,,2012-05-02,GeoVera Insurance,https://www.crunchbase.com/organization/geovera-insurance,https://www.geovera.com,,,,New Capital Partners,GeoVera Insurance is an online platform that offers earthquake insurance policies.,,Yes,$10M to $50M,,USD,,,1,,1,,"551,267"
Venture Round - Carbon38,https://www.crunchbase.com/funding_round/carbon38-series-unknown--9c877c47,"E-Commerce, Fashion, Retail","Culver City, California, United States, North America",Venture - Series Unknown,,,,2020-08-01,Carbon38,https://www.crunchbase.com/organization/carbon38,http://www.carbon38.com/,,,,Cambridge Companies,Carbon38 is the premier e-commerce destination for performance fashion,,Yes,$1M to $10M,39100000,USD,39100000,,12,,1,,"551,268"
Seed Round - BioSapien,https://www.crunchbase.com/funding_round/biosapien-inc-seed--32c75daa,"3D Printing, 3D Technology, Biopharma, Biotechnology, Pharmaceutical","New York, New York, United States, North America",Seed,1800000,USD,1800000,2021-11-11,BioSapien,https://www.crunchbase.com/organization/biosapien-inc,http://www.biosapien.com,,,,"Beni VC, Cedas Foundation, George and Saul, Harbr, Hikma Ventures, Infinity Capital, JPIN Venture Catalysts, Kartik Garg, MicroVentures, Side Door Ventures, SOSV",BioSapien is a biotech startup focusing on developing a 3D printed drug delivery platform to provide FDA approved drugs.,Seed,Yes,Less than $1M,37056000,USD,37056000,Early Stage Venture,7,SOSV,11,1,"551,274"
Series C - Foodsmart,https://www.crunchbase.com/funding_round/zipongo-series-c--04040312,"Apps, Fitness, Health Care, Mobile, Wellness","San Francisco, California, United States, North America",Series C,25000000,USD,25000000,2021-03-25,Foodsmart,https://www.crunchbase.com/organization/zipongo,http://www.foodsmart.com,,,,"Advocate Aurora Health, Clarence Otis, Fritz Lanman, Larry Berger, Mayfield Fund, New Ground Ventures, Seventure Partners, Shawn A. Jenkins, The Social Entrepreneurs Fund (TSEF)",Foodsmart is a digital nutrition platform that uses personalized dietary recommendations to improve health outcomes.,Late Stage Venture,Yes,$1M to $10M,114842888,USD,114842888,Late Stage Venture,11,Advocate Aurora Health,9,1,"551,275"
Seed Round - Canary Health Technologies,https://www.crunchbase.com/funding_round/canary-health-technologies-seed--8df14195,"Health Care, Health Diagnostics, Machine Learning, Medical Device","Cleveland, Ohio, United States, North America",Seed,2000000,USD,2000000,2019-12-01,Canary Health Technologies,https://www.crunchbase.com/organization/canary-health-technologies,https://www.canarydetect.com,,,,,Canary Health Technologies develops medical technology and platform to detect diseases and analyze diagnostics.,Seed,Yes,$1M to $10M,2000000,USD,2000000,Seed,1,,,,"551,285"
Series A - Otten Coffee,https://www.crunchbase.com/funding_round/otten-coffee-series-a--80796b32,"Coffee, E-Commerce, Internet, Wine And Spirits","Medan, Sumatera Utara, Indonesia, Asia",Series A,,,,2015-04-14,Otten Coffee,https://www.crunchbase.com/organization/otten-coffee,http://www.ottencoffee.co.id/,,,,East Ventures,Otten Coffee is a coffee online shop (e-commerce) which sells various coffee beans and coffee equipments.,Early Stage Venture,Yes,,,USD,,Early Stage Venture,1,East Ventures,1,,"551,291"
Series A - Seehu Technology,https://www.crunchbase.com/funding_round/seehu-technology-series-a--3573c697,"Call Center, Internet, Telecommunications","Nanning, Guangxi, China, Asia",Series A,10000000,CNY,1504486,2016-06-28,Seehu Technology,https://www.crunchbase.com/organization/seehu-technology,https://www.seehu.net/,,,,Baise Development and Investment Group,Seehu Technology provides enterprise lines and system integration solutions.,Early Stage Venture,Yes,,13000000,CNY,1867003,Early Stage Venture,2,,1,,"551,295"
Post-IPO Equity - Mynaric,https://www.crunchbase.com/funding_round/vialight-communications-post-ipo-equity--c333d4a5,"Aerospace, Internet, Laser, Optical Communication, Satellite Communication","Gilching, Bayern, Germany, Europe",Post-IPO Equity,,,,2018-05-11,Mynaric,https://www.crunchbase.com/organization/vialight-communications,https://mynaric.com,,,,TA Capital,Mynaric builds wireless laser communication systems needed for aerospace communication networks such as satellite constellations.,,Yes,$1M to $10M,303046683,USD,303046683,IPO,12,,1,,"551,298"
Seed Round - Startup@Check-up,https://www.crunchbase.com/funding_round/startup-check-up-seed--aa846ba7,"Analytics, Big Data, Information Technology, Location Based Services","Kazan, Tatarstan, Russian Federation, Europe",Seed,100000,USD,100000,2018-08-01,Startup@Check-up,https://www.crunchbase.com/organization/startup-check-up,,,,,Sberbank,Startup@Check-Up is an online service for calculating the profitability of businesses using Sberbank's big data.,Seed,Yes,,100000,USD,100000,Seed,1,,1,,"551,311"
Series D - Borro Private Finance,https://www.crunchbase.com/funding_round/borro-series-d--1513209e,"Consumer Lending, Credit, Finance, Financial Services, Personal Finance","New York, New York, United States, North America",Series D,112000000,USD,112000000,2014-03-04,Borro Private Finance,https://www.crunchbase.com/organization/borro,https://www.borro.com,,,,,Borro Private Finance provides discreet loans secured exclusively against luxury assets.,Late Stage Venture,Yes,$10M to $50M,184442824,USD,184442824,M&A,7,,,,"551,319"
Post-IPO Equity - Richmont Mines,https://www.crunchbase.com/funding_round/richmont-mines-post-ipo-equity--a9f7d108,Mining,"Noranda, Quebec, Canada, North America",Post-IPO Equity,38500000,CAD,30568073,2015-02-11,Richmont Mines,https://www.crunchbase.com/organization/richmont-mines,https://www.richmont-mines.com,,,,,Richmont Mines is a gold producer that provides gold production and mine development.,,Yes,$100M to $500M,69800000,CAD,55044375,M&A,2,,,,"551,325"
Seed Round - Lun Yu Tian Xia,https://www.crunchbase.com/funding_round/lun-yu-tian-xia-seed--a20cc3d3,"Collaboration, Elderly, Video","Beijing, Beijing, China, Asia",Seed,3000000,CNY,434626,2017-03-07,Lun Yu Tian Xia,https://www.crunchbase.com/organization/lun-yu-tian-xia,,15000000,CNY,2173133,N5Capital,Lun Yu Tian Xia is a PGC video program for senior people.,Seed,Yes,,3000000,CNY,434627,Seed,1,,1,,"551,344"
Venture Round - O4IT,https://www.crunchbase.com/funding_round/o4it-series-unknown--7c2b0a50,"Cloud Data Services, Cloud Infrastructure, CRM, Cyber Security, Messaging, PaaS, SaaS, Security, Virtualization, Web Apps","Bogotá, Distrito Especial, Colombia, South America",Venture - Series Unknown,,,,2014-03-05,O4IT,https://www.crunchbase.com/organization/o4it,http://o4it.com,,,,Axon Partners Group,O4IT provides cloud computing and virtualization technologies for customers around the world.,,Yes,$1M to $10M,,USD,,,1,,1,,"551,354"
Pre Seed Round - Khidmatech,https://www.crunchbase.com/funding_round/khidmatech-pre-seed--31a9b214,"Apps, Software Engineering, Web Development","Annaba, Skikda, Algeria, Africa",Pre-Seed,70000,USD,70000,2021-06-09,Khidmatech,https://www.crunchbase.com/organization/khidmatech,https://www.khidmatech.com,,,,Algerian Startup Fund,Khidmatech is an algerian startup that develops a range of touristic solutions.,Seed,Yes,,70000,USD,70000,Seed,1,Algerian Startup Fund,1,,"551,385"
Seed Round - LeanLaw,https://www.crunchbase.com/funding_round/leanlaw-seed--747e24fb,"Advice, Consulting, Legal","Boise, Idaho, United States, North America",Seed,400000,USD,400000,2015-06-03,LeanLaw,https://www.crunchbase.com/organization/leanlaw,http://leanlaw.co,,,,,"LeanLaw offers legal billing software programs for accounting, timekeeping, invoicing, and more for various sized law firms.",Seed,Yes,$1M to $10M,6382000,USD,6382000,Early Stage Venture,7,,,,"551,450"
