Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Private Equity Round - WayUp,https://www.crunchbase.com/funding_round/wayup-private-equity--c4647452,"Education, Internet, Recruiting","New York, New York, United States, North America",Private Equity,10000000,USD,10000000,2018-10-28,WayUp,https://www.crunchbase.com/organization/wayup,https://www.wayup.com,,,,Chegg,WayUp connects students with jobs during and after college -- from summer internships to part-time gigs to full-time jobs after graduation.,Private Equity,Yes,$1M to $10M,37268000,USD,37268000,M&A,4,,1,,"198,608"
Seed Round - SoMin.ai,https://www.crunchbase.com/funding_round/somin-ai-seed--ececfaa0,"Artificial Intelligence (AI), Content Marketing, Machine Learning, Marketing Automation, Natural Language Processing, Predictive Analytics, SaaS, SEM, Social Media Marketing","Singapore, Central Region, Singapore, Asia",Seed,,,,2021-02-20,SoMin.ai,https://www.crunchbase.com/organization/somin-ai,http://somin.ai,,,,,DeepTech SaaS That Makes Your Ads 40% More Cost-Efficient in 40% Less Time,Seed,Yes,$1M to $10M,1774610,USD,1774610,Seed,7,,,,"198,613"
Seed Round - Jobool,https://www.crunchbase.com/funding_round/jobool-seed--eae47330,"Career Planning, Employment, Human Resources, Recruiting, Search Engine","Moscow, Moscow City, Russian Federation, Europe",Seed,300000,USD,300000,2013-01-01,Jobool,https://www.crunchbase.com/organization/jobool,http://www.jobool.ru,,,,Ivan Shmelev,"Jobool is a recruitment company that publishes vacancies on website, collect resumes, and recruit candidates.",Seed,Yes,Less than $1M,300000,USD,300000,Seed,1,,1,,"198,634"
Seed Round - Epidem,https://www.crunchbase.com/funding_round/epidem-seed--5f862f0e,Software,"London, England, United Kingdom, Europe",Seed,,,,2020-08-25,Epidem,https://www.crunchbase.com/organization/epidem,https://epidem.co/,,,,Truligent,Contact tracing software that helps organisations stop coronavirus by identifying exposed employees and their contacts.,Seed,Yes,,,USD,,Seed,1,Truligent,1,,"198,649"
Convertible Note - Intervene Immune,https://www.crunchbase.com/funding_round/intervene-immune-convertible-note--4e96767a,Health Care,"Torrance, California, United States, North America",Convertible Note,,,,2021-10-01,Intervene Immune,https://www.crunchbase.com/organization/intervene-immune,http://interveneimmune.com/,,,,Longevitytech.fund,Intervene Immune is pioneering treatments for thymus regeneration and age-related immune system decline.,,No,$1M to $10M,,USD,,,1,,1,,"198,660"
Venture Round - Gamera Interactive,https://www.crunchbase.com/funding_round/gamera-interactive-series-unknown--05d0741c,"Computer, Video Games","Padova, Veneto, Italy, Europe",Venture - Series Unknown,1300000,USD,1300000,2020-12-12,Gamera Interactive,https://www.crunchbase.com/organization/gamera-interactive,http://www.gamerainteractive.it,,,,Game Seer Venture Partners,Gamera Interactive is a game development studio.,,Yes,,1300000,USD,1300000,,1,,1,2,"198,667"
Pre Seed Round - PayTipTop,https://www.crunchbase.com/funding_round/paytiptop-pre-seed--b3389c99,"Charity, E-Commerce, Payments, Point of Sale, Retail, Retail Technology","Tallinn, Harjumaa, Estonia, Europe",Pre-Seed,,,,2018-03-06,PayTipTop,https://www.crunchbase.com/organization/paytiptop,http://www.paytiptop.com,,,,Startup Wise Guys,PayTipTop is first emotional payment terminal in the world.,Seed,Yes,,,USD,,Seed,1,,1,,"198,679"
Pre Seed Round - SYNAPSE,https://www.crunchbase.com/funding_round/cikguu-pre-seed--80235a94,EdTech,"Kuala Lumpur, Kuala Lumpur, Malaysia, Asia",Pre-Seed,12000,USD,12000,2021-10-27,SYNAPSE,https://www.crunchbase.com/organization/cikguu,https://www.synapsetutor.com,150000,USD,150000,1337 Ventures,AI that teaches you AI.,Seed,Yes,,12000,USD,12000,Seed,1,,1,,"198,683"
Grant - Muso,https://www.crunchbase.com/funding_round/muso-b80f-grant--9ec4cd92,"Communities, Health Care, Non Profit","San Francisco, California, United States, North America",Grant,,,,2021-10-01,Muso,https://www.crunchbase.com/organization/muso-b80f,https://www.musohealth.org,,,,,Muso is a global health non-profit that is changing the way community health workers provide care to sick children in Mali.,,No,,,USD,,,1,,,,"198,686"
Pre Seed Round - WAVE Drowning Detection Systems,https://www.crunchbase.com/funding_round/wave-drowning-detection-systems-pre-seed--3b7779e3,"Hardware, Information Technology, Internet of Things, Wearables, Wellness","Westport, Connecticut, United States, North America",Pre-Seed,150000,USD,150000,2018-11-16,WAVE Drowning Detection Systems,https://www.crunchbase.com/organization/wave-drowning-detection-systems,http://www.wavedds.com,,,,Connecticut Innovations,Drowning detection and aquatic safety platform,Seed,Yes,,310000,USD,310000,Seed,3,Connecticut Innovations,1,,"198,704"
