Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Venture Round - PlusN (+n ),https://www.crunchbase.com/funding_round/n-plusn-series-unknown--741bca99,"Software, Telecommunications","New York, New York, United States, North America",Venture - Series Unknown,600000,USD,600000,2014-09-04,PlusN (+n ),https://www.crunchbase.com/organization/n-plusn,http://plusn.com,,,,,PlusN develops carrier aggregation software solutions to increase the capacity of mobile data networks.,,Yes,Less than $1M,1700000,USD,1700000,Seed,3,,,,"183,000"
Seed Round - Corax,https://www.crunchbase.com/funding_round/corax-cyber-security-seed--60ce3f2a,"Artificial Intelligence (AI), Cyber Security, Information Services, Insurance, InsurTech, Predictive Analytics, Software","London, England, United Kingdom, Europe",Seed,1585000,USD,1585000,2015-12-31,Corax,https://www.crunchbase.com/organization/corax-cyber-security,https://www.coraxcyber.com/,,,,,Cyber risk intelligence platform providing data and modelling on the cyber exposure of millions of companies worldwide.,Seed,Yes,$1M to $10M,5185000,USD,5185000,Seed,4,,,,"183,001"
Series A - Feiwei Information,https://www.crunchbase.com/funding_round/feiwei-information-series-a--3da0868e,"Agriculture, AgTech, Farming","Shanghai, Shanghai, China, Asia",Series A,1400000,USD,1400000,2019-10-10,Feiwei Information,https://www.crunchbase.com/organization/feiwei-information,http://www.51jianku.com,,,,Zizhu Xiaomiao Fund,Feiwei Information is a real property information management solution provider for farmers.,Early Stage Venture,Yes,,17031350,USD,17031350,Early Stage Venture,2,Zizhu Xiaomiao Fund,1,,"183,002"
Seed Round - BitRussia,https://www.crunchbase.com/funding_round/bitrussia-seed--47f0468e,"Blockchain, Financial Services, FinTech, Funding Platform, Software","Moscow, Moscow City, Russian Federation, Europe",Seed,100000000,RUB,1568378,2019-10-21,BitRussia,https://www.crunchbase.com/organization/bitrussia,https://bitrussia.ru/,,,,,Blockchain based digital investment platform. Fully legal.,Seed,Yes,$1M to $10M,100000000,RUB,1568379,Seed,1,,,,"183,003"
Series D - Kovio,https://www.crunchbase.com/funding_round/kovio-series-d--b16ccfa7,"Artificial Intelligence (AI), Consulting, Electronics, Manufacturing, Semiconductor","San Jose, California, United States, North America",Series D,19500000,USD,19500000,2007-09-04,Kovio,https://www.crunchbase.com/organization/kovio,http://www.kovio.com,,,,"180 Degree Capital, Bessemer Venture Partners, DAG Ventures, DeA Capital, Flagship Pioneering, Jerusalem Venture Partners (JVP), Kleiner Perkins, Pinnacle Ventures, Yasuda Enterprise Development",Kovio is a semiconductor company that designs and manufactures printed silicon products.,Late Stage Venture,Yes,$10M to $50M,92000100,USD,92000100,M&A,8,Pinnacle Ventures,9,4,"183,004"
Debt Financing - InstaMed,https://www.crunchbase.com/funding_round/instamed-debt-financing--adf9723b,"Banking, Cloud Computing, Finance, FinTech, Health Care","Philadelphia, Pennsylvania, United States, North America",Debt Financing,1500000,USD,1500000,2013-01-31,InstaMed,https://www.crunchbase.com/organization/instamed,http://www.instamed.com,,,,,InstaMed simplifies healthcare payments for providers.,,No,$50M to $100M,129209599,USD,129209599,M&A,17,,,,"183,005"
Convertible Note - MedAware,https://www.crunchbase.com/funding_round/medaware-convertible-note--5eed47db,"Analytics, Big Data, Health Care, Machine Learning, Medical, Software","Ra'anana, HaMerkaz, Israel, Asia",Convertible Note,1300000,USD,1300000,2016-04-01,MedAware,https://www.crunchbase.com/organization/medaware,http://www.medaware.com,,,,"OurCrowd, Winton Ventures",MedAware is a medication safety monitoring platform that offers medication dosage and safety managing services for healthcare professionals.,,No,$10M to $50M,10353022,USD,10353022,Early Stage Venture,8,,2,1,"183,008"
Debt Financing - Clear Vascular,https://www.crunchbase.com/funding_round/clear-vascular-debt-financing--85aace69,"Biotechnology, Manufacturing, Pharmaceutical, Therapeutics","Houston, Texas, United States, North America",Debt Financing,309408,USD,309408,2013-05-30,Clear Vascular,https://www.crunchbase.com/organization/clear-vascular,http://clearvascular.com,,,,,"Clear Vascular offers Tin-Annexin, an injectable radiopharmaceutical agent for imaging and therapy of inflammatory tissues.",,No,$1M to $10M,7082422,USD,7082422,,3,,,,"183,009"
Seed Round - Wallapop,https://www.crunchbase.com/funding_round/wallapop-seed--bb65d0a4,"E-Commerce, E-Commerce Platforms, Marketplace, Mobile Apps, Secondhand Goods, Shopping, Social Shopping","Barcelona, Catalonia, Spain, Europe",Seed,1600000,EUR,2162261,2014-02-04,Wallapop,https://www.crunchbase.com/organization/wallapop,https://www.wallapop.com,,,,"Bonsai Partners, Bonsai Venture Capital SCR, Criteria Venture Tech",Wallapop is a hyper-local mobile marketplace for buying and selling secondhand goods.,Seed,Yes,$10M to $50M,239600000,EUR,280505232,Late Stage Venture,8,,3,,"183,011"
Series C - Synta Pharmaceuticals,https://www.crunchbase.com/funding_round/synta-pharmaceuticals-series-c--e66e897e,"Biotechnology, Health Care, Medical, Pharmaceutical","Lexington, Massachusetts, United States, North America",Series C,50000000,USD,50000000,2004-01-14,Synta Pharmaceuticals,https://www.crunchbase.com/organization/synta-pharmaceuticals,http://www.syntapharma.com,,,,"Caxton Associates, Duquesne Capital Management, Galleon Group, Gollust Management, Mountain Trail Investments, SunAmerica",Synta Pharmaceuticals is focused on developing and commercializing small molecule drugs to treat cancer and chronic inflammatory diseases.,Late Stage Venture,Yes,$10M to $50M,217350000,USD,217350000,IPO,8,,6,,"183,012"
