Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series A - Totodi,https://www.crunchbase.com/funding_round/totodi-series-a--42a9ca9b,"Finance, Financial Services, FinTech","Chengdu, Sichuan, China, Asia",Series A,,,,2022-07-27,Totodi,https://www.crunchbase.com/organization/totodi,http://www.totodi.com/,,,,Kingdom,Totodi is a financial technology company that provides asset management services in the cloud.,Early Stage Venture,Yes,,,USD,,Early Stage Venture,1,Kingdom,1,,"210,600"
Secondary Market - Jawbone,https://www.crunchbase.com/funding_round/jawbone-secondary-market--3268d521,"Consumer Electronics, Fitness, Hardware, Mobile, Personal Health, Wearables","San Francisco, California, United States, North America",Secondary Market,,,,2014-05-01,Jawbone,https://www.crunchbase.com/organization/jawbone,http://jawbone.com/home,,,,SharesPost Investment Management,Jawbone is an audio technology company developing and selling wearable technology and portable audio devices.,,No,$500M to $1B,983799995,USD,983799995,M&A,15,,1,1,"210,601"
Seed Round - Rice Robotics Limited,https://www.crunchbase.com/funding_round/rice-robotics-limited-seed--37eaaf61,"Artificial Intelligence (AI), Industrial Automation, Machinery Manufacturing, Robotics","Hong Kong, Hong Kong Island, Hong Kong, Asia",Seed,1050000,USD,1050000,2020-03-31,Rice Robotics Limited,https://www.crunchbase.com/organization/rice-robotics-limited,https://www.ricerobotics.com/,,,,ZB Capital,Rice Robotics is a pioneer in developing autonomous indoor service robots,Seed,Yes,,8050000,USD,8050000,Seed,2,,1,,"210,602"
Private Equity Round - Spark Minda,https://www.crunchbase.com/funding_round/minda-corp-private-equity--766e2d58,"Automotive, Industrial, Manufacturing","Noida, Uttar Pradesh, India, Asia",Private Equity,,,,2011-04-01,Spark Minda,https://www.crunchbase.com/organization/minda-corp,https://sparkminda.com,,,,Kotak Investment Advisors,"diversified automotive components manufacturer with a product portfolio that encompasses Safety, Security and Restraint Systems.",Private Equity,Yes,$10M to $50M,,USD,,IPO,2,Kotak Investment Advisors,1,,"210,603"
Venture Round - Civil Maps,https://www.crunchbase.com/funding_round/civil-maps-series-unknown--a310c169,"Artificial Intelligence (AI), Autonomous Vehicles, Robotics, Software","San Francisco, California, United States, North America",Venture - Series Unknown,,,,2016-01-01,Civil Maps,https://www.crunchbase.com/organization/civil-maps,https://civilmaps.com,,,,Western Technology Investment,"Civil Maps Provides a Sensor-agnostic Cognition Platform and Pipeline that Enables City Scale HD 3D Mapping, Edge Mapping and Localization.",,Yes,$1M to $10M,19200000,USD,19200000,Early Stage Venture,7,,1,,"210,607"
Grant - femtoScale,https://www.crunchbase.com/funding_round/femtoscale-grant--0a60c36c,"Electronics, Health Care, Manufacturing","Denver, Colorado, United States, North America",Grant,150000,USD,150000,2012-06-13,femtoScale,https://www.crunchbase.com/organization/femtoscale,http://www.femtoscale.com,,,,National Science Foundation,"femtoScale offers PM meters for air quality monitoring, industrial hygiene, and aerosol research.",,No,Less than $1M,1800000,USD,1800000,,4,National Science Foundation,1,,"210,608"
Grant - Lingvist,https://www.crunchbase.com/funding_round/lingvist-grant--81758186,"Artificial Intelligence (AI), Big Data, Education, Language Learning, Software","Tallinn, Harjumaa, Estonia, Europe",Grant,1560213,EUR,1747368,2015-05-01,Lingvist,https://www.crunchbase.com/organization/lingvist,https://lingvist.com,,,,EASME - EU Executive Agency for SMEs,Lingvist is language learning software based on mathematical optimization and statistical analysis.,,No,$1M to $10M,17245050,USD,17245050,,9,,1,,"210,609"
Pre Seed Round - Epic Charging,https://www.crunchbase.com/funding_round/epic-charging-pre-seed--4b705f02,"Charging Infrastructure, Electric Vehicle, Energy Efficiency, Energy Management, Software","Menlo Park, California, United States, North America",Pre-Seed,,,,2022-05-30,Epic Charging,https://www.crunchbase.com/organization/epic-charging,https://epiccharging.com,,,,,The Operating System to enable Electric Vehicle charging at scale,Seed,Yes,,,USD,,Seed,1,,,,"210,610"
Venture Round - Phonofile,https://www.crunchbase.com/funding_round/phonofile-series-unknown--cc3dcb0b,Music,"Oslo, Oslo, Norway, Europe",Venture - Series Unknown,,,,2010-01-01,Phonofile,https://www.crunchbase.com/organization/phonofile,http://phonofile.com/,,,,Fjord Invest,Phonofile offers a service where professional users could search for music.,,Yes,,,USD,,M&A,1,Fjord Invest,1,,"210,611"
Venture Round - Equippo.com,https://www.crunchbase.com/funding_round/equippo-series-unknown--779d1d1a,"Construction, E-Commerce, Industrial, Logistics, Manufacturing, Marketplace","Zug, Zug, Switzerland, Europe",Venture - Series Unknown,,,,2018-10-10,Equippo.com,https://www.crunchbase.com/organization/equippo,http://www.equippo.com/en,,,,"Credit Suisse, Daniel Gutenberg, Florian Schweitzer, McKinsey & Company",Equippo.com is a commercial equipment company that sells and buys used equipment for the construction industry.,,Yes,,10000,CHF,10497,,7,,4,,"210,612"
