Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Bitkap,https://www.crunchbase.com/funding_round/bitkap-seed--70c3f280,"Financial Services, FinTech","Douala, Littoral, Cameroon, Africa",Seed,,,,2022-12-01,Bitkap,https://www.crunchbase.com/organization/bitkap,https://bitkap.africa/,,,,,"Bitkap is the easiest, fastest and most reliable service in Africa for buying, selling and storing your cryptocurrencies",Seed,Yes,,200000,USD,200000,Seed,2,,,,"293,466"
Secondary Market - AppsForBharat,https://www.crunchbase.com/funding_round/appsforbharat-secondary-market--e5900f0e,"Apps, Information Technology, Internet, Software","Bangalore, Karnataka, India, Asia",Secondary Market,9500000,USD,9500000,2022-04-04,AppsForBharat,https://www.crunchbase.com/organization/appsforbharat,https://appsforbharat.com/,85500000,USD,85500000,"Mirae Asset, MSA Novo",AppsForBharat develops a range of mobile apps for the spiritual and devotional needs of Indian users.,,No,$1M to $10M,23700000,USD,23700000,Early Stage Venture,4,"Mirae Asset, MSA Novo",2,,"293,489"
Debt Financing - WaterGuru,https://www.crunchbase.com/funding_round/waterguru-debt-financing--6a1b0579,"Consumer Goods, Water, Water Purification","San Francisco, California, United States, North America",Debt Financing,1443301,USD,1443301,2016-05-10,WaterGuru,https://www.crunchbase.com/organization/waterguru,https://www.waterguru.com/,,,,,WaterGuru is a safe and clean water system for pool problems.,,No,$1M to $10M,33474375,USD,33474375,Early Stage Venture,5,,,,"293,558"
Seed Round - Consulta do Bem,https://www.crunchbase.com/funding_round/consulta-do-bem-seed--a4e31b5a,"Health Care, Internet","São Paulo, Sao Paulo, Brazil, South America",Seed,,,,2016-12-01,Consulta do Bem,https://www.crunchbase.com/organization/consulta-do-bem,https://consultadobem.com.br/,,,,Leonardo Teixeira,Consulta do Bem offers an innovative way to schedule and get consultations online.,Seed,Yes,$1M to $10M,,USD,,Seed,1,,1,,"293,588"
Seed Round - SmartMind,https://www.crunchbase.com/funding_round/smartmind-seed--7e49c6a0,"Artificial Intelligence (AI), Big Data, Business Intelligence, Cloud Data Services, Database, Information Technology, Machine Learning, PaaS, Software","Seocho, Seoul-t'ukpyolsi, South Korea, Asia",Seed,500000,USD,500000,2021-10-28,SmartMind,https://www.crunchbase.com/organization/smartmind,https://www.thanosql.ai/en,,,,Korea Credit Guarantee Fund,We are developing new generation database to query both structured and unstructured data in the tables.,Seed,Yes,,3500000,USD,3500000,Seed,3,Korea Credit Guarantee Fund,1,,"293,609"
Corporate Round - U-Medico,https://www.crunchbase.com/funding_round/u-medico-corporate-round--974f0688,"Biopharma, Biotechnology, Medical, Pharmaceutical","Osaka, Osaka, Japan, Asia",Corporate Round,,,,2022-03-17,U-Medico,https://www.crunchbase.com/organization/u-medico,http://u-medico.co.jp/,,,,Coriolis Pharma,U-Medico provide cutting-edge analysis to bring the quality of biopharmacy to the highest level in the world.,,Yes,$1M to $10M,,USD,,,1,Coriolis Pharma,1,,"293,628"
Debt Financing - Libattion,https://www.crunchbase.com/funding_round/libattion-debt-financing--f7584f51,"Battery, Energy Storage, Power Grid","Glattbrugg, Zurich, Switzerland, Europe",Debt Financing,3000000,USD,3000000,2022-11-14,Libattion,https://www.crunchbase.com/organization/libattion,https://www.libattion.com/,,,,Technology Fund,Libattion is a company focused on integrating innovative Upcycled Energy Storage Systems (ESS) for industry and utility companies.,,No,,5169456,USD,5169456,Early Stage Venture,3,Technology Fund,1,,"293,646"
Seed Round - Unfold,https://www.crunchbase.com/funding_round/unfold-seed--dfc0f9f0,"Big Data, Enterprise Software, SaaS","Los Angeles, California, United States, North America",Seed,150000,USD,150000,2012-01-20,Unfold,https://www.crunchbase.com/organization/unfold,,,,,K5 Ventures,Unfold is an online portal that keeps people up-to-date on current issues and publishes the opinions of politicians and other influencers.,Seed,Yes,$1M to $10M,470000,USD,470000,Seed,2,,1,,"293,656"
Seed Round - House of Flow,https://www.crunchbase.com/funding_round/goh-innovation-corp-seed--79f1680e,"Fitness, Health Care, Information Technology, Wellness","Laguna Niguel, California, United States, North America",Seed,200000,USD,200000,2022-10-01,House of Flow,https://www.crunchbase.com/organization/goh-innovation-corp,https://houseofflow.io,,,,,"Health Service, Wellness Service, Fitness Service",Seed,Yes,,200000,USD,200000,Seed,1,,,,"293,662"
Seed Round - BuyNow WorldWide,https://www.crunchbase.com/funding_round/buynow-worldwide-seed--389c0014,"Advertising, E-Commerce, Retail Technology","Omaha, Nebraska, United States, North America",Seed,,,,2015-07-06,BuyNow WorldWide,https://www.crunchbase.com/organization/buynow-worldwide,http://www.BuyNowWorldwide.com,,,,Ethos Family Office,BuyNow WorldWide is an e-commerce application that enables retailers to sell their products and services in real time.,Seed,Yes,,355000,USD,355000,Seed,2,,1,,"293,713"
