Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series A - Pure Gym,https://www.crunchbase.com/funding_round/pure-gym-series-a--f49ab07b,"Fitness, Health Care, Sports, Training, Wellness","London, England, United Kingdom, Europe",Series A,6000000,GBP,8974982,2010-03-01,Pure Gym,https://www.crunchbase.com/organization/pure-gym,https://www.puregym.com/,,,,Magenta Partners,PureGym is a gym operator that provides affordable and convenient access to fitness facilities in the U.K.,Early Stage Venture,Yes,Less than $1M,306000000,GBP,405874929,M&A,2,Magenta Partners,1,,"75,040"
Angel Round - WSK Medical,https://www.crunchbase.com/funding_round/wsk-medical-angel--44c1287f,"Artificial Intelligence (AI), Information Technology, Machine Learning, Medical Device, Software","Amsterdam, Noord-Holland, The Netherlands, Europe",Angel,300000,EUR,331098,2024-01-01,WSK Medical,https://www.crunchbase.com/organization/wsk-medical,http://www.wskmedical.org,,,,,First AI solution on the market for real-time detection and classification of throat cancer.,Seed,Yes,$1M to $10M,3109500,EUR,3472386,Seed,16,,,,"75,066"
Private Equity Round - Acadomia,https://www.crunchbase.com/funding_round/acadomia-private-equity--d9a66e6e,"E-Learning, Education","Paris, Ile-de-France, France, Europe",Private Equity,,,,2013-06-01,Acadomia,https://www.crunchbase.com/organization/acadomia,https://www.acadomia.fr/,,,,Metric Capital Partners,Acadomia is a provider of supplementary education in France. ,Private Equity,Yes,,,USD,,M&A,1,Metric Capital Partners,1,,"75,068"
Seed Round - Polaris3D,https://www.crunchbase.com/funding_round/polaris3d-seed--99e9592f,"Navigation, Robotics","Pohang, Kyongsang-bukto, South Korea, Asia",Seed,,,,2019-08-31,Polaris3D,https://www.crunchbase.com/organization/polaris3d,http://polaris3d.co,,,,"Pohang University of Science and Technology, TIPS Program",Polaris3d offers indoor autonomous navigating solution.,Seed,Yes,Less than $1M,,USD,,,2,"Pohang University of Science and Technology, TIPS Program",2,,"75,069"
Private Equity Round - Rural Broadband Solutions,https://www.crunchbase.com/funding_round/rural-broadband-solutions-private-equity--a149e11b,"Communications Infrastructure, Infrastructure","Douglas, NA - Isle of Man, Isle of Man, Europe",Private Equity,75000000,GBP,83207228,2022-10-07,Rural Broadband Solutions,https://www.crunchbase.com/organization/rural-broadband-solutions,https://www.ruralbroadbandsolutions.com/,,,,Tiger Infrastructure Partners,Rural Broadband Solutions is a provider of broadband services to residential and business customers.,Private Equity,Yes,,75000000,GBP,83207228,Private Equity,1,Tiger Infrastructure Partners,1,1,"75,032"
Angel Round - nVenue,https://www.crunchbase.com/funding_round/nvenue-angel--81f2b6e3,"Artificial Intelligence (AI), Fantasy Sports, Gambling, Machine Learning, Media and Entertainment, Software, Sports","Dallas, Texas, United States, North America",Angel,600000,USD,600000,2021-04-02,nVenue,https://www.crunchbase.com/organization/nvenue,https://www.nvenue.com/,,,,,"nVenue’s unmatched tech streams 1000s of probabilities along with live sports for best fan experiences watching, betting, or BOTH",Seed,Yes,$10M to $50M,8350000,USD,8350000,,7,,,,"75,001"
Seed Round - Manim,https://www.crunchbase.com/funding_round/manim-seed--dfa00ea8,"Finance, Financial Services, FinTech, Software","Gebze, Kocaeli, Turkey, Europe",Seed,,,,2021-07-09,Manim,https://www.crunchbase.com/organization/manim,https://manim.me/#,,,,,"Manim integrates the ERP application with the user's Bank in 7X24, securely and in real time.",Seed,Yes,,70000,USD,70000,Seed,3,,,,"75,038"
Seed Round - Commented,https://www.crunchbase.com/funding_round/commented-seed--49452e9a,"Artificial Intelligence (AI), B2B, SaaS","London, England, United Kingdom, Europe",Seed,,,,2024-01-02,Commented,https://www.crunchbase.com/organization/commented,https://www.commented.io/,,,,,"Comment and chat on your projects, skyrocket collaboration.",Seed,Yes,,,USD,,Seed,1,,,,"75,004"
Seed Round - Aegis Technologies,https://www.crunchbase.com/funding_round/aegis-technologies-a33e-seed--a28f27aa,"Data Mining, Product Design, Robotics, Software","Numazu, Shizuoka, Japan, Asia",Seed,,,,2017-01-01,Aegis Technologies,https://www.crunchbase.com/organization/aegis-technologies-a33e,http://aegistec.tech/,,,,Mitsubishi UFJ Capital,Aegis Technologies is specializes in design and development of various ultra-compact sensing devices.,Seed,Yes,,,USD,,Seed,1,Mitsubishi UFJ Capital,1,,"75,016"
Seed Round - Libattion,https://www.crunchbase.com/funding_round/libattion-seed--c0608055,"Battery, Energy Storage, Power Grid","Glattbrugg, Zurich, Switzerland, Europe",Seed,2000000,CHF,2169456,2021-09-08,Libattion,https://www.crunchbase.com/organization/libattion,https://www.libattion.com/,,,,EBL,Libattion is a company focused on integrating innovative Upcycled Energy Storage Systems (ESS) for industry and utility companies.,Seed,Yes,,5169456,USD,5169456,Early Stage Venture,3,,1,,"75,053"
Series B - LeadGenius,https://www.crunchbase.com/funding_round/mobileworks-series-b--219eb706,"Big Data, Database, Enterprise Software, Lead Generation, Sales, Sales Automation","Berkeley, California, United States, North America",Series B,10000000,USD,10000000,2016-07-18,LeadGenius,https://www.crunchbase.com/organization/mobileworks,https://www.leadgenius.com/,,,,"Lumia Capital, Sierra Ventures","LeadGenius is an end-to-end sales solution that provides companies with a way to generate, qualify, deliver, and convert leads.",Early Stage Venture,Yes,$10M to $50M,36387681,USD,36387681,Seed,9,,2,,"75,134"
Pre Seed Round - Bloom,https://www.crunchbase.com/funding_round/bloom-3a8b-pre-seed--fdd9bd5b,"Advice, Communities, Consulting","Toronto, Ontario, Canada, North America",Pre-Seed,,,,2020-04-27,Bloom,https://www.crunchbase.com/organization/bloom-3a8b,https://www.hellobloomers.com/,,,,2048 Ventures,Bloom provides a coaching program for adults that specializes in life plans.,Seed,Yes,,,USD,,Seed,2,2048 Ventures,1,,"75,078"
Pre Seed Round - Kooky,https://www.crunchbase.com/funding_round/kooky-6c1c-pre-seed--898b2e33,"Art, Content, Content Creators, Content Marketing, Media and Entertainment, Social Media","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",Pre-Seed,,,,2022-11-21,Kooky,https://www.crunchbase.com/organization/kooky-6c1c,https://www.kooky.io/,,,,Accelerating Asia,Kooky is a social media platform for the artists of K-Pop industry to showcase their talent and provide exclusive content for the fans.,Seed,Yes,,,USD,,Seed,5,Accelerating Asia,1,2,"75,097"
Grant - LIMEBIRD,https://www.crunchbase.com/funding_round/limebird-grant--40d51785,"Cloud Computing, GreenTech, Information Technology","Hockenheim, Baden-Wurttemberg, Germany, Europe",Grant,1800000,EUR,1974691,2023-05-01,LIMEBIRD,https://www.crunchbase.com/organization/limebird,https://www.limebird.io,,,,,Green Edge Cloud Computing,,No,,2100000,EUR,2323472,Seed,3,,,,"75,089"
Seed Round - Kangaroo,https://www.crunchbase.com/funding_round/kangaroo-1ceb-seed--8c934033,"Blockchain, Gaming","San Francisco, California, United States, North America",Seed,,,,2021-10-27,Kangaroo,https://www.crunchbase.com/organization/kangaroo-1ceb,https://kangaroointeractive.com/,,,,Cosmic Venture Partners,Kangaroo brings you closer to your favorite celebrities and characters through interactive storytelling.,Seed,Yes,,6300000,USD,6300000,Seed,3,,1,1,"75,080"
Seed Round - Structured,https://www.crunchbase.com/funding_round/structured-labs-seed--fe356cc4,"Machine Learning, Software Engineering","San Francisco, California, United States, North America",Seed,,,,2023-08-23,Structured,https://www.crunchbase.com/organization/structured-labs,https://www.structuredlabs.io/,,,,,Build data workflows with AI,Seed,Yes,,,USD,,Seed,2,,,,"75,098"
Pre Seed Round - Webwowzers,https://www.crunchbase.com/funding_round/webwowzers-pre-seed--59103394,"Web Apps, Web Design, Web Development","Gainesville, Virginia, United States, North America",Pre-Seed,225800,USD,225800,2023-07-27,Webwowzers,https://www.crunchbase.com/organization/webwowzers,https://www.webwowzer.com/,,,,,Webwowzers is a website builder that offers an easy-to-navigate and user-friendly interface.,Seed,Yes,,225800,USD,225800,Seed,1,,,,"75,273"
Series A - Dopler Eco Technologies,https://www.crunchbase.com/funding_round/dopler-eco-technologies-series-a--3294ce52,"Environmental Engineering, GreenTech, Information Technology","Beijing, Beijing, China, Asia",Series A,10400000,CNY,1536587,2016-11-01,Dopler Eco Technologies,https://www.crunchbase.com/organization/dopler-eco-technologies,http://www.dopler.com.cn,,,,GSR United Capital,"Dopler Eco Technologies provides products, services, and solutions for atmospheric environment monitoring and environmental protection.",Early Stage Venture,Yes,,15000000,CNY,2232076,Early Stage Venture,2,GSR United Capital,1,,"75,285"
