Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series C - Targanta Therapeutics,https://www.crunchbase.com/funding_round/targanta-therapeutics-series-c--fd5ea363,"Biopharma, Health Care, Pharmaceutical","Cambridge, Massachusetts, United States, North America",Series C,70000000,USD,70000000,2007-02-08,Targanta Therapeutics,https://www.crunchbase.com/organization/targanta-therapeutics,http://www.targanta.com,,,,"Brookside Capital, Canadian Medical Discoveries Fund, OrbiMed, Radius Ventures, Seaflower Ventures, Skyline Ventures",Targanta Therapeutics is a biopharma Company,Late Stage Venture,Yes,,70000000,USD,70000000,M&A,1,,6,,"15,005"
Seed Round - Eywa,https://www.crunchbase.com/funding_round/eywa-e9b6-seed--68205313,"Blockchain, Financial Services, Web3","Tórtola, Castilla-La Mancha, Spain, Europe",Seed,5200000,USD,5200000,2022-03-01,Eywa,https://www.crunchbase.com/organization/eywa-e9b6,https://eywa.fi/,,,,"Big Brain Holdings, BR Capital, Criterion VC, G1 Ventures, InnMind, Mapleblock Capital, Mulana Capital, Unreal Capital, Vespertine Capital",EYWA is a decentralized cross-chain liquidity & data protocol,Seed,Yes,$1M to $10M,5200000,USD,5200000,Seed,1,,9,,"15,019"
Seed Round - Simple Brand Tainment,https://www.crunchbase.com/funding_round/simple-brand-tainment-seed--18252840,"Food Processing, Restaurants","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",Seed,,,,2023-10-05,Simple Brand Tainment,https://www.crunchbase.com/organization/simple-brand-tainment,https://spbt.kr,,,,"The Invention Lab, TIPS Program, VD Company",SPBT aims to be an entertainment company in the restaurant industry that discovers.,Seed,Yes,,,USD,,Seed,2,,3,,"15,054"
Seed Round - Spatial,https://www.crunchbase.com/funding_round/spatial-7213-seed--ec09be68,"3D Technology, Augmented Reality, Non-Fungible Token (NFT), Software, Virtual Reality, Web3","New York, New York, United States, North America",Seed,565500000,KRW,502104,2019-01-23,Spatial,https://www.crunchbase.com/organization/spatial-7213,https://spatial.io/,,,,Kakao Ventures,"Spatial is a gaming platform where millions of creators build and share fun experiences that bring people together across web, mobile, & VR.",Seed,Yes,$10M to $50M,47802104,USD,47802104,Early Stage Venture,6,Kakao Ventures,1,1,"15,061"
Seed Round - Waterdog Technologies,https://www.crunchbase.com/funding_round/waterdog-technologies-seed--8e72a049,"Consumer, Information Technology, Small and Medium Businesses","Springfield, Massachusetts, United States, North America",Seed,500000,USD,500000,2015-06-04,Waterdog Technologies,https://www.crunchbase.com/organization/waterdog-technologies,http://waterdogtech.com,,,,"River Valley Investors, Springfield Venture Fund",We're disrupting the traditional channel model by fundamentally changing the way the partner and reseller relationship works.,Seed,Yes,$10M to $50M,500000,USD,500000,Seed,1,,2,,"15,002"
Series B - Renibus Therapeutics,https://www.crunchbase.com/funding_round/renibus-therapeutics-series-b--a365183f,"Biotechnology, Health Care, Therapeutics","Southlake, Texas, United States, North America",Series B,47000000,USD,47000000,2023-07-18,Renibus Therapeutics,https://www.crunchbase.com/organization/renibus-therapeutics,https://renibus.com,,,,,Renibus Therapeutics is a clinical-stage biotech company that focuses on preventing and treating kidney disease.,Early Stage Venture,Yes,$1M to $10M,214724500,USD,214724500,Early Stage Venture,8,,,,"15,000"
Private Equity Round - Jones Lake Management,https://www.crunchbase.com/funding_round/jones-lake-management-private-equity--0d1f638f,Environmental Consulting,"Cincinnati, Ohio, United States, North America",Private Equity,,,,2022-01-01,Jones Lake Management,https://www.crunchbase.com/organization/jones-lake-management,https://joneslakemanagement.com/contact,,,,Fort Point Capital,"Jones Lake Management, based in Cincinnati, Ohio, is a professional pond and lake management service provider.",Private Equity,Yes,,,USD,,Private Equity,1,,1,,"15,001"
Non Equity Assistance - Enhance Lab,https://www.crunchbase.com/funding_round/enhance-lab-non-equity-assistance--c7edcf4e,"Analytics, Information Technology, Machine Learning, Software","Paris, Ile-de-France, France, Europe",Non-equity Assistance,,,,2023-07-01,Enhance Lab,https://www.crunchbase.com/organization/enhance-lab,https://enhancelab.fr/,,,,AGORANOV,Enhance Lab is a software firm that boost image quality with deep learning and optimization approach to solve problems.,,No,,,USD,,,1,AGORANOV,1,,"15,003"
Series C - Atomberg Technology,https://www.crunchbase.com/funding_round/atomberg-technology-series-c--7d9c7f49,"Consumer Electronics, Energy Efficiency, Internet of Things","Mumbai, Maharashtra, India, Asia",Series C,86000000,USD,86000000,2023-05-29,Atomberg Technology,https://www.crunchbase.com/organization/atomberg-technology,http://atomberg.com,364000000,USD,364000000,"Inflexor Ventures, Jungle Ventures, Steadview Capital, Temasek Holdings, Trifecta Capital Advisors",Atomberg Technology is a manufacturer of smart and energy-efficient household appliances.,Late Stage Venture,Yes,$50M to $100M,126494635,USD,126494635,Late Stage Venture,8,"Steadview Capital, Temasek Holdings",5,4,"15,004"
Debt Financing - DataBank,https://www.crunchbase.com/funding_round/databank-debt-financing--e23eebdc,"Consulting, Information Technology, Risk Management","Dallas, Texas, United States, North America",Debt Financing,345000000,USD,345000000,2023-11-28,DataBank,https://www.crunchbase.com/organization/databank,http://www.databank.com,,,,,DataBank is an information management and security company offering customized technology solutions to businesses.,,No,$100M to $500M,3024000000,USD,3024000000,M&A,6,,,,"15,007"
Seed Round - Bettr Group,https://www.crunchbase.com/funding_round/bettr-group-seed--32970358,"Coffee, Food and Beverage, Wholesale","Singapore, Central Region, Singapore, Asia",Seed,2000000,SGD,1459321,2023-10-13,Bettr Group,https://www.crunchbase.com/organization/bettr-group,https://www.bettr.group,,,,Heritas Capital,Bettr Group is a coffee company that wholesales and retails coffee bars and equipment.,Seed,Yes,$1M to $10M,2000000,SGD,1459321,Seed,1,Heritas Capital,1,1,"15,006"
Grant - Niles Township Government,https://www.crunchbase.com/funding_round/niles-township-government-grant--29945b9e,"Government, Non Profit","Skokie, Illinois, United States, North America",Grant,,,,2023-12-19,Niles Township Government,https://www.crunchbase.com/organization/niles-township-government,https://www.nilestownshipgov.com,,,,Dermody Properties,Niles Township Government provides citizens with vital services.,,No,,,USD,,,1,Dermody Properties,1,,"15,008"
Grant - Home of the Innocents,https://www.crunchbase.com/funding_round/home-of-the-innocents-grant--6b60cdf7,"Communities, Health Care, Non Profit, Residential, Wellness","Louisville, Kentucky, United States, North America",Grant,,,,2023-12-19,Home of the Innocents,https://www.crunchbase.com/organization/home-of-the-innocents,https://www.homeoftheinnocents.org,,,,Dermody Properties,"Home of the Innocents is a non-profit organization that provides aquatic therapy, shelter placement, and healthcare services.",,No,$50M to $100M,750000,USD,750000,,2,Dermody Properties,1,,"15,016"
Grant - Bellevue Boys & Girls Club,https://www.crunchbase.com/funding_round/bellevue-boys-girls-club-grant--1e9f005d,Education,"Bellevue, Washington, United States, North America",Grant,,,,2023-12-19,Bellevue Boys & Girls Club,https://www.crunchbase.com/organization/bellevue-boys-girls-club,http://www.bgcbellevue.org,,,,Dermody Properties,Bellevue Boys & Girls Club is a company that creates scholarship programs and events for grade school children.,,No,$10M to $50M,,USD,,,1,Dermody Properties,1,,"15,012"
Grant - BeLoved Atlanta,https://www.crunchbase.com/funding_round/beloved-atlanta-grant--9657dd13,"Non Profit, Rehabilitation, Residential","Atlanta, Georgia, United States, North America",Grant,,,,2023-12-19,BeLoved Atlanta,https://www.crunchbase.com/organization/beloved-atlanta,https://www.belovedatlanta.org,,,,Dermody Properties,BeLoved Atlanta provides safe homes.,,No,,,USD,,,1,Dermody Properties,1,,"15,014"
Grant - Laura's House,https://www.crunchbase.com/funding_round/laura-s-house-grant--97088c9c,"Education, Legal, Non Profit, Training","Aliso Viejo, California, United States, North America",Grant,,,,2023-12-19,Laura's House,https://www.crunchbase.com/organization/laura-s-house,https://www.laurashouse.org,,,,Dermody Properties,"Laura's House is a non-profit organization that provides training, legal, education, and shelter assistance services.",,No,$1M to $10M,,USD,,,1,Dermody Properties,1,,"15,013"
Grant - Kidpower,https://www.crunchbase.com/funding_round/kidpower-grant--e7526546,"Charity, Education, Non Profit","Santa Cruz, California, United States, North America",Grant,,,,2023-12-19,Kidpower,https://www.crunchbase.com/organization/kidpower,https://www.kidpower.org,,,,Dermody Properties,"Kidpower is a non-profit organization that builds cultures of caring, respect, and safety for everyone, everywhere.",,No,,,USD,,,1,Dermody Properties,1,,"15,018"
Grant - Down Syndrome Network,https://www.crunchbase.com/funding_round/down-syndrome-network-grant--b5131bb6,"Education, Information Services","Reno, Nevada, United States, North America",Grant,,,,2023-12-19,Down Syndrome Network,https://www.crunchbase.com/organization/down-syndrome-network,https://www.dsnnn.org,,,,Dermody Properties,"Down Syndrome Network of Northern Nevada is a network of family, friends, and individuals dedicated to providing information, and education.",,No,,,USD,,,1,Dermody Properties,1,,"15,015"
Grant - Phoenix Children's Foundation,https://www.crunchbase.com/funding_round/phoenix-children-s-foundation-grant--0da161bf,Non Profit,"Phoenix, Arizona, United States, North America",Grant,,,,2023-12-19,Phoenix Children's Foundation,https://www.crunchbase.com/organization/phoenix-children-s-foundation,https://phoenixchildrensfoundation.org,,,,Dermody Properties,Phoenix Children's Foundation offers charitable financial assistance.,,No,,,USD,,,1,Dermody Properties,1,,"15,009"
Grant - The Neighborhood Center in Camden,https://www.crunchbase.com/funding_round/the-neighborhood-center-in-camden-grant--c91e06be,"Art, Children, Communities, Non Profit","Camden, New Jersey, United States, North America",Grant,,,,2023-12-19,The Neighborhood Center in Camden,https://www.crunchbase.com/organization/the-neighborhood-center-in-camden,https://www.neighborhoodrising.org,,,,Dermody Properties,The Neighborhood Center in Camden is a nonprofit organization that aims to provide a safe community.,,No,,5000,USD,5000,,2,Dermody Properties,1,,"15,010"
Grant - Eye Care 4 Kids,https://www.crunchbase.com/funding_round/eye-care-4-kids-grant--a971c405,"Health Care, Non Profit, Personal Health, Wellness","Midvale, Utah, United States, North America",Grant,,,,2023-12-19,Eye Care 4 Kids,https://www.crunchbase.com/organization/eye-care-4-kids,https://eyecare4kids.org,,,,Dermody Properties,"Eye Care 4 Kids provides eye exams, vision screenings, and glasses to visually impaired children.",,No,,100000,USD,100000,,2,Dermody Properties,1,,"15,011"
Grant - Reno Bike Project,https://www.crunchbase.com/funding_round/reno-bike-project-grant--32cc5085,Non Profit,"Reno, Nevada, United States, North America",Grant,,,,2023-12-19,Reno Bike Project,https://www.crunchbase.com/organization/reno-bike-project,https://renobikeproject.org,,,,Dermody Properties,Reno Bike Project (RBP) is a non-profit 501(c)(3) community cycling shop and resource.,,No,$1M to $10M,,USD,,,1,Dermody Properties,1,,"15,017"
Post-IPO Equity - Air T,https://www.crunchbase.com/funding_round/air-t-post-ipo-equity--17e317e1,"Electronics, Manufacturing, Transportation","Maiden, North Carolina, United States, North America",Post-IPO Equity,4000000,USD,4000000,2023-11-28,Air T,https://www.crunchbase.com/organization/air-t,https://www.airt.net,,,,,"Air T Inc. operates in two industry segments, providing air cargo services to the air express delivery industry",,Yes,$100M to $500M,16000000,USD,16000000,IPO,2,,,,"15,033"
Grant - Norton Science and Language Academy,https://www.crunchbase.com/funding_round/norton-science-and-language-academy-grant--b7a86208,"Charter Schools, Education, Non Profit","San Bernardino, California, United States, North America",Grant,100000,USD,100000,2023-11-28,Norton Science and Language Academy,https://www.crunchbase.com/organization/norton-science-and-language-academy,https://nsla.lewiscenter.org/,,,,San Manuel Band of Mission Indians,Norton Science and Language Academy is a public charter school that provides an educational environment for all kinds of students.,,No,,100000,USD,100000,,1,San Manuel Band of Mission Indians,1,,"15,024"
Seed Round - Zapping TV,https://www.crunchbase.com/funding_round/zapping-tv-seed--1664b7ae,"Broadcasting, Media and Entertainment, TV","Santiago, Region Metropolitana, Chile, South America",Seed,5000000,USD,5000000,2023-10-24,Zapping TV,https://www.crunchbase.com/organization/zapping-tv,https://www.zappingtv.com,,,,,Zapping TV is a live tv service in Latin America. +80 live tv channels for $15/month,Seed,Yes,,5500000,USD,5500000,Seed,2,,,,"15,034"
Grant - United Way Bay Area,https://www.crunchbase.com/funding_round/united-way-bay-area-grant--5d329e14,"Consulting, Non Profit","San Francisco, California, United States, North America",Grant,3000000,USD,3000000,2023-11-28,United Way Bay Area,https://www.crunchbase.com/organization/united-way-bay-area,http://www.uwba.org,,,,Bank of Montreal,United Way Bay Area is an organization that offers financial and basic needs for individuals and families.,,No,$10M to $50M,3000000,USD,3000000,,2,Bank of Montreal,1,1,"15,022"
Series A - Bomi Technology,https://www.crunchbase.com/funding_round/bomi-technology-series-a--e36fba52,"Electronics, Manufacturing, Semiconductor","Liaocheng, Shandong, China, Asia",Series A,55000000,CNY,7517872,2023-10-26,Bomi Technology,https://www.crunchbase.com/organization/bomi-technology,http://www.pome.com.cn,945000000,CNY,129170710,"Changrun Venture Capital, Ruigao Venture Capital",Bomi Technology is a producer of polymer materials with an emphasis on polyimide passivation layer materials for electronic packaging.,Early Stage Venture,Yes,,55000000,CNY,7517872,Early Stage Venture,1,"Changrun Venture Capital, Ruigao Venture Capital",2,,"15,021"
