Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - PhotosynQ,https://www.crunchbase.com/funding_round/photosynq-pre-seed--e65fa0ce,"AgTech, Farming, Software","East Lansing, Michigan, United States, North America",Pre-Seed,,,,2014-05-14,PhotosynQ,https://www.crunchbase.com/organization/photosynq,https://www.photosynq.org/,,,,Red Cedar Ventures,PhotosynQ is a Farming platform.,Seed,Yes,$1M to $10M,,USD,,Seed,1,,1,,"328,818"
Pre Seed Round - MacroFab,https://www.crunchbase.com/funding_round/macrofab-pre-seed--37344e8a,"Electronics, Hardware, Internet of Things, Manufacturing, SaaS","Houston, Texas, United States, North America",Pre-Seed,,,,2014-10-01,MacroFab,https://www.crunchbase.com/organization/macrofab,https://macrofab.com,,,,,MacroFab is a technology platform built to automate and optimize electronics manufacturing processes for OEMs.,Seed,Yes,$1M to $10M,96172395,USD,96172395,,13,,,,"328,834"
Non Equity Assistance - Food Express,https://www.crunchbase.com/funding_round/food-express-non-equity-assistance--a7cf126b,Logistics,"Berlin, Berlin, Germany, Europe",Non-equity Assistance,,,,2014-03-21,Food Express,https://www.crunchbase.com/organization/food-express,http://www.food-express.com,,,,Microsoft Accelerator Berlin,"Food Express offers an on-demand delivery service for every type of restaurant: efficient, reliable, friendly and absolutely flexible.",,No,Less than $1M,,USD,,,1,,1,,"328,840"
Seed Round - Zuri,https://www.crunchbase.com/funding_round/zuri-c2c7-seed--1f4b489e,"Aerospace, Electronics","Prague, Hlavni mesto Praha, Czech Republic, Europe",Seed,300000,EUR,363925,2021-06-03,Zuri,https://www.crunchbase.com/organization/zuri-c2c7,https://zuri.com/,,,,"Marek Rosa, Zdenek Polach",Zuri is a company that builds a hybrid-electric VTOL for inter-city travel.,Seed,Yes,,2400000,EUR,2784830,,4,,2,,"328,902"
Series C - Capillary Technologies,https://www.crunchbase.com/funding_round/capillary-technologies-pvt-series-c--c47acebb,"Analytics, Enterprise Software, Productivity Tools, Retail, SaaS","Bengaluru, Karnataka, India, Asia",Series C,45000000,USD,45000000,2015-09-02,Capillary Technologies,https://www.crunchbase.com/organization/capillary-technologies-pvt,http://www.capillarytech.com,,,,"Norwest Venture Partners, Peak XV Partners, Warburg Pincus",Capillary Technologies develops customized and cloud-based customer analytics and marketing platforms.,Late Stage Venture,Yes,$50M to $100M,147100000,USD,147100000,Late Stage Venture,10,Warburg Pincus,3,2,"328,904"
Series B - WE WEDDING,https://www.crunchbase.com/funding_round/we-wedding-series-b--656217ed,"Customer Service, Event Management, Wedding","Chengdu, Sichuan, China, Asia",Series B,20000000,CNY,2996714,2016-09-06,WE WEDDING,https://www.crunchbase.com/organization/we-wedding,http://www.izhaowo.com/,,,,Jituo Investment Center,WE WEDDING is a wedding management company that provides wedding customization services.,Early Stage Venture,Yes,,83000000,CNY,12605725,Early Stage Venture,3,Jituo Investment Center,1,,"328,918"
Seed Round - Givebutter,https://www.crunchbase.com/funding_round/givebutter-seed--c54b618b,"Event Management, Non Profit, Software","Washington, District of Columbia, United States, North America",Seed,7000000,USD,7000000,2022-06-27,Givebutter,https://www.crunchbase.com/organization/givebutter,https://givebutter.com,,,,"Allen Gannett, Ardent Venture Partners, David Cummings, Elena Gomez, Geoffrey T. Barker, Jay Love, Jenny Bloom, Jon Hallett, Julian Shapiro, Nick Raushenbush, Sahil Bloom, Sam Parr, Shaan Puri, Shahed Khan, Shreyas Doshi, Tope Awotona",Givebutter is a product-led company that develops an operating system for nonprofit fundraising.,Seed,Yes,$1M to $10M,7000000,USD,7000000,Seed,1,Ardent Venture Partners,16,1,"328,938"
Seed Round - BrainWaveBank,https://www.crunchbase.com/funding_round/brainwavebank-seed--ce9bc655,"Clinical Trials, Health Care, Health Diagnostics, Medical Device, mHealth, Neuroscience, Pharmaceutical","Belfast, Belfast, United Kingdom, Europe",Seed,525000,GBP,648618,2016-10-10,BrainWaveBank,https://www.crunchbase.com/organization/brainwavebank,http://www.brainwavebank.com,,,,"ACF Investors, Techstart Ventures","BrainWaveBank makes it possible to measure and track brain activity and cognitive performance for anyone, anytime, anywhere.",Seed,Yes,Less than $1M,12584707,GBP,16416304,Seed,9,Techstart Ventures,2,1,"328,939"
Private Equity Round - Moatable,https://www.crunchbase.com/funding_round/renren-inc-private-equity--722bc9dd,"B2B, Business Development, Internet of Things, SaaS, Software","Phoenix, Arizona, United States, North America",Private Equity,430000000,USD,430000000,2008-04-30,Moatable,https://www.crunchbase.com/organization/renren-inc,https://www.moatable.com/,,,,"Joho Capital, SoftBank Capital","Moatable offers businesses with management expertise, support services, and capital to scale.",Private Equity,Yes,$100M to $500M,478000000,USD,478000000,IPO,3,,2,1,"328,943"
Venture Round - Acquisio,https://www.crunchbase.com/funding_round/acquisio-series-unknown--32627b24,"Advertising Platforms, Local Business, Marketing Automation","Brossard, Quebec, Canada, North America",Venture - Series Unknown,5000000,USD,5000000,2012-08-07,Acquisio,https://www.crunchbase.com/organization/acquisio,http://www.acquisio.com,,,,"Fonds de solidarité FTQ, Tandem Expansion",Performance Marketing Solutions for Local Businesses and the Agencies that Serve Them,,Yes,$1M to $10M,23594377,USD,23594377,M&A,8,,2,1,"328,945"
