Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Twistle,https://www.crunchbase.com/funding_round/twistle-seed--c97c5b75,"Enterprise Software, Health Care, Information Technology, Mobile Apps, Software","Seattle, Washington, United States, North America",Seed,820001,USD,820001,2011-01-24,Twistle,https://www.crunchbase.com/organization/twistle,http://twistle.com,,,,,"Twistle is a health care platform that helps healthcare providers connect with patients, keeping them on track for faster recovery.",Seed,Yes,$1M to $10M,37760066,USD,37760066,M&A,6,,,,"503,833"
Private Equity Round - Asia Online Limited,https://www.crunchbase.com/funding_round/asia-online-limited-hong-kong--private-equity--cdb1d025,"Business Development, ISP, Web Hosting","Central, Hong Kong Island, Hong Kong, Asia",Private Equity,100000000,USD,100000000,2000-03-31,Asia Online Limited,https://www.crunchbase.com/organization/asia-online-limited-hong-kong-,,,,,"ABN AMRO Fund, CIBC, Concentric Network Corporation, Dell, GE Equity, Hikari Tsushin Group, Interliant, JP Morgan, MF Private Capital, Nexus Group, PAI Partners, PaineWebber, Pequot Capital","Asia Online puts the power of the Internet to work, growing customers' business. Whether generating new revenue or savings.",Private Equity,Yes,,100000000,USD,100000000,Private Equity,1,PAI Partners,13,,"503,837"
Pre Seed Round - TAKU Retail,https://www.crunchbase.com/funding_round/taku-696a-pre-seed--8e28457d,"Computer, E-Commerce, Local Shopping, Point of Sale, Retail Technology, Software, Subscription Service","Toronto, Ontario, Canada, North America",Pre-Seed,25000,CAD,19236,2020-11-24,TAKU Retail,https://www.crunchbase.com/organization/taku-696a,https://takulabs.io/,,,,ventureLAB,TAKU is the most flexible and cost-effective all-in-one commerce platform for established or growing retailers.,Seed,Yes,,585000,CAD,445081,Seed,6,,1,,"503,878"
Angel Round - Click Armor,https://www.crunchbase.com/funding_round/click-armor-angel--73d1c238,"Cyber Security, Internet, Training","Ottawa, Ontario, Canada, North America",Angel,,,,2020-01-01,Click Armor,https://www.crunchbase.com/organization/click-armor,https://www.clickarmor.ca/,,,,Capital Angel Network,Click Armor is a cybersecurity awareness training company.,Seed,Yes,,,USD,,Seed,3,,1,,"503,898"
Venture Round - Genoscreen,https://www.crunchbase.com/funding_round/genoscreen-series-unknown--533a0665,"Biotechnology, Environmental Consulting, Health Care","Lille, Nord-Pas-de-Calais, France, Europe",Venture - Series Unknown,,,,2002-09-01,Genoscreen,https://www.crunchbase.com/organization/genoscreen,https://www.genoscreen.fr/,,,,Finorpa,Genoscreen provides genomic services and innovative solutions in genomics. ,,Yes,$1M to $10M,,USD,,,3,Finorpa,1,,"503,906"
Pre Seed Round - Bottley (formerly known as Bazaarian),https://www.crunchbase.com/funding_round/bazaarian-pre-seed--63527d2f,"Blockchain, Cryptocurrency, Electronic Health Record (EHR), Health Diagnostics, Personal Health, Water","Seattle, Washington, United States, North America",Pre-Seed,120218,USD,120218,2019-03-05,Bottley (formerly known as Bazaarian),https://www.crunchbase.com/organization/bazaarian,http://www.bottley.io,,,,Crowd Funding,"Diagnosing, Solving, and preventing Chronic Dehydration",Seed,Yes,,201718,USD,201718,Seed,3,,1,,"503,920"
Pre Seed Round - Perkfec,https://www.crunchbase.com/funding_round/perkfec-pre-seed--13e855f4,"Communities, E-Commerce, Employee Benefits, Human Resources, Internet, Internet of Things, Software, Wellness","Singapore, Central Region, Singapore, Asia",Pre-Seed,25000,USD,25000,2016-05-26,Perkfec,https://www.crunchbase.com/organization/perkfec,https://www.perkfec.com,,,,1337 Ventures,Perkfe helping companies build cultures of appreciation and recognition. Delight employees with perks they love.,Seed,Yes,$1M to $10M,25000,USD,25000,Seed,1,1337 Ventures,1,,"503,935"
Series C - Big Tree Farms,https://www.crunchbase.com/funding_round/big-tree-farms-series-c--f6ce9293,"Food and Beverage, Food Processing, Service Industry, Supply Chain Management","Hinesburg, Vermont, United States, North America",Series C,,,,2017-01-12,Big Tree Farms,https://www.crunchbase.com/organization/big-tree-farms,http://bigtreefarms.com,,,,Patamar Capital,"Big Tree Farms is a supply chain management company that provides its services to farmers producing coconut sugar, raw cacao, and more.",Late Stage Venture,Yes,$1M to $10M,9164102,USD,9164102,,6,,1,,"503,946"
Convertible Note - Frosha,https://www.crunchbase.com/funding_round/frosha-convertible-note--b3a2f024,"Big Data, Customer Service, Information Technology, Machine Learning, Real Time, Software","Amsterdam, Noord-Holland, The Netherlands, Europe",Convertible Note,,,,2016-09-01,Frosha,https://www.crunchbase.com/organization/frosha,http://frosha.io/,,,,,Frosha builds real-time platform that structures customer data into a single format.,,No,,,USD,,Seed,2,,,,"503,961"
Venture Round - CityHeroes,https://www.crunchbase.com/funding_round/cityheroes-series-unknown--3dc3e7d0,"Mobile, Navigation, Public Safety, Security","Santiago, Region Metropolitana, Chile, South America",Venture - Series Unknown,,,,2015-09-01,CityHeroes,https://www.crunchbase.com/organization/cityheroes,http://cityhero.es,,,,Tumml,"CityHeroes, a web and mobile app, enables individuals to collaboratively report and solve collective issues and threatening situations.",,Yes,,75000,USD,75000,,3,,1,,"503,963"
Grant - FlowFacto,https://www.crunchbase.com/funding_round/flowfacto-grant--36d490cf,"B2B, Commercial Lending, Financial Services, FinTech, Small and Medium Businesses","Kingston, Saint Andrew, Jamaica, North America",Grant,10000,USD,10000,2018-12-18,FlowFacto,https://www.crunchbase.com/organization/flowfacto,https://flowfacto.com/,,,,Y Combinator,FlowFacto is a fintech company that offers digital services and transformation for small and medium-sized enterprises,,No,,10000,USD,10000,Seed,2,,1,,"503,992"
Debt Financing - STADCO - Standard Tool & Die Company,https://www.crunchbase.com/funding_round/stadco-standard-tool-die-company-debt-financing--e7e98860,Manufacturing,"Los Angeles, California, United States, North America",Debt Financing,13350000,USD,13350000,2019-01-14,STADCO - Standard Tool & Die Company,https://www.crunchbase.com/organization/stadco-standard-tool-die-company,http://stadco.com,,,,Five Crowns Credit Partners,"STADCO provides design, engineering, fabrication, and machining of close-tolerance parts, assemblies, and tooling.",,No,$10M to $50M,13350000,USD,13350000,,1,Five Crowns Credit Partners,1,,"503,997"
Seed Round - Dove Air,https://www.crunchbase.com/funding_round/dove-air-seed--95dcd1b9,Drones,"Cape Town, NA - South Africa, South Africa, Africa",Seed,850000,USD,850000,2021-01-20,Dove Air,https://www.crunchbase.com/organization/dove-air,https://www.doveair.org/,,,,Serra de Estrela Investments Ltd,"Saving lives, from the skies",Seed,Yes,,850000,USD,850000,Seed,3,Serra de Estrela Investments Ltd,1,,"504,004"
Venture Round - Atlas Guides,https://www.crunchbase.com/funding_round/atlas-guides-series-unknown--6a58103e,"Finance, Financial Services","Bend, Oregon, United States, North America",Venture - Series Unknown,400000,USD,400000,2010-05-11,Atlas Guides,https://www.crunchbase.com/organization/atlas-guides,http://www.atlasguides.com,,,,,"Atlas Guides, an online lead-generation solutions provider, published online directories that focused on the financial services industry.",,Yes,,400000,USD,400000,,1,,,,"504,046"
Seed Round - XpertDox,https://www.crunchbase.com/funding_round/xpertdox-seed--9a06cc4e,"Analytics, Artificial Intelligence (AI), Bioinformatics, Clinical Trials, Data Center Automation, Health Care","Birmingham, Alabama, United States, North America",Seed,100000,USD,100000,2015-02-02,XpertDox,https://www.crunchbase.com/organization/xpertdox,https://www.xpertdox.com/,,,,,XpertDox is a healthcare data analytics company dedicated to improving access to clinical trials and automating the medical coding process.,Seed,Yes,Less than $1M,4668242,USD,4668242,Seed,8,,,,"504,062"
Seed Round - Safe-esteem,https://www.crunchbase.com/funding_round/safe-esteem-seed--ca0a7b27,"InsurTech, Location Based Services, Mobile Apps, Quantified Self, Risk Management, Security, Travel","Miami Beach, Florida, United States, North America",Seed,270000,USD,270000,2022-07-10,Safe-esteem,https://www.crunchbase.com/organization/safe-esteem,https://www.safe-esteem.com,15000000,USD,15000000,,Safe-esteem is ain information technology company that provides personal safety barometer.,Seed,Yes,$1M to $10M,370000,USD,370000,Seed,2,,,,"504,066"
