Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Beringia,https://www.crunchbase.com/funding_round/beringia-seed--468f1375,"Fashion, Retail, Sporting Goods","Bozeman, Montana, United States, North America",Seed,300000,USD,300000,2023-09-28,Beringia,https://www.crunchbase.com/organization/beringia,https://beringia.world/,,,,,"Beringia is an apparel retail company that designs, develops and produces mountaineering, sports and outdoor adevnture clothes.",Seed,Yes,,300000,USD,300000,Seed,1,,,,"59,402"
Grant - Agrobiomics,https://www.crunchbase.com/funding_round/agrobiomics-grant--91a80c7c,"AgTech, Biotechnology, Farming","Copenhagen, Hovedstaden, Denmark, Europe",Grant,200000,EUR,211282,2023-10-01,Agrobiomics,https://www.crunchbase.com/organization/agrobiomics,https://www.agrobiomics.bio/,,,,Innovation Fund Denmark,Agrobiomics is a biotechnology research platform providing farmers with effective and sustainable solutions for better crop production.,,No,,2000000,EUR,2100337,,3,,1,,"59,404"
Venture Round - The Good Crisp Company,https://www.crunchbase.com/funding_round/the-good-crisp-company-series-unknown--bd13c696,Consumer Goods,"Boulder, Colorado, United States, North America",Venture - Series Unknown,5310255,USD,5310255,2020-05-18,The Good Crisp Company,https://www.crunchbase.com/organization/the-good-crisp-company,https://www.thegoodcrispcompany.com/,,,,Murano Group,The Good Crisp Company creates great-tasting snacks using good ingredients.,,Yes,,5310255,USD,5310255,,2,,1,,"59,421"
Series A - Recharge Capital,https://www.crunchbase.com/funding_round/recharge-capital-3d5d-series-a--e81015a4,"Angel Investment, Finance, Financial Services","New York, New York, United States, North America",Series A,,,,2023-09-08,Recharge Capital,https://www.crunchbase.com/organization/recharge-capital-3d5d,https://www.rechargecapital.com/,,,,FJ Labs,Recharge Capital invests capital and operating resources in technology and business solutions.,Early Stage Venture,Yes,$1M to $10M,,USD,,Early Stage Venture,1,,1,,"59,422"
Post-IPO Debt - Xebra Brands,https://www.crunchbase.com/funding_round/xebra-brands-post-ipo-debt--75c70154,"Cannabis, Industrial Manufacturing, Manufacturing","Vancouver, British Columbia, Canada, North America",Post-IPO Debt,400000,CAD,291761,2023-10-03,Xebra Brands,https://www.crunchbase.com/organization/xebra-brands,https://www.xebrabrands.com/en/,,,,,Xebra Brands a cannabis cultivation and product company with global brands and intellectual property.,,No,Less than $1M,6989856,USD,6989856,IPO,7,,,,"59,407"
Funding Round - AmpIn Energy Transition (Formerly Amp Energy India),https://www.crunchbase.com/funding_round/amp-energy-india-undisclosed--c0099682,"Energy, Renewable Energy","New Delhi, Delhi, India, Asia",Funding Round,25000000,USD,25000000,2016-06-07,AmpIn Energy Transition (Formerly Amp Energy India),https://www.crunchbase.com/organization/amp-energy-india,https://ampin.energy,,,,CBRE Group,"Amp Energy India develops, builds, owns and operates renewable energy power plants delivering power to both C&I and Utility customers.",,Yes,$1M to $10M,460027830,USD,460027830,,5,,1,,"59,410"
Series A - WealthKernel,https://www.crunchbase.com/funding_round/wealthkernel-series-a--ed44d6d3,"Asset Management, B2B, Developer APIs, Developer Platform, Enterprise, Finance, Financial Services, FinTech, Software, Trading Platform","London, England, United Kingdom, Europe",Series A,7000000,USD,7000000,2022-01-17,WealthKernel,https://www.crunchbase.com/organization/wealthkernel,http://www.wealthkernel.com/,,,,"ETFS Capital, Launchbay Capital, Start Ventures, XTX Ventures",WealthKernel is a supplier of infrastructure for companies looking to offer digital investment services.,Early Stage Venture,Yes,$1M to $10M,21515999,USD,21515999,Early Stage Venture,7,XTX Ventures,4,1,"59,442"
Funding Round - Kredete,https://www.crunchbase.com/funding_round/kredete-undisclosed--cb3a3e91,"Artificial Intelligence (AI), B2B, Banking, Blockchain, Credit, Financial Exchanges, Machine Learning, Payments, SaaS, Software","New York, New York, United States, North America",Funding Round,,,,2023-08-30,Kredete,https://www.crunchbase.com/organization/kredete,https://www.kredete.io,,,,,Kredete is a platform for African immigrants in North America to send money home to 20+ countries instantly at low fees and build credit.,,Yes,,515000,USD,515000,,4,,0,,"59,431"
Grant - Buns Master Bakery,https://www.crunchbase.com/funding_round/buns-master-bakery-grant--04634a9e,"Bakery, Food Processing, Snack Food","Guelph, Ontario, Canada, North America",Grant,,,,2023-05-30,Buns Master Bakery,https://www.crunchbase.com/organization/buns-master-bakery,https://www.bunsmasterguelph.com,,,,Employment and Social Development Canada (ESDC),Buns Master Bakery is a family-owned bakery and food manufacturer.,,No,,,USD,,,1,Employment and Social Development Canada (ESDC),1,,"59,697"
Grant - Pennfield Daycare,https://www.crunchbase.com/funding_round/pennfield-daycare-grant--42cc753a,"Child Care, Non Profit","Pennfield, New Brunswick, Canada, North America",Grant,,,,2023-05-30,Pennfield Daycare,https://www.crunchbase.com/organization/pennfield-daycare,,,,,Employment and Social Development Canada (ESDC),Pennfield Daycare offers childcare for 0 to 12 age group.,,No,,,USD,,,1,Employment and Social Development Canada (ESDC),1,,"59,571"
