Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Post-IPO Debt - Wireless Ronin Technologies,https://www.crunchbase.com/funding_round/wireless-ronin-post-ipo-debt--46ab4ead,"Digital Media, Enterprise Software, Marketing, Software","Minneapolis, Minnesota, United States, North America",Post-IPO Debt,590000,USD,590000,2014-08-19,Wireless Ronin Technologies,https://www.crunchbase.com/organization/wireless-ronin,http://www.wirelessronin.com,,,,,"Wireless Ronin Technologies develops RoninCasta®, a complete software solution designed to address the evolving digital signage marketplace.",,No,,1665000,USD,1665000,M&A,2,,,,"201,890"
Angel Round - AgriTrack,https://www.crunchbase.com/funding_round/agritrack-angel--4860de62,"Agriculture, Logistics","Dunedin, Otago, New Zealand, Oceania",Angel,550000,NZD,394494,2016-08-01,AgriTrack,https://www.crunchbase.com/organization/agritrack,https://agritrack.live,1200000,NZD,860716,Enterprise Angels,AgriTrack produces agriculture tracking solutions to farms.,Seed,Yes,$1M to $10M,550000,NZD,394495,Seed,1,,1,,"201,922"
Series A - Fanplayr,https://www.crunchbase.com/funding_round/fanplayr-series-a--80a0e88e,"Ad Targeting, Analytics, Artificial Intelligence (AI), Big Data, Coupons, E-Commerce, Real Time, Software","Menlo Park, California, United States, North America",Series A,6000000,USD,6000000,2016-05-20,Fanplayr,https://www.crunchbase.com/organization/fanplayr,http://www.fanplayr.com,,,,"CashCompare Inc, Cawsey Superannuation Fund Pty Ltd, Denali Venture Partners, Denali Ventures, Derek Adelman, Simon Yencken, Wells Fargo Asset Management","Global leader in online behavioral personalization, artificial intelligence and user privacy",Early Stage Venture,Yes,$1M to $10M,8500000,USD,8500000,Early Stage Venture,5,,7,,"201,978"
Series A - One Green Apple,https://www.crunchbase.com/funding_round/one-green-apple-series-a--e815655f,"Education, Green Consumer Goods, GreenTech, Information Technology, Service Industry","Radnor, Pennsylvania, United States, North America",Series A,,,,2015-11-01,One Green Apple,https://www.crunchbase.com/organization/one-green-apple,https://www.onegreenapple.com/,,,,Keiretsu Forum Northwest,"They offer schools and families dynamic, effective, visual tools to foster communication.",Early Stage Venture,Yes,Less than $1M,,USD,,Early Stage Venture,1,,1,,"202,007"
Post-IPO Equity - Electro Power Systems,https://www.crunchbase.com/funding_round/electro-power-systems-post-ipo-equity--0e86b74a,"Energy, Energy Storage","Paris, Ile-de-France, France, Europe",Post-IPO Equity,4770200,EUR,5190495,2015-12-04,Electro Power Systems,https://www.crunchbase.com/organization/electro-power-systems,https://engie-eps.com,,,,,"EPS operates in the sustainable energy sector, specializing in hybrid storage solutions and microgrids.",,Yes,$1M to $10M,77423145,EUR,89696092,M&A,6,,,,"202,009"
Venture Round - Health in Reach,https://www.crunchbase.com/funding_round/health-in-reach-series-unknown--c60a6ad3,"Consumer, Health Care, Service Industry","Los Angeles, California, United States, North America",Venture - Series Unknown,,,,2012-06-30,Health in Reach,https://www.crunchbase.com/organization/health-in-reach,http://healthinreach.com,,,,Tech Coast Angels,Health in Reach is making quality care more affordable and accessible for consumers who pay out of pocket for medical expenses.,,Yes,$1M to $10M,,USD,,,2,,1,,"202,024"
Series A - SG Biofuels,https://www.crunchbase.com/funding_round/sg-biofuels-series-a--b43b0f0b,"Agriculture, Biotechnology, Genetics, Renewable Energy","Encinitas, California, United States, North America",Series A,9400000,USD,9400000,2010-09-14,SG Biofuels,https://www.crunchbase.com/organization/sg-biofuels,http://www.sgbinc.com/,,,,"Flint Hills Resources, Life Technologies",SGB is a bioenergy crop company using molecular breeding and biotechnology to develop elite hybrid seeds of Jatropha genetic material.,Early Stage Venture,Yes,$1M to $10M,37400000,USD,37400000,Late Stage Venture,3,"Flint Hills Resources, Life Technologies",2,1,"202,028"
Venture Round - Dermata Therapeutics,https://www.crunchbase.com/funding_round/dermata-therapeutics-series-unknown--c5ae7f89,"Biotechnology, Medical, Therapeutics","Encinitas, California, United States, North America",Venture - Series Unknown,6906244,USD,6906244,2018-05-07,Dermata Therapeutics,https://www.crunchbase.com/organization/dermata-therapeutics,http://www.dermatarx.com,,,,,Dermata is a biotechnology company that focuses on making major advancements in the treatment of serious diseases treated by dermatologists.,,Yes,Less than $1M,22357549,USD,22357549,IPO,6,,,,"202,029"
Series A - EquityNet,https://www.crunchbase.com/funding_round/equitynet-series-a--23169971,"Angel Investment, Commercial Lending, Crowdfunding, Finance, Financial Services, FinTech, Funding Platform, Lending, Small and Medium Businesses, Venture Capital","Salt Lake City, Utah, United States, North America",Series A,,,,2015-04-05,EquityNet,https://www.crunchbase.com/organization/equitynet,http://www.equitynet.com,,,,Thomas Frost,"EquityNet specializes in providing solutions in the fields of angel investors, investment banking, business funding, and venture capital.",Early Stage Venture,Yes,$1M to $10M,2100000,USD,2100000,M&A,7,,1,,"202,045"
Series E - VisionCare Ophthalmic Technologies,https://www.crunchbase.com/funding_round/visioncare-ophthalmic-technologies-series-e--7cbeb0db,"Health Care, Medical, Medical Device","Saratoga, California, United States, North America",Series E,31000000,USD,31000000,2011-01-10,VisionCare Ophthalmic Technologies,https://www.crunchbase.com/organization/visioncare-ophthalmic-technologies,http://www.visioncareinc.net,,,,"BSI SA, Giza Venture Capital, ONSET Ventures, Pitango VC, Saints Capital, Three Arch Partners",VOT develops visual prosthetic devices to improve vision in patients with end-stage age-related macular degeneration.,Late Stage Venture,Yes,$10M to $50M,95200000,USD,95200000,,8,Saints Capital,6,5,"202,049"
Pre Seed Round - Bitwyre,https://www.crunchbase.com/funding_round/bitwyre-technologies-pre-seed--5ca0ffd9,"Bitcoin, Cryptocurrency, Financial Exchanges, Financial Services","Jakarta, Jakarta Raya, Indonesia, Asia",Pre-Seed,60000,USD,60000,2020-05-22,Bitwyre,https://www.crunchbase.com/organization/bitwyre-technologies,https://bitwyre.com,677777,USD,677777,Dendi Suhubdy,Cryptocurrency Spot and Derivative Exchange,Seed,Yes,,1197200,USD,1197200,Seed,7,Dendi Suhubdy,1,,"202,050"
Debt Financing - Edge Music Network,https://www.crunchbase.com/funding_round/edge-music-network-debt-financing--ab7a20aa,"Music, Music Label, Music Streaming","Newport Beach, California, United States, North America",Debt Financing,100000,USD,100000,2012-09-20,Edge Music Network,https://www.crunchbase.com/organization/edge-music-network,http://edgemusic.com,,,,,Edge Music is a new music video platform that rewards you for watching your favorite music videos!,,No,Less than $1M,1600000,USD,1600000,Seed,2,,,,"202,061"
Angel Round - Ronin8,https://www.crunchbase.com/funding_round/ronin8-angel--95e71389,"Electronics, Recycling, Waste Management","Richmond, British Columbia, Canada, North America",Angel,,,,2017-01-19,Ronin8,https://www.crunchbase.com/organization/ronin8,http://ronin8.com,,,,,Ronin8 is a waste management firm that offers services for electronic waste management and metal recycling.,Seed,Yes,,300000,USD,300000,,3,,,,"202,068"
Venture Round - The Floow,https://www.crunchbase.com/funding_round/thefloow-series-unknown--faebc205,"Automotive, Fleet Management, Information Technology","Sheffield, Sheffield, United Kingdom, Europe",Venture - Series Unknown,16600000,USD,16600000,2017-03-07,The Floow,https://www.crunchbase.com/organization/thefloow,http://www.thefloow.com,,,,"Direct Line Group, Fosun International, UEC Group",The Floow designs the world's most advanced and lowest-cost telematic systems to make vehicles safer and cheaper for all.,,Yes,$1M to $10M,16600000,USD,16600000,M&A,3,Fosun International,3,,"202,079"
Series B - Drop,https://www.crunchbase.com/funding_round/massdrop-series-b--f62c5e44,"Communities, E-Commerce, Product Design, Shopping","San Francisco, California, United States, North America",Series B,40000000,USD,40000000,2015-08-13,Drop,https://www.crunchbase.com/organization/massdrop,http://drop.com,,,,"August Capital, Cowboy Ventures, First Round Capital, Mayfield Fund",Drop is a product company that uniquely uses data and insights from enthusiasts to create and curate innovative products that fuel passion.,Early Stage Venture,Yes,$1M to $10M,122500000,USD,122500000,M&A,6,August Capital,4,4,"201,602"
Pre Seed Round - Prismpop,https://www.crunchbase.com/funding_round/prismpop-pre-seed--f7ab3dc1,"Communities, E-Commerce, Internet","Pasadena, California, United States, North America",Pre-Seed,450000,USD,450000,2020-02-15,Prismpop,https://www.crunchbase.com/organization/prismpop,https://prismpop.com/,,,,Unshackled Ventures,Prismpop is an online beauty community that helps users in finding products that are personalized to their needs.,Seed,Yes,$1M to $10M,5000000,USD,5000000,Seed,5,Unshackled Ventures,1,1,"201,622"
Private Equity Round - MOMEK Group,https://www.crunchbase.com/funding_round/momek-group-private-equity--30306d45,Construction,"Mo I Rana, Nordland, Norway, Europe",Private Equity,,,,2012-09-13,MOMEK Group,https://www.crunchbase.com/organization/momek-group,http://www.momek.no/,,,,HitecVision,MOMEK Group offers construction and engineering services.,Private Equity,Yes,$10M to $50M,,USD,,Private Equity,1,HitecVision,1,,"201,655"
Venture Round - blintn,https://www.crunchbase.com/funding_round/blintn-series-unknown--8098fb0e,"B2B, Business Information Systems, Business Intelligence, Content, Content Discovery, Database, Film Distribution, Media and Entertainment","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",Venture - Series Unknown,,,,2022-01-31,blintn,https://www.crunchbase.com/organization/blintn,https://www.blintn.com/,,,,,Blintn is the largest content database for media companies. Blintn+ is a B2B content funding service offering global investment.,,Yes,Less than $1M,,USD,,Seed,3,,,,"201,710"
"Seed Round - Ziggle Tech, Inc.",https://www.crunchbase.com/funding_round/ziggletech-seed--f3c1dae9,"Cloud Infrastructure, Consulting, E-Commerce Platforms, Enterprise Applications, Enterprise Resource Planning (ERP), Fashion, Information Technology, Software","New York, New York, United States, North America",Seed,,,,2017-11-05,"Ziggle Tech, Inc.",https://www.crunchbase.com/organization/ziggletech,https://www.ziggletech.com/,,,,,"We are an award-winning digital transformation agency. We provide strategy, design and technology services to mid-level enterprises.",Seed,Yes,$10M to $50M,,USD,,Seed,1,,,,"201,735"
Pre Seed Round - VakSea,https://www.crunchbase.com/funding_round/vaksea-pre-seed--3e249b83,"Animal Feed, Aquaculture, Biotechnology, Farming","Baltimore, Maryland, United States, North America",Pre-Seed,40000,USD,40000,2018-05-10,VakSea,https://www.crunchbase.com/organization/vaksea,http://www.vaksea.com/,,,,Iowa AgriTech Accelerator,VakSea is a biotechnology company that makes immune-boosting protein to immunize and protect shrimp from the disease.,Seed,Yes,Less than $1M,40000,USD,40000,Seed,1,Iowa AgriTech Accelerator,1,,"201,743"
Grant - GMind,https://www.crunchbase.com/funding_round/gmind-grant--b7d907b3,"E-Learning, EdTech, Gaming","Alexandria, Al Iskandariyah, Egypt, Africa",Grant,150000,EGP,9529,2022-01-25,GMind,https://www.crunchbase.com/organization/gmind,https://gmindeg.com/,,,,,"GMind provides 3D games, AR, VR, and Animation to enhance the formal and informal education process.",,No,,330000,EGP,20980,,2,,,,"201,745"
Series A - Mineplex,https://www.crunchbase.com/funding_round/mineplex-b47e-series-a--00cc0d9d,"Banking, Cryptocurrency, FinTech, Payments","Singapore, Central Region, Singapore, Asia",Series A,6000000,USD,6000000,2021-02-20,Mineplex,https://www.crunchbase.com/organization/mineplex-b47e,https://mineplex.io,20000000,USD,20000000,,"Mineplex is a mobile cryptobank that allows users to use cryptocurrency to pay bills, make transfers, and earn money by keeping tokens.",Early Stage Venture,Yes,,125500000,USD,125500000,Late Stage Venture,4,,,,"201,773"
Seed Round - 6degrees,https://www.crunchbase.com/funding_round/6degrees-seed--4a9cbe29,"Apps, Contact Management, Software","Singapore, Central Region, Singapore, Asia",Seed,,,,2015-12-01,6degrees,https://www.crunchbase.com/organization/6degrees,http://www.get6degrees.com,,,,,"6degrees is a self-updating phonebook that cleans duplicates, integrates your social networks and backs itself up.",Seed,Yes,$10M to $50M,,USD,,Seed,1,,,,"201,780"
Seed Round - Distynct,https://www.crunchbase.com/funding_round/distynct-aaf5-seed--145a543b,"AgTech, Information Technology, Productivity Tools","Ames, Iowa, United States, North America",Seed,650000,USD,650000,2022-09-23,Distynct,https://www.crunchbase.com/organization/distynct-aaf5,http://www.getdistynct.com,,,,,Distynct connects swine producers to critical barn level information by enabling precision livestock farming and remote management.,Seed,Yes,,1037500,USD,1037500,Seed,3,,,,"201,812"
Non Equity Assistance - Applied Bioplastics,https://www.crunchbase.com/funding_round/applied-bioplastics-non-equity-assistance--ac2d619a,"Agriculture, Manufacturing, Plastics and Rubber Manufacturing","Austin, Texas, United States, North America",Non-equity Assistance,,,,2021-04-14,Applied Bioplastics,https://www.crunchbase.com/organization/applied-bioplastics,https://appliedbioplastics.com/,,,,Greentown Labs,"Applied Bioplastics manufactures bioplastics in retail, packaging, and medical industries to improve plastic recycling.",,No,Less than $1M,250000,USD,250000,Seed,6,Greentown Labs,1,,"201,836"
Seed Round - SHARE,https://www.crunchbase.com/funding_round/share-f315-seed--78cf3a34,"Property Management, Real Estate, Real Estate Investment, Rental Property","Brampton, Ontario, Canada, North America",Seed,,,,2022-02-19,SHARE,https://www.crunchbase.com/organization/share-f315,https://www.sharesfr.com,,,,"Allied Venture Partners, Tenzing Capital (Tenzing.vc)",SHARE acquired and manages rental real estate for both retail and institutional investors.,Seed,Yes,,,USD,,Seed,2,,2,,"201,852"
Angel Round - Urban Roosters,https://www.crunchbase.com/funding_round/the-urban-roosters-2-angel--20111fb7,"Digital Entertainment, Media and Entertainment, Music, Music Venues, Sports","Madrid, Madrid, Spain, Europe",Angel,,,,2014-11-21,Urban Roosters,https://www.crunchbase.com/organization/the-urban-roosters-2,http://www.urbanroosters.com,,,,,Urban Roosters is a rap battles streaming platform. We connect rappers from all over the world on the biggest competition ever.,Seed,Yes,$1M to $10M,116000,EUR,130069,Seed,4,,,,"201,871"
Convertible Note - Atlas Organics,https://www.crunchbase.com/funding_round/atlas-organics-convertible-note--ccc46a2b,"Organic Food, Recycling, Sustainability, Waste Management","Spartanburg, South Carolina, United States, North America",Convertible Note,327000,USD,327000,2017-01-01,Atlas Organics,https://www.crunchbase.com/organization/atlas-organics,http://www.atlasorganics.net,,,,VentureSouth,Atlas Organics is a operator of a composting facility intended to offer organic food recycling services.,,No,$50M to $100M,23754000,USD,23754000,M&A,5,,1,,"201,891"
