Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Private Equity Round - Maxima Power Group,https://www.crunchbase.com/funding_round/maxima-power-group-private-equity--7b6f0f5c,"Electrical Distribution, Energy, Industrial","Denver, Colorado, United States, North America",Private Equity,,,,2021-01-01,Maxima Power Group,https://www.crunchbase.com/organization/maxima-power-group,https://maximapowergroup.com/,,,,Copley Equity Partners,"Maxima Power Group specializes in large power electrical maintenance, repair, and engineering services and power and automation solutions.",Private Equity,Yes,,,USD,,Private Equity,1,Copley Equity Partners,1,1,"15,608"
Series C - Kevel,https://www.crunchbase.com/funding_round/kevel-series-c--d6efd5dc,"Ad Server, Advertising Platforms, Cloud Computing, Developer APIs, Developer Tools","Durham, North Carolina, United States, North America",Series C,,,,2023-01-31,Kevel,https://www.crunchbase.com/organization/kevel,https://www.kevel.com,,,,"dunnhumby Ventures, Triangle Tweener Fund",Kevel is a developer of ad-serving APIs to help developers build server-side ad platforms.,Late Stage Venture,Yes,$10M to $50M,22150000,USD,22150000,Late Stage Venture,5,,2,1,"15,634"
Series D - BenchSci,https://www.crunchbase.com/funding_round/benchsci-series-d--e87474ca,"Artificial Intelligence (AI), Biotechnology, Life Science, Machine Learning, Pharmaceutical","Toronto, Ontario, Canada, North America",Series D,95000000,CAD,69627420,2023-05-25,BenchSci,https://www.crunchbase.com/organization/benchsci,https://www.benchsci.com,,,,"F-Prime Capital, Generation Investment Management, Golden Ventures, Inovia Capital, TCV",BenchSci uses machine learning and artificial intelligence to accelerate biomedical discoveries.,Late Stage Venture,Yes,Less than $1M,164160477,USD,164160477,Late Stage Venture,10,Generation Investment Management,5,5,"15,650"
Grant - Microbiotix,https://www.crunchbase.com/funding_round/microbiotix-grant--0b372895,"Biotechnology, Pharmaceutical","Worcester, Massachusetts, United States, North America",Grant,1600000,USD,1600000,2017-04-01,Microbiotix,https://www.crunchbase.com/organization/microbiotix,https://www.microbiotix.com/,,,,CARB-X,"Microbiotix, Inc. is a clinical stage biopharmaceutical company.",,No,$1M to $10M,6529416,USD,6529416,,3,,1,1,"15,671"
Venture Round - The Art of Shaving,https://www.crunchbase.com/funding_round/the-art-of-shaving-series-unknown--f444e6ea,"Art, Consumer Software","Miami, Florida, United States, North America",Venture - Series Unknown,15000000,USD,15000000,2007-08-01,The Art of Shaving,https://www.crunchbase.com/organization/the-art-of-shaving,http://www.theartofshaving.com/,,,,Capital Resource Partners,The Art of Shaving is considered the world’s leading premium shaving brand with its aromatherapy-based grooming products.,,Yes,$50M to $100M,15000000,USD,15000000,M&A,2,Capital Resource Partners,1,,"15,659"
Angel Round - Zero Koda Technology,https://www.crunchbase.com/funding_round/zero-koda-technology-angel--f0e97d36,"Automotive, Industrial Manufacturing","Wuxi Shi, Jiangsu, China, Asia",Angel,,,,2023-11-17,Zero Koda Technology,https://www.crunchbase.com/organization/zero-koda-technology,,,,,"Kunde, Yongyou Industrial Investment",Zero Koda Technology is a provider of smart factory solutions.,Seed,Yes,,,USD,,Seed,1,Yongyou Industrial Investment,2,,"15,680"
Convertible Note - Informal Systems,https://www.crunchbase.com/funding_round/informal-systems-convertible-note--58c10262,"Blockchain, Information Technology, Software","Toronto, Ontario, Canada, North America",Convertible Note,5300000,USD,5300000,2023-06-07,Informal Systems,https://www.crunchbase.com/organization/informal-systems,https://informal.systems,,,,"BKCM, Cerulean Ventures, CMCC Global, CMT Digital Ventures, Cygni Capital, Maven 11 Capital, Nascent",Informal Systems offer research and development at the intersection of formal verification and distributed systems.,,No,$1M to $10M,5300000,USD,5300000,,1,CMCC Global,7,1,"15,602"
Venture Round - what3words,https://www.crunchbase.com/funding_round/what3words-series-unknown--5c3186a2,"GPS, Location Based Services, Logistics, Mapping Services, Navigation","London, England, United Kingdom, Europe",Venture - Series Unknown,10000000,USD,10000000,2021-12-14,what3words,https://www.crunchbase.com/organization/what3words,https://what3words.com,,,,"AIV Capital, Alain Garner, Brand Capital International, Castor Ventures, Plug and Play",What3words is a mapping technology startup that creates a proprietary geocode system for logistics firms.,,Yes,$1M to $10M,81838389,USD,81838389,,22,Brand Capital International,5,2,"15,603"
Seed Round - Optery,https://www.crunchbase.com/funding_round/optery-seed--3ab7a5ef,"Cyber Security, Identity Management, Privacy, Security, Software","Clayton, California, United States, North America",Seed,2700000,USD,2700000,2023-05-08,Optery,https://www.crunchbase.com/organization/optery,https://www.optery.com,,,,"Bayhouse Capital, Global Founders Capital, Goodwater Capital, Pioneer Fund, Soma Capital, TRAC, Y Combinator","Optery is an opt-out software that removes your home address, phone number, email, and other private information from the Internet.",Seed,Yes,$1M to $10M,2700000,USD,2700000,Seed,4,Bayhouse Capital,7,1,"15,601"
Post-IPO Debt - NightHawk Biosciences,https://www.crunchbase.com/funding_round/heat-biologics-post-ipo-debt--67ab1ec6,"Biotechnology, Health Care, Medical","Chapel Hill, North Carolina, United States, North America",Post-IPO Debt,2250000,USD,2250000,2023-12-12,NightHawk Biosciences,https://www.crunchbase.com/organization/heat-biologics,https://www.nighthawkbio.com/,,,,,NightHawk Biosciences is a biotechnology company focused on the field of cancer immunotherapy.,,No,Less than $1M,59326675,USD,59326675,IPO,8,,,,"15,600"
