Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - VisionBrain,https://www.crunchbase.com/funding_round/visionbrain-seed--7083837b,"Artificial Intelligence (AI), SaaS, Software Engineering","Bengaluru, Karnataka, India, Asia",Seed,1100000,USD,1100000,2023-12-23,VisionBrain,https://www.crunchbase.com/organization/visionbrain,https://visionbrain.org/,,,,Ratan Das,Simplifying the Future of Hiring,Seed,Yes,,1100000,USD,1100000,Seed,1,Ratan Das,1,0,"41,471"
Seed Round - Pando,https://www.crunchbase.com/funding_round/connected-healthcare-seed--96c086be,"Health Care, mHealth, Pharmaceutical","London, England, United Kingdom, Europe",Seed,4100000,USD,4100000,2018-10-05,Pando,https://www.crunchbase.com/organization/connected-healthcare,https://hellopando.com,,,,"AlbionVC, Christoph Ruedig, Day One Ventures, DigitalHealth.London Accelerator, Fred Destin, Govtech Fund, Harry Stebbings, Jay Desai, Melissa Morris, Stride.VC",Forward is now Pando! Pando is an essential tool for teamwork and secure collaboration in health and social care.,Seed,Yes,$10M to $50M,10400000,USD,10400000,Seed,5,"Harry Stebbings, Stride.VC",10,,"41,547"
Grant - Community Healthlink,https://www.crunchbase.com/funding_round/community-healthlink-grant--915a27b1,"Health Care, Hospital, Mental Health, Non Profit","Worcester, Massachusetts, United States, North America",Grant,50000,USD,50000,2023-07-26,Community Healthlink,https://www.crunchbase.com/organization/community-healthlink,http://www.communityhealthlink.org/,,,,MassDevelopment,"Community Healthlink is a behavioral health center that provides adults, children, and families with mental health services.",,No,$1M to $10M,1008000,USD,1008000,,4,MassDevelopment,1,2,"41,468"
Seed Round - SleepSpace,https://www.crunchbase.com/funding_round/proactive-life-seed--a2efd92e,"Health Care, Life Science","New York, New York, United States, North America",Seed,,,,2023-06-05,SleepSpace,https://www.crunchbase.com/organization/proactive-life,https://sleepspace.com/,,,,Jumpstart Foundry,SleepSpace is the first Sleep Operating System that connects all the devices in a smart home environment,Seed,Yes,Less than $1M,,USD,,Seed,5,Jumpstart Foundry,1,1,"41,543"
Grant - Duke University School of Medicine,https://www.crunchbase.com/funding_round/duke-university-school-of-medicine-grant--9c59f2f0,"Education, Health Care, Medical, Universities","Durham, North Carolina, United States, North America",Grant,,,,2023-07-26,Duke University School of Medicine,https://www.crunchbase.com/organization/duke-university-school-of-medicine,https://medschool.duke.edu/,,,,American Heart Association,Medical school operating under the auspices of the Duke University Medical Center.,,No,,,USD,,,2,American Heart Association,1,1,"41,485"
Grant - Tucson Jewish Community Center,https://www.crunchbase.com/funding_round/tucson-jewish-community-center-grant--36cb16ba,"Communities, Fitness, Wellness","Tucson, Arizona, United States, North America",Grant,,,,2023-07-25,Tucson Jewish Community Center,https://www.crunchbase.com/organization/tucson-jewish-community-center,https://tucsonjcc.org,,,,Parkinson's Foundation,"Tucson Jewish Community Center offers art, education, sports, event, culture, fitness, and wellness programs for children and families.",,No,$1M to $10M,,USD,,,1,Parkinson's Foundation,1,1,"41,528"
Private Equity Round - Africa Mobile Networks,https://www.crunchbase.com/funding_round/africa-mobile-networks-private-equity--1472f1c8,"Communications Infrastructure, Consumer, Telecommunications","Milton Keynes, Milton Keynes, United Kingdom, Europe",Private Equity,36000000,USD,36000000,2021-07-21,Africa Mobile Networks,https://www.crunchbase.com/organization/africa-mobile-networks,http://www.africamobilenetworks.com/,,,,"CDC Group, Harwell Capital, KFW DEG, MCB, Metier Private Equity, Proparco","Africa Mobile Networks is finances, builds, and operates mobile network base stations in Sub-Saharan Africa region.",Private Equity,Yes,Less than $1M,56000000,USD,56000000,Private Equity,3,Metier Private Equity,6,,"41,505"
Series A - Floating Point Group,https://www.crunchbase.com/funding_round/floating-point-group-series-a--6e642bf1,"Financial Services, FinTech","Singapore, Central Region, Singapore, Asia",Series A,10000000,USD,10000000,2021-09-15,Floating Point Group,https://www.crunchbase.com/organization/floating-point-group,http://floating.group/,130000000,USD,130000000,"Angel Collective Opportunity Fund, Anthony Scaramucci, Borderless Capital, CapitalX, Coinbase Ventures, Dillon Hattab, FAST — by GETTYLAB, Formula Ventures, Kesha Ventures, Nitesh Banta, Tribe Capital",Floating Point Group is drastically simplifying the operations for investors to deploy cryptocurrency strategies at meaningful scale.,Early Stage Venture,Yes,$1M to $10M,12000000,USD,12000000,Early Stage Venture,5,,11,1,"41,508"
Grant - Kids Dance Outreach,https://www.crunchbase.com/funding_round/kids-dance-outreach-grant--c2e072ba,Performing Arts,"Indianapolis, Indiana, United States, North America",Grant,,,,2023-06-27,Kids Dance Outreach,https://www.crunchbase.com/organization/kids-dance-outreach,https://kidsdanceoutreach.org,,,,Glick Philanthropies,Kids Dance Outreach offers high-quality dance and arts instruction to children in Indianapolis.,,No,,,USD,,,2,Glick Philanthropies,1,1,"41,452"
Seed Round - Hospital People,https://www.crunchbase.com/funding_round/hospital-people-seed--733c4865,"Health Care, Hospital, Medical, Software","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",Seed,,,,2023-07-25,Hospital People,https://www.crunchbase.com/organization/hospital-people,https://www.hospitalpeople.co.kr/,,,,"Korea Credit Guarantee Fund, MashUp Angels",Hospital People provides information infrastructure for medical staff that develops healthcare solution.,Seed,Yes,,,USD,,Seed,2,,2,1,"41,443"
