Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Shade Protocol,https://www.crunchbase.com/funding_round/shade-protocol-seed--b0f2a926,"Blockchain, Cryptocurrency, Virtual Currency","Singapore, Central Region, Singapore, Asia",Seed,,,,2023-01-01,Shade Protocol,https://www.crunchbase.com/organization/shade-protocol,https://shadeprotocol.io/,,,,Momentum 6,Shade Protocol is an array of connected privacy-preserving DeFi applications built on Secret Network.,Seed,Yes,,,USD,,Seed,1,,1,,"37,867"
Seed Round - Lauretta.io,https://www.crunchbase.com/funding_round/lauretta-io-seed--1fb62db1,"Artificial Intelligence (AI), Facility Management, Government, Retail, Security","Singapore, Central Region, Singapore, Asia",Seed,2000000,USD,2000000,2022-04-15,Lauretta.io,https://www.crunchbase.com/organization/lauretta-io,https://www.lauretta.io,7000000,USD,7000000,Wavemaker Partners,Lauretta uses AI on existing cameras to reveal the actors behind the incidents we see,Seed,Yes,,2120000,USD,2120000,Seed,2,Wavemaker Partners,1,,"37,859"
Seed Round - ArDrive,https://www.crunchbase.com/funding_round/ardrive-8551-seed--501ed01d,"Data Storage, Information Technology, Mobile Apps, Software","Clifton, New Jersey, United States, North America",Seed,,,,2020-01-01,ArDrive,https://www.crunchbase.com/organization/ardrive-8551,https://ardrive.io,,,,Momentum 6,"ArDrive is an app that offers private, secure, decentralized, censorship-resistant, and permanent data storage solutions.",Seed,Yes,$1M to $10M,,USD,,Seed,1,,1,,"37,817"
Series C - Cafe Press,https://www.crunchbase.com/funding_round/cafepress-series-c--1ed1ad9b,"E-Commerce, Internet, Online Auctions","Louisville, Colorado, United States, North America",Series C,8300000,USD,8300000,2008-11-25,Cafe Press,https://www.crunchbase.com/organization/cafepress,http://www.cafepress.com,,,,Sequoia Capital,"CafePress runs Cafepress.com, an e-commerce platform for artists and designers to sell stock and user-customized on demand products online.",Late Stage Venture,Yes,$10M to $50M,23800000,USD,23800000,M&A,6,Sequoia Capital,1,,"37,878"
Pre Seed Round - Gamebeast,https://www.crunchbase.com/funding_round/gamebeast-3e3c-pre-seed--be102dbd,,,Pre-Seed,700000,USD,700000,2023-12-01,Gamebeast,https://www.crunchbase.com/organization/gamebeast-3e3c,https://www.gamebeast.gg/,,,,Andreessen Horowitz,Low code tool for game developers,Seed,Yes,,700000,USD,700000,Seed,1,,1,,"37,937"
Series A - Ovoko,https://www.crunchbase.com/funding_round/rrr-lt-series-a--f2b35309,"Automotive, E-Commerce, Marketplace","Vilnius, Vilniaus Apskritis, Lithuania, Europe",Series A,14000000,EUR,13724750,2022-10-01,Ovoko,https://www.crunchbase.com/organization/rrr-lt,https://ovokogroup.com/,,,,"Mantas Mikuckas, Market One Capital, Piton Capital, Practica Capital",Planet positive marketplace for used car spare parts.,Early Stage Venture,Yes,$1M to $10M,19250000,EUR,19948306,Early Stage Venture,3,,4,2,"37,889"
Grant - Sixfold Bioscience,https://www.crunchbase.com/funding_round/sixfold-bioscience-grant--8910f9b4,"Biotechnology, Medical, Nanotechnology, Therapeutics","London, England, United Kingdom, Europe",Grant,8300000,USD,8300000,2021-12-02,Sixfold Bioscience,https://www.crunchbase.com/organization/sixfold-bioscience,https://www.sixfold.bio/,,,,"European Commission, Innovate UK, MedCity News",Sixfold Bioscience develops and researches on biotechnology advances for RNA therapies.,,No,$1M to $10M,10620000,USD,10620000,Seed,4,,3,,"38,144"
Seed Round - NightDragon,https://www.crunchbase.com/funding_round/nightdragon-security-seed--e273b3ac,"Cyber Security, Finance, National Security, Privacy, Public Safety, Venture Capital","San Francisco, California, United States, North America",Seed,,,,2018-01-01,NightDragon,https://www.crunchbase.com/organization/nightdragon-security,https://www.nightdragon.com,,,,Kapital Partners,"NightDragon is an investment and advisory firm focused on growth and late-stage companies in cybersecurity, safety, security and privacy.",Seed,Yes,$1M to $10M,,USD,,Seed,1,,1,,"37,838"
Seed Round - Upbit,https://www.crunchbase.com/funding_round/upbit-c7d6-seed--59516799,"Blockchain, Cryptocurrency, Transaction Processing, Virtual Currency","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",Seed,,,,2019-01-01,Upbit,https://www.crunchbase.com/organization/upbit-c7d6,https://upbit.com/home,,,,Momentum 6,Upbit is a digital asset exchange that allows users to trade cryptocurrencies.,Seed,Yes,$10M to $50M,,USD,,Seed,1,,1,,"37,839"
Seed Round - Karyon Food,https://www.crunchbase.com/funding_round/karyon-food-seed--89a8e1e2,"Blockchain, Productivity Tools, Software","Paris, Ile-de-France, France, Europe",Seed,,,,2022-01-01,Karyon Food,https://www.crunchbase.com/organization/karyon-food,https://www.karyonfood.com/,,,,Inovexus,Karyon Food is an IT software company that provides online tool for retailer and SME's to manage sales data.,Seed,Yes,,,USD,,Seed,1,,1,,"38,081"
Seed Round - Wake The Tiger,https://www.crunchbase.com/funding_round/wake-the-tiger-seed--532c381c,"Amusement Park and Arcade, Event Management, Media and Entertainment","Bristol, Bristol, City of, United Kingdom, Europe",Seed,500000,GBP,635969,2023-08-02,Wake The Tiger,https://www.crunchbase.com/organization/wake-the-tiger,https://wakethetiger.com,,,,Creative UK,Wake the Tiger is the Amazement Park® a new fantastical interactive art experience.,Seed,Yes,,2814097,GBP,3661642,Seed,3,Creative UK,1,1,"38,067"
Grant - Southeastern Oklahoma State University,https://www.crunchbase.com/funding_round/southeastern-oklahoma-state-university-grant--db3bb745,"Education, Higher Education, Training, Universities","Durant, Oklahoma, United States, North America",Grant,130000,USD,130000,2023-09-28,Southeastern Oklahoma State University,https://www.crunchbase.com/organization/southeastern-oklahoma-state-university,http://www.se.edu/,,,,"US Department of Commerce, Economic Development Administation",Southeastern Oklahoma State University is a school in Durant.,,No,,130000,USD,130000,,1,"US Department of Commerce, Economic Development Administation",1,,"37,810"
Series A - EnduroSat,https://www.crunchbase.com/funding_round/endurosat-series-a--7b9afd11,"Aerospace, Satellite Communication, Software","Sofia, Grad Sofiya, Bulgaria, Europe",Series A,10000000,USD,10000000,2023-05-10,EnduroSat,https://www.crunchbase.com/organization/endurosat,https://www.endurosat.com/,,,,"Ceecat Capital, Freigeist Capital",EnduroSat designs and engineers spacecraft for business applications and space exploration missions.,Early Stage Venture,Yes,$10M to $50M,28640707,USD,28640707,Early Stage Venture,6,Ceecat Capital,2,1,"38,042"
Grant - Spring Impact,https://www.crunchbase.com/funding_round/spring-impact-grant--1c160f7f,"Advice, Consulting, Non Profit","London, England, United Kingdom, Europe",Grant,,,,2021-01-01,Spring Impact,https://www.crunchbase.com/organization/spring-impact,https://www.springimpact.org,,,,Imaginable Futures,"Spring Impact is a nonprofit organization that helps groups with advocacy, consulting and research services for social replication.",,No,,,USD,,,1,,1,,"38,064"
Grant - Southern Utah University,https://www.crunchbase.com/funding_round/southern-utah-university-grant--0f3f5fc0,"Education, Higher Education, Universities","Cedar City, Utah, United States, North America",Grant,200000,USD,200000,2023-09-28,Southern Utah University,https://www.crunchbase.com/organization/southern-utah-university,http://www.suu.edu/,,,,"US Department of Commerce, Economic Development Administation",Southern Utah University is a school in Cedar City.,,No,,200000,USD,200000,,1,"US Department of Commerce, Economic Development Administation",1,,"38,020"
Seed Round - ePave,https://www.crunchbase.com/funding_round/epave-seed--60505af4,Environmental Engineering,"Los Angeles, California, United States, North America",Seed,,,,2020-04-20,ePave,https://www.crunchbase.com/organization/epave,https://www.epavellc.com,,,,Los Angeles Cleantech Incubator,ePave creates a novel composite material with the capability of mitigating the greenhouse gas impact of surfaces.,Seed,Yes,,,USD,,Seed,1,,1,,"38,139"
Seed Round - Homeboy Recycling,https://www.crunchbase.com/funding_round/homeboy-recycling-seed--f7476bad,"Electronics, Information Technology, Recycling, Rental","Commerce, California, United States, North America",Seed,,,,2013-11-05,Homeboy Recycling,https://www.crunchbase.com/organization/homeboy-recycling,https://homeboyrecycling.com/,,,,Los Angeles Cleantech Incubator,"Homeboy Recycling is an IT solutions provider that is expertise in IT asset disposition, data destruction and electronic recycling services.",Seed,Yes,$1M to $10M,,USD,,Seed,1,,1,,"38,048"
Venture Round - DaWanda,https://www.crunchbase.com/funding_round/dawanda-series-unknown--87eaca57,"Art, Handmade, Web Hosting","Berlin, Berlin, Germany, Europe",Venture - Series Unknown,5000000,USD,5000000,2015-01-28,DaWanda,https://www.crunchbase.com/organization/dawanda,http://en.dawanda.com,,,,"Global Founders Capital, Insight Partners, Kersiwood, Royal Enfield, RTP Global","DaWanda is an online marketplace that trades handmade products from professional artisans, artists, designers, and individuals.",,Yes,,10192566,USD,10192566,,4,"Global Founders Capital, Insight Partners, RTP Global",5,,"37,807"
Seed Round - Tilt,https://www.crunchbase.com/funding_round/tilt-ef75-seed--b20460ba,"Digital Entertainment, Digital Media, Media and Entertainment, Video Streaming","New York, New York, United States, North America",Seed,,,,2023-08-18,Tilt,https://www.crunchbase.com/organization/tilt-ef75,https://watchtilt.com,,,,FJ Labs,Tilt is a mobile live-streaming platform that offers different shows.,Seed,Yes,,,USD,,Seed,1,,1,,"37,808"
Seed Round - Cala,https://www.crunchbase.com/funding_round/eat-cala-seed--39f7d1e1,Restaurants,"Paris, Ile-de-France, France, Europe",Seed,5500000,EUR,6354708,2021-10-06,Cala,https://www.crunchbase.com/organization/eat-cala,http://eatcala.com/,,,,"Acequia Capital (AceCap), BACKED VC, Edward Lando, Kima Ventures, Manta Ray Ventures, Pareto Holdings, Possible Ventures, Quiet Ventures","Cala is the first scalable restaurant platform, using software and robotics to make real food more accessible.",Seed,Yes,,6500000,EUR,7459683,Seed,3,BACKED VC,8,1,"37,809"
Series C - BitPipe,https://www.crunchbase.com/funding_round/bitpipe-series-c--7b496dbc,"E-Commerce, Education, Freemium, Information Services, Information Technology, Internet, News, Software","Needham, Massachusetts, United States, North America",Series C,3000000,USD,3000000,2004-04-02,BitPipe,https://www.crunchbase.com/organization/bitpipe,http://www.bitpipe.com,11295789,USD,11295789,"Bantam Group, Claflin Capital Management, Converge Ventures, MassVentures, Masthead Venture Partners, Reuters Venture Capital",Bitpipe.com is the enterprise IT professional's guide to information technology resources. Browse this free online library for the latest,Late Stage Venture,Yes,,3000000,USD,3000000,M&A,2,,6,,"37,822"
Pre Seed Round - Reef Finance,https://www.crunchbase.com/funding_round/reef-finance-pre-seed--d8c184a7,"Artificial Intelligence (AI), Finance, Financial Services, Trading Platform","London, England, United Kingdom, Europe",Pre-Seed,,,,2020-01-01,Reef Finance,https://www.crunchbase.com/organization/reef-finance,https://reef.finance/,,,,Momentum 6,Reef Finance is a DeFi platform that enables cross-chain integrations across various DeFi protocols.,Seed,Yes,$1M to $10M,43900000,USD,43900000,,4,,1,,"37,824"
Seed Round - OP Games,https://www.crunchbase.com/funding_round/op-games-seed--b08e47a8,"Gaming, Information Technology, Video Games","Sacramento, California, United States, North America",Seed,,,,2020-01-01,OP Games,https://www.crunchbase.com/organization/op-games,https://www.opgames.org/,,,,Momentum 6,"OP Games enables developers and the community to own, run, and monetize games as a collective.",Seed,Yes,,2000000,USD,2000000,,2,,1,,"37,825"
Debt Financing - Cognota,https://www.crunchbase.com/funding_round/expertknowledge-inc-debt-financing--3d79533b,"Collaboration, E-Learning, Enterprise Software, Information Technology, SaaS, Software, Training","Toronto, Ontario, Canada, North America",Debt Financing,1000000,USD,1000000,2023-09-27,Cognota,https://www.crunchbase.com/organization/expertknowledge-inc,http://www.Cognota.com,,,,Comerica Bank,"Run Learning & Development like an Efficient, Data-Driven Business with Cognota. The First and Only Operations Platform for L&D.",,No,$10M to $50M,12625000,USD,12625000,Early Stage Venture,8,Comerica Bank,1,,"37,874"
Seed Round - Joystream,https://www.crunchbase.com/funding_round/joystream-5f91-seed--c08b4c71,"Software, Video","Oslo, Oslo, Norway, Europe",Seed,,,,2017-01-01,Joystream,https://www.crunchbase.com/organization/joystream-5f91,https://www.joystream.org/,,,,Momentum 6,"Joystream is a block chain-based, decentralized video platform.",Seed,Yes,,,USD,,Seed,1,,1,,"37,875"
Pre Seed Round - Movig,https://www.crunchbase.com/funding_round/movig-pre-seed--08e813a3,"Artificial Intelligence (AI), Content Creators, SaaS","New York, New York, United States, North America",Pre-Seed,,,,2023-06-26,Movig,https://www.crunchbase.com/organization/movig,https://getmovig.com/,,,,"Lair East Labs, Sunstone Management",Creator-first tech platform simplifying brand deals for creators,Seed,Yes,,,USD,,Seed,2,Lair East Labs,2,1,"37,810"
