Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Deepclass,https://www.crunchbase.com/funding_round/deepclass-seed--59509ff6,"Collectibles, E-Commerce, Fashion, Jewelry, Lifestyle","New York, New York, United States, North America",Seed,4350000,USD,4350000,2013-07-19,Deepclass,https://www.crunchbase.com/organization/deepclass,http://www.deepclass.com,,,,ZAD Investments,"Deepclass is a luxury e-commerce platform that uses social curation for antique products such as furniture, fine art and jewelry.",Seed,Yes,,4350000,USD,4350000,Seed,1,,1,,"259,862"
Venture Round - Mama Mancinis,https://www.crunchbase.com/funding_round/mamamancini-s-holdin-series-unknown--09a3e5c4,"Food and Beverage, Food Delivery, Manufacturing, Snack Food","East Rutherford, New Jersey, United States, North America",Venture - Series Unknown,1180000,USD,1180000,2022-07-10,Mama Mancinis,https://www.crunchbase.com/organization/mamamancini-s-holdin,https://www.mamamancinis.com/,,,,,Mama Mancinis is a manufacturer and distributor of a line of all-natural food products and recipes.,,Yes,$10M to $50M,1180000,USD,1180000,,1,,,,"259,863"
"Private Equity Round - Aero Air Charter, LLC",https://www.crunchbase.com/funding_round/aero-air-charter-llc-private-equity--d152ecad,,"Pensacola, Florida, United States, North America",Private Equity,12000000,USD,12000000,2019-01-15,"Aero Air Charter, LLC",https://www.crunchbase.com/organization/aero-air-charter-llc,https://www.flywithaero.com,,,,RCP Equity,Jet charter company serving customers in the Southeastern United States. We do not require jet cards or memberships. FAA 135 Operator,Private Equity,Yes,,12000000,USD,12000000,Private Equity,1,,1,,"259,864"
Seed Round - Sellf,https://www.crunchbase.com/funding_round/sellf-seed--97b5c035,"Collaboration, CRM, Mobile, Sales, Software","Roncade, Veneto, Italy, Europe",Seed,679000,EUR,895034,2014-08-28,Sellf,https://www.crunchbase.com/organization/sellf,http://sellfapp.com,,,,"Atlante Seeds, Atlante Ventures, Club Italia Investimenti 2, H-FARM, P101",Sellf is your unique personal assistant that helps and follows your business flow. Flexible. Mobile. Personal.,Seed,Yes,,1079000,EUR,1312353,M&A,4,P101,5,1,"259,866"
Private Equity Round - Capital Economics,https://www.crunchbase.com/funding_round/capital-economics-private-equity--28e06817,"Financial Services, Market Research, Sharing Economy","London, England, United Kingdom, Europe",Private Equity,,,,2014-10-27,Capital Economics,https://www.crunchbase.com/organization/capital-economics,https://www.capitaleconomics.com/,,,,LDC,Capital Economics is an independent macro-economic research companies in the world.,Private Equity,Yes,$10M to $50M,,USD,,Private Equity,2,LDC,1,,"259,868"
Venture Round - SteadyMed Therapeutics,https://www.crunchbase.com/funding_round/steadymed-therapeutics-series-unknown--2bcc9e1a,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Tel Aviv, Tel Aviv, Israel, Asia",Venture - Series Unknown,12200000,USD,12200000,2015-02-03,SteadyMed Therapeutics,https://www.crunchbase.com/organization/steadymed-therapeutics,http://www.steadymed.com,,,,"Deerfield, Federated Investors","SteadyMed is a media-device company developing injectable therapeutic drugs for pain relief, diabetes and other chronic conditions.",,Yes,$1M to $10M,114200000,USD,114200000,M&A,8,"Deerfield, Federated Investors",2,,"259,869"
Seed Round - Clickypass,https://www.crunchbase.com/funding_round/clickyreserva-seed--71f01ffb,"Cloud Computing, Sports","Miami, Florida, United States, North America",Seed,125000,USD,125000,2015-10-10,Clickypass,https://www.crunchbase.com/organization/clickyreserva,http://www.clickypass.com,,,,500 Global,"Clickypass is a membership program for fitness classes and activities across multiple gyms and studios, making working out more accessible.",Seed,Yes,$1M to $10M,245000,USD,245000,M&A,2,,1,,"259,870"
Seed Round - Buildit Accelerator,https://www.crunchbase.com/funding_round/buildit-seed--e22d4997,"Consulting, Hardware, Incubators, Internet of Things, Venture Capital","Riga, Riga, Latvia, Europe",Seed,,,,2014-01-01,Buildit Accelerator,https://www.crunchbase.com/organization/buildit,http://www.buildit.lv,,,,,"Buildit, Accelerator of Things, for startups in hardware & IoT",Seed,Yes,$1M to $10M,,USD,,Seed,2,,,,"259,871"
Pre Seed Round - A1Smart Cam,https://www.crunchbase.com/funding_round/a1smart-cam-pre-seed--4a5c1e17,Software,"Cairo, Al Qahirah, Egypt, Africa",Pre-Seed,,,,2021-01-01,A1Smart Cam,https://www.crunchbase.com/organization/a1smart-cam,http://a1smartcam.com/,,,,Brinc,A1Smart Cam is a software company that is also a systems integrator and technology supplier.,Seed,Yes,,,USD,,Seed,2,,1,,"259,872"
Seed Round - Dawa,https://www.crunchbase.com/funding_round/dawa-seed--a9a18521,"Information Technology, Internet, Logistics","Barcelona, Catalonia, Spain, Europe",Seed,1200000,EUR,1304580,2023-01-23,Dawa,https://www.crunchbase.com/organization/dawa,https://www.dawa.io,,,,"4Founders Capital, Breega, David Geisen, Víctor del Pozo",Dawa is a company that provides reverse logistics.,Seed,Yes,,1200000,EUR,1304580,Seed,1,"4Founders Capital, Breega",4,,"259,873"
