Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Convertible Note - medCPU,https://www.crunchbase.com/funding_round/medcpu-convertible-note--78738d77,"Health Care, Hospital, Medical, Software","New York, New York, United States, North America",Convertible Note,1300000,USD,1300000,2011-09-30,medCPU,https://www.crunchbase.com/organization/medcpu,http://medcpu.com,,,,,"medCPU delivers real-time patient care advice through the use of its Advisor technology, a clinical decision and advisory support platform.",,No,$1M to $10M,53937376,USD,53937376,,6,,,,"208,800"
Series C - Nabsys,https://www.crunchbase.com/funding_round/nabsys-series-c--bb2aaeaf,"Biotechnology, Genetics, Health Care, Medical","Providence, Rhode Island, United States, North America",Series C,10000000,USD,10000000,2011-09-14,Nabsys,https://www.crunchbase.com/organization/nabsys,http://www.nabsys.com,,,,Stata Venture Partners (SVP),"Nabsys is a life sciences company focused on the development of solid-state, single-molecule positional sequencing technology.",Late Stage Venture,Yes,$1M to $10M,143299975,USD,143299975,,9,Stata Venture Partners (SVP),1,1,"208,801"
Non Equity Assistance - Donor IQ,https://www.crunchbase.com/funding_round/donor-iq-non-equity-assistance--4d142935,"Finance, Software","Orange, California, United States, North America",Non-equity Assistance,,,,2012-10-01,Donor IQ,https://www.crunchbase.com/organization/donor-iq,http://donoriq.com/,,,,Creative Destruction Lab (CDL),Donor IQ is an automated predictive analytics software for direct mail fundraisers.,,No,Less than $1M,,USD,,,1,,1,,"208,803"
Series C - Noile-Immune Biotech,https://www.crunchbase.com/funding_round/noile-immune-biotech-series-c--1d3a3c40,"Biotechnology, Oncology","Tokyo, Tokyo, Japan, Asia",Series C,2380000000,JPY,21882039,2021-03-22,Noile-Immune Biotech,https://www.crunchbase.com/organization/noile-immune-biotech,https://www.noile-immune.com/,,,,"BiGEN, Binex, Dai-ichi Life, Healthcare Innovation, Shibuya Kogyo",Noile-Immune Biotech is a national cancer research center specializing in the development of cancer immunotherapies.,Late Stage Venture,Yes,$1M to $10M,3441527692,JPY,31554154,Late Stage Venture,4,"BiGEN, Binex, Dai-ichi Life, Shibuya Kogyo",5,,"208,804"
Debt Financing - Volta Charging,https://www.crunchbase.com/funding_round/volta-industries-debt-financing--ebea9f81,"Advertising, Advertising Platforms, Automotive, Charging Infrastructure, Electric Vehicle, Marketing","San Francisco, California, United States, North America",Debt Financing,1875000,USD,1875000,2014-03-05,Volta Charging,https://www.crunchbase.com/organization/volta-industries,http://www.voltacharging.com,,,,,"Volta Charging designs, installs, and maintains a network of electric vehicle charging stations.",,No,$50M to $100M,571147795,USD,571147795,M&A,21,,,,"208,806"
Seed Round - InstaFit,https://www.crunchbase.com/funding_round/instafit-seed--3a185a5d,"Apps, E-Commerce, Fitness","Cuauhtémoc, Colima, Mexico, North America",Seed,70000,USD,70000,2015-01-30,InstaFit,https://www.crunchbase.com/organization/instafit,http://www.instafit.com,1600000,USD,1600000,,InstaFit is an online fitness & nutrition startup focused in Latin America.,Seed,Yes,$1M to $10M,1345000,USD,1345000,Seed,10,,,,"208,807"
Grant - Aptech Africa,https://www.crunchbase.com/funding_round/aptech-africa-grant--ea968f88,"Energy, Renewable Energy, Solar, Water","Kampala, Kampala, Uganda, Africa",Grant,100000,USD,100000,2021-11-18,Aptech Africa,https://www.crunchbase.com/organization/aptech-africa,https://aptechafrica.com/,,,,Alibaba Group,"Aptech Africa is a solar energy company that specializes in solar water pumps, energy storage systems, security lights, and irrigation.",,No,$1M to $10M,300000,USD,300000,,2,,1,,"208,809"
Venture Round - ITInvolve,https://www.crunchbase.com/funding_round/itinvolve-series-unknown--4812e9a0,"Coworking, Enterprise Software, Knowledge Management","Houston, Texas, United States, North America",Venture - Series Unknown,2500000,USD,2500000,2012-03-28,ITInvolve,https://www.crunchbase.com/organization/itinvolve,http://www.itinvolve.com/,,,,,ITinvolve creates cross-team workspaces that bring the right people.,,Yes,Less than $1M,9799008,USD,9799008,,4,,,,"208,810"
Series C - Dayima,https://www.crunchbase.com/funding_round/dayima-series-c--cb0cae1b,"Mobile, Social Media, Women's","Beijing, Beijing, China, Asia",Series C,30000000,USD,30000000,2014-06-05,Dayima,https://www.crunchbase.com/organization/dayima,http://www.dayima.us,,,,"BAI capital, Ceyuan Ventures, Sequoia Capital China",Dayima Little Helper is a mobile application focused on providing menstrual period nursing help for women.,Late Stage Venture,Yes,,41023619,USD,41023619,Late Stage Venture,4,Sequoia Capital China,3,,"208,812"
Seed Round - Smarter Pockets,https://www.crunchbase.com/funding_round/smarter-pockets-seed--ab511576,"Content, EdTech, Education","Cebu, Cebu City, Philippines, Asia",Seed,12500,USD,12500,2014-07-01,Smarter Pockets,https://www.crunchbase.com/organization/smarter-pockets,,,,,Cyberport Hong Kong,A content and social platform for educators to effectively teach financial literacy to youngsters.,Seed,Yes,,12500,USD,12500,Seed,1,,1,,"208,813"
Venture Round - Creditas Financial,https://www.crunchbase.com/funding_round/creditas-financial-series-unknown--37a1db07,"Finance, Financial Services, Personal Finance","Grand Cayman, Midland, Cayman Islands, North America",Venture - Series Unknown,42470906,USD,42470906,2017-12-18,Creditas Financial,https://www.crunchbase.com/organization/creditas-financial,https://creditasfinancial.org.uk/,,,,,Creditas Financial is a vehicle finance broker.,,Yes,,222618243,USD,222618243,,4,,,,"208,815"
Pre Seed Round - noplag.com,https://www.crunchbase.com/funding_round/noplag-com-pre-seed--9e4f56a3,"EdTech, Education, Higher Education","New York, New York, United States, North America",Pre-Seed,130000,USD,130000,2018-08-15,noplag.com,https://www.crunchbase.com/organization/noplag-com,https://noplag.com/,2000000,USD,2000000,,Online plagiarism checker with AI engine!,Seed,Yes,$1M to $10M,280000,USD,280000,Seed,2,,,,"208,816"
Venture Round - Adroit Urban Developers,https://www.crunchbase.com/funding_round/adroit-urban-developers-series-unknown--213abcf7,Real Estate,"Chennai, Tamil Nadu, India, Asia",Venture - Series Unknown,,,,2014-05-10,Adroit Urban Developers,https://www.crunchbase.com/organization/adroit-urban-developers,http://www.adroiturban.com,,,,Brand Capital,Adroit Urban Developers is an entrepreneurial and integrated property development venture with projects located in Chennai & Coimbatore.,,Yes,,,USD,,,1,,1,,"208,818"
Pre Seed Round - DISCOPERI,https://www.crunchbase.com/funding_round/discoperi-inc-pre-seed--c60b395f,"Automotive, Big Data, Machine Learning, Transportation","Madrid, Madrid, Spain, Europe",Pre-Seed,,,,2018-10-03,DISCOPERI,https://www.crunchbase.com/organization/discoperi-inc,http://www.discoperi.com,,,,,"Discoperi helps cities to become smarter, more efficient and safer thanks to its AI-based products",Seed,Yes,,71429,EUR,81447,Seed,4,,,,"208,819"
Seed Round - Rest Devices,https://www.crunchbase.com/funding_round/nyx-devices-seed--f0dfc7c4,"Baby, Hardware, Software, Wearables","Boston, Massachusetts, United States, North America",Seed,,,,2015-01-01,Rest Devices,https://www.crunchbase.com/organization/nyx-devices,http://mimobaby.com,,,,Project 11 Ventures,Rest Devices develops a sensor that helps doctors better understand how people sleep.,Seed,Yes,$1M to $10M,1800000,USD,1800000,Seed,3,,1,,"208,821"
