Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - geo-advantage,https://www.crunchbase.com/funding_round/geo-advantage-pre-seed--eb262584,"Big Data, Consulting, Geospatial, Software","Yaoundé, Centre, Cameroon, Africa",Pre-Seed,100000,USD,100000,2021-06-26,geo-advantage,https://www.crunchbase.com/organization/geo-advantage,https://geo-advantage.com,250000,USD,250000,,We build IoT Devices to connect your vehicles to the Cloud for easy access and control,Seed,Yes,,100000,USD,100000,Seed,1,,0,,"97,803"
Seed Round - Instap,https://www.crunchbase.com/funding_round/instap-seed--0a28cfb0,"Blockchain, Electronics, Social Network, Web3","Hong Kong, Hong Kong Island, Hong Kong, Asia",Seed,,,,2023-03-01,Instap,https://www.crunchbase.com/organization/instap,https://instap.co/,10000000,USD,10000000,"MEXC Global, Primeblock Ventures, Xin Yan","Instap is an Web3 decentralized social/game mobile application, users can earn crypto by making friends with Instap's hardware.",Seed,Yes,,,USD,,Seed,1,,3,,"97,956"
Seed Round - Dataknows,https://www.crunchbase.com/funding_round/dataknows-seed--0b94b977,"Apps, Software, Stock Exchanges","Seocho, Seoul-t'ukpyolsi, South Korea, Asia",Seed,860000000,KRW,774767,2020-11-30,Dataknows,https://www.crunchbase.com/organization/dataknows,https://www.dataknows.ai/,12860000000,KRW,11585481,KEB Hana Bank,"Dataknows is an application that provides stock annuity, enterprise, investment, software, ICT, and data solutions.",Seed,Yes,,6960000000,KRW,5833904,Early Stage Venture,4,,1,,"98,039"
Venture Round - Linyan Medical,https://www.crunchbase.com/funding_round/linyan-medical-series-unknown--c786da62,Metaverse,"Shanghai, Shanghai, China, Asia",Venture - Series Unknown,,,,2021-05-18,Linyan Medical,https://www.crunchbase.com/organization/linyan-medical,,,,,Fengqiao Investment,Linyan Medical is a high-tech company focusing on the combination of man and machine in metaverse medical surgery.,,Yes,,,USD,,,3,Fengqiao Investment,1,1,"98,042"
Series A - Ziel,https://www.crunchbase.com/funding_round/ziel-series-a--dda22805,"Apparel, E-Commerce, Fashion, Fitness, Marketing, Sales","New York, New York, United States, North America",Series A,4000000,USD,4000000,2020-07-01,Ziel,https://www.crunchbase.com/organization/ziel,http://zielwear.com/,,,,Borski Fund,Ziel develops athletic apparel designed to help athletes stay fit.,Early Stage Venture,Yes,$1M to $10M,5550000,USD,5550000,Early Stage Venture,7,,1,,"98,043"
Venture Round - Evrys Bio,https://www.crunchbase.com/funding_round/evrys-bio-series-unknown--7b4aa762,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Doylestown, Pennsylvania, United States, North America",Venture - Series Unknown,,,,2016-06-01,Evrys Bio,https://www.crunchbase.com/organization/evrys-bio,https://evrys.com/,,,,Mid Atlantic Bio Angels,Evrys Bio is a pharmaceutical company for providing health care solutions to defend against the virus.,,Yes,,34847500,USD,34847500,Early Stage Venture,5,Mid Atlantic Bio Angels,1,,"98,045"
Venture Round - Gudou Technology,https://www.crunchbase.com/funding_round/gudou-technology-series-unknown--0cbe6391,"Enterprise, Logistics","Baoshan, Shanghai, China, Asia",Venture - Series Unknown,100000000,CNY,14429181,2023-03-06,Gudou Technology,https://www.crunchbase.com/organization/gudou-technology,http://www.goodo-tech.com/,,,,"Sequoia Capital China, Shunwei Capital, Yinxinggu Capital, Zhenghan Investment",Gudou Technology is a resource-intelligence optimisation collaboration platform that promotes the digital transformation process.,,Yes,,100000000,CNY,14429182,,1,"Sequoia Capital China, Shunwei Capital",4,2,"97,942"
Seed Round - You Need Character,https://www.crunchbase.com/funding_round/you-need-character-seed--3fe2a3bb,"Animation, Children, Creative Agency, Media and Entertainment","Seongnam, Kyonggi-do, South Korea, Asia",Seed,,,,2019-10-31,You Need Character,https://www.crunchbase.com/organization/you-need-character,https://www.ynchq.com/,,,,Nextdream Angel Club,"You Need Character is an animation production company that created animated characters for children's books, videos and games.",Seed,Yes,,3600000000,KRW,3176346,,6,,1,1,"98,017"
Grant - Nigerian Law School,https://www.crunchbase.com/funding_round/nigerian-law-school-grant--e598b3f3,,"Abuja, Federal Capital Territory, Nigeria, Africa",Grant,250000000,NGN,541108,2023-04-11,Nigerian Law School,https://www.crunchbase.com/organization/nigerian-law-school,http://www.nigerianlawschool.edu.ng,,,,,A prerequisite school for candidates intending to be called to the Nigerian bar.,,No,,250000000,NGN,541109,,1,,,,"97,896"
Seed Round - Taggers,https://www.crunchbase.com/funding_round/taggers-7f58-seed--c9c2e3d8,"Digital Marketing, Information Technology, Marketing Automation","Seocho, Seoul-t'ukpyolsi, South Korea, Asia",Seed,,,,2019-03-20,Taggers,https://www.crunchbase.com/organization/taggers-7f58,https://www.taggers.io/,,,,Base Investments,Taggers is an Ad-Tech company with performance marketing automation solution (Ad-ops Solution),Seed,Yes,,,USD,,M&A,3,,1,,"97,990"
