Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series B - Katana,https://www.crunchbase.com/funding_round/katana-mrp-series-b--80b767a9,"Enterprise Resource Planning (ERP), Manufacturing, Software","Tallinn, Harjumaa, Estonia, Europe",Series B,35000000,USD,35000000,2022-10-13,Katana,https://www.crunchbase.com/organization/katana-mrp,https://www.katanamrp.com,,,,"42CAP, Atomico, Lightrock, Northzone, Ott Kaukver, Sergei Anikin, Startup Wise Guys, Sten Tamkivi",Katana is a manufacturing and inventory software for scaling businesses.,Early Stage Venture,Yes,$1B to $10B,51011652,USD,51011652,Early Stage Venture,5,Northzone,8,2,"109,226"
Series B - R for Rabbit,https://www.crunchbase.com/funding_round/r-for-rabbit-series-b--fd796e56,Baby,"Ahmedabad, Gujarat, India, Asia",Series B,,,,2023-03-23,R for Rabbit,https://www.crunchbase.com/organization/r-for-rabbit,https://rforrabbit.com/,,,,Negen Capital Services,R for Rabbit focuses on baby’s development and safety.,Early Stage Venture,Yes,$1M to $10M,400000000,INR,5330636,Early Stage Venture,2,Negen Capital Services,1,,"109,224"
Seed Round - LastMile,https://www.crunchbase.com/funding_round/lastmile-bf90-seed--5385e6ee,"Delivery, Delivery Service, E-Commerce, Food Delivery","Vilnius, Vilniaus Apskritis, Lithuania, Europe",Seed,,,,2020-01-27,LastMile,https://www.crunchbase.com/organization/lastmile-bf90,https://www.lastmile.lt/?lang=en,,,,Contrarian Ventures,We provide a layer to launch e-commerce and delivery service for the retailers.,Seed,Yes,,100000,EUR,111632,Seed,3,,1,,"109,234"
Seed Round - SEARADAR,https://www.crunchbase.com/funding_round/searadar-seed--e36d3536,"Boating, Rental, Travel","Vilnius, Vilniaus Apskritis, Lithuania, Europe",Seed,200000,EUR,242280,2020-12-02,SEARADAR,https://www.crunchbase.com/organization/searadar,https://searadar.com,4000000,EUR,4845618,,SEARADAR is an online platform that offers yacht booking concierge services for charter captains.,Seed,Yes,$1M to $10M,800000,EUR,930687,Seed,4,,,,"109,273"
Seed Round - Ping- Social Connect,https://www.crunchbase.com/funding_round/ping-location-social-media-seed--9d8177da,Information Technology,"Hartford, Connecticut, United States, North America",Seed,,,,2023-05-31,Ping- Social Connect,https://www.crunchbase.com/organization/ping-location-social-media,https://www.ping-app.com,,,,,"Network, promote and more on the go with those around you wherever you go in real time..",Seed,Yes,,,USD,,Seed,1,,,,"109,258"
Pre Seed Round - ServiceMela,https://www.crunchbase.com/funding_round/servicemela-pre-seed--5e08e3f5,"E-Commerce, Information Technology","Jhargram, West Bengal, India, Asia",Pre-Seed,,,,2021-01-01,ServiceMela,https://www.crunchbase.com/organization/servicemela,https://www.servicemela.com,,,,,A technology company focused on using cutting edge technologies and concepts to solve the issues at the core of society.,Seed,Yes,,,USD,,Seed,2,,,,"109,234"
Series A - Summation Bio,https://www.crunchbase.com/funding_round/summation-bio-series-a--f64870d0,"Biotechnology, Genetics, Therapeutics","Somerville, Massachusetts, United States, North America",Series A,24462489,USD,24462489,2022-04-04,Summation Bio,https://www.crunchbase.com/organization/summation-bio,,,,,,Summation Bio is a gene therapy company that develops a novel non-viral gene transfer technology.,Early Stage Venture,Yes,,24462489,USD,24462489,Early Stage Venture,1,,,,"109,217"
Venture Round - TENTIAL,https://www.crunchbase.com/funding_round/tential-series-unknown--68c7a92c,"Artificial Intelligence (AI), Content, Internet of Things, Social Media, Sports","Tokyo, Tokyo, Japan, Asia",Venture - Series Unknown,,,,2022-12-06,TENTIAL,https://www.crunchbase.com/organization/tential,https://corp.tential.jp/,,,,TBS Innovation Partners,TENTIAL analyzes detailed purchasing behavior and attributes online and aim to deliver products based on information.,,Yes,,130000000,JPY,1161544,,3,,1,,"109,213"
Seed Round - VIRIDAD,https://www.crunchbase.com/funding_round/viridad-seed--94385aae,Information Technology,"Vienna, Wien, Austria, Europe",Seed,,,,2023-03-10,VIRIDAD,https://www.crunchbase.com/organization/viridad,https://www.viridad.eu/,,,,First Climate,VIRIDAD is a digitally customizable platform for assessment and scoring in the taxonomy.,Seed,Yes,,,USD,,Seed,1,,1,,"109,246"
Debt Financing - Nawah Scientific,https://www.crunchbase.com/funding_round/nawah-debt-financing--5ca3602a,"Biopharma, Biotechnology, Life Science","Cairo, Al Qahirah, Egypt, Africa",Debt Financing,1000000,USD,1000000,2021-01-07,Nawah Scientific,https://www.crunchbase.com/organization/nawah,https://nawah-scientific.com/,,,,"Alex Angels, Alexandria Fund, Cairo Angels, Egypt Ventures, Hult Alumni Angels",Nawah is a core hub of advanced research facilites offering online and on demand scientific services,,No,$10M to $50M,12300000,USD,12300000,Early Stage Venture,11,Egypt Ventures,5,2,"109,238"
Seed Round - Ruuky,https://www.crunchbase.com/funding_round/pockid-gmbh-seed--7f194190,Financial Services,"Hamburg, Hamburg, Germany, Europe",Seed,4000000,EUR,4547139,2021-11-18,Ruuky,https://www.crunchbase.com/organization/pockid-gmbh,https://www.ruuky.money/,,,,"Cavalry Ventures, Vorwerk Ventures",Ruuky is the first Social Interactive Neobank for Europe's GenZ,Seed,Yes,,4000000,EUR,4547139,Seed,2,Cavalry Ventures,2,1,"109,240"
Private Equity Round - Santa Fe Grupo Hotelero,https://www.crunchbase.com/funding_round/santa-fe-grupo-hotelero-private-equity--76e403cc,Hotel,"Mexico, Maine, United States, North America",Private Equity,,,,2009-01-01,Santa Fe Grupo Hotelero,https://www.crunchbase.com/organization/santa-fe-grupo-hotelero,http://www.gsf-hotels.com/,,,,Nexxus Capital,"Santa Fe Grupo Hotelero are one of the companies within the hotel industry in Mexico, focused on acquiring, developing and operating hotels.",Private Equity,Yes,$50M to $100M,,USD,,Private Equity,1,,1,,"109,204"
Grant - Aviatra Accelerator,https://www.crunchbase.com/funding_round/bad-girl-ventures-grant--ee4ae5e7,"Consulting, Financial Services, Non Profit","Covington, Kentucky, United States, North America",Grant,216000,USD,216000,2023-03-22,Aviatra Accelerator,https://www.crunchbase.com/organization/bad-girl-ventures,http://aviatraaccelerators.org/,,,,Ohio Third Frontier,Aviatra Accelerator empowers female entrepreneurs by giving them the resources they need to be successful.,,No,$1M to $10M,216000,USD,216000,,1,Ohio Third Frontier,1,,"109,269"
Venture Round - Clearwater Developments,https://www.crunchbase.com/funding_round/clearwater-developments-series-unknown--4a8f171e,Property Management,"Seaham, Durham, United Kingdom, Europe",Venture - Series Unknown,770000,GBP,945636,2023-03-23,Clearwater Developments,https://www.crunchbase.com/organization/clearwater-developments,https://www.clearwaterdevelopments.co.uk,,,,North East Local Enterprise Partnership,Clearwater Developments is a property Management and Development Company.,,Yes,$1M to $10M,1290000,GBP,1681233,,2,North East Local Enterprise Partnership,1,,"109,253"
Grant - Codepym,https://www.crunchbase.com/funding_round/codepym-grant--dc217cd6,"EdTech, Software","Abuja, Federal Capital Territory, Nigeria, Africa",Grant,50000,USD,50000,2018-11-10,Codepym,https://www.crunchbase.com/organization/codepym,https://codepym.com,,,,,We bring solutions to make Education easier,,No,,515000,USD,515000,Seed,4,,,,"109,250"
Non Equity Assistance - Farmerlifeline,https://www.crunchbase.com/funding_round/farmerlifeline-non-equity-assistance--1d2a1d12,"Agriculture, AgTech, Farming","Parklands, Nairobi Area, Kenya, Africa",Non-equity Assistance,,,,2023-03-08,Farmerlifeline,https://www.crunchbase.com/organization/farmerlifeline,https://www.farmerlifeline.co.ke,,,,Google for Startups,Farmerlifeline provides a CDD device which detects crop pests and diseases.,,No,,,USD,,,1,Google for Startups,1,2,"109,272"
Angel Round - A-Bio Materials,https://www.crunchbase.com/funding_round/a-bio-materials-angel--4c42857d,"Biotechnology, Product Research","Suwon, Ch'ungch'ong-namdo, South Korea, Asia",Angel,,,,2021-02-16,A-Bio Materials,https://www.crunchbase.com/organization/a-bio-materials,http://a-bio.kr,,,,,A-Bio Materials is a life science research and development company that develops new biomaterials.,Seed,Yes,,,USD,,Seed,4,,,,"109,329"
Seed Round - OASIS,https://www.crunchbase.com/funding_round/oasis-5a6a-seed--8be2fa59,"Apps, Artificial Intelligence (AI), Content, Content Creators, Social, Social Media, Telecommunications, Video Conferencing","Redwood City, California, United States, North America",Seed,,,,2021-01-01,OASIS,https://www.crunchbase.com/organization/oasis-5a6a,https://theoasis.com/,,,,"Ahmed Medhat, Shane Neman",AI-native platform for human communication. Translate thoughts into perfect writing in any format or language. Share anywhere in one-tap.,Seed,Yes,$1M to $10M,,USD,,Seed,5,,2,,"109,382"
Seed Round - Dehong carbon material,https://www.crunchbase.com/funding_round/dehong-carbon-material-seed--66c8e81d,"Advanced Materials, Lighting, Manufacturing","Hangzhou, Zhejiang, China, Asia",Seed,,,,2023-03-09,Dehong carbon material,https://www.crunchbase.com/organization/dehong-carbon-material,http://www.zhejiangdehong.com/,,,,,Dehong Carbon Material is a manufacturer of high-performance fibers and composite materials.,Seed,Yes,,,USD,,Seed,1,,,,"109,376"
Seed Round - Atly,https://www.crunchbase.com/funding_round/atly-seed--f2d40633,"Apps, Location Based Services, Mapping Services, Mobile Apps","Tel Aviv, Tel Aviv, Israel, Asia",Seed,1250000,USD,1250000,2021-08-17,Atly,https://www.crunchbase.com/organization/atly,https://www.atly.com/,,,,FKA Brands,"Atly helps you find, save and share new favorite places, anywhere in the world.",Seed,Yes,$1M to $10M,18000000,USD,18000000,Early Stage Venture,2,,1,,"109,292"
Seed Round - Holtida,https://www.crunchbase.com/funding_round/holtida-seed--39a69c10,"Cyber Security, Network Security, Software Engineering","Kaunas, Kauno Apskritis, Lithuania, Europe",Seed,20000,EUR,21257,2015-12-01,Holtida,https://www.crunchbase.com/organization/holtida,http://holtida.lt/en,,,,,Holtida makes optical authentication devices which is used for hologram marks to determine the image of the product and level of protection.,Seed,Yes,,20000,EUR,21257,Seed,1,,,,"109,299"
Pre Seed Round - GoFirmex,https://www.crunchbase.com/funding_round/firmex-6cd3-pre-seed--60d9c0a6,"Blockchain, Legal Tech, Software","Santiago, Region Metropolitana, Chile, South America",Pre-Seed,200000,USD,200000,2022-12-31,GoFirmex,https://www.crunchbase.com/organization/firmex-6cd3,https://gofirmex.com,,,,,Docusign for LatAm,Seed,Yes,,600000,USD,600000,Seed,2,,,,"109,427"
Pre Seed Round - eaze,https://www.crunchbase.com/funding_round/eaze-39ba-pre-seed--0666e19d,"Apps, Health Care, Mobile Apps, Software, Wellness","Berlin, Berlin, Germany, Europe",Pre-Seed,,,,2022-11-01,eaze,https://www.crunchbase.com/organization/eaze-39ba,https://www.eaze.de,,,,bldrs,eaze is a holistic digital program focused on providing solutions for sleep problems through CBT & personal coaching.,Seed,Yes,,1700000,EUR,1851247,Seed,3,,1,1,"109,432"
Series B - Untether AI,https://www.crunchbase.com/funding_round/untether-ai-series-b--3e8514bd,"Artificial Intelligence (AI), Semiconductor, Software","Toronto, Ontario, Canada, North America",Series B,125000000,USD,125000000,2021-07-20,Untether AI,https://www.crunchbase.com/organization/untether-ai,https://untether.ai,,,,"Canada Pension Plan Investment Board, Intel Capital, Radical Ventures, Tracker Capital Management",Untether AI develops AI chips to enable new frontiers in AI applications.,Early Stage Venture,Yes,$10M to $50M,152000000,USD,152000000,Early Stage Venture,5,"Intel Capital, Tracker Capital Management",4,4,"109,343"
Pre Seed Round - PROPERENTY,https://www.crunchbase.com/funding_round/properenty-pre-seed--ce940d88,"Commercial Real Estate, Property Management, Rental Property","Vilnius, Vilniaus Apskritis, Lithuania, Europe",Pre-Seed,30000,EUR,35229,2020-10-13,PROPERENTY,https://www.crunchbase.com/organization/properenty,https://www.properenty.com,,,,Startup Wise Guys,ALL-IN-ONE ONLINE LONG TERM RENT MANAGEMENT SOLUTION FOR LANDLORDS & TENANTS,Seed,Yes,,30000,EUR,35229,Seed,1,Startup Wise Guys,1,,"109,419"
Seed Round - Posse,https://www.crunchbase.com/funding_round/posse-seed--72b2032e,"Local Business, Search Engine, Social Network","Sydney, New South Wales, Australia, Oceania",Seed,,,,2010-09-09,Posse,https://www.crunchbase.com/organization/posse,http://www.posse.com,,,,"Artesian VC, Fantail Ventures",Posse is a social search engine.,Seed,Yes,Less than $1M,2012476,USD,2012476,M&A,4,,2,,"109,369"
Pre Seed Round - Qenvas,https://www.crunchbase.com/funding_round/qenvas-pre-seed--6fb7d794,"E-Commerce, Internet, Logistics, Retail","Pretoria, NA - South Africa, South Africa, Africa",Pre-Seed,,,,2023-05-03,Qenvas,https://www.crunchbase.com/organization/qenvas,https://qenvas.com/,600000,USD,600000,,"Saas, Logistics (Same-Day Delivery), Online Marketplace, Fashion-Tech, Retail Technology, Chrome Extension",Seed,Yes,,,USD,,Seed,1,,,,"109,393"
Series C - Muniu Technology,https://www.crunchbase.com/funding_round/muniu-technology-series-c--35f58da8,"Computer, Consumer Electronics, Drones, Hardware, Information Technology, Software","Beijing, Beijing, China, Asia",Series C,100000000,CNY,14398848,2023-02-27,Muniu Technology,https://www.crunchbase.com/organization/muniu-technology,http://www.muniutech.cn,,,,"Beijing Junmao Investment Center, Boxin Capital, GreenLake Fund, Guotai Junan Innovation Investment, JBC, Shanghai Wenguang Guquan Jijin",Muniu Technology is a radar sensor system developer.,Late Stage Venture,Yes,,100000000,CNY,14398848,Late Stage Venture,3,"JBC, Shanghai Wenguang Guquan Jijin",6,,"109,358"
Seed Round - 64x Bio,https://www.crunchbase.com/funding_round/64-x-mountain-view-california-seed--8e27c6a0,"Biopharma, Biotechnology, Genetics, Life Science, Pharmaceutical","San Francisco, California, United States, North America",Seed,4500000,USD,4500000,2020-11-16,64x Bio,https://www.crunchbase.com/organization/64-x-mountain-view-california,https://www.64xbio.com,,,,"Alice Zhang, BoxGroup, Fifty Years, First Round Capital, Liquid 2 Ventures, Milad Alucozai, Refactor Capital, SVA",64x Bio builds a platform that increases the speed and scale of mammalian cell line discovery.,Seed,Yes,Less than $1M,59500000,USD,59500000,Early Stage Venture,3,"Fifty Years, First Round Capital, Refactor Capital",8,,"109,349"
Angel Round - Play Today,https://www.crunchbase.com/funding_round/play-today-angel--a3edbd33,"Golf, Software, Web3","Pyrmont, New South Wales, Australia, Oceania",Angel,1200000,USD,1200000,2023-01-05,Play Today,https://www.crunchbase.com/organization/play-today,https://www.playtoday.cc/,,,,Clive Mayhew,Play Today operates as a web3 golf company.,Seed,Yes,,1200000,USD,1200000,Seed,1,Clive Mayhew,1,,"109,320"
Seed Round - Interactio,https://www.crunchbase.com/funding_round/mb-interactio-seed--c5303285,"Apps, Events, Information Technology, Mobile Apps, Productivity Tools, Professional Services, Software, Video Conferencing","Vilnius, Vilniaus Apskritis, Lithuania, Europe",Seed,250000,EUR,280993,2016-10-01,Interactio,https://www.crunchbase.com/organization/mb-interactio,https://www.interactio.io/,,,,Practica Capital,"The leading remote simultaneous interpretation platform used to interpret and stream over 42,000 remote, hybrid, and on-site events.",Seed,Yes,$1M to $10M,25230000,EUR,30819233,Early Stage Venture,4,,1,,"109,356"
Series B - Superb AI,https://www.crunchbase.com/funding_round/superb-ai-series-b--590e97fc,"Artificial Intelligence (AI), Computer Vision, Machine Learning, Natural Language Processing, SaaS","San Mateo, California, United States, North America",Series B,16000000,USD,16000000,2022-09-21,Superb AI,https://www.crunchbase.com/organization/superb-ai,https://www.superb-ai.com,,,,"Duke University, HL Holdings, Korea Development Bank, KT investment, KT&G Corporation, Premier Partners","End-to-end training data platform that automates data preparation at scale and makes building datasets quick, systematic, and repeatable.",Early Stage Venture,Yes,$1M to $10M,27600000,USD,27600000,Early Stage Venture,4,Korea Development Bank,6,2,"109,362"
Series A - HyperSilicon,https://www.crunchbase.com/funding_round/hypersilicon-series-a--0d8a8870,"Electronics, Hardware, Manufacturing, Semiconductor, Software","Wuxi, Anhui, China, Asia",Series A,100000000,CNY,14479742,2023-03-11,HyperSilicon,https://www.crunchbase.com/organization/hypersilicon,http://www.hypersilicon.com,,,,"Huada Empyrean Software, Xin Ding Capital",HyperSilicon develops FPGA-based SoC/ASIC prototyping and hardware emulation accelerator tools.,Early Stage Venture,Yes,,100000000,CNY,14479743,Early Stage Venture,1,Huada Empyrean Software,2,,"109,334"
Angel Round - Hash Trust,https://www.crunchbase.com/funding_round/hash-trust-angel--6dad04ea,"Information Technology, Internet, Metaverse, Software, Web Development, Web3","Bogotá, Distrito Especial, Colombia, South America",Angel,,,,2021-11-01,Hash Trust,https://www.crunchbase.com/organization/hash-trust,https://hashtrust.co/,,,,,"Hash Trust develops cutting-edge software using the latest technologies such as blockchain, web3, and metaverse.",Seed,Yes,,,USD,,Seed,1,,,,"109,460"
Grant - College of Southern Nevada,https://www.crunchbase.com/funding_round/college-of-southern-nevada-grant--7734bcab,"Education, Higher Education, Training","Las Vegas, Nevada, United States, North America",Grant,2488048,USD,2488048,2023-02-27,College of Southern Nevada,https://www.crunchbase.com/organization/college-of-southern-nevada,http://www.csn.edu/,,,,National Telecommunications and Information Administration,College of Southern Nevada is a school in Las Vegas.,,No,,2488048,USD,2488048,,1,National Telecommunications and Information Administration,1,,"109,355"
