Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Private Equity Round - DynaBil Industries,https://www.crunchbase.com/funding_round/dynabil-industries-private-equity--0ee3923a,"Aerospace, Manufacturing, Military","Coxsackie, New York, United States, North America",Private Equity,,,,2006-03-01,DynaBil Industries,https://www.crunchbase.com/organization/dynabil-industries,,,,,"Graycliff Partners, Pine Street Capital Partners",DynaBil is a provider of titanium and aluminum structural components and assemblies for commercial and military aerospace applications.,Private Equity,Yes,,,USD,,M&A,1,Graycliff Partners,2,,"36,042"
Venture Round - Elemental Machines,https://www.crunchbase.com/funding_round/elemental-machines-series-unknown--a79c1769,"Artificial Intelligence (AI), Biotechnology, Internet of Things, Machine Learning","Cambridge, Massachusetts, United States, North America",Venture - Series Unknown,2250000,USD,2250000,2015-08-16,Elemental Machines,https://www.crunchbase.com/organization/elemental-machines,https://elementalmachines.com,,,,PBJ Capital,"Elemental Machines delivers data-driven insights that improves R&D, laboratory operations, and manufacturing outcomes.",,Yes,Less than $1M,59930000,USD,59930000,Early Stage Venture,10,,1,,"36,044"
Pre Seed Round - Code Audits,https://www.crunchbase.com/funding_round/code-audits-pre-seed--11b30796,"Consulting, Cyber Security, Information Technology, Internet, Professional Services, Software","Los Angeles, California, United States, North America",Pre-Seed,100000,USD,100000,2024-01-01,Code Audits,https://www.crunchbase.com/organization/code-audits,https://www.codeaudits.com/,900000,USD,900000,LA Fund,B2B SaaS Technical Services,Seed,Yes,,100000,USD,100000,Seed,1,LA Fund,1,,"36,007"
Private Equity Round - ActoGeniX,https://www.crunchbase.com/funding_round/actogenix-private-equity--cc9c95e3,"Biopharma, Biotechnology, Clinical Trials, Pharmaceutical","Zwijnaarde, Oost-Vlaanderen, Belgium, Europe",Private Equity,13500000,EUR,17424773,2009-02-11,ActoGeniX,https://www.crunchbase.com/organization/actogenix,http://www.actogenix.com/,,,,"Aescap Venture, Baekeland Funds, Biotech Fund Flanders, EQT life science, Gimv, Ventech, VIB","A biopharmaceutical company, focused on the development and commercialization of a new generation of biological drugs.",Private Equity,Yes,,46975918,USD,46975918,M&A,3,,7,,"36,037"
Series G - Sumo Logic,https://www.crunchbase.com/funding_round/sumo-logic-series-g--7ea46a0d,"Analytics, Big Data, Cloud Data Services, Enterprise Software, SaaS","Redwood City, California, United States, North America",Series G,110000000,USD,110000000,2019-05-08,Sumo Logic,https://www.crunchbase.com/organization/sumo-logic,http://www.sumologic.com,890000000,USD,890000000,"Battery Ventures, Franklin Templeton, Tiger Global Management",Sumo Logic is a provider of cloud-based machine data analytics that enables reliable and secure cloud-native applications.,Late Stage Venture,Yes,$100M to $500M,340000000,USD,340000000,M&A,6,Battery Ventures,3,2,"36,004"
Post-IPO Equity - Tellhow,https://www.crunchbase.com/funding_round/tellhow-post-ipo-equity--2a966b6f,Renewable Energy,"Pudong, Shandong, China, Asia",Post-IPO Equity,200000000,CNY,27572135,2023-06-30,Tellhow,https://www.crunchbase.com/organization/tellhow,http://www.tellhow.com,,,,"Norincogroup, Zhongbing Department Fund",Tellhow is a military and emergency equipment manufacturing company.,,Yes,,200000000,CNY,27572136,IPO,1,"Norincogroup, Zhongbing Department Fund",2,,"36,001"
Grant - YLAH,https://www.crunchbase.com/funding_round/ylah-grant--d6d458a4,Health Care,"Bern, Bern, Switzerland, Europe",Grant,500000,CHF,545949,2023-09-26,YLAH,https://www.crunchbase.com/organization/ylah,https://ylah.ch/en/,,,,Future of Health Grant,YLAH unlocks the full potential of psychotherapy.,,No,,540000,CHF,589000,Seed,4,Future of Health Grant,1,,"36,007"
Venture Round - Walken,https://www.crunchbase.com/funding_round/walken-series-unknown--93f02d57,"Blockchain, Gaming, Information Technology, Web3","Sheridan, Wyoming, United States, North America",Venture - Series Unknown,2300000,USD,2300000,2022-09-26,Walken,https://www.crunchbase.com/organization/walken,https://walken.io/,,,,Infinity Ventures Crypto,Walken develops a free2play blockchain game that aims to onboard millions to DeFi and Web3 while rewarding players for walking.,,Yes,,2300000,USD,2300000,,1,,1,,"36,159"
Venture Round - Loudpack,https://www.crunchbase.com/funding_round/loudpack-series-unknown--8c2c67ad,"Cannabis, Manufacturing, Retail","Greenfield, California, United States, North America",Venture - Series Unknown,,,,2019-01-01,Loudpack,https://www.crunchbase.com/organization/loudpack,https://www.loudpack.com/,,,,Ruttenberg Gordon Investments,"Loudpack is a privately-held, vertically-integrated cannabis brands company.",,Yes,,5000000,USD,5000000,M&A,2,,1,,"36,258"
Grant - NurExone Biologic,https://www.crunchbase.com/funding_round/nurexone-biologic-grant--5e467f43,"Biopharma, Biotechnology, Clinical Trials","Haifa, Hefa, Israel, Asia",Grant,1000000,ILS,252723,2023-10-11,NurExone Biologic,https://www.crunchbase.com/organization/nurexone-biologic,https://nurexone.com,,,,Israel Innovation Authority,NurExone Biologic is developing a biological exosome based technology drug platform to treat damage in the Central Nerve System.,,No,,994889,USD,994889,Seed,2,Israel Innovation Authority,1,,"36,213"
