Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - BrainPlotting,https://www.crunchbase.com/funding_round/brainplotting-seed--00200323,"Health Care, Medical","Paris, Ile-de-France, France, Europe",Seed,,,,2014-09-15,BrainPlotting,https://www.crunchbase.com/organization/brainplotting,https://www.brainplotting.com/,,,,Starquest Capital,"BrainPlotting propose a premium service with fresh Human models for brain PK, toxicological testing and pharmacological testing.",Seed,Yes,$1M to $10M,,USD,,Seed,1,,1,,"390,171"
Venture Round - Kometa Bio,https://www.crunchbase.com/funding_round/kometa-bio-series-unknown--f774ff15,"Developer Platform, Manufacturing, Product Design","Cresskill, New Jersey, United States, North America",Venture - Series Unknown,,,,2015-05-01,Kometa Bio,https://www.crunchbase.com/organization/kometa-bio,http://kometabio.com/,,,,Keiretsu Forum Northwest,The KometaBio team combines strong scientific background in bone tissue engineering.,,Yes,Less than $1M,,USD,,,1,,1,,"390,212"
Grant - Technology For Autism Now,https://www.crunchbase.com/funding_round/technology-for-autism-now-grant--18f959e1,"Health Care, Information Technology","Roslindale, Massachusetts, United States, North America",Grant,,,,2013-11-01,Technology For Autism Now,https://www.crunchbase.com/organization/technology-for-autism-now,https://www.tech4autismnow.org/,,,,MassChallenge,Technology For Autism Now is focused on improving the lives of children and families. ,,No,Less than $1M,,USD,,,1,,1,,"390,221"
Venture Round - Vantage Robotics,https://www.crunchbase.com/funding_round/vantage-robotics-series-unknown--97cf830a,"Robotics, Software, Video","San Leandro, California, United States, North America",Venture - Series Unknown,7934034,USD,7934034,2018-05-08,Vantage Robotics,https://www.crunchbase.com/organization/vantage-robotics,http://www.vantagerobotics.com/,,,,SeedInvest,Vantage Robotics is a technology company that makes aerial videos easy for commercial operations over people.,,Yes,$10M to $50M,40132484,USD,40132484,,9,,1,,"390,276"
Series B - Viroblock,https://www.crunchbase.com/funding_round/viroblock-series-b--4fa53678,"Biotechnology, Brand Marketing, Fitness, Health Care, Marketing, Medical, Personal Health, Technical Support, Wellness","Geneva, Geneve, Switzerland, Europe",Series B,,,,2010-02-05,Viroblock,https://www.crunchbase.com/organization/viroblock,https://viroblock.com,,,,"BlueOcean Ventures, Fongit Seed Invest, Initiative Capital Romandie",Viroblock is a Swiss company focused on developing a novel anti-viral technology suited for air filtration products.,Early Stage Venture,Yes,$1M to $10M,4100000,CHF,4463357,Late Stage Venture,3,Fongit Seed Invest,3,,"390,331"
Pre Seed Round - Irys,https://www.crunchbase.com/funding_round/cityflag-pre-seed--69eabdd0,"Analytics, Apps, Artificial Intelligence (AI), Communities, Information Technology, Local, Machine Learning","San Antonio, Texas, United States, North America",Pre-Seed,,,,2017-03-01,Irys,https://www.crunchbase.com/organization/cityflag,https://heyirys.com/,,,,"Erick Saldaña, Felix W Ortiz III, Rafael Munguia",Irys offers AI-driven tools that bring real-time visibility and data analytics for urban stakeholders.,Seed,Yes,Less than $1M,1570000,USD,1570000,Seed,6,,3,,"390,337"
Debt Financing - LocalOn,https://www.crunchbase.com/funding_round/localon-debt-financing--688d2655,"E-Commerce, Marketing, Small and Medium Businesses","San Francisco, California, United States, North America",Debt Financing,25000,USD,25000,2010-10-15,LocalOn,https://www.crunchbase.com/organization/localon,http://www.localon.com,,,,,LocalOn is a web marketing platform for small businesses.,,No,$1M to $10M,295000,USD,295000,Seed,3,,,,"390,375"
Convertible Note - Porter & Sail,https://www.crunchbase.com/funding_round/porter-sail-convertible-note--2a021bc3,"B2C, Hotel, Information Technology, Leisure, Marketing, Reservations, Resorts, Travel, Travel Agency","New York, New York, United States, North America",Convertible Note,912000,USD,912000,2018-01-12,Porter & Sail,https://www.crunchbase.com/organization/porter-sail,http://porterandsail.com,,,,,"Porter & Sail offers flexible booking, exclusive savings and enriching experiences to travelers seeking community, connectivity and culture.",,No,Less than $1M,11607800,USD,11607800,M&A,8,,,,"389,809"
Equity Crowdfunding - Crown Bay Group,https://www.crunchbase.com/funding_round/crown-bay-group-equity-crowdfunding--2df68b41,"Asset Management, Financial Services, Real Estate, Real Estate Investment","Boca Raton, Florida, United States, North America",Equity Crowdfunding,2100000,USD,2100000,2016-02-28,Crown Bay Group,https://www.crunchbase.com/organization/crown-bay-group,http://crownbaygroup.com/,,,,,"Crown Bay Group is actively involved in the acquisition, asset management, renovation, re-positioning and disposition of “value-add”.",,Yes,Less than $1M,2100000,USD,2100000,,1,,,,"389,814"
Seed Round - Waltr,https://www.crunchbase.com/funding_round/waltr-seed--e815ff55,"Consumer Electronics, Internet of Things, Water","Bengaluru, Karnataka, India, Asia",Seed,162223,USD,162223,2021-01-21,Waltr,https://www.crunchbase.com/organization/waltr,https://www.waltr.in,,,,Whiteboard Capital,wireless water management systems for buildings,Seed,Yes,,672924,USD,672924,Seed,3,Whiteboard Capital,1,1,"389,837"
