Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Grant - Kentucky Department of Agriculture,https://www.crunchbase.com/funding_round/kentucky-department-of-agriculture-grant--e0a81ebc,"Agriculture, Government, Service Industry","Frankfort, Kentucky, United States, North America",Grant,667700,USD,667700,2023-08-07,Kentucky Department of Agriculture,https://www.crunchbase.com/organization/kentucky-department-of-agriculture,https://www.kyagr.com/,,,,U.S. Department of Agriculture,Kentucky Department of Agriculture is to promote the interests of agriculture and horticulture in the Commonwealth of Kentucky.,,No,,2253586,USD,2253586,,4,U.S. Department of Agriculture,1,,"28,232"
Debt Financing - BeDisruptive,https://www.crunchbase.com/funding_round/bedisruptive-debt-financing--07e0872c,"Cloud Security, Cyber Security, Information Technology","Madrid, Madrid, Spain, Europe",Debt Financing,4900000,EUR,5362264,2023-08-02,BeDisruptive,https://www.crunchbase.com/organization/bedisruptive,https://bedisruptive.com,,,,Cofides,"BeDisruptive is a cybersecurity company that ensures the future, limiting threats through customized solutions for each client.",,No,,4900000,EUR,5362265,,1,Cofides,1,1,"28,266"
Pre Seed Round - Soundtrace,https://www.crunchbase.com/funding_round/soundtrace-pre-seed--35aab15d,"B2B, Information Services, Information Technology, Internet","Cincinnati, Ohio, United States, North America",Pre-Seed,2500000,USD,2500000,2023-09-20,Soundtrace,https://www.crunchbase.com/organization/soundtrace,https://www.soundtrace.com,,,,"Gutter Capital, SpringTide Ventures","Soundtrace automates OSHA's Hearing Conservation Program requirements by providing noise monitoring, audiometric testing, and recordkeeping.",Seed,Yes,,2500000,USD,2500000,Seed,2,Gutter Capital,2,,"28,248"
Post-IPO Debt - Forward Air,https://www.crunchbase.com/funding_round/forward-air-post-ipo-debt--0d09c307,"Logistics, Service Industry, Transportation","Greeneville, Tennessee, United States, North America",Post-IPO Debt,925000000,USD,925000000,2023-09-20,Forward Air,https://www.crunchbase.com/organization/forward-air,http://www.forwardair.com,,,,,A leading provider of time-definite surface transportation and related logistics services to the North American,,No,$1B to $10B,925000000,USD,925000000,M&A,1,,,,"28,245"
Grant - Electrified Thermal Solutions,https://www.crunchbase.com/funding_round/electrified-thermal-solutions-grant--494bf0b7,"Energy, Fossil Fuels, Fuel, Renewable Energy","Medford, Massachusetts, United States, North America",Grant,100000,USD,100000,2023-05-31,Electrified Thermal Solutions,https://www.crunchbase.com/organization/electrified-thermal-solutions,https://www.electrifiedthermal.com/,,,,MassVentures,"Electrified Thermal Solutions replace fossil fuels with renewable heat in every furnace, turbine, boiler and kiln to decarbonize industry.",,No,,4600000,USD,4600000,Seed,2,MassVentures,1,,"28,246"
Angel Round - Lightwell Core,https://www.crunchbase.com/funding_round/lightwell-core-angel--18f0cb16,"Manufacturing, Semiconductor","Wuxi Shi, Jiangsu, China, Asia",Angel,,,,2023-06-08,Lightwell Core,https://www.crunchbase.com/organization/lightwell-core,,,,,"Wuxi Venture Capital Group, Wuxi Xinhe Investment, Xintou Group",Lightwell Semiconductor is a high-voltage and ultra-high-voltage gate driver chip and module developer.,Seed,Yes,,,USD,,Seed,1,,3,,"28,207"
Grant - RefFIT,https://www.crunchbase.com/funding_round/reffit-grant--23d0b00b,"Analytics, Software","Geneva, Geneve, Switzerland, Europe",Grant,150000,CHF,171476,2023-11-30,RefFIT,https://www.crunchbase.com/organization/reffit,https://reffit.ch,,,,Venture Kick,RefFIT provides software for spectroscopic data analysis in material science.,,No,,150000,CHF,171477,,1,Venture Kick,1,,"28,205"
Series D - OpTier,https://www.crunchbase.com/funding_round/optier-series-d--a115eaf2,"Analytics, Application Performance Management, Enterprise Software","New York, New York, United States, North America",Series D,47500000,USD,47500000,2008-09-23,OpTier,https://www.crunchbase.com/organization/optier,http://www.optier.com,,,,"Cisco, Gemini Israel Ventures, Index Ventures, Lightspeed Venture Partners, Morgan Stanley, Pitango VC, Viola Ventures",OpTier is a cloud-based platform that creates contextual big data to accelerate business growth and analyze business transactions.,Late Stage Venture,Yes,,118100000,USD,118100000,M&A,9,,7,6,"28,204"
Seed Round - Alora Paints,https://www.crunchbase.com/funding_round/alora-paints-seed--258aa40b,"Building Material, Chemical, Consumer Goods","Singapore, Central Region, Singapore, Asia",Seed,250000,USD,250000,2022-12-28,Alora Paints,https://www.crunchbase.com/organization/alora-paints,https://www.alorapaints.com/,,,,Newchip Accelerator,Direct to Consumer Paint Brand,Seed,Yes,,250000,USD,250000,Seed,1,,1,,"28,200"
Venture Round - Carbon Direct,https://www.crunchbase.com/funding_round/carbon-direct-ff7c-series-unknown--53ea42d7,"Carbon Capture, SaaS","New York, New York, United States, North America",Venture - Series Unknown,,,,2021-01-01,Carbon Direct,https://www.crunchbase.com/organization/carbon-direct-ff7c,http://www.carbon-direct.com,,,,Rudin Ventures,Carbon Direct is a provider of a carbon management platform that helps clients meet their climate goals.,,Yes,,60000000,USD,60000000,,2,,1,,"28,201"
