Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Funding Round - Wealth Enhancement Group,https://www.crunchbase.com/funding_round/wealth-enhancement-group-undisclosed--fe6a9005,"Financial Services, Risk Management, Wealth Management","Plymouth, Minnesota, United States, North America",Funding Round,736341,USD,736341,2022-02-24,Wealth Enhancement Group,https://www.crunchbase.com/organization/wealth-enhancement-group,http://wealthenhancement.com/,,,,,Wealth Enhancement Group offers customized financial planning and investment management services.,,Yes,$500M to $1B,2506341,USD,2506341,M&A,6,,,,"303,025"
Venture Round - SenoRx,https://www.crunchbase.com/funding_round/senorx-inc-series-unknown--530d6b5d,"Biotechnology, Health Care, Manufacturing","Irvine, California, United States, North America",Venture - Series Unknown,19000000,USD,19000000,2001-05-07,SenoRx,https://www.crunchbase.com/organization/senorx-inc,http://www.bardbiopsy.com/,,,,"CIT VentureCapital, Domain Associates, Mayfield Fund, MPM Capital",Medical device manufacturer for breast cancer.,,Yes,,19000000,USD,19000000,M&A,1,MPM Capital,4,,"303,038"
Seed Round - Reflekt Me,https://www.crunchbase.com/funding_round/reflekt-me-seed--b0ab1d92,E-Commerce,"Atlanta, Georgia, United States, North America",Seed,,,,2021-01-01,Reflekt Me,https://www.crunchbase.com/organization/reflekt-me,https://www.reflektme.com,,,,Backstage Capital,"Match the characteristics of your online shopper (size, skin tone, hair texture, etc.) to the images they see on your site.",Seed,Yes,,225000,USD,225000,,5,Backstage Capital,1,,"303,041"
Private Equity Round - VineBrook Homes,https://www.crunchbase.com/funding_round/vinebrook-homes-private-equity--466f223e,"Property Management, Real Estate, Real Estate Investment","Dayton, Ohio, United States, North America",Private Equity,11500000,USD,11500000,2019-02-06,VineBrook Homes,https://www.crunchbase.com/organization/vinebrook-homes,http://www.vinebrookhomes.com,,,,Access Private Capital,"VineBrook Homes is an internally managed real estate company specializing in acquiring, renovating and leasing single family homes.",Private Equity,Yes,$1M to $10M,36500000,USD,36500000,Private Equity,2,Access Private Capital,1,,"303,046"
Pre Seed Round - Rivia Health,https://www.crunchbase.com/funding_round/rexpay-pre-seed--8a05e163,"Financial Services, Health Care, Medical, Mobile Payments, Payments, SaaS, Software","Phoenix, Arizona, United States, North America",Pre-Seed,825000,USD,825000,2018-02-26,Rivia Health,https://www.crunchbase.com/organization/rexpay,https://riviahealth.com/,2000000,USD,2000000,,Rivia Health brings ease and efficiency to healthcare patient payments.,Seed,Yes,$1M to $10M,9885000,USD,9885000,Seed,7,,,,"303,051"
Series A - Interactive Supercomputing,https://www.crunchbase.com/funding_round/interactive-supercomputing-series-a--40fde251,"Cloud Computing, Enterprise Software, Financial Services, Software","Waltham, Massachusetts, United States, North America",Series A,4500000,USD,4500000,2006-01-17,Interactive Supercomputing,https://www.crunchbase.com/organization/interactive-supercomputing,http://www.interactivsupercomputing.com,,,,"CVP Management, Flagship Pioneering, Rock Maple Ventures","Interactive Supercomputing develops Star-P, an interactive parallel computing platform for applications in laboratory research sectors.",Early Stage Venture,Yes,,15500000,USD,15500000,M&A,2,Flagship Pioneering,3,1,"303,055"
Pre Seed Round - Seasy.com,https://www.crunchbase.com/funding_round/seasy-pre-seed--d33975ed,"Leisure, Sailing, Tourism, Travel","Graz, Steiermark, Austria, Europe",Pre-Seed,,,,2019-01-01,Seasy.com,https://www.crunchbase.com/organization/seasy,https://www.seasy.com,,,,Tech2b Incubator,"Seasy - Making Sea Life Easy, Digital Boating Platform",Seed,Yes,,,USD,,Seed,3,,1,,"303,062"
Series A - Fama,https://www.crunchbase.com/funding_round/fama-series-a--1775713b,"Artificial Intelligence (AI), Enterprise Software, Internet, Machine Learning, Media and Entertainment, Social Media, Software","Los Angeles, California, United States, North America",Series A,,,,2020-06-05,Fama,https://www.crunchbase.com/organization/fama,http://www.fama.io/,,,,Navigate Ventures LLC,Fama is an AI-based solution that identifies problematic behavior across a workforce by analyzing publicly available online information.,Early Stage Venture,Yes,$1M to $10M,17700000,USD,17700000,Early Stage Venture,6,,1,,"303,066"
Grant - Off-Site Structural Research,https://www.crunchbase.com/funding_round/off-site-structural-research-grant--cf33df0d,"Civil Engineering, Construction, Infrastructure","Spain, Georgia, United States, North America",Grant,50000,EUR,55997,2015-05-01,Off-Site Structural Research,https://www.crunchbase.com/organization/off-site-structural-research,http://www.strucres.es/,,,,EASME - EU Executive Agency for SMEs,Off-Site Structural Research offers structural research services in Spain.,,No,$1M to $10M,50000,EUR,55998,,1,EASME - EU Executive Agency for SMEs,1,,"303,074"
Seed Round - Brik,https://www.crunchbase.com/funding_round/brik-8348-seed--2b7a28f7,Real Estate Investment,"Paris, Ile-de-France, France, Europe",Seed,,,,2021-06-05,Brik,https://www.crunchbase.com/organization/brik-8348,https://www.brik.com,,,,GSD Venture Studios,The community of real estate investment owners,Seed,Yes,,4000000,EUR,4216123,Seed,3,,1,,"303,075"
