Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series C - Pair Eyewear,https://www.crunchbase.com/funding_round/pair-eyewear-series-c--a48cf314,"E-Commerce, Eyewear, Fashion, Retail, Wearables","New York, New York, United States, North America",Series C,75000000,USD,75000000,2023-10-10,Pair Eyewear,https://www.crunchbase.com/organization/pair-eyewear,https://paireyewear.com,,,,"Christian McCaffrey, Javelin Venture Partners, New Enterprise Associates, Prysm Capital",Pair Eyewear is an eyewear brand designed and made specifically for children.,Late Stage Venture,Yes,$1M to $10M,149500000,USD,149500000,Late Stage Venture,7,Prysm Capital,4,3,"4,819"
Secondary Market - CoreWeave,https://www.crunchbase.com/funding_round/coreweave-secondary-market--781eabd2,"Cloud Computing, Cloud Infrastructure, Information Technology, Machine Learning","Roseland, New Jersey, United States, North America",Secondary Market,642000000,USD,642000000,2023-12-04,CoreWeave,https://www.crunchbase.com/organization/coreweave,https://www.coreweave.com,6358000000,USD,6358000000,"Daniel Gross, Fidelity, Goanna Capital, Investment Management Corporation of Ontario, J.P. Morgan Asset Management, Jane Street Capital, Nat Friedman, Other People's Capital, Zoom Ventures",CoreWeave is a cloud provider of large-scale GPU-accelerated workloads.,,No,$10M to $50M,3518500000,USD,3518500000,Early Stage Venture,8,Fidelity,9,1,"4,825"
Grant - Clarametyx Biosciences,https://www.crunchbase.com/funding_round/clarametyx-biosciences-grant--2174a18d,"Biotechnology, Health Care, Medical, Pharmaceutical","Columbus, Ohio, United States, North America",Grant,5000000,USD,5000000,2024-01-05,Clarametyx Biosciences,https://www.crunchbase.com/organization/clarametyx-biosciences,https://clarametyx.com/,,,,Cystic Fibrosis Foundation,Clarametyx Biosciences is a late preclinical stage biotechnology company.,,No,$1M to $10M,59240000,USD,59240000,Early Stage Venture,6,Cystic Fibrosis Foundation,1,,"4,803"
Seed Round - Shakers,https://www.crunchbase.com/funding_round/shakers-seed--0fa373aa,"Consulting, Human Resources, Software, Virtual Workforce","Madrid, Madrid, Spain, Europe",Seed,6000000,EUR,6368358,2023-10-30,Shakers,https://www.crunchbase.com/organization/shakers,https://shakersworks.com,,,,"Adevinta Ventures, Athos Capital, Brighteye Ventures, Centre for the Development of Industrial Technology (CDTI), Clave, Francisco Ruiz Carrasco, Francisco Sanchez, Hilario Albarracín Santa Cruz, Wayra",Shakers allows companies to work with entire teams of freelancers.,Seed,Yes,,7800000,EUR,8292452,Seed,5,"Adevinta Ventures, Athos Capital, Brighteye Ventures",9,3,"4,806"
Series A - Guardz,https://www.crunchbase.com/funding_round/guardz-series-a--3dc99800,"Cyber Security, IT Management, Small and Medium Businesses","Tel Aviv, Tel Aviv, Israel, Asia",Series A,18000000,USD,18000000,2023-12-13,Guardz,https://www.crunchbase.com/organization/guardz,https://guardz.com,,,,"ClearSky, George Kaiser Family Foundation, Glilot Capital Partners, Hanaco Venture Capital, iAngels",Guardz is the developer of a cybersecurity technology aimed to give real-time protection.,Early Stage Venture,Yes,$1M to $10M,28000000,USD,28000000,Early Stage Venture,2,Glilot Capital Partners,5,3,"4,810"
Pre Seed Round - Dark Patterns Lab,https://www.crunchbase.com/funding_round/dark-patterns-lab-pre-seed--1e8c0177,,"Melbourne, Victoria, Australia, Oceania",Pre-Seed,225000,AUD,146542,2023-11-17,Dark Patterns Lab,https://www.crunchbase.com/organization/dark-patterns-lab,https://www.darkpatternslab.com/,,,,Antler,Dark Patterns Lab is a Legal technology assisting lawyers deliver UI design compliance services efficiently and at scale.,Seed,Yes,,225000,AUD,146542,Seed,1,Antler,1,,"4,801"
Grant - Youth Opportunities,https://www.crunchbase.com/funding_round/youth-opportunities-grant--813a1718,"Charity, Non Profit","Cleveland, Ohio, United States, North America",Grant,,,,2024-01-03,Youth Opportunities,https://www.crunchbase.com/organization/youth-opportunities,https://www.youthopportunities.org/,,,,KeyBank Foundation,Youth Opportunities is a charity that helps teens and young adults.,,No,,47000,USD,47000,,2,KeyBank Foundation,1,,"4,802"
Seed Round - Platypus Finance,https://www.crunchbase.com/funding_round/platypus-finance-seed--4017d1b0,"Blockchain, Cryptocurrency, Finance","Menai, New South Wales, Australia, Oceania",Seed,3300000,USD,3300000,2021-12-02,Platypus Finance,https://www.crunchbase.com/organization/platypus-finance,https://platypus.finance,,,,"0x Ventures, Avalanche, Avalanche Asia Star Fund, Avalaunch, AVentures DAO, BENQI Finance, CMS Holdings, Colony Lab, DeFiance Capital, GBV Capital, Hailstone Ventures, KeyChain Capital, Mechanism Capital, Muhabbit Capital Ventures, Three Arrows Capital, TPS Capital, Valhalla Capital, Yield Yak",Platypus Finance is a decentralized finance protocol that offers a new mechanism for AMM for stablecoins to optimize capital efficiency.,Seed,Yes,,3300000,USD,3300000,Seed,1,"DeFiance Capital, Three Arrows Capital",18,2,"4,804"
Angel Round - Pule Precision Instrument,https://www.crunchbase.com/funding_round/pule-precision-instrument-angel--3cf13b44,"Advanced Materials, Test and Measurement","Shenzhen, Guangdong, China, Asia",Angel,,,,2023-12-28,Pule Precision Instrument,https://www.crunchbase.com/organization/pule-precision-instrument,,,,,Nanshan War Xintou,Pule Precision Instrument is a measurement technology company that develops a new generation of ultra-precision measuring instruments.,Seed,Yes,,,USD,,Seed,2,Nanshan War Xintou,1,,"4,805"
Post-IPO Equity - BioMark Diagnostics,https://www.crunchbase.com/funding_round/biomark-diagnostics-post-ipo-equity--d5f05cd8,"Biotechnology, Health Care, Health Diagnostics, Oncology","Richmond, Quebec, Canada, North America",Post-IPO Equity,1900000,CAD,1432718,2023-12-29,BioMark Diagnostics,https://www.crunchbase.com/organization/biomark-diagnostics,https://www.biomarkdiagnostics.com/,,,,,BioMark Diagnostics is an oncology-focused company.,,Yes,$1M to $10M,4395050,CAD,3428972,IPO,5,,,,"4,806"
